DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
24-06-2020,24.7,24.7,24.7,24.7,24.7,24.7,24.7,1,24.7,1,24.7,EQ
25-06-2020,25.9,25.9,25.9,25.9,25.9,25.9,24.7,1000,25900.0,1,25.9,EQ
26-06-2020,27.15,27.15,27.15,27.15,27.15,27.15,24.7,51,1384.65,2,27.15,EQ
29-06-2020,28.5,28.5,28.5,28.5,28.5,28.5,24.7,51,1453.5,2,28.5,EQ
30-06-2020,29.9,29.9,29.9,29.9,29.9,29.9,24.7,1260,37674.0,6,29.9,EQ
01-07-2020,31.35,31.35,31.3,31.35,31.35,31.35,24.7,8263,258982.05,46,31.34,EQ
02-07-2020,32.9,32.9,32.9,32.9,32.9,32.9,24.7,1250,41125.0,6,32.9,EQ
03-07-2020,34.5,34.5,34.5,34.5,34.5,34.5,24.7,380,13110.0,4,34.5,EQ
06-07-2020,36.2,36.2,36.2,36.2,36.2,36.2,24.7,500,18100.0,2,36.2,EQ
07-07-2020,38.0,38.0,38.0,38.0,38.0,38.0,24.7,2718,103284.0,14,38.0,EQ
08-07-2020,39.9,39.9,36.1,36.55,37.0,39.9,24.7,35164,1334244.35,184,37.94,EQ
09-07-2020,34.75,36.0,34.75,35.0,34.9,39.9,24.7,5669,197648.25,44,34.86,EQ
10-07-2020,36.0,36.75,34.1,35.95,36.4,39.9,24.7,8201,293536.9,121,35.79,EQ
13-07-2020,37.7,37.7,34.8,35.85,36.9,39.9,24.7,2325,84238.25,35,36.23,EQ
14-07-2020,36.0,37.5,34.1,35.15,34.35,39.9,24.7,3718,130527.2,58,35.11,EQ
15-07-2020,33.85,35.85,33.4,33.4,33.4,39.9,24.7,4592,154127.1,76,33.56,EQ
16-07-2020,31.9,32.9,31.75,31.75,31.75,39.9,24.7,1407,44788.85,26,31.83,EQ
17-07-2020,32.0,32.9,30.7,32.9,32.9,39.9,24.7,432,14039.45,14,32.5,EQ
20-07-2020,34.3,34.3,31.5,32.95,32.95,39.9,24.7,2724,88279.75,71,32.41,EQ
21-07-2020,31.5,34.2,31.35,31.4,31.35,39.9,24.7,5232,167086.95,65,31.94,EQ
22-07-2020,32.9,32.95,32.75,32.95,32.95,39.9,24.7,1265,41547.5,6,32.84,EQ
23-07-2020,34.5,34.5,31.4,31.6,31.5,39.9,24.7,10784,348430.35,101,32.31,EQ
24-07-2020,32.75,32.75,30.1,30.35,30.35,39.9,24.7,343,10744.9,13,31.33,EQ
27-07-2020,31.75,31.75,31.0,31.4,31.4,39.9,24.7,545,17252.6,10,31.66,EQ
28-07-2020,32.75,32.75,29.85,32.0,32.0,39.9,24.7,442,13367.2,9,30.24,EQ
30-07-2020,32.0,32.0,31.0,32.0,32.0,39.9,24.7,1108,34706.7,20,31.32,EQ
31-07-2020,30.4,32.5,30.4,31.5,31.5,39.9,24.7,32030,1008922.5,3,31.5,EQ
03-08-2020,29.95,33.05,29.95,31.65,30.55,39.9,24.7,1894,59955.1,32,31.66,EQ
04-08-2020,33.2,33.2,30.1,30.1,30.1,39.9,24.7,5135,155325.05,56,30.25,EQ
05-08-2020,28.65,31.5,28.65,30.7,30.7,39.9,24.7,506,15580.65,15,30.79,EQ
06-08-2020,30.7,31.7,29.25,30.9,30.0,39.9,24.7,10461,317014.0,47,30.3,EQ
