DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
21-11-2006,53.85,59.0,53.85,55.95,57.2,59.0,53.85,41811,2366415.35,,56.6,EQ
22-11-2006,58.0,62.55,50.5,57.95,60.0,62.55,50.5,31971,1801592.0,,56.35,EQ
23-11-2006,60.0,60.0,54.8,55.5,55.5,62.55,50.5,5553,309965.8,,55.82,EQ
24-11-2006,56.0,60.0,53.55,56.35,56.15,62.55,50.5,8304,474241.3,,57.11,EQ
27-11-2006,56.0,59.0,55.0,56.55,55.6,62.55,50.5,3964,226485.75,,57.14,EQ
28-11-2006,60.0,60.0,55.5,57.25,57.6,62.55,50.5,3782,215869.2,,57.08,EQ
29-11-2006,57.5,58.7,56.4,56.4,56.4,62.55,50.5,2790,160255.55,,57.44,EQ
30-11-2006,59.4,67.0,57.25,63.6,63.0,67.0,50.5,28801,1823233.8,,63.3,EQ
01-12-2006,66.0,68.0,63.35,64.5,64.0,68.0,50.5,20725,1368478.1,,66.03,EQ
04-12-2006,65.2,65.2,58.0,58.65,58.0,68.0,50.5,57087,3511407.0,,61.51,EQ
05-12-2006,62.35,63.1,60.0,60.95,60.2,68.0,50.5,15912,978469.9,,61.49,EQ
06-12-2006,62.0,63.1,59.8,62.35,62.05,68.0,50.5,8688,534263.65,,61.49,EQ
07-12-2006,63.0,66.0,63.0,65.1,65.2,68.0,50.5,12924,842337.3,,65.18,EQ
08-12-2006,66.85,67.0,56.25,58.7,59.5,68.0,50.5,43860,2625602.25,,59.86,EQ
11-12-2006,61.0,61.8,59.0,60.25,59.2,68.0,50.5,54902,3308610.8,,60.26,EQ
12-12-2006,54.1,61.45,53.0,59.85,60.0,68.0,50.5,35454,2145359.1,,60.51,EQ
13-12-2006,58.0,61.5,57.25,60.3,61.5,68.0,50.5,52209,3126934.9,,59.89,EQ
14-12-2006,61.0,72.4,60.4,72.4,72.4,72.4,50.5,768326,50453828.55,,65.67,EQ
15-12-2006,74.25,86.9,74.25,79.7,79.35,86.9,50.5,1446181,116926073.05,,80.85,EQ
18-12-2006,80.9,91.3,74.55,87.45,87.0,91.3,50.5,719576,60378237.3,,83.91,EQ
19-12-2006,87.0,92.4,85.25,86.15,85.25,92.4,50.5,461188,40919797.4,,88.73,EQ
20-12-2006,87.7,88.5,80.1,81.1,82.3,92.4,50.5,131306,11151638.5,,84.93,EQ
21-12-2006,81.85,81.85,77.2,77.6,77.35,92.4,50.5,69225,5453603.25,,78.78,EQ
22-12-2006,77.9,79.5,75.0,75.55,75.0,92.4,50.5,73222,5587969.0,,76.32,EQ
26-12-2006,76.5,82.5,75.1,78.5,79.0,92.4,50.5,65551,5195244.3,,79.25,EQ
27-12-2006,79.5,81.8,77.65,78.25,78.95,92.4,50.5,44117,3507192.3,,79.5,EQ
28-12-2006,78.5,80.3,77.5,79.0,79.0,92.4,50.5,36297,2875981.5,,79.23,EQ
29-12-2006,78.0,83.25,78.0,81.7,81.45,92.4,50.5,53847,4376831.5,,81.28,EQ
02-01-2007,83.2,89.9,83.2,89.9,89.9,92.4,50.5,148914,13240334.65,,88.91,EQ
03-01-2007,90.0,90.0,82.25,82.75,82.5,92.4,50.5,103910,8878575.85,,85.44,EQ
04-01-2007,82.25,85.9,82.25,83.45,83.55,92.4,50.5,38112,3204336.7,,84.08,EQ
05-01-2007,83.9,88.4,82.1,85.0,84.25,92.4,50.5,304273,25966002.45,,85.34,EQ
08-01-2007,85.0,88.4,83.8,85.85,84.3,92.4,50.5,163290,13989024.1,,85.67,EQ
09-01-2007,85.5,91.25,84.15,84.9,85.0,92.4,50.5,349390,30062459.5,,86.04,EQ
10-01-2007,84.75,93.4,84.15,93.4,93.4,93.4,50.5,211854,19459279.55,,91.85,EQ
