DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
21-11-2022,450.0,476.0,440.2,458.15,458.0,476.0,440.2,22187351,10138334364.35,333110,456.94,EQ
22-11-2022,460.8,478.0,450.0,454.85,456.0,478.0,440.2,4464605,2055101912.4,106875,460.31,EQ
23-11-2022,458.9,471.65,455.6,464.7,464.35,478.0,440.2,1736495,807286447.75,63274,464.89,EQ
24-11-2022,468.0,509.0,465.0,502.4,497.85,509.0,440.2,4878787,2392205434.85,91444,490.33,EQ
25-11-2022,495.95,538.8,493.2,534.0,531.0,538.8,440.2,3312638,1729193640.0,128476,522.0,EQ
28-11-2022,527.95,547.0,514.35,539.55,539.0,547.0,440.2,1577078,840011702.85,36118,532.64,EQ
29-11-2022,542.3,554.45,534.0,539.15,540.0,554.45,440.2,885600,481080359.1,20112,543.23,EQ
30-11-2022,541.0,543.25,502.6,516.4,514.0,554.45,440.2,469673,247402691.35,15957,526.76,EQ
01-12-2022,517.9,535.0,514.0,530.85,531.05,554.45,440.2,547914,286674560.3,22263,523.21,EQ
02-12-2022,530.85,538.8,515.35,521.95,521.1,554.45,440.2,270405,142807933.55,10870,528.13,EQ
05-12-2022,524.6,533.0,518.0,519.45,518.0,554.45,440.2,410127,215836787.45,15088,526.27,EQ
06-12-2022,522.05,523.4,502.0,504.9,504.95,554.45,440.2,235149,119794826.7,7677,509.44,EQ
07-12-2022,505.65,525.0,505.65,514.75,514.85,554.45,440.2,490412,253772583.75,19603,517.47,EQ
08-12-2022,517.35,534.45,504.2,527.9,529.95,554.45,440.2,422580,219704839.35,13779,519.91,EQ
09-12-2022,530.55,534.45,516.4,521.2,520.0,554.45,440.2,235446,123897882.0,9545,526.23,EQ
12-12-2022,520.0,535.0,512.8,533.95,533.2,554.45,440.2,351782,186535936.95,13889,530.26,EQ
13-12-2022,535.0,554.5,525.0,530.45,526.25,554.5,440.2,741309,399697681.75,27320,539.18,EQ
14-12-2022,533.15,541.2,515.1,517.3,517.0,554.5,440.2,316805,166146323.45,12420,524.44,EQ
15-12-2022,519.9,523.65,508.1,513.15,510.85,554.5,440.2,367466,189426384.55,15743,515.49,EQ
16-12-2022,509.4,514.7,501.0,508.6,511.25,554.5,440.2,509306,258464584.95,16070,507.48,EQ
19-12-2022,507.95,517.45,507.9,510.3,510.0,554.5,440.2,140417,71713111.9,4905,510.72,EQ
20-12-2022,512.9,512.95,505.0,510.45,511.8,554.5,440.2,109997,56075067.55,9769,509.79,EQ
21-12-2022,510.45,514.4,485.0,499.1,497.15,554.5,440.2,326458,165232567.85,15241,506.14,EQ
22-12-2022,498.05,507.5,471.65,495.4,496.0,554.5,440.2,533055,258996428.55,24528,485.87,EQ
23-12-2022,485.0,494.0,477.8,486.5,492.0,554.5,440.2,295703,143259695.85,14415,484.47,EQ
26-12-2022,483.25,496.0,477.0,492.5,491.2,554.5,440.2,195031,94870999.35,14934,486.44,EQ
27-12-2022,495.0,520.0,490.05,516.75,518.2,554.5,440.2,309484,158734927.25,13679,512.9,EQ
28-12-2022,517.4,532.8,517.4,524.15,523.0,554.5,440.2,201311,106058033.3,17320,526.84,EQ
29-12-2022,525.0,528.35,521.25,526.55,526.0,554.5,440.2,293939,154462859.85,13996,525.49,EQ
30-12-2022,529.2,532.0,522.1,526.25,525.0,554.5,440.2,151449,79833324.45,11372,527.13,EQ
02-01-2023,528.9,533.95,523.0,525.25,525.8,554.5,440.2,188657,99286164.95,6888,526.28,EQ
03-01-2023,527.9,530.3,524.0,525.45,526.9,554.5,440.2,85226,44795427.5,4096,525.61,EQ
04-01-2023,526.5,539.9,523.35,532.95,529.0,554.5,440.2,258179,137961392.95,9886,534.36,EQ
05-01-2023,534.9,570.8,528.65,558.75,560.55,570.8,440.2,797190,440463220.5,38197,552.52,EQ
06-01-2023,561.55,578.7,538.65,562.3,556.5,578.7,440.2,524972,297539544.85,32262,566.77,EQ
09-01-2023,565.15,577.8,558.3,562.5,564.9,578.7,440.2,166981,94730343.9,8034,567.31,EQ
10-01-2023,565.35,570.0,547.05,559.15,556.75,578.7,440.2,145658,81219553.55,7848,557.6,EQ
