DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
28-01-2014,37.0,37.0,35.15,35.15,35.15,37.0,35.15,2071,72797.5,7,35.15,BE
29-01-2014,33.4,33.4,33.4,33.4,33.4,37.0,33.4,800,26720.0,3,33.4,BE
31-01-2014,31.75,31.75,31.75,31.75,31.75,37.0,31.75,46,1460.5,1,31.75,BE
03-02-2014,30.2,30.2,30.2,30.2,30.2,37.0,30.2,1,30.2,1,30.2,BE
06-02-2014,28.7,28.7,28.7,28.7,28.7,37.0,28.7,360,10332.0,3,28.7,BE
13-02-2014,27.3,27.3,27.3,27.3,27.3,37.0,27.3,50,1365.0,2,27.3,BE
19-02-2014,25.95,25.95,25.95,25.95,25.95,37.0,25.95,1,25.95,1,25.95,BE
20-02-2014,24.7,24.7,24.7,24.7,24.7,37.0,24.7,1,24.7,1,24.7,BE
21-02-2014,23.5,23.5,23.5,23.5,23.5,37.0,23.5,2,47.0,2,23.5,BE
24-02-2014,22.5,22.5,22.35,22.35,22.35,37.0,22.35,525,11808.75,2,22.49,BE
25-02-2014,21.25,21.25,21.25,21.25,21.25,37.0,21.25,31,658.75,2,21.25,BE
26-02-2014,20.2,20.2,20.2,20.2,20.2,37.0,20.2,40,808.0,1,20.2,BE
28-02-2014,19.2,19.2,19.2,19.2,19.2,37.0,19.2,94,1804.8,1,19.2,BE
03-03-2014,18.25,18.25,18.25,18.25,18.25,37.0,18.25,561,10238.25,9,18.25,BE
05-03-2014,17.35,17.35,17.35,17.35,17.35,37.0,17.35,275,4771.25,2,17.35,BE
06-03-2014,16.5,16.5,16.5,16.5,16.5,37.0,16.5,50,825.0,1,16.5,BE
10-03-2014,15.7,15.7,15.7,15.7,15.7,37.0,15.7,354,5557.8,3,15.7,BE
11-03-2014,14.95,14.95,14.95,14.95,14.95,37.0,14.95,1031,15413.45,2,14.95,BE
12-03-2014,14.25,14.25,14.25,14.25,14.25,37.0,14.25,131,1866.75,2,14.25,BE
13-03-2014,13.55,13.55,13.55,13.55,13.55,37.0,13.55,31,420.05,1,13.55,BE
14-03-2014,12.9,12.9,12.9,12.9,12.9,37.0,12.9,33,425.7,2,12.9,BE
18-03-2014,12.3,12.3,12.3,12.3,12.3,37.0,12.3,43,528.9,3,12.3,BE
19-03-2014,11.7,11.7,11.7,11.7,11.7,37.0,11.7,239,2796.3,4,11.7,BE
20-03-2014,11.15,11.15,11.15,11.15,11.15,37.0,11.15,293,3266.95,6,11.15,BE
21-03-2014,10.6,10.6,10.6,10.6,10.6,37.0,10.6,33,349.8,2,10.6,BE
24-03-2014,10.1,10.1,10.1,10.1,10.1,37.0,10.1,584,5898.4,6,10.1,BE
25-03-2014,9.6,9.6,9.6,9.6,9.6,37.0,9.6,376,3609.6,3,9.6,BE
26-03-2014,9.15,9.15,9.15,9.15,9.15,37.0,9.15,52,475.8,3,9.15,BE
27-03-2014,8.7,8.7,8.7,8.7,8.7,37.0,8.7,426,3706.2,4,8.7,BE
28-03-2014,8.3,8.3,8.3,8.3,8.3,37.0,8.3,1012,8399.6,3,8.3,BE
31-03-2014,7.9,7.9,7.9,7.9,7.9,37.0,7.9,794,6272.6,7,7.9,BE
01-04-2014,7.85,7.85,7.55,7.55,7.55,37.0,7.55,2438,18520.9,34,7.6,BE
02-04-2014,7.2,7.9,7.2,7.35,7.6,37.0,7.2,4887,36605.95,64,7.49,BE
03-04-2014,7.0,7.65,7.0,7.45,7.05,37.0,7.0,5291,38924.35,58,7.36,BE
04-04-2014,7.55,7.55,7.1,7.1,7.1,37.0,7.0,2491,17855.85,25,7.17,BE
07-04-2014,7.1,7.1,6.75,6.8,7.05,37.0,6.75,2840,19575.35,26,6.89,BE
09-04-2014,6.8,6.8,6.5,6.5,6.5,37.0,6.5,4096,26639.9,31,6.5,BE
10-04-2014,6.5,6.8,6.5,6.8,6.8,37.0,6.5,2411,15931.8,20,6.61,BE
11-04-2014,7.1,7.1,7.1,7.1,7.1,37.0,6.5,2657,18864.7,17,7.1,BE
15-04-2014,7.2,7.35,6.8,6.95,7.0,37.0,6.5,6786,48678.1,40,7.17,BE
16-04-2014,7.0,7.2,6.7,6.95,6.7,37.0,6.5,2517,17439.75,21,6.93,BE
17-04-2014,6.65,7.0,6.65,6.95,6.95,37.0,6.5,2986,20401.75,20,6.83,BE
21-04-2014,6.65,7.05,6.65,6.95,7.0,37.0,6.5,5093,35204.1,20,6.91,BE
22-04-2014,7.0,7.25,6.8,7.25,7.25,37.0,6.5,1590,11312.9,10,7.12,BE
23-04-2014,6.9,7.3,6.9,7.1,7.3,37.0,6.5,910,6303.5,16,6.93,BE
25-04-2014,7.4,7.45,6.8,7.3,6.85,37.0,6.5,10542,76159.5,78,7.22,BE
28-04-2014,7.0,7.0,6.95,7.0,7.0,37.0,6.5,240,1670.0,6,6.96,BE
29-04-2014,7.0,7.0,6.8,6.8,6.8,37.0,6.5,585,4083.0,6,6.98,BE
