DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
23-05-2022,75.65,75.65,75.65,75.65,75.65,75.65,75.65,173762,13145095.3,93,75.65,EQ
24-05-2022,77.8,79.4,71.9,74.15,74.15,79.4,71.9,162344,12429218.8,1086,76.56,EQ
25-05-2022,74.1,76.7,74.05,74.6,74.1,79.4,71.9,40225,3000422.05,269,74.59,EQ
26-05-2022,76.95,77.0,74.1,74.1,74.1,79.4,71.9,13486,1003778.65,204,74.43,EQ
27-05-2022,75.3,75.3,74.1,74.1,74.1,79.4,71.9,9974,743434.3,82,74.54,EQ
30-05-2022,74.05,77.0,74.05,76.45,76.8,79.4,71.9,58971,4439881.55,185,75.29,EQ
31-05-2022,75.15,75.6,73.0,73.25,73.0,79.4,71.9,36129,2704926.4,265,74.87,EQ
01-06-2022,74.9,74.95,69.75,74.6,74.95,79.4,69.75,11307,838971.2,53,74.2,EQ
02-06-2022,74.95,74.95,70.9,71.25,70.9,79.4,69.75,10542,755429.5,100,71.66,EQ
03-06-2022,70.45,74.7,69.25,71.9,71.65,79.4,69.25,43223,3196261.7,153,73.95,EQ
06-06-2022,75.0,75.0,70.5,72.5,72.5,79.4,69.25,514,37320.05,27,72.61,EQ
07-06-2022,78.0,78.0,69.0,73.8,73.75,79.4,69.0,10471,767413.25,182,73.29,EQ
08-06-2022,77.1,77.1,72.8,74.0,74.0,79.4,69.0,4654,345112.05,94,74.15,EQ
09-06-2022,72.95,76.05,72.3,72.5,72.5,79.4,69.0,2298,168181.75,38,73.19,EQ
10-06-2022,77.05,77.05,70.95,72.95,73.0,79.4,69.0,23242,1728853.4,75,74.38,EQ
13-06-2022,78.25,78.25,68.1,76.1,76.0,79.4,68.1,23144,1726291.1,514,74.59,EQ
14-06-2022,81.0,81.95,76.1,78.45,77.2,81.95,68.1,25662,2049747.05,556,79.87,EQ
15-06-2022,81.85,81.95,71.55,79.1,80.4,81.95,68.1,131218,10520522.5,880,80.18,EQ
16-06-2022,81.95,81.95,74.05,77.3,75.0,81.95,68.1,21915,1758628.6,293,80.25,EQ
17-06-2022,80.0,81.5,76.55,79.25,79.95,81.95,68.1,5636,449178.55,116,79.7,EQ
20-06-2022,76.6,79.25,73.05,73.15,73.05,81.95,68.1,8314,620446.5,160,74.63,EQ
21-06-2022,79.6,80.45,73.85,80.45,80.45,81.95,68.1,51500,4132222.85,166,80.24,EQ
22-06-2022,81.8,85.2,74.3,82.7,82.0,85.2,68.1,102326,8445119.15,1966,82.53,EQ
23-06-2022,84.5,84.5,80.45,82.05,82.9,85.2,68.1,244465,20292913.1,431,83.01,EQ
24-06-2022,84.75,84.75,78.25,79.4,80.0,85.2,68.1,11699,946390.8,451,80.9,EQ
27-06-2022,85.95,85.95,78.05,80.85,82.0,85.95,68.1,322926,26543509.9,571,82.2,EQ
28-06-2022,83.9,83.9,79.5,81.5,82.5,85.95,68.1,12887,1050916.15,387,81.55,EQ
