DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
06-08-2024,725.0,797.5,725.0,796.25,797.5,797.5,725.0,23470747,18044774780.15,329565,768.82,EQ
07-08-2024,816.0,824.0,783.2,793.75,790.6,824.0,725.0,2975148,2379775492.9,97801,799.88,EQ
08-08-2024,787.5,815.0,785.25,799.8,800.0,824.0,725.0,951754,765590816.35,39707,804.4,EQ
09-08-2024,809.0,815.0,795.0,803.15,805.3,824.0,725.0,457347,368332111.3,27852,805.37,EQ
12-08-2024,801.75,883.45,797.55,883.45,883.45,883.45,725.0,1329957,1132379069.0,28128,851.44,EQ
13-08-2024,899.0,957.9,890.0,935.25,931.0,957.9,725.0,1163892,1068643941.85,53231,918.16,EQ
14-08-2024,937.5,1028.75,937.0,969.7,980.0,1028.75,725.0,1933549,1939277953.6,51717,1002.96,EQ
16-08-2024,994.0,1066.65,977.4,1066.65,1066.65,1066.65,725.0,982763,1022201968.9,30048,1040.13,EQ
19-08-2024,1090.0,1119.95,1089.75,1119.95,1119.95,1119.95,725.0,148337,165550383.2,1765,1116.04,EQ
20-08-2024,1175.9,1175.9,1063.95,1063.95,1063.95,1175.9,725.0,723301,812829754.95,19372,1123.78,EQ
21-08-2024,1010.75,1010.75,1010.75,1010.75,1010.75,1175.9,725.0,26680,26966810.0,1189,1010.75,EQ
22-08-2024,1000.0,1008.95,960.25,960.25,960.25,1175.9,725.0,1499113,1453973240.0,17776,969.89,EQ
23-08-2024,970.0,1008.25,925.55,940.65,940.0,1175.9,725.0,1875805,1826179480.65,50946,973.54,EQ
26-08-2024,957.0,968.9,893.65,893.65,893.65,1175.9,725.0,499271,458464340.2,18839,918.27,EQ
27-08-2024,882.0,902.0,851.35,855.55,856.5,1175.9,725.0,437871,381894812.4,17143,872.16,EQ
28-08-2024,871.85,898.3,863.6,883.45,882.95,1175.9,725.0,542955,481694172.35,15440,887.17,EQ
29-08-2024,890.95,890.95,856.85,866.25,866.9,1175.9,725.0,363781,317840919.25,14262,873.72,EQ
30-08-2024,874.9,889.7,861.1,864.05,863.0,1175.9,725.0,297889,260468759.9,9861,874.38,EQ
02-09-2024,870.45,875.9,821.0,833.45,830.1,1175.9,725.0,744178,619891780.45,25319,832.99,EQ
03-09-2024,821.0,861.3,821.0,854.25,855.0,1175.9,725.0,560309,469419084.95,17537,837.79,EQ
04-09-2024,848.9,896.95,833.35,896.95,896.95,1175.9,725.0,352387,306400639.3,11531,869.5,EQ
05-09-2024,929.9,929.9,874.2,884.45,876.0,1175.9,725.0,351327,315539805.2,12543,898.14,EQ
06-09-2024,888.0,893.0,861.0,864.95,870.0,1175.9,725.0,178715,155798269.6,9077,871.77,EQ
09-09-2024,867.9,884.95,847.55,867.6,865.0,1175.9,725.0,139788,121028221.8,10007,865.8,EQ
10-09-2024,881.65,910.95,873.8,910.95,910.95,1175.9,725.0,197487,178348900.95,4435,903.09,EQ
11-09-2024,929.7,949.0,901.65,910.25,912.0,1175.9,725.0,352235,325129641.75,17284,923.05,EQ
12-09-2024,928.0,928.8,900.55,910.5,902.05,1175.9,725.0,209660,192119265.9,7552,916.34,EQ
13-09-2024,944.0,944.0,900.0,902.6,901.0,1175.9,725.0,206479,188769251.7,12206,914.23,EQ
16-09-2024,907.95,909.9,885.0,888.5,887.0,1175.9,725.0,115505,103344869.0,10358,894.72,EQ
17-09-2024,890.9,895.45,852.0,855.25,854.5,1175.9,725.0,143280,124766227.45,6242,870.79,EQ
18-09-2024,855.25,863.9,828.05,845.3,843.3,1175.9,725.0,619367,518232374.0,20480,836.71,EQ
19-09-2024,858.95,858.95,830.0,841.15,850.0,1175.9,725.0,108418,91263061.8,8161,841.77,EQ
20-09-2024,845.0,857.9,845.0,851.75,851.0,1175.9,725.0,100514,85600414.3,6626,851.63,EQ
23-09-2024,858.9,882.95,851.0,856.25,854.05,1175.9,725.0,124052,107479672.4,6069,866.41,EQ
24-09-2024,856.25,859.35,832.15,840.0,842.0,1175.9,725.0,180090,151337331.45,7195,840.34,EQ
25-09-2024,841.85,852.0,833.0,835.5,836.75,1175.9,725.0,63676,53464104.2,5679,839.63,EQ
26-09-2024,835.2,842.05,828.1,831.75,834.8,1175.9,725.0,104109,86753839.1,7791,833.3,EQ
27-09-2024,835.0,850.0,831.0,832.6,835.0,1175.9,725.0,51775,43334865.75,4086,836.98,EQ
30-09-2024,832.95,854.0,832.95,835.85,838.2,1175.9,725.0,71299,60016268.05,5249,841.75,EQ
01-10-2024,843.4,877.6,838.2,868.0,870.7,1175.9,725.0,255795,221725083.25,12165,866.81,EQ
03-10-2024,867.9,880.5,835.0,845.6,849.0,1175.9,725.0,161540,137681064.5,10822,852.3,EQ
04-10-2024,838.0,852.0,832.55,836.55,844.7,1175.9,725.0,81243,68331977.85,5845,841.08,EQ
07-10-2024,847.0,859.65,813.6,824.5,826.4,1175.9,725.0,195929,162192300.1,12986,827.81,EQ
08-10-2024,816.0,847.0,813.55,841.95,847.0,1175.9,725.0,81981,68317533.8,8860,833.33,EQ
09-10-2024,851.0,861.9,845.0,851.55,851.0,1175.9,725.0,76046,65042816.0,6253,855.31,EQ
10-10-2024,878.95,889.9,850.1,853.9,856.4,1175.9,725.0,130895,113739911.55,9360,868.94,EQ
11-10-2024,859.9,863.25,852.1,857.1,856.95,1175.9,725.0,43121,36943308.8,4842,856.74,EQ
14-10-2024,868.85,868.85,840.2,844.6,842.6,1175.9,725.0,154561,130723748.1,13631,845.77,EQ
15-10-2024,841.6,888.0,805.1,880.6,884.0,1175.9,725.0,327363,279671554.05,11882,854.32,EQ
16-10-2024,880.6,929.1,870.05,920.65,925.95,1175.9,725.0,388465,353885942.45,21862,910.99,EQ
17-10-2024,927.55,935.25,899.55,913.85,918.0,1175.9,725.0,235774,215499539.65,9824,914.01,EQ
18-10-2024,906.7,939.95,895.05,910.0,911.5,1175.9,725.0,157710,144188646.85,10340,914.26,EQ
21-10-2024,920.1,920.15,900.0,915.75,916.55,1175.9,725.0,80373,73272021.45,5431,911.65,EQ
22-10-2024,915.75,927.95,888.0,903.95,891.0,1175.9,725.0,247409,224331665.7,9092,906.72,EQ
23-10-2024,888.0,898.6,867.05,884.15,887.0,1175.9,725.0,97516,86000245.8,6958,881.91,EQ
24-10-2024,880.25,897.5,865.25,875.3,875.25,1175.9,725.0,38718,34184949.1,3174,882.92,EQ
25-10-2024,878.8,880.0,843.0,848.25,847.5,1175.9,725.0,51178,43700066.85,7463,853.88,EQ
28-10-2024,849.5,877.9,846.55,865.9,865.0,1175.9,725.0,71857,62166289.65,5811,865.14,EQ
29-10-2024,862.0,897.5,860.0,888.9,889.9,1175.9,725.0,95655,84187475.0,7014,880.12,EQ
30-10-2024,891.5,919.35,882.05,902.6,897.5,1175.9,725.0,88614,79794499.1,7440,900.47,EQ
31-10-2024,902.6,902.6,835.0,841.9,841.0,1175.9,725.0,431379,368686057.0,16851,854.67,EQ
01-11-2024,845.0,860.0,845.0,855.65,858.0,1175.9,725.0,30756,26321647.95,1237,855.82,EQ
04-11-2024,855.65,855.65,836.0,845.25,846.65,1175.9,725.0,82020,69326781.8,5269,845.24,EQ
05-11-2024,842.0,846.1,828.35,832.7,831.0,1175.9,725.0,81748,68313196.95,5862,835.66,EQ
06-11-2024,844.0,844.0,805.0,808.0,806.8,1175.9,725.0,320407,261523589.4,18614,816.22,EQ
07-11-2024,810.0,810.05,801.0,802.4,802.95,1175.9,725.0,127871,102891835.65,9040,804.65,EQ
08-11-2024,804.0,808.95,795.05,796.2,796.95,1175.9,725.0,91897,73402084.5,4766,798.74,EQ
11-11-2024,794.2,794.2,716.6,716.6,716.6,1175.9,716.6,448259,334212175.4,19046,745.58,EQ
12-11-2024,702.0,702.0,644.95,644.95,644.95,1175.9,644.95,980628,649521374.5,34219,662.35,EQ
13-11-2024,612.8,640.0,612.7,612.7,612.7,1175.9,612.7,630137,388259857.5,7462,616.15,EQ
14-11-2024,582.1,582.1,582.1,582.1,582.1,1175.9,582.1,234411,136450643.1,3725,582.1,EQ
18-11-2024,562.0,573.9,553.0,553.0,553.0,1175.9,553.0,518898,289255051.55,5191,557.44,EQ
19-11-2024,536.0,580.65,530.05,580.65,580.65,1175.9,530.05,2311186,1271704455.15,46464,550.24,EQ
21-11-2024,609.65,609.65,609.65,609.65,609.65,1175.9,530.05,52986,32302914.9,655,609.65,EQ
22-11-2024,640.1,640.1,640.1,640.1,640.1,1175.9,530.05,35476,22708187.6,525,640.1,EQ
25-11-2024,672.1,672.1,672.1,672.1,672.1,1175.9,530.05,28172,18934401.2,514,672.1,EQ
26-11-2024,705.7,705.7,638.5,641.65,638.5,1175.9,530.05,1983557,1371272834.5,28260,691.32,EQ
27-11-2024,638.5,652.85,630.85,639.25,639.0,1175.9,530.05,419053,268098922.7,15935,639.77,EQ
28-11-2024,649.9,649.9,607.3,607.3,607.3,1175.9,530.05,327535,204787455.25,14000,625.24,EQ
29-11-2024,614.0,637.65,582.35,605.1,604.3,1175.9,530.05,1133294,689173953.85,27216,608.12,EQ
02-12-2024,609.0,625.0,591.15,618.7,617.8,1175.9,530.05,484140,296861245.1,16190,613.17,EQ
03-12-2024,618.2,633.0,611.1,623.45,623.0,1175.9,530.05,274167,171008515.5,10774,623.74,EQ
04-12-2024,623.45,627.85,609.0,611.25,611.05,1175.9,530.05,273138,167868975.1,14923,614.59,EQ
05-12-2024,614.95,617.95,607.0,608.9,608.75,1175.9,530.05,187619,114576914.65,10083,610.69,EQ
06-12-2024,613.0,635.0,608.75,624.3,622.25,1175.9,530.05,381358,238075959.3,12444,624.28,EQ
09-12-2024,619.55,631.4,616.05,624.25,624.3,1175.9,530.05,186373,116193641.7,8291,623.45,EQ
10-12-2024,629.95,629.95,607.95,612.15,611.0,1175.9,530.05,168823,103799723.95,6363,614.84,EQ
11-12-2024,613.95,615.95,608.0,612.8,610.0,1175.9,530.05,93698,57364890.55,3553,612.23,EQ
12-12-2024,612.9,613.75,576.0,587.05,579.0,1175.9,530.05,446108,265435395.3,11831,595.0,EQ
13-12-2024,579.0,592.3,579.0,589.3,589.0,1175.9,530.05,193416,113467593.2,7149,586.65,EQ
16-12-2024,580.0,594.85,580.0,584.5,584.0,1175.9,530.05,122522,71918584.15,5197,586.99,EQ
17-12-2024,589.0,589.0,577.0,578.95,580.0,1175.9,530.05,191956,111459829.95,9032,580.65,EQ
18-12-2024,583.6,591.2,568.9,570.45,571.9,1175.9,530.05,245548,141557284.7,9091,576.5,EQ
19-12-2024,565.0,566.95,555.55,560.6,560.95,1175.9,530.05,216044,121067754.55,12854,560.38,EQ
20-12-2024,561.95,589.9,552.35,572.8,570.0,1175.9,530.05,553477,314865488.85,23484,568.89,EQ
