DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
22-09-1999,378.0,378.0,365.25,365.25,365.25,2825.0,865.0,250,93862.5,,375.45,EQ
23-09-1999,365.0,365.0,355.0,360.0,360.0,2825.0,365.25,1450,524302.5,,361.59,EQ
24-09-1999,360.0,370.0,357.0,359.85,360.0,2825.0,355.0,1600,576350.0,,360.22,EQ
27-09-1999,362.05,364.0,362.05,364.0,364.0,2825.0,355.0,350,127052.5,,363.01,EQ
28-09-1999,370.0,373.0,365.0,365.0,365.0,2825.0,355.0,900,332000.0,,368.89,EQ
29-09-1999,365.05,377.0,360.0,365.8,365.0,2825.0,355.0,2300,844855.0,,367.33,EQ
30-09-1999,366.5,383.95,360.0,367.0,367.0,2825.0,355.0,7600,2800617.5,,368.5,EQ
01-10-1999,365.25,368.0,351.0,364.8,365.0,2825.0,355.0,1850,675495.0,,365.13,EQ
04-10-1999,336.0,350.0,336.0,345.0,345.0,2825.0,351.0,3400,1147700.0,,337.56,EQ
05-10-1999,340.2,342.0,330.0,333.7,333.05,2825.0,336.0,2150,719825.0,,334.8,EQ
06-10-1999,346.5,355.0,346.0,355.0,355.0,2825.0,330.0,750,259975.0,,346.63,EQ
07-10-1999,360.0,362.1,350.0,362.1,362.1,2825.0,330.0,650,233105.0,,358.62,EQ
08-10-1999,364.0,391.1,364.0,391.05,391.05,2825.0,330.0,26050,10133332.5,,389.0,EQ
11-10-1999,422.35,422.35,422.35,422.35,422.35,2825.0,330.0,150,63352.5,,422.35,EQ
12-10-1999,456.15,456.15,456.15,456.15,456.15,2825.0,330.0,9650,4401847.5,,456.15,EQ
13-10-1999,492.65,492.65,490.0,492.65,492.65,2825.0,330.0,20850,10269632.5,,492.55,EQ
14-10-1999,532.1,532.1,532.1,532.1,532.1,2825.0,330.0,300,159630.0,,532.1,EQ
15-10-1999,544.0,557.0,527.0,537.05,540.0,2825.0,330.0,12650,6876612.5,,543.61,EQ
18-10-1999,530.0,580.05,530.0,580.05,580.05,2825.0,330.0,26450,15117582.5,,571.55,EQ
20-10-1999,626.45,626.45,626.45,626.45,626.45,2825.0,330.0,3700,2317865.0,,626.45,EQ
21-10-1999,675.0,676.6,626.45,664.4,676.0,2825.0,330.0,27500,18070087.5,,657.09,EQ
22-10-1999,656.0,663.0,611.25,611.25,611.25,2825.0,330.0,5500,3414680.0,,620.85,EQ
23-10-1999,660.15,660.15,601.0,628.75,635.0,2825.0,330.0,4150,2595392.5,,625.4,EQ
25-10-1999,612.0,630.0,578.45,578.45,578.45,2825.0,330.0,4150,2471285.0,,595.49,EQ
26-10-1999,550.0,550.0,532.2,532.2,532.2,2825.0,330.0,5200,2773785.0,,533.42,EQ
27-10-1999,535.0,549.0,535.0,537.4,538.0,2825.0,330.0,5250,2826450.0,,538.37,EQ
28-10-1999,502.0,517.5,500.0,500.0,500.0,2825.0,330.0,1300,661252.5,,508.66,EQ
29-10-1999,500.0,500.0,461.0,468.9,468.9,2825.0,330.0,1300,613765.0,,472.13,EQ
01-11-1999,450.0,459.75,432.0,432.0,432.0,2825.0,330.0,2450,1094157.5,,446.59,EQ
02-11-1999,405.0,459.9,399.0,458.25,459.9,2825.0,330.0,2800,1219965.0,,435.7,EQ
03-11-1999,465.0,494.0,463.0,486.8,494.0,2825.0,330.0,2800,1339725.0,,478.47,EQ
04-11-1999,480.0,515.0,480.0,514.0,514.0,2825.0,330.0,4700,2363507.5,,502.87,EQ
05-11-1999,526.0,540.0,510.0,522.65,519.0,2825.0,330.0,3350,1761090.0,,525.7,EQ
07-11-1999,560.0,560.0,528.7,528.7,528.7,2825.0,330.0,200,107935.0,,539.68,EQ
09-11-1999,505.0,526.0,505.0,516.9,511.5,2825.0,330.0,3350,1717175.0,,512.59,EQ
10-11-1999,515.0,550.0,515.0,538.35,536.0,2825.0,330.0,7250,3919085.0,,540.56,EQ
11-11-1999,580.0,580.0,506.0,511.35,506.0,2825.0,330.0,4150,2135335.0,,514.54,EQ
12-11-1999,515.0,515.0,494.05,494.05,494.05,2825.0,330.0,2600,1299920.0,,499.97,EQ
15-11-1999,485.0,492.0,477.05,480.0,480.0,2825.0,330.0,850,409562.5,,481.84,EQ
16-11-1999,460.0,500.0,442.0,472.0,472.0,2825.0,330.0,13050,6158412.5,,471.91,EQ
17-11-1999,493.0,494.0,465.0,465.0,465.0,2825.0,330.0,2350,1121560.0,,477.26,EQ
18-11-1999,499.0,499.0,455.0,462.95,460.0,2825.0,330.0,1300,595500.0,,458.08,EQ
19-11-1999,452.3,465.0,425.95,434.75,434.75,2825.0,330.0,20300,8910872.5,,438.96,EQ
22-11-1999,416.05,447.9,416.05,444.4,447.9,2825.0,330.0,1950,851555.0,,436.69,EQ
24-11-1999,465.0,465.0,409.0,415.25,415.3,2825.0,330.0,15350,6471600.0,,421.6,EQ
25-11-1999,423.5,425.0,412.0,423.0,425.0,2825.0,330.0,3500,1470100.0,,420.03,EQ
