DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
03-10-2006,306.0,311.0,306.0,311.0,311.0,311.0,306.0,84,25954.0,,308.98,EQ
04-10-2006,320.0,320.0,310.25,310.25,310.25,320.0,306.0,35,11102.5,,317.21,EQ
10-10-2006,328.5,335.0,328.5,335.0,335.0,335.0,306.0,31,10230.0,,330.0,EQ
11-10-2006,350.0,350.0,350.0,350.0,350.0,350.0,306.0,50,17500.0,,350.0,EQ
12-10-2006,352.0,352.0,352.0,352.0,352.0,352.0,306.0,100,35200.0,,352.0,EQ
13-10-2006,356.0,360.0,344.0,354.8,359.2,360.0,306.0,276,97312.25,,352.58,EQ
16-10-2006,370.0,375.0,365.0,375.0,375.0,375.0,306.0,200,74150.0,,370.75,EQ
17-10-2006,352.05,375.0,352.05,368.6,354.0,375.0,306.0,120,43405.5,,361.71,EQ
18-10-2006,368.55,368.55,358.0,358.0,358.0,375.0,306.0,21,7528.55,,358.5,EQ
19-10-2006,345.0,360.0,345.0,360.0,360.0,375.0,306.0,11,3810.0,,346.36,EQ
20-10-2006,360.0,360.0,360.0,360.0,360.0,375.0,306.0,10,3600.0,,360.0,EQ
21-10-2006,365.0,370.0,365.0,367.65,370.0,375.0,306.0,19,6985.0,,367.63,EQ
23-10-2006,370.0,370.0,370.0,370.0,370.0,375.0,306.0,3,1110.0,,370.0,EQ
26-10-2006,357.0,371.0,357.0,366.4,357.0,375.0,306.0,1319,479469.75,,363.51,EQ
27-10-2006,370.0,375.0,370.0,375.0,375.0,375.0,306.0,130,48455.0,,372.73,EQ
30-10-2006,387.0,401.0,380.0,380.0,380.0,401.0,306.0,300,116525.0,,388.42,EQ
31-10-2006,389.0,400.0,377.0,377.0,377.0,401.0,306.0,66,25616.5,,388.13,EQ
02-11-2006,358.0,395.0,357.0,385.1,395.0,401.0,306.0,454,168864.75,,371.95,EQ
03-11-2006,399.0,399.0,374.5,380.8,388.25,401.0,306.0,712,275813.5,,387.38,EQ
06-11-2006,456.95,456.95,371.0,371.0,371.0,456.95,306.0,2,827.95,,413.98,EQ
07-11-2006,383.5,383.5,383.5,383.5,383.5,456.95,306.0,50,19175.0,,383.5,EQ
08-11-2006,459.3,459.3,370.0,391.95,391.95,459.3,306.0,22,8668.3,,394.01,EQ
09-11-2006,366.0,366.0,366.0,366.0,366.0,459.3,306.0,1,366.0,,366.0,EQ
10-11-2006,438.75,438.75,341.0,382.65,398.0,459.3,306.0,351,134950.6,,384.47,EQ
13-11-2006,439.4,447.0,356.4,361.25,357.0,459.3,306.0,3343,1298195.4,,388.33,EQ
14-11-2006,429.4,429.4,370.0,374.8,375.0,459.3,306.0,1405,534332.3,,380.31,EQ
15-11-2006,387.0,387.0,350.0,360.7,350.0,459.3,306.0,666,241285.2,,362.29,EQ
16-11-2006,351.5,351.5,337.15,340.85,345.0,459.3,306.0,2370,809464.25,,341.55,EQ
17-11-2006,335.0,335.0,314.0,322.75,320.0,459.3,306.0,8784,2857831.0,,325.35,EQ
20-11-2006,324.4,324.4,281.15,315.0,315.0,459.3,281.15,2262,708329.55,,313.14,EQ
21-11-2006,328.0,338.0,325.0,327.5,325.0,459.3,281.15,615,201525.1,,327.68,EQ
22-11-2006,321.05,321.05,315.0,316.3,315.0,459.3,281.15,620,197046.75,,317.82,EQ
23-11-2006,308.0,315.0,308.0,311.3,311.0,459.3,281.15,136,42408.0,,311.82,EQ
24-11-2006,300.0,318.9,300.0,306.05,306.0,459.3,281.15,1955,602687.25,,308.28,EQ
27-11-2006,307.0,317.75,307.0,317.0,317.75,459.3,281.15,83,26257.75,,316.36,EQ
28-11-2006,303.0,325.0,303.0,324.95,325.0,459.3,281.15,464,145851.35,,314.33,EQ
29-11-2006,327.1,335.95,326.0,334.65,334.55,459.3,281.15,251,82566.45,,328.95,EQ
30-11-2006,334.0,335.0,326.0,326.0,326.0,459.3,281.15,315,104820.2,,332.76,EQ
01-12-2006,323.0,338.0,323.0,329.5,330.5,459.3,281.15,193,64065.4,,331.95,EQ
04-12-2006,154.0,169.0,152.15,159.1,158.1,459.3,152.15,7716,1229747.4,,159.38,EQ
