DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
23-06-2006,665.0,685.0,572.1,669.6,663.2,685.0,572.1,4358910,2833023947.1,,649.94,EQ
25-06-2006,668.0,694.0,668.0,679.25,676.0,694.0,572.1,323063,220969852.85,,683.98,EQ
26-06-2006,677.0,685.5,578.1,603.55,585.0,694.0,572.1,998012,628948413.6,,630.2,EQ
27-06-2006,594.0,602.0,566.1,581.5,595.0,694.0,566.1,597873,346789008.65,,580.04,EQ
28-06-2006,561.5,629.0,559.0,611.15,626.0,694.0,559.0,971375,581989305.1,,599.14,EQ
29-06-2006,621.0,667.0,616.15,649.85,650.0,694.0,559.0,1065341,686792635.6,,644.67,EQ
30-06-2006,660.0,687.0,650.0,657.95,661.5,694.0,559.0,812046,544759974.15,,670.85,EQ
03-07-2006,660.0,667.0,650.0,655.1,652.45,694.0,559.0,179960,118027371.65,,655.85,EQ
04-07-2006,659.75,664.9,650.0,653.05,651.0,694.0,559.0,53976,35420138.7,,656.22,EQ
05-07-2006,649.0,680.0,642.1,676.35,677.1,694.0,559.0,201915,135002307.6,,668.61,EQ
06-07-2006,669.0,699.9,653.9,661.9,660.0,699.9,559.0,585470,398413963.5,,680.5,EQ
07-07-2006,665.0,677.2,645.1,647.95,646.1,699.9,559.0,136360,89948545.9,,659.64,EQ
10-07-2006,635.0,663.0,635.0,653.75,654.0,699.9,559.0,74409,48611884.55,,653.31,EQ
11-07-2006,656.9,667.0,654.0,661.75,660.0,699.9,559.0,60452,39948682.1,,660.83,EQ
12-07-2006,650.1,668.0,630.15,656.25,654.0,699.9,559.0,21236,13907728.95,,654.91,EQ
13-07-2006,650.15,667.9,650.15,654.6,658.0,699.9,559.0,30640,20245929.0,,660.77,EQ
14-07-2006,641.0,655.0,633.6,640.5,640.95,699.9,559.0,23201,14909577.8,,642.63,EQ
17-07-2006,633.15,652.5,615.2,626.45,615.2,699.9,559.0,18735,11888063.7,,634.54,EQ
18-07-2006,633.9,635.6,610.0,617.9,620.0,699.9,559.0,18102,11156334.05,,616.3,EQ
19-07-2006,621.0,628.45,614.0,615.15,620.3,699.9,559.0,36203,22309186.85,,616.22,EQ
20-07-2006,628.9,628.9,601.0,606.7,614.0,699.9,559.0,26165,16153023.35,,617.35,EQ
21-07-2006,601.1,612.5,584.0,594.1,596.0,699.9,559.0,5860,3469090.55,,591.99,EQ
24-07-2006,600.0,600.0,564.25,572.65,573.0,699.9,559.0,3833,2196133.95,,572.95,EQ
25-07-2006,576.0,584.0,572.55,575.3,574.0,699.9,559.0,2902,1670518.85,,575.64,EQ
26-07-2006,575.0,597.9,572.1,593.75,595.8,699.9,559.0,9463,5574449.9,,589.08,EQ
27-07-2006,604.0,608.75,590.25,596.3,595.0,699.9,559.0,3683,2218191.5,,602.28,EQ
28-07-2006,588.0,601.0,565.5,569.9,566.0,699.9,559.0,4814,2782874.45,,578.08,EQ
31-07-2006,590.0,616.0,576.0,598.35,615.0,699.9,559.0,7053,4180988.35,,592.8,EQ
01-08-2006,590.0,597.0,586.25,591.55,591.5,699.9,559.0,1764,1044306.75,,592.01,EQ
02-08-2006,590.0,611.7,590.0,603.45,604.45,699.9,559.0,16875,10186071.35,,603.62,EQ
03-08-2006,606.5,631.0,606.0,620.9,621.95,699.9,559.0,12118,7522882.85,,620.8,EQ
