DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
09-05-2005,150.0,150.0,125.0,128.15,125.1,150.0,125.0,2853711,379425489.9,,132.96,EQ
10-05-2005,126.7,135.6,125.15,130.15,130.95,150.0,125.0,1492348,196909565.15,,131.95,EQ
11-05-2005,129.7,131.5,118.0,121.85,123.05,150.0,118.0,352624,44038723.75,,124.89,EQ
12-05-2005,123.25,129.8,122.4,126.2,127.0,150.0,118.0,347686,43814626.4,,126.02,EQ
13-05-2005,128.0,139.3,124.0,134.8,134.85,150.0,118.0,1128893,152146897.6,,134.78,EQ
16-05-2005,135.95,140.65,133.55,135.05,134.9,150.0,118.0,741063,101926580.9,,137.54,EQ
17-05-2005,136.7,162.1,134.25,157.85,155.5,162.1,118.0,5482517,837527084.9,,152.76,EQ
18-05-2005,156.25,158.8,144.25,149.1,149.6,162.1,118.0,3914602,599664128.75,,153.19,EQ
19-05-2005,151.0,177.3,151.0,169.75,167.85,177.3,118.0,8309835,1393785495.15,,167.73,EQ
20-05-2005,169.7,179.5,164.3,168.3,166.6,179.5,118.0,5914970,1019132369.45,,172.3,EQ
23-05-2005,170.0,172.9,165.1,166.4,166.0,179.5,118.0,1738770,294162994.75,,169.18,EQ
24-05-2005,167.4,170.7,158.2,159.4,159.25,179.5,118.0,1069036,176397629.45,,165.01,EQ
25-05-2005,160.0,163.45,152.65,153.9,154.9,179.5,118.0,734394,115578754.25,,157.38,EQ
26-05-2005,155.35,161.0,153.0,155.0,156.5,179.5,118.0,916761,143913243.75,,156.98,EQ
27-05-2005,157.0,159.25,149.35,150.4,150.5,179.5,118.0,520009,80137882.35,,154.11,EQ
30-05-2005,151.1,152.55,145.5,146.85,146.75,179.5,118.0,335106,49717311.7,,148.36,EQ
31-05-2005,147.75,156.4,143.0,154.45,154.0,179.5,118.0,1509854,230384384.5,,152.59,EQ
01-06-2005,154.75,154.9,147.1,147.85,147.9,179.5,118.0,486023,72898611.0,,149.99,EQ
02-06-2005,148.8,153.8,147.0,148.15,147.4,179.5,118.0,987793,148654024.85,,150.49,EQ
