DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
29-01-2008,141.0,149.2,139.8,142.65,146.0,149.2,139.8,29111,4230125.25,,145.31,EQ
30-01-2008,135.05,138.5,131.25,133.0,133.0,149.2,131.25,610,82256.8,,134.85,EQ
31-01-2008,126.0,133.0,126.0,132.0,132.0,149.2,126.0,241,31704.75,,131.55,EQ
01-02-2008,130.0,138.0,127.0,127.3,127.3,149.2,126.0,119,15870.1,,133.36,EQ
04-02-2008,127.4,138.0,127.0,135.2,135.2,149.2,126.0,2404,324321.9,,134.91,EQ
05-02-2008,130.25,139.9,130.0,133.45,130.0,149.2,126.0,1689,226682.4,,134.21,EQ
06-02-2008,130.0,139.45,130.0,138.9,138.9,149.2,126.0,20,2762.4,,138.12,EQ
07-02-2008,132.0,138.9,130.7,130.7,130.7,149.2,126.0,136,18026.3,,132.55,EQ
08-02-2008,121.0,147.5,121.0,124.0,124.0,149.2,121.0,55,6854.2,,124.62,EQ
11-02-2008,123.0,125.0,115.6,115.6,115.6,149.2,115.6,812,99192.0,,122.16,EQ
12-02-2008,117.0,120.0,115.6,119.85,120.0,149.2,115.6,564,66709.15,,118.28,EQ
13-02-2008,118.0,118.0,101.55,115.0,115.0,149.2,101.55,1050,120630.8,,114.89,EQ
14-02-2008,115.0,127.3,115.0,117.2,117.2,149.2,101.55,837,97669.1,,116.69,EQ
15-02-2008,115.05,127.4,115.05,121.65,118.15,149.2,101.55,456,54863.7,,120.32,EQ
18-02-2008,120.0,134.9,120.0,121.55,121.55,149.2,101.55,267,34949.45,,130.9,EQ
19-02-2008,120.0,129.8,120.0,124.0,124.0,149.2,101.55,4,497.75,,124.44,EQ
20-02-2008,119.0,127.0,119.0,127.0,127.0,149.2,101.55,101,12175.5,,120.55,EQ
21-02-2008,121.0,125.0,121.0,125.0,125.0,149.2,101.55,301,37597.0,,124.91,EQ
22-02-2008,119.5,126.5,116.3,116.3,116.3,149.2,101.55,209,26019.9,,124.5,EQ
25-02-2008,115.1,124.75,115.1,119.0,119.0,149.2,101.55,481,55601.55,,115.6,EQ
26-02-2008,119.4,126.5,117.0,124.9,124.9,149.2,101.55,223,27162.25,,121.8,EQ
27-02-2008,119.0,129.9,119.0,121.0,120.05,149.2,101.55,275,33504.9,,121.84,EQ
28-02-2008,124.0,124.05,121.05,121.5,121.5,149.2,101.55,586,72347.0,,123.46,EQ
29-02-2008,121.5,122.05,121.5,122.0,122.0,149.2,101.55,128,15602.0,,121.89,EQ
03-03-2008,106.15,120.1,106.15,117.5,117.5,149.2,101.55,252,30098.8,,119.44,EQ
04-03-2008,116.1,120.9,115.25,120.9,120.9,149.2,101.55,1521,178634.75,,117.45,EQ
