DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-01-1996,144.0,144.0,144.0,144.0,,,,100,14400.0,,144.0,EQ
02-01-1996,140.0,141.25,138.0,138.0,,,,400,55962.5,,139.91,EQ
03-01-1996,142.0,142.0,142.0,142.0,,,,50,7100.0,,142.0,EQ
04-01-1996,139.0,141.0,139.0,141.0,,,,300,42200.0,,140.67,EQ
05-01-1996,141.0,139.0,130.05,130.05,,,,200,26952.5,,134.76,EQ
08-01-1996,133.0,133.0,132.0,132.0,,,,150,19850.0,,132.33,EQ
09-01-1996,133.0,133.0,125.0,125.0,,,,300,39200.0,,130.67,EQ
10-01-1996,130.5,130.5,130.0,130.25,,,,100,13025.0,,130.25,EQ
11-01-1996,130.0,130.0,130.0,130.0,,,,50,6500.0,,130.0,EQ
12-01-1996,132.0,132.0,130.0,131.9,,,,200,26245.0,,131.23,EQ
16-01-1996,125.05,125.05,120.55,120.55,,,,350,43310.0,,123.74,EQ
17-01-1996,120.0,120.0,120.0,120.0,,,,100,12000.0,,120.0,EQ
18-01-1996,116.0,116.05,116.0,116.05,,,,200,23202.5,,116.01,EQ
22-01-1996,107.1,107.1,107.0,107.05,,,,150,16055.0,,107.03,EQ
23-01-1996,105.0,105.5,105.0,105.0,,,,200,21050.0,,105.25,EQ
25-01-1996,97.5,98.0,97.5,98.0,,,,150,14675.0,,97.83,EQ
29-01-1996,95.0,95.0,95.0,95.0,,,,50,4750.0,,95.0,EQ
30-01-1996,95.0,96.0,92.5,93.75,,,,600,56922.5,,94.87,EQ
31-01-1996,101.0,101.0,101.0,101.0,,,,50,5050.0,,101.0,EQ
01-02-1996,101.0,103.5,103.5,103.5,,,,50,5175.0,,103.5,EQ
05-02-1996,105.0,105.0,105.0,105.0,,,,100,10500.0,,105.0,EQ
06-02-1996,101.0,110.0,101.0,107.5,,,,350,37100.0,,106.0,EQ
07-02-1996,108.95,109.0,105.0,109.0,,,,800,86295.0,,107.87,EQ
08-02-1996,106.0,106.0,104.5,105.0,,,,250,26320.0,,105.28,EQ
12-02-1996,110.5,112.0,110.0,110.0,,,,600,66200.0,,110.33,EQ
13-02-1996,110.0,111.0,108.0,109.5,,,,1150,125950.0,,109.52,EQ
14-02-1996,114.0,119.0,110.0,110.0,,,,400,45412.5,,113.53,EQ
15-02-1996,116.0,116.95,116.0,116.0,,,,400,46495.0,,116.24,EQ
16-02-1996,116.0,115.0,108.0,110.0,,,,650,71650.0,,110.23,EQ
19-02-1996,113.0,113.0,113.0,113.0,,,,100,11300.0,,113.0,EQ
20-02-1996,113.0,118.0,113.0,118.0,,,,650,76300.0,,117.38,EQ
22-02-1996,125.0,125.0,125.0,125.0,,,,100,12500.0,,125.0,EQ
23-02-1996,130.0,131.0,130.0,130.0,,,,350,45675.0,,130.5,EQ
27-02-1996,130.0,124.95,122.0,122.0,,,,150,18447.5,,122.98,EQ
28-02-1996,115.5,115.5,115.5,115.5,,,,100,11550.0,,115.5,EQ
29-02-1996,115.5,114.0,105.0,114.0,,,,300,33105.0,,110.35,EQ
01-03-1996,114.0,109.9,105.1,109.9,,,,200,21355.0,,106.78,EQ
04-03-1996,109.9,104.0,100.5,101.75,,,,800,82730.0,,103.41,EQ
06-03-1996,105.05,105.05,105.05,105.05,,,,50,5252.5,,105.05,EQ
07-03-1996,106.0,106.5,106.0,106.0,,,,350,37150.0,,106.14,EQ
08-03-1996,107.0,107.0,105.0,105.0,,,,100,10600.0,,106.0,EQ
11-03-1996,99.5,99.5,99.5,99.5,,,,100,9950.0,,99.5,EQ
12-03-1996,108.0,108.0,105.0,107.5,,,,150,16025.0,,106.83,EQ
13-03-1996,97.0,104.75,97.0,103.0,,,,400,40775.0,,101.94,EQ
14-03-1996,103.0,103.0,102.5,102.5,,,,250,25725.0,,102.9,EQ
