DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
21-05-2008,55.6,55.6,55.6,55.6,55.6,55.6,55.6,612,34027.2,,55.6,EQ
22-05-2008,58.4,58.4,52.85,55.0,53.05,58.4,52.85,4995,280673.9,,56.19,EQ
23-05-2008,52.5,56.85,52.25,52.95,52.5,58.4,52.25,2660,141608.65,,53.24,EQ
26-05-2008,50.3,52.85,50.3,51.9,51.9,58.4,50.3,412,20748.5,,50.36,EQ
27-05-2008,50.05,50.8,50.0,50.8,50.8,58.4,50.0,375,18791.25,,50.11,EQ
28-05-2008,49.0,49.05,49.0,49.0,49.0,58.4,49.0,479,23471.1,,49.0,EQ
29-05-2008,46.8,51.45,46.8,51.1,50.55,58.4,46.8,4617,230887.5,,50.01,EQ
30-05-2008,50.95,50.95,50.4,50.55,50.55,58.4,46.8,2094,105848.2,,50.55,EQ
02-06-2008,48.6,48.6,48.35,48.35,48.35,58.4,46.8,595,28793.25,,48.39,EQ
04-06-2008,45.95,50.8,45.95,49.85,50.8,58.4,45.95,3075,150646.0,,48.99,EQ
05-06-2008,48.05,48.05,47.4,47.4,47.4,58.4,45.95,175,8311.25,,47.49,EQ
06-06-2008,45.6,49.8,45.5,49.3,49.8,58.4,45.5,3081,150498.8,,48.85,EQ
09-06-2008,46.85,51.75,46.85,50.85,50.0,58.4,45.5,481,22870.75,,47.55,EQ
13-06-2008,48.35,48.5,48.35,48.5,48.5,58.4,45.5,1000,48425.0,,48.43,EQ
16-06-2008,47.0,49.4,47.0,49.4,49.4,58.4,45.5,120,5748.0,,47.9,EQ
18-06-2008,47.65,47.65,47.6,47.6,47.6,58.4,45.5,100,4760.5,,47.61,EQ
19-06-2008,48.0,49.35,48.0,49.35,49.35,58.4,45.5,135,6493.5,,48.1,EQ
23-06-2008,46.9,46.9,46.9,46.9,46.9,58.4,45.5,50,2345.0,,46.9,EQ
