DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
24-03-2021,520.0,548.95,502.25,526.8,518.5,548.95,502.25,16135816,8494549956.15,430183,526.44,EQ
25-03-2021,511.5,518.8,491.0,494.75,493.8,548.95,491.0,2119014,1068833487.5,91649,504.4,EQ
26-03-2021,502.0,510.0,491.0,495.7,493.0,548.95,491.0,925705,462564289.9,45471,499.69,EQ
30-03-2021,497.0,504.45,475.0,480.3,478.95,548.95,475.0,530051,260817520.0,23323,492.06,EQ
31-03-2021,477.9,497.5,474.0,489.15,483.0,548.95,474.0,527647,256849312.55,31853,486.78,EQ
01-04-2021,495.1,519.8,492.85,516.95,516.9,548.95,474.0,695372,354645702.9,31482,510.01,EQ
05-04-2021,525.0,558.1,515.55,540.95,542.5,558.1,474.0,1583749,854374783.45,63389,539.46,EQ
06-04-2021,545.5,560.9,545.5,552.1,552.35,560.9,474.0,918972,509054295.05,39032,553.94,EQ
07-04-2021,558.75,563.75,545.15,557.4,557.7,563.75,474.0,758597,422155260.65,36410,556.49,EQ
08-04-2021,560.75,562.4,548.6,552.65,552.0,563.75,474.0,386096,214640953.95,13525,555.93,EQ
09-04-2021,555.2,558.8,549.1,555.25,552.0,563.75,474.0,229741,127147445.5,5684,553.44,EQ
12-04-2021,548.0,586.0,516.35,553.65,551.15,586.0,474.0,1187225,665021096.0,39411,560.15,EQ
13-04-2021,559.1,585.0,551.9,580.4,580.0,586.0,474.0,659160,375757959.7,28412,570.06,EQ
15-04-2021,581.9,600.95,564.2,594.7,587.05,600.95,474.0,671215,394415126.2,27422,587.61,EQ
16-04-2021,594.0,607.0,573.35,579.95,574.05,607.0,474.0,465893,275124158.25,23456,590.53,EQ
19-04-2021,567.0,569.4,550.0,552.05,551.8,607.0,474.0,206642,114777377.7,10870,555.44,EQ
20-04-2021,563.0,570.65,548.8,556.55,556.1,607.0,474.0,205041,114775495.85,9358,559.77,EQ
22-04-2021,560.9,560.9,549.0,554.4,554.0,607.0,474.0,202740,112008959.5,11506,552.48,EQ
23-04-2021,559.0,599.95,554.15,590.0,593.0,607.0,474.0,946298,552089033.5,27912,583.42,EQ
26-04-2021,599.2,609.9,591.15,602.55,608.0,609.9,474.0,784396,470056175.85,26551,599.26,EQ
27-04-2021,610.0,637.0,603.2,629.6,635.1,637.0,474.0,1399747,866542513.7,42645,619.07,EQ
28-04-2021,640.0,662.5,635.0,640.0,640.6,662.5,474.0,1017198,660943276.6,32582,649.77,EQ
29-04-2021,654.0,658.0,622.0,632.2,632.1,662.5,474.0,494639,314524063.45,21372,635.87,EQ
30-04-2021,624.0,639.95,618.35,624.25,624.5,662.5,474.0,396130,248420126.7,14787,627.12,EQ
03-05-2021,624.4,641.5,612.0,629.55,633.05,662.5,474.0,396478,246918616.8,14975,622.78,EQ
04-05-2021,635.05,646.85,623.0,636.55,636.1,662.5,474.0,427112,271502393.45,15865,635.67,EQ
05-05-2021,642.65,689.0,633.05,682.85,680.1,689.0,474.0,1272598,849923170.1,35615,667.86,EQ
06-05-2021,689.9,716.8,676.5,703.9,706.55,716.8,474.0,1124629,787992726.25,26344,700.67,EQ
07-05-2021,709.9,726.0,702.05,721.1,724.0,726.0,474.0,580306,414901004.75,16155,714.97,EQ
10-05-2021,727.2,751.9,725.2,736.15,734.0,751.9,474.0,807643,597203052.15,39105,739.44,EQ
11-05-2021,731.9,739.0,714.05,729.9,728.5,751.9,474.0,615711,445681652.95,23037,723.85,EQ
12-05-2021,730.0,741.8,710.55,728.5,733.0,751.9,474.0,473991,343472189.9,15533,724.64,EQ
14-05-2021,733.0,743.8,718.05,734.45,733.4,751.9,474.0,562187,411352091.9,13672,731.7,EQ
17-05-2021,736.4,764.05,735.1,755.85,756.0,764.05,474.0,417606,313937865.1,11069,751.76,EQ
18-05-2021,764.0,775.85,760.0,767.75,767.7,775.85,474.0,519560,398841035.2,11824,767.65,EQ
19-05-2021,780.0,798.95,766.0,771.5,770.0,798.95,474.0,522542,405052541.25,12728,775.16,EQ
20-05-2021,790.0,790.0,766.25,771.55,776.0,798.95,474.0,309875,239534869.3,12159,773.0,EQ
21-05-2021,780.0,780.0,763.2,769.4,769.0,798.95,474.0,314708,242555480.4,11566,770.73,EQ
24-05-2021,772.3,772.4,752.05,768.3,767.85,798.95,474.0,287173,218634104.35,8869,761.33,EQ
25-05-2021,774.0,774.0,759.0,762.05,762.3,798.95,474.0,131738,100902937.25,4906,765.94,EQ
26-05-2021,766.0,782.95,762.0,772.4,771.05,798.95,474.0,303709,234816261.6,8558,773.16,EQ
27-05-2021,773.95,773.95,764.0,767.35,767.0,798.95,474.0,94218,72389846.1,4137,768.32,EQ
28-05-2021,771.0,771.6,755.1,761.5,757.3,798.95,474.0,96321,73279274.3,3699,760.78,EQ
31-05-2021,759.95,770.95,746.0,754.25,747.0,798.95,474.0,111701,85058788.9,4790,761.49,EQ
01-06-2021,754.9,754.9,720.4,726.9,725.0,798.95,474.0,235935,173583186.9,10168,735.72,EQ
02-06-2021,724.0,737.3,723.6,733.75,735.0,798.95,474.0,95426,69819004.85,3663,731.66,EQ
03-06-2021,739.9,783.85,739.9,774.95,775.0,798.95,474.0,447534,344713094.25,18516,770.25,EQ
04-06-2021,782.5,788.8,764.05,769.25,766.15,798.95,474.0,136135,105313780.8,5612,773.6,EQ
07-06-2021,790.0,790.0,768.0,772.9,772.0,798.95,474.0,140131,108608056.7,5751,775.05,EQ
08-06-2021,772.0,778.9,758.05,760.9,765.05,798.95,474.0,116016,88848099.55,4720,765.83,EQ
09-06-2021,766.95,768.5,741.55,749.65,745.0,798.95,474.0,119709,90569460.2,6690,756.58,EQ
10-06-2021,756.0,773.7,748.1,768.7,766.0,798.95,474.0,97603,74338602.95,4568,761.64,EQ
11-06-2021,774.75,793.1,755.0,777.65,791.05,798.95,474.0,203478,157062343.4,9730,771.89,EQ
14-06-2021,791.5,808.0,753.1,757.3,756.9,808.0,474.0,520041,401094047.05,22448,771.27,EQ
15-06-2021,768.0,787.0,757.5,761.35,758.0,808.0,474.0,233190,179634173.1,9264,770.33,EQ
16-06-2021,763.9,763.9,748.0,753.0,752.0,808.0,474.0,114806,86474613.75,5226,753.22,EQ
17-06-2021,753.0,753.0,738.0,741.1,742.0,808.0,474.0,105781,78757364.75,3972,744.53,EQ
18-06-2021,746.5,748.75,702.05,733.2,738.0,808.0,474.0,147697,107859876.2,12550,730.28,EQ
21-06-2021,717.0,735.05,700.0,724.2,727.0,808.0,474.0,121986,87926512.55,8971,720.79,EQ
22-06-2021,730.0,744.3,726.2,732.95,735.0,808.0,474.0,113716,83431480.7,7606,733.68,EQ
23-06-2021,739.7,751.0,728.6,743.95,746.5,808.0,474.0,233522,172471691.8,19808,738.57,EQ
24-06-2021,748.85,750.0,730.5,744.35,748.1,808.0,474.0,168748,124465812.25,13479,737.58,EQ
25-06-2021,740.0,748.2,728.6,745.25,745.0,808.0,474.0,162493,120041350.25,13657,738.75,EQ
28-06-2021,747.0,747.65,733.0,744.0,745.5,808.0,474.0,85557,63458451.7,7293,741.71,EQ
29-06-2021,742.9,774.0,739.25,754.65,755.25,808.0,474.0,301183,229014940.45,13583,760.38,EQ
30-06-2021,759.65,763.95,750.25,760.0,759.25,808.0,474.0,298875,226410319.05,12173,757.54,EQ
01-07-2021,765.0,770.0,745.0,754.7,759.5,808.0,474.0,127782,97332194.95,8165,761.71,EQ
02-07-2021,759.7,776.9,752.95,757.95,762.6,808.0,474.0,273681,207919728.8,10724,759.72,EQ
05-07-2021,759.9,774.4,756.05,764.7,761.75,808.0,474.0,166756,127540055.65,5593,764.83,EQ
06-07-2021,767.85,771.1,758.0,763.8,765.0,808.0,474.0,193888,148030916.75,6269,763.49,EQ
07-07-2021,764.9,774.95,752.5,768.9,772.75,808.0,474.0,104741,79982984.3,3285,763.63,EQ
08-07-2021,770.75,788.7,770.75,783.1,780.0,808.0,474.0,193234,150634770.5,7654,779.55,EQ
09-07-2021,775.25,821.7,773.65,812.45,818.0,821.7,474.0,757161,611156220.5,30939,807.17,EQ
12-07-2021,823.0,848.05,822.3,829.6,830.4,848.05,474.0,326405,272102735.3,12907,833.64,EQ
13-07-2021,833.0,836.8,818.1,825.35,824.3,848.05,474.0,132332,109195528.25,5779,825.16,EQ
14-07-2021,829.0,831.95,809.7,816.95,818.0,848.05,474.0,109017,89635286.65,5490,822.21,EQ
15-07-2021,820.9,831.0,809.1,815.05,812.25,848.05,474.0,191645,156707534.6,8483,817.7,EQ
16-07-2021,819.7,822.0,808.0,814.35,818.3,848.05,474.0,203191,165552089.65,7546,814.76,EQ
19-07-2021,814.0,814.0,791.55,799.45,799.0,848.05,474.0,143120,114779148.75,4075,801.98,EQ
20-07-2021,799.0,802.3,775.0,781.2,775.0,848.05,474.0,104236,81535673.25,8129,782.22,EQ
22-07-2021,784.5,790.0,777.1,778.65,781.65,848.05,474.0,39808,31110621.55,2107,781.52,EQ
23-07-2021,779.9,784.95,762.5,766.3,764.0,848.05,474.0,79481,61150376.35,5549,769.37,EQ
26-07-2021,769.9,771.8,744.1,752.3,753.0,848.05,474.0,66411,50272577.15,3376,756.99,EQ
27-07-2021,752.3,759.7,725.0,730.85,728.5,848.05,474.0,154048,113736828.35,7777,738.32,EQ
28-07-2021,734.9,734.9,705.35,717.7,719.85,848.05,474.0,141603,101497850.85,7919,716.78,EQ
29-07-2021,724.9,760.0,720.6,728.6,725.0,848.05,474.0,101826,74704363.8,6636,733.65,EQ
30-07-2021,730.05,741.65,718.25,726.4,729.0,848.05,474.0,206654,150569710.45,10018,728.61,EQ
02-08-2021,729.9,740.0,721.1,723.45,723.5,848.05,474.0,182554,132550738.25,4613,726.09,EQ
03-08-2021,728.95,753.85,717.55,720.4,718.0,848.05,474.0,291862,213092014.5,8292,730.11,EQ
04-08-2021,724.9,728.5,710.0,712.75,711.9,848.05,474.0,374128,267995614.75,9241,716.32,EQ
05-08-2021,717.8,725.4,706.3,711.85,710.0,848.05,474.0,324838,231007502.3,7194,711.15,EQ
