DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-01-1996,81.5,80.05,80.0,80.0,,,,200,16005.0,,80.03,EQ
02-01-1996,80.0,79.0,78.0,79.0,,,,400,31400.0,,78.5,EQ
03-01-1996,79.0,79.0,79.0,79.0,,,,100,7900.0,,79.0,EQ
09-01-1996,79.0,76.0,76.0,76.0,,,,100,7600.0,,76.0,EQ
10-01-1996,76.0,76.0,76.0,76.0,,,,100,7600.0,,76.0,EQ
11-01-1996,77.0,77.0,76.0,76.0,,,,200,15300.0,,76.5,EQ
01-02-1996,58.0,58.0,58.0,58.0,,,,100,5800.0,,58.0,EQ
02-02-1996,57.0,57.0,56.75,56.75,,,,200,11375.0,,56.88,EQ
05-02-1996,56.75,54.0,53.0,54.0,,,,500,26800.0,,53.6,EQ
06-02-1996,53.0,53.5,52.5,52.5,,,,2400,127140.0,,52.98,EQ
07-02-1996,50.0,51.0,50.0,51.0,,,,400,20100.0,,50.25,EQ
08-02-1996,51.0,55.0,51.0,55.0,,,,3200,169550.0,,52.98,EQ
09-02-1996,54.0,54.0,54.0,54.0,,,,1000,54000.0,,54.0,EQ
12-02-1996,54.0,54.0,54.0,54.0,,,,300,16200.0,,54.0,EQ
13-02-1996,54.0,52.75,52.75,52.75,,,,300,15825.0,,52.75,EQ
14-02-1996,52.75,53.0,52.0,52.25,,,,1000,52575.0,,52.58,EQ
15-02-1996,52.5,52.5,50.0,50.0,,,,1700,87250.0,,51.32,EQ
16-02-1996,50.0,50.0,47.5,48.0,,,,1500,72150.0,,48.1,EQ
19-02-1996,48.0,49.5,49.25,49.5,,,,300,14825.0,,49.42,EQ
20-02-1996,48.0,48.5,47.75,48.45,,,,1300,62520.0,,48.09,EQ
22-02-1996,51.0,52.0,50.0,50.25,,,,1200,60925.0,,50.77,EQ
23-02-1996,51.0,51.0,49.0,49.0,,,,1000,49775.0,,49.78,EQ
26-02-1996,49.0,50.5,49.0,50.0,,,,800,39750.0,,49.69,EQ
27-02-1996,47.75,48.0,46.0,47.0,,,,3400,161600.0,,47.53,EQ
28-02-1996,47.0,47.0,44.25,46.9,,,,1200,55065.0,,45.89,EQ
29-02-1996,45.0,45.0,45.0,45.0,,,,100,4500.0,,45.0,EQ
01-03-1996,40.55,44.0,40.5,44.0,,,,300,12505.0,,41.68,EQ
04-03-1996,44.9,44.9,44.9,44.9,,,,100,4490.0,,44.9,EQ
06-03-1996,44.5,45.0,44.5,45.0,,,,200,8950.0,,44.75,EQ
07-03-1996,47.5,48.0,47.5,48.0,,,,200,9550.0,,47.75,EQ
08-03-1996,48.0,53.05,53.05,53.05,,,,700,37135.0,,53.05,EQ
11-03-1996,53.0,54.0,50.2,52.7,,,,3100,162975.0,,52.57,EQ
12-03-1996,52.7,51.75,50.0,50.0,,,,1300,66500.0,,51.15,EQ
13-03-1996,50.0,50.0,49.0,50.0,,,,800,39900.0,,49.88,EQ
14-03-1996,50.0,50.0,48.7,48.95,,,,800,39240.0,,49.05,EQ
