DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
28-03-2017,114.95,114.95,103.95,105.25,104.3,114.95,103.95,201010,21309768.05,1005,106.01,EQ
29-03-2017,105.0,108.0,100.0,104.3,100.0,114.95,100.0,241882,25402516.2,984,105.02,EQ
30-03-2017,103.7,113.0,101.65,109.15,113.0,114.95,100.0,878640,93774997.45,1247,106.73,EQ
31-03-2017,114.25,123.0,113.1,120.4,118.9,123.0,100.0,733527,87090981.6,2648,118.73,EQ
03-04-2017,122.5,131.75,118.0,128.45,128.0,131.75,100.0,737644,90161007.1,5818,122.23,EQ
05-04-2017,130.3,133.9,124.9,130.0,129.5,133.9,100.0,1355933,171791940.0,5336,126.7,EQ
06-04-2017,130.1,130.1,124.95,125.35,125.5,133.9,100.0,905768,114159165.4,4774,126.04,EQ
07-04-2017,127.0,131.5,126.5,128.05,128.05,133.9,100.0,820123,105614201.65,8203,128.78,EQ
10-04-2017,129.05,134.1,126.3,126.9,126.75,134.1,100.0,718482,93571196.15,12960,130.23,EQ
11-04-2017,127.0,129.4,126.15,127.4,127.4,134.1,100.0,621038,78737430.55,9993,126.78,EQ
12-04-2017,129.05,130.35,126.1,129.9,130.0,134.1,100.0,621068,79388627.65,4583,127.83,EQ
13-04-2017,130.85,133.35,129.35,130.1,130.15,134.1,100.0,592124,77568099.5,4026,131.0,EQ
17-04-2017,129.65,131.35,128.15,128.25,128.3,134.1,100.0,615537,79479581.05,5992,129.12,EQ
18-04-2017,130.05,132.9,130.0,131.75,132.9,134.1,100.0,669069,88221393.65,4069,131.86,EQ
19-04-2017,132.55,132.65,131.55,132.5,132.6,134.1,100.0,536338,70905657.95,4283,132.2,EQ
20-04-2017,132.9,135.15,132.5,132.85,132.65,135.15,100.0,582659,77746921.6,5599,133.43,EQ
21-04-2017,135.0,137.15,132.85,135.7,135.4,137.15,100.0,561184,75950173.75,4710,135.34,EQ
24-04-2017,136.0,137.0,135.6,136.3,137.0,137.15,100.0,686833,93550390.35,4981,136.21,EQ
25-04-2017,136.9,138.6,135.0,138.55,138.5,138.6,100.0,642729,88404051.6,9596,137.54,EQ
26-04-2017,138.05,141.2,130.0,137.25,139.0,141.2,100.0,1491976,198262714.95,3535,132.89,EQ
27-04-2017,139.8,153.8,139.8,148.15,147.0,153.8,100.0,694927,101600395.25,18103,146.2,EQ
28-04-2017,148.0,160.9,146.05,157.1,157.5,160.9,100.0,768727,114227593.4,11793,148.59,EQ
02-05-2017,156.5,159.05,151.0,153.35,153.7,160.9,100.0,625637,96392292.15,5543,154.07,EQ
03-05-2017,154.85,168.0,154.8,165.55,168.0,168.0,100.0,655029,104796697.85,7970,159.99,EQ
04-05-2017,168.0,171.15,163.2,165.5,165.55,171.15,100.0,561774,93563538.4,4030,166.55,EQ
05-05-2017,165.55,169.4,158.5,164.4,164.0,171.15,100.0,600161,98602948.9,4263,164.29,EQ
08-05-2017,165.75,169.9,161.0,162.25,162.35,171.15,100.0,638983,105910690.55,4431,165.75,EQ
09-05-2017,163.75,164.8,155.2,159.15,156.05,171.15,100.0,531899,85540362.9,3890,160.82,EQ
10-05-2017,159.0,165.6,156.3,165.05,165.0,171.15,100.0,597989,95995666.85,6308,160.53,EQ
11-05-2017,167.0,178.35,150.0,171.85,172.15,178.35,100.0,598021,102050686.9,4525,170.65,EQ
12-05-2017,173.0,176.0,169.0,170.9,172.85,178.35,100.0,777800,134355933.75,5022,172.74,EQ
15-05-2017,176.5,176.5,165.1,165.75,166.0,178.35,100.0,504437,85931847.5,4701,170.35,EQ
16-05-2017,165.75,169.8,164.5,167.95,168.35,178.35,100.0,554317,92212015.05,3337,166.35,EQ
17-05-2017,168.95,169.9,164.95,166.05,165.1,178.35,100.0,829359,137577805.05,5217,165.88,EQ
18-05-2017,164.25,167.25,163.0,165.2,165.6,178.35,100.0,489171,80908020.8,3973,165.4,EQ
19-05-2017,166.05,167.3,165.05,165.8,165.25,178.35,100.0,764949,126860285.35,17529,165.84,EQ
22-05-2017,167.0,169.0,165.05,166.75,167.3,178.35,100.0,643575,106665230.65,4936,165.74,EQ
23-05-2017,166.45,170.0,160.0,167.65,166.0,178.35,100.0,639931,106087442.25,4171,165.78,EQ
24-05-2017,169.0,173.5,161.9,164.2,164.05,178.35,100.0,824786,139158751.5,3866,168.72,EQ
25-05-2017,165.05,171.1,163.5,166.4,171.0,178.35,100.0,774126,127733808.55,4337,165.0,EQ
26-05-2017,167.15,175.0,167.15,173.65,175.0,178.35,100.0,790387,134108519.35,4593,169.67,EQ
29-05-2017,190.0,192.15,175.75,180.0,180.0,192.15,100.0,1114728,206856878.4,6887,185.57,EQ
30-05-2017,171.2,183.95,171.2,177.8,176.65,192.15,100.0,547412,97916280.1,3049,178.87,EQ
31-05-2017,175.3,191.7,175.3,185.55,187.0,192.15,100.0,732608,135643725.7,4398,185.15,EQ
01-06-2017,185.95,198.25,182.2,192.55,191.0,198.25,100.0,738951,138074715.5,4827,186.85,EQ
02-06-2017,193.0,200.95,186.05,189.35,190.0,200.95,100.0,700527,133629011.3,6277,190.75,EQ
05-06-2017,191.05,198.1,187.6,188.2,188.15,200.95,100.0,421095,80086936.0,3415,190.19,EQ
06-06-2017,190.9,198.4,188.5,189.75,189.0,200.95,100.0,655474,125134744.75,5710,190.91,EQ
07-06-2017,190.7,196.6,189.0,191.05,190.0,200.95,100.0,889657,171158424.2,4662,192.39,EQ
08-06-2017,191.05,195.0,188.4,189.2,189.0,200.95,100.0,834113,159447276.5,4504,191.16,EQ
09-06-2017,189.95,190.0,183.0,187.4,187.6,200.95,100.0,649825,120937836.2,5494,186.11,EQ
12-06-2017,188.4,190.15,185.55,188.15,186.4,200.95,100.0,480124,90061052.6,3719,187.58,EQ
13-06-2017,189.6,189.65,185.55,188.5,188.15,200.95,100.0,548401,103200558.4,4640,188.18,EQ
14-06-2017,189.8,194.75,189.0,192.6,193.0,200.95,100.0,879152,169655997.65,5024,192.98,EQ
15-06-2017,193.4,195.0,189.75,191.35,192.95,200.95,100.0,664154,127840818.75,5685,192.49,EQ
16-06-2017,193.25,193.8,190.3,191.35,191.95,200.95,100.0,786985,151239454.85,5841,192.18,EQ
19-06-2017,193.3,199.8,189.75,191.3,190.55,200.95,100.0,758621,145890688.0,5472,192.31,EQ
20-06-2017,188.4,193.0,186.5,188.2,188.25,200.95,100.0,707889,134349218.7,5198,189.79,EQ
21-06-2017,188.95,190.2,187.3,188.05,187.65,200.95,100.0,624388,117959426.7,4663,188.92,EQ
22-06-2017,190.0,190.0,184.35,185.85,184.35,200.95,100.0,488313,91724590.45,4092,187.84,EQ
23-06-2017,185.75,187.6,180.3,186.8,186.95,200.95,100.0,488778,89980779.15,3750,184.09,EQ
27-06-2017,180.0,187.45,180.0,185.85,187.4,200.95,100.0,657279,121952376.3,4388,185.54,EQ
28-06-2017,187.05,187.6,183.5,184.25,184.15,200.95,100.0,751763,139079274.25,4443,185.0,EQ
29-06-2017,185.65,187.55,185.2,185.35,187.0,200.95,100.0,676536,125950477.05,5086,186.17,EQ
30-06-2017,186.9,187.15,182.85,184.4,183.0,200.95,100.0,624725,115874968.6,5201,185.48,EQ
03-07-2017,185.75,188.95,184.1,187.85,188.95,200.95,100.0,567081,105487204.15,4344,186.02,EQ
04-07-2017,188.3,196.0,188.05,193.9,194.0,200.95,100.0,686957,132558677.1,5033,192.97,EQ
05-07-2017,197.55,208.8,197.55,201.05,201.8,208.8,100.0,803667,163523765.75,7164,203.47,EQ
06-07-2017,201.4,203.0,199.4,201.6,202.4,208.8,100.0,543872,109622062.9,4687,201.56,EQ
07-07-2017,201.5,202.95,199.1,199.9,199.9,208.8,100.0,489942,98536990.05,4148,201.12,EQ
10-07-2017,202.75,203.95,198.5,199.65,198.65,208.8,100.0,209157,41787184.55,1495,199.79,EQ
11-07-2017,200.0,200.0,190.25,193.15,192.05,208.8,100.0,480341,94179177.1,3765,196.07,EQ
12-07-2017,193.6,199.0,193.2,195.15,195.5,208.8,100.0,486638,94960692.45,4245,195.14,EQ
13-07-2017,195.1,197.7,190.25,191.25,190.85,208.8,100.0,504083,97298941.4,4166,193.02,EQ
14-07-2017,192.65,193.7,186.25,188.7,187.05,208.8,100.0,539665,103241850.65,2901,191.31,EQ
17-07-2017,188.6,192.0,183.75,186.0,185.7,208.8,100.0,573491,107569807.3,3965,187.57,EQ
