DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
24-04-2007,116.0,116.0,101.0,104.85,102.05,116.0,101.0,56941,6186308.15,,108.64,EQ
25-04-2007,103.5,105.95,95.5,102.25,102.35,116.0,95.5,16371,1640386.25,,100.2,EQ
26-04-2007,104.95,105.0,99.0,100.85,99.15,116.0,95.5,717,74108.0,,103.36,EQ
27-04-2007,103.5,104.95,93.05,95.8,96.0,116.0,93.05,3169,312238.0,,98.53,EQ
30-04-2007,98.45,102.75,97.75,101.1,101.1,116.0,93.05,1134,113135.05,,99.77,EQ
03-05-2007,103.9,106.7,102.7,104.9,105.0,116.0,93.05,2383,248855.95,,104.43,EQ
04-05-2007,102.0,112.0,100.0,106.7,105.5,116.0,93.05,2416,260309.0,,107.74,EQ
07-05-2007,102.0,108.0,102.0,105.05,106.65,116.0,93.05,1207,128119.55,,106.15,EQ
08-05-2007,101.0,105.8,100.4,105.15,105.65,116.0,93.05,167,17163.7,,102.78,EQ
09-05-2007,109.0,110.0,98.35,99.85,99.2,116.0,93.05,701,71467.75,,101.95,EQ
10-05-2007,95.1,104.0,95.1,103.55,104.0,116.0,93.05,562,57937.2,,103.09,EQ
11-05-2007,105.0,105.0,97.0,98.4,98.4,116.0,93.05,674,66687.15,,98.94,EQ
14-05-2007,101.0,105.6,101.0,105.0,105.0,116.0,93.05,502,50710.6,,101.02,EQ
15-05-2007,109.95,109.95,96.5,97.7,97.6,116.0,93.05,1812,178713.2,,98.63,EQ
16-05-2007,100.0,104.9,100.0,103.05,103.0,116.0,93.05,1051,107102.1,,101.9,EQ
17-05-2007,100.55,102.15,100.55,102.15,102.15,116.0,93.05,1128,115074.85,,102.02,EQ
18-05-2007,97.3,105.0,97.3,103.0,105.0,116.0,93.05,305,30926.0,,101.4,EQ
21-05-2007,99.6,102.0,93.6,100.9,102.0,116.0,93.05,2111,209267.2,,99.13,EQ
22-05-2007,106.0,110.0,103.25,103.4,103.6,116.0,93.05,864,91375.85,,105.76,EQ
24-05-2007,99.6,104.6,99.35,104.5,104.5,116.0,93.05,720,73128.0,,101.57,EQ
25-05-2007,97.3,103.0,97.3,98.75,98.75,116.0,93.05,200,19644.8,,98.22,EQ
28-05-2007,100.0,100.0,100.0,100.0,100.0,116.0,93.05,182,18200.0,,100.0,EQ
29-05-2007,101.0,101.0,99.0,100.0,100.0,116.0,93.05,1285,128606.0,,100.08,EQ
30-05-2007,101.0,101.0,98.35,98.65,99.0,116.0,93.05,602,59731.7,,99.22,EQ
31-05-2007,101.0,101.0,100.0,100.0,100.0,116.0,93.05,350,35050.0,,100.14,EQ
04-06-2007,96.6,96.6,96.6,96.6,96.6,116.0,93.05,100,9660.0,,96.6,EQ
05-06-2007,99.5,99.5,98.25,98.25,98.25,116.0,93.05,400,39550.0,,98.88,EQ
06-06-2007,97.5,97.5,97.0,97.0,97.0,116.0,93.05,372,36234.0,,97.4,EQ
07-06-2007,93.3,99.8,93.3,94.25,94.25,116.0,93.05,150,14367.5,,95.78,EQ
11-06-2007,94.0,94.0,87.4,89.25,89.25,116.0,87.4,1400,125399.2,,89.57,EQ
14-06-2007,89.05,97.5,89.0,92.1,91.75,116.0,87.4,767,70719.5,,92.2,EQ
19-06-2007,92.0,92.0,92.0,92.0,92.0,116.0,87.4,30,2760.0,,92.0,EQ
20-06-2007,89.0,89.0,89.0,89.0,89.0,116.0,87.4,500,44500.0,,89.0,EQ
21-06-2007,92.0,92.0,90.0,92.0,92.0,116.0,87.4,414,38048.0,,91.9,EQ
25-06-2007,85.35,90.7,85.2,86.15,86.0,116.0,85.2,152,13041.3,,85.8,EQ
26-06-2007,87.5,89.6,85.0,85.6,85.05,116.0,85.0,4075,349879.0,,85.86,EQ
27-06-2007,85.6,90.0,85.6,89.85,89.8,116.0,85.0,426,38077.6,,89.38,EQ
28-06-2007,90.0,90.0,85.0,89.8,89.8,116.0,85.0,610,53705.0,,88.04,EQ
29-06-2007,87.1,89.8,84.6,85.15,85.15,116.0,84.6,1299,112236.2,,86.4,EQ
02-07-2007,85.2,86.2,83.15,84.6,84.6,116.0,83.15,630,53593.5,,85.07,EQ
03-07-2007,89.8,89.8,85.05,85.05,85.05,116.0,83.15,209,17820.7,,85.27,EQ
04-07-2007,88.0,90.0,84.5,87.5,84.5,116.0,83.15,3449,302912.55,,87.83,EQ
06-07-2007,87.4,87.5,87.4,87.5,87.5,116.0,83.15,255,22311.5,,87.5,EQ
09-07-2007,88.0,89.6,88.0,88.9,88.2,116.0,83.15,195,17269.0,,88.56,EQ
10-07-2007,90.0,95.95,85.55,93.0,93.45,116.0,83.15,597,54744.5,,91.7,EQ
11-07-2007,90.0,90.0,90.0,90.0,90.0,116.0,83.15,100,9000.0,,90.0,EQ
12-07-2007,88.0,95.0,88.0,92.45,92.45,116.0,83.15,620,57437.5,,92.64,EQ
13-07-2007,95.0,95.0,92.75,93.1,92.75,116.0,83.15,418,39064.25,,93.46,EQ
16-07-2007,94.1,99.9,90.0,97.5,97.5,116.0,83.15,2260,219352.5,,97.06,EQ
17-07-2007,100.0,100.0,80.6,95.75,95.65,116.0,80.6,2089,191856.6,,91.84,EQ
18-07-2007,95.75,99.0,92.05,98.7,99.0,116.0,80.6,1787,170753.85,,95.55,EQ
19-07-2007,96.7,103.0,96.7,102.1,103.0,116.0,80.6,643,64832.0,,100.83,EQ
20-07-2007,102.0,103.65,102.0,103.05,103.0,116.0,80.6,1450,149324.25,,102.98,EQ
23-07-2007,103.0,104.0,94.05,98.3,94.05,116.0,80.6,2221,227784.25,,102.56,EQ
24-07-2007,95.0,104.0,95.0,104.0,104.0,116.0,80.6,241,23912.05,,99.22,EQ
25-07-2007,85.3,108.5,85.3,106.5,108.5,116.0,80.6,3939,412499.55,,104.72,EQ
26-07-2007,106.4,106.4,103.0,104.05,103.0,116.0,80.6,556,57737.4,,103.84,EQ
27-07-2007,101.45,102.0,99.0,102.0,102.0,116.0,80.6,749,74843.5,,99.92,EQ
30-07-2007,105.0,107.0,105.0,107.0,107.0,116.0,80.6,469,50179.4,,106.99,EQ
31-07-2007,107.5,108.0,107.5,107.95,108.0,116.0,80.6,204,22024.8,,107.96,EQ
01-08-2007,103.0,106.0,102.25,102.35,102.25,116.0,80.6,373,38632.0,,103.57,EQ
02-08-2007,103.0,103.9,95.0,98.05,101.85,116.0,80.6,1700,171655.0,,100.97,EQ
03-08-2007,102.0,104.0,102.0,104.0,104.0,116.0,80.6,2,206.0,,103.0,EQ
06-08-2007,103.5,103.5,97.0,102.45,102.45,116.0,80.6,329,32858.3,,99.87,EQ
08-08-2007,104.0,104.0,100.0,100.25,100.0,116.0,80.6,988,101057.0,,102.28,EQ
09-08-2007,105.7,105.7,99.0,99.0,99.0,116.0,80.6,600,60406.25,,100.68,EQ
10-08-2007,101.95,101.95,95.0,98.2,97.0,116.0,80.6,539,52362.35,,97.15,EQ
13-08-2007,101.0,101.0,101.0,101.0,101.0,116.0,80.6,114,11514.0,,101.0,EQ
16-08-2007,100.9,100.9,99.0,99.0,99.0,116.0,80.6,100,9995.0,,99.95,EQ
20-08-2007,96.0,99.05,95.0,95.35,95.0,116.0,80.6,1933,188677.3,,97.61,EQ
21-08-2007,95.0,97.0,95.0,97.0,97.0,116.0,80.6,1100,106308.0,,96.64,EQ
22-08-2007,92.0,97.0,92.0,97.0,97.0,116.0,80.6,3500,338190.0,,96.63,EQ
23-08-2007,90.5,97.75,89.0,94.0,94.0,116.0,80.6,14903,1423825.5,,95.54,EQ
24-08-2007,96.3,96.3,95.25,95.25,95.25,116.0,80.6,100,9577.5,,95.78,EQ
27-08-2007,96.0,96.0,94.0,94.0,94.0,116.0,80.6,774,73671.3,,95.18,EQ
28-08-2007,90.1,95.0,90.1,94.9,94.9,116.0,80.6,6205,587650.0,,94.71,EQ
30-08-2007,95.0,95.9,93.0,93.0,93.0,116.0,80.6,450,42678.75,,94.84,EQ
31-08-2007,94.7,106.0,91.9,97.1,106.0,116.0,80.6,7845,750275.15,,95.64,EQ
03-09-2007,111.55,114.55,98.2,99.95,100.0,116.0,80.6,1933,195207.55,,100.99,EQ
04-09-2007,102.0,102.0,98.0,99.0,99.0,116.0,80.6,630,62458.0,,99.14,EQ
05-09-2007,95.6,101.5,95.25,95.85,95.5,116.0,80.6,602,57617.0,,95.71,EQ
06-09-2007,93.1,102.5,93.05,95.1,95.1,116.0,80.6,509,47785.0,,93.88,EQ
07-09-2007,96.5,103.0,94.0,94.65,98.8,116.0,80.6,2351,226094.9,,96.17,EQ
10-09-2007,97.5,97.5,90.0,93.4,93.4,116.0,80.6,1991,184313.8,,92.57,EQ
11-09-2007,98.8,99.0,95.6,95.75,95.75,116.0,80.6,1873,181529.5,,96.92,EQ
12-09-2007,95.0,95.0,91.5,94.05,95.0,116.0,80.6,1460,136518.0,,93.51,EQ
13-09-2007,97.7,99.0,96.25,98.0,98.0,116.0,80.6,68462,6738911.7,,98.43,EQ
14-09-2007,100.0,101.0,95.0,95.15,95.0,116.0,80.6,3713,369628.8,,99.55,EQ
17-09-2007,95.5,98.8,95.5,98.8,98.8,116.0,80.6,500,48410.0,,96.82,EQ
18-09-2007,98.5,98.5,98.5,98.5,98.5,116.0,80.6,100,9850.0,,98.5,EQ
19-09-2007,98.0,99.9,96.05,97.6,97.15,116.0,80.6,11614,1149313.35,,98.96,EQ
20-09-2007,85.0,100.0,82.3,99.85,98.1,116.0,80.6,15134,1493035.5,,98.65,EQ
21-09-2007,95.7,95.7,95.65,95.65,95.65,116.0,80.6,280,26792.0,,95.69,EQ
24-09-2007,93.0,95.0,85.3,94.9,94.0,116.0,80.6,3883,363342.5,,93.57,EQ
25-09-2007,91.5,95.0,91.5,93.4,93.4,116.0,80.6,520,48350.5,,92.98,EQ
26-09-2007,92.0,94.0,92.0,93.15,93.0,116.0,80.6,340,31425.0,,92.43,EQ
27-09-2007,98.8,98.95,91.4,91.4,91.4,116.0,80.6,5034,474423.9,,94.24,EQ
28-09-2007,92.1,94.0,91.5,92.4,94.0,116.0,80.6,700,64686.25,,92.41,EQ
01-10-2007,93.9,94.0,93.9,93.9,94.0,116.0,80.6,400,37570.0,,93.93,EQ
03-10-2007,95.0,95.0,91.5,94.5,94.5,116.0,80.6,2000,186125.0,,93.06,EQ
04-10-2007,91.0,94.95,91.0,91.65,91.7,116.0,80.6,1988,183444.85,,92.28,EQ
05-10-2007,90.1,94.95,90.1,94.95,94.95,116.0,80.6,350,32200.0,,92.0,EQ
08-10-2007,93.0,93.0,90.1,90.1,90.1,116.0,80.6,475,43397.5,,91.36,EQ
09-10-2007,90.15,93.7,90.0,90.75,90.0,116.0,80.6,1326,119894.95,,90.42,EQ
10-10-2007,99.9,99.9,92.5,92.5,92.5,116.0,80.6,65,6395.35,,98.39,EQ
11-10-2007,99.9,99.9,85.3,91.0,91.0,116.0,80.6,282,25445.65,,90.23,EQ
12-10-2007,93.0,94.0,93.0,93.05,93.0,116.0,80.6,1042,96948.0,,93.04,EQ
15-10-2007,98.9,98.9,89.25,90.65,89.25,116.0,80.6,3307,304076.4,,91.95,EQ
16-10-2007,97.9,97.9,89.45,93.9,93.9,116.0,80.6,118,11040.85,,93.57,EQ
17-10-2007,86.0,94.9,86.0,94.9,94.9,116.0,80.6,37,3235.4,,87.44,EQ
18-10-2007,90.1,93.0,90.0,91.3,92.0,116.0,80.6,2175,199376.5,,91.67,EQ
19-10-2007,99.7,99.7,91.0,91.0,91.0,116.0,80.6,13,1209.3,,93.02,EQ
22-10-2007,100.0,108.9,90.0,90.0,90.0,116.0,80.6,404,36818.9,,91.14,EQ
23-10-2007,99.3,99.3,84.0,90.0,90.0,116.0,80.6,741,66686.05,,89.99,EQ
24-10-2007,99.9,99.9,89.1,90.1,90.1,116.0,80.6,177,15815.8,,89.35,EQ
25-10-2007,95.4,95.4,90.0,92.0,92.0,116.0,80.6,103,9282.65,,90.12,EQ
