DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
21-05-2015,449.0,454.9,415.5,447.65,441.0,454.9,415.5,2218,978689.7,69,441.25,EQ
22-05-2015,453.0,470.0,450.0,457.75,450.0,470.0,415.5,2737,1244092.1,67,454.55,EQ
25-05-2015,413.0,469.0,413.0,445.05,440.75,470.0,413.0,2419,1054610.55,210,435.97,EQ
26-05-2015,464.0,464.0,432.1,446.55,447.5,470.0,413.0,1745,774426.9,286,443.8,EQ
27-05-2015,443.0,460.0,400.0,439.2,442.0,470.0,400.0,2054,903211.15,110,439.73,EQ
28-05-2015,433.0,450.0,400.0,421.35,413.25,470.0,400.0,3673,1571662.0,137,427.9,EQ
29-05-2015,412.0,464.4,400.5,451.8,450.0,470.0,400.0,7578,3348977.75,442,441.93,EQ
01-06-2015,492.0,495.0,462.05,472.9,477.75,495.0,400.0,13718,6561942.6,559,478.35,EQ
02-06-2015,470.0,477.0,448.75,454.6,459.0,495.0,400.0,9109,4253611.1,224,466.97,EQ
03-06-2015,465.0,465.0,406.35,434.7,442.95,495.0,400.0,6252,2744059.5,252,438.91,EQ
04-06-2015,428.1,430.0,404.7,414.9,411.0,495.0,400.0,3039,1267351.6,204,417.03,EQ
05-06-2015,419.0,427.05,407.0,410.1,409.0,495.0,400.0,4290,1765094.1,268,411.44,EQ
08-06-2015,421.0,431.0,393.7,407.45,397.1,495.0,393.7,1013,416057.5,95,410.72,EQ
09-06-2015,400.0,408.9,387.0,389.25,390.0,495.0,387.0,1568,620772.1,116,395.9,EQ
10-06-2015,391.0,414.0,390.0,393.5,395.0,495.0,387.0,558,221446.7,94,396.86,EQ
11-06-2015,407.35,429.95,383.15,395.7,395.0,495.0,383.15,3801,1510648.95,312,397.43,EQ
12-06-2015,388.0,414.95,370.05,379.8,376.25,495.0,370.05,1086,423629.45,127,390.08,EQ
15-06-2015,385.0,385.0,358.85,362.05,368.0,495.0,358.85,4088,1504685.35,426,368.07,EQ
16-06-2015,360.55,373.0,350.1,356.1,366.35,495.0,350.1,1891,675516.15,131,357.23,EQ
17-06-2015,356.0,396.0,356.0,385.45,385.0,495.0,350.1,13127,4983033.4,447,379.6,EQ
18-06-2015,390.45,400.0,375.0,381.45,379.0,495.0,350.1,4445,1733573.15,223,390.01,EQ
19-06-2015,380.0,388.0,376.2,385.7,385.25,495.0,350.1,4574,1750997.9,85,382.82,EQ
22-06-2015,395.0,396.0,365.0,374.45,365.0,495.0,350.1,4184,1583704.95,170,378.51,EQ
23-06-2015,375.0,382.0,365.6,379.1,376.1,495.0,350.1,3647,1382055.5,110,378.96,EQ
24-06-2015,372.55,387.15,370.0,373.35,370.0,495.0,350.1,561,210650.2,42,375.49,EQ
25-06-2015,373.0,375.0,358.7,364.6,365.0,495.0,350.1,2285,839696.55,83,367.48,EQ
26-06-2015,363.0,372.5,361.05,365.95,364.45,495.0,350.1,1938,709212.65,117,365.95,EQ
29-06-2015,360.0,408.75,351.1,394.4,400.0,495.0,350.1,6602,2540850.55,270,384.86,EQ
30-06-2015,395.05,473.25,389.1,471.2,473.25,495.0,350.1,24604,11023981.35,1309,448.06,EQ
01-07-2015,493.0,505.0,465.1,474.95,475.0,505.0,350.1,25133,12177000.7,1636,484.5,EQ
02-07-2015,489.0,489.4,450.0,474.3,480.0,505.0,350.1,8539,4037825.15,756,472.87,EQ
03-07-2015,474.3,479.5,463.45,469.75,464.0,505.0,350.1,4249,2003864.2,298,471.61,EQ
06-07-2015,480.0,543.3,461.0,510.5,507.0,543.3,350.1,41379,21473349.5,2183,518.94,EQ
07-07-2015,524.9,524.95,482.0,491.35,491.0,543.3,350.1,4846,2428183.55,534,501.07,EQ
08-07-2015,486.05,497.95,469.95,475.9,476.0,543.3,350.1,7038,3356649.0,298,476.93,EQ
09-07-2015,470.0,478.35,459.6,467.75,460.1,543.3,350.1,4871,2291438.2,343,470.42,EQ
10-07-2015,485.0,485.0,435.0,459.95,456.1,543.3,350.1,6414,2954366.1,679,460.61,EQ
13-07-2015,460.0,475.0,450.0,463.75,456.1,543.3,350.1,4958,2277262.3,447,459.31,EQ
14-07-2015,462.0,476.95,458.0,461.65,458.0,543.3,350.1,4060,1896394.5,292,467.09,EQ
15-07-2015,468.0,519.0,461.15,499.75,505.0,543.3,350.1,20475,10167143.9,880,496.56,EQ
16-07-2015,517.35,518.0,487.95,492.35,490.0,543.3,350.1,6052,3028936.35,471,500.49,EQ
17-07-2015,492.35,510.0,481.0,485.35,485.0,543.3,350.1,1487,733911.9,137,493.55,EQ
20-07-2015,483.0,484.95,473.05,475.0,475.0,543.3,350.1,788,376083.1,92,477.26,EQ
21-07-2015,481.9,518.0,472.15,493.1,494.0,543.3,350.1,14521,7238144.5,839,498.46,EQ
22-07-2015,488.0,517.0,488.0,512.6,513.5,543.3,350.1,11038,5646846.5,392,511.58,EQ
23-07-2015,517.0,529.0,510.0,524.7,529.0,543.3,350.1,11102,5804719.1,353,522.85,EQ
24-07-2015,520.0,533.7,510.05,515.85,519.8,543.3,350.1,4913,2547267.1,183,518.47,EQ
27-07-2015,510.0,518.0,470.0,492.7,495.5,543.3,350.1,2449,1202819.65,210,491.15,EQ
28-07-2015,502.0,502.0,476.6,481.55,477.0,543.3,350.1,5951,2913727.65,239,489.62,EQ
