DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
12-03-2002,8.2,8.9,8.0,8.9,8.9,0.0,0.0,781,6447.35,,8.26,EQ
05-04-2002,10.7,10.7,8.9,10.7,10.7,,,315,3325.5,,10.56,EQ
08-04-2002,10.7,12.0,10.7,12.0,12.0,,,310,3460.0,,11.16,EQ
09-04-2002,12.05,14.4,12.05,14.4,14.4,,,400,5265.0,,13.16,EQ
10-04-2002,17.25,17.25,17.25,17.25,17.25,14.4,8.0,90,1552.5,,17.25,EQ
11-04-2002,17.0,19.0,17.0,18.0,18.0,17.25,8.0,300,5350.0,,17.83,EQ
12-04-2002,17.95,17.95,17.95,17.95,17.95,,,50,897.5,,17.95,EQ
15-04-2002,18.5,18.5,18.5,18.5,18.5,,,100,1850.0,,18.5,EQ
16-04-2002,20.0,20.0,20.0,20.0,20.0,19.0,8.0,100,2000.0,,20.0,EQ
17-04-2002,20.5,22.0,20.1,22.0,22.0,20.0,8.0,2131,44386.2,,20.83,EQ
18-04-2002,24.2,24.2,24.2,24.2,24.2,22.0,8.0,150,3630.0,,24.2,EQ
19-04-2002,24.25,26.5,24.25,26.1,26.1,24.2,8.0,1089,27772.9,,25.5,EQ
22-04-2002,28.5,28.5,25.1,28.0,28.0,26.5,8.0,590,15990.0,,27.1,EQ
23-04-2002,29.4,29.4,29.4,29.4,29.4,28.5,8.0,165,4851.0,,29.4,EQ
24-04-2002,30.9,30.9,30.9,30.9,30.9,29.4,8.0,98,3028.2,,30.9,EQ
25-04-2002,32.0,32.0,32.0,32.0,32.0,,,188,6016.0,,32.0,EQ
26-04-2002,33.35,33.45,31.1,31.1,31.1,,,765,24426.0,,31.93,EQ
29-04-2002,31.6,32.3,30.0,30.0,30.0,33.45,8.0,877,27345.85,,31.18,EQ
30-04-2002,30.0,31.45,30.0,31.45,31.45,,,297,9074.85,,30.56,EQ
02-05-2002,31.3,31.45,31.3,31.45,31.45,33.45,8.0,71,2225.35,,31.34,EQ
03-05-2002,30.95,30.95,30.0,30.0,30.0,33.45,8.0,110,3357.0,,30.52,EQ
06-05-2002,29.1,31.4,29.1,30.6,30.6,,,700,21508.5,,30.73,EQ
07-05-2002,30.0,30.0,29.9,30.0,30.0,,,900,26980.0,,29.98,EQ
09-05-2002,29.05,30.0,28.65,28.65,28.65,33.45,8.0,900,26435.0,,29.37,EQ
