DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
09-12-2021,150.9,152.4,141.1,143.05,141.7,152.4,141.1,85404,12489437.5,2175,146.24,EQ
10-12-2021,142.35,147.0,140.1,145.2,145.35,152.4,140.1,37482,5414330.4,1008,144.45,EQ
13-12-2021,146.0,146.85,128.65,139.85,139.5,152.4,128.65,29043,4118306.8,717,141.8,EQ
14-12-2021,143.0,143.0,137.8,140.55,140.1,152.4,128.65,18139,2542068.5,482,140.14,EQ
15-12-2021,142.35,142.35,137.8,138.4,139.45,152.4,128.65,22841,3191200.25,752,139.71,EQ
16-12-2021,141.25,141.4,136.0,137.25,136.5,152.4,128.65,23154,3209648.7,613,138.62,EQ
17-12-2021,134.0,138.0,131.55,133.4,133.5,152.4,128.65,33654,4491883.95,1020,133.47,EQ
20-12-2021,135.0,135.0,125.0,128.45,128.0,152.4,125.0,47429,6099572.95,1397,128.6,EQ
21-12-2021,129.2,133.8,125.25,126.45,125.4,152.4,125.0,39318,5062246.9,1375,128.75,EQ
22-12-2021,128.95,131.4,127.1,129.55,129.0,152.4,125.0,20118,2596869.7,637,129.08,EQ
23-12-2021,133.8,133.8,130.0,131.85,132.0,152.4,125.0,21317,2804831.0,322,131.58,EQ
24-12-2021,131.65,132.8,130.15,131.5,132.0,152.4,125.0,19096,2505860.1,371,131.22,EQ
27-12-2021,133.0,133.0,129.0,129.4,129.0,152.4,125.0,23020,2986316.5,352,129.73,EQ
28-12-2021,130.15,134.0,129.55,132.9,132.9,152.4,125.0,26048,3444115.1,522,132.22,EQ
29-12-2021,134.25,134.25,130.95,132.85,133.4,152.4,125.0,20636,2733151.7,531,132.45,EQ
30-12-2021,133.9,135.8,131.4,133.75,134.95,152.4,125.0,24449,3258825.55,639,133.29,EQ
31-12-2021,134.95,139.0,132.4,135.3,135.0,152.4,125.0,44083,6012590.35,997,136.39,EQ
03-01-2022,138.5,145.95,135.6,141.75,141.55,152.4,125.0,102314,14563033.1,2090,142.34,EQ
