DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
07-04-2010,447.0,700.0,377.0,502.9,496.15,700.0,377.0,162174,86542093.35,,533.64,EQ
08-04-2010,499.5,513.95,466.4,473.25,467.0,700.0,377.0,32622,16076817.1,,492.82,EQ
09-04-2010,470.0,480.0,455.1,474.55,474.85,700.0,377.0,13716,6470172.5,,471.72,EQ
12-04-2010,498.85,498.95,475.55,477.3,476.0,700.0,377.0,6771,3255700.95,,480.83,EQ
13-04-2010,475.0,478.0,471.0,472.7,471.5,700.0,377.0,4048,1918508.3,,473.94,EQ
15-04-2010,470.05,475.15,446.7,453.7,456.9,700.0,377.0,11547,5298926.05,,458.9,EQ
16-04-2010,442.0,460.0,435.1,445.75,447.0,700.0,377.0,8044,3571598.05,,444.01,EQ
19-04-2010,435.0,455.55,431.0,450.1,451.95,700.0,377.0,6150,2748952.65,,446.98,EQ
20-04-2010,454.0,454.15,442.0,449.85,450.0,700.0,377.0,16435,7377438.15,,448.89,EQ
21-04-2010,445.5,453.9,445.5,447.15,446.2,700.0,377.0,1599,719118.3,,449.73,EQ
22-04-2010,451.0,453.75,438.0,444.35,438.0,700.0,377.0,1861,829376.05,,445.66,EQ
23-04-2010,441.25,451.9,425.0,432.05,430.0,700.0,377.0,5273,2303348.85,,436.82,EQ
26-04-2010,432.0,439.75,425.55,430.45,425.55,700.0,377.0,2215,957911.05,,432.47,EQ
27-04-2010,428.0,438.0,425.25,430.3,430.0,700.0,377.0,4125,1774804.95,,430.26,EQ
28-04-2010,416.0,435.9,416.0,431.85,430.0,700.0,377.0,5813,2493208.0,,428.9,EQ
29-04-2010,430.0,442.0,426.0,440.5,441.9,700.0,377.0,6908,3030182.6,,438.65,EQ
30-04-2010,436.0,446.5,410.1,418.9,414.95,700.0,377.0,4711,2019805.15,,428.74,EQ
03-05-2010,420.0,430.0,415.0,424.2,420.6,700.0,377.0,3927,1667472.25,,424.62,EQ
04-05-2010,420.0,424.9,415.9,420.2,420.0,700.0,377.0,3289,1380211.0,,419.64,EQ
05-05-2010,382.0,438.0,382.0,420.8,438.0,700.0,377.0,4392,1838343.25,,418.57,EQ
06-05-2010,428.0,437.9,426.0,429.45,426.0,700.0,377.0,9013,3880470.1,,430.54,EQ
07-05-2010,432.6,432.6,422.1,425.1,423.75,700.0,377.0,1373,588587.55,,428.69,EQ
10-05-2010,412.0,434.8,412.0,425.8,428.0,700.0,377.0,3303,1406474.25,,425.82,EQ
11-05-2010,425.7,434.8,422.0,428.1,430.0,700.0,377.0,5343,2288557.55,,428.33,EQ
12-05-2010,418.35,431.4,416.15,430.3,430.0,700.0,377.0,3811,1629622.45,,427.61,EQ
13-05-2010,426.0,438.0,426.0,434.35,435.0,700.0,377.0,2252,974354.6,,432.66,EQ
14-05-2010,430.0,435.0,426.25,430.6,432.0,700.0,377.0,1552,667224.8,,429.91,EQ
17-05-2010,425.0,430.0,420.7,422.8,422.6,700.0,377.0,1706,726124.7,,425.63,EQ
18-05-2010,419.0,425.0,418.1,419.85,418.1,700.0,377.0,1220,514570.3,,421.78,EQ
19-05-2010,424.75,424.75,406.65,408.8,408.05,700.0,377.0,1499,617864.0,,412.18,EQ
20-05-2010,405.0,448.9,405.0,429.0,429.5,700.0,377.0,3636,1543853.2,,424.6,EQ
21-05-2010,401.05,430.0,401.0,409.25,414.8,700.0,377.0,4547,1894857.95,,416.73,EQ
24-05-2010,414.1,422.0,412.65,416.35,419.25,700.0,377.0,1371,572496.75,,417.58,EQ
25-05-2010,410.0,420.0,406.1,415.35,417.0,700.0,377.0,1860,770396.2,,414.19,EQ
26-05-2010,421.0,424.0,411.05,420.95,419.0,700.0,377.0,831,348721.0,,419.64,EQ
27-05-2010,414.05,419.0,411.65,417.65,415.0,700.0,377.0,830,345720.1,,416.53,EQ
28-05-2010,425.0,429.0,412.6,425.2,427.0,700.0,377.0,3310,1403688.05,,424.07,EQ
31-05-2010,435.0,440.0,425.0,430.25,433.85,700.0,377.0,4282,1849240.25,,431.86,EQ
01-06-2010,430.0,432.6,419.0,420.7,420.0,700.0,377.0,3589,1532982.55,,427.13,EQ
02-06-2010,418.15,431.55,418.15,422.9,422.15,700.0,377.0,958,408926.2,,426.85,EQ
03-06-2010,421.3,430.9,421.3,423.4,423.15,700.0,377.0,220,93199.1,,423.63,EQ
04-06-2010,427.5,427.5,413.55,416.7,415.75,700.0,377.0,4024,1691261.2,,420.29,EQ
07-06-2010,422.4,422.4,406.5,413.1,417.4,700.0,377.0,373,154188.8,,413.37,EQ
08-06-2010,419.75,422.7,410.0,410.15,410.15,700.0,377.0,1170,484043.9,,413.71,EQ
09-06-2010,415.0,415.0,410.0,410.45,410.1,700.0,377.0,437,179979.4,,411.85,EQ
10-06-2010,418.0,418.0,407.0,412.9,412.7,700.0,377.0,721,294749.4,,408.81,EQ
11-06-2010,410.0,418.8,408.55,409.4,409.0,700.0,377.0,884,363412.9,,411.1,EQ
14-06-2010,411.35,411.35,398.0,400.55,404.0,700.0,377.0,4667,1876623.9,,402.1,EQ
15-06-2010,404.0,404.95,398.0,401.55,400.0,700.0,377.0,3987,1599634.4,,401.21,EQ
16-06-2010,404.0,404.0,396.1,398.25,397.0,700.0,377.0,4190,1676366.7,,400.09,EQ
17-06-2010,394.0,399.35,392.15,394.5,398.0,700.0,377.0,2104,832309.2,,395.58,EQ
18-06-2010,395.0,395.0,387.0,388.0,387.0,700.0,377.0,2716,1063789.65,,391.68,EQ
21-06-2010,395.0,407.55,394.6,397.7,400.0,700.0,377.0,9543,3801433.55,,398.35,EQ
22-06-2010,395.0,401.65,393.0,394.4,394.0,700.0,377.0,7151,2837607.3,,396.81,EQ
23-06-2010,399.45,399.5,387.0,388.6,388.2,700.0,377.0,8360,3282779.0,,392.68,EQ
24-06-2010,390.3,396.95,388.25,391.45,394.95,700.0,377.0,7467,2917833.35,,390.76,EQ
25-06-2010,390.3,406.55,383.0,396.55,399.55,700.0,377.0,3024,1203475.3,,397.97,EQ
28-06-2010,406.55,413.25,396.0,407.4,409.75,700.0,377.0,1945,785741.85,,403.98,EQ
29-06-2010,410.0,410.0,402.0,403.25,402.0,700.0,377.0,2538,1026589.15,,404.49,EQ
30-06-2010,403.25,425.1,400.0,422.25,422.95,700.0,377.0,9912,4148026.95,,418.49,EQ
01-07-2010,429.95,435.0,415.5,430.35,427.15,700.0,377.0,6221,2651982.0,,426.3,EQ
02-07-2010,432.8,443.5,428.0,439.55,436.25,700.0,377.0,12766,5576733.0,,436.84,EQ
05-07-2010,440.0,446.55,437.0,437.95,437.0,700.0,377.0,4326,1908325.8,,441.13,EQ
06-07-2010,440.2,449.0,433.0,444.05,449.0,700.0,377.0,6273,2762804.6,,440.43,EQ
07-07-2010,444.0,447.0,430.1,438.1,439.0,700.0,377.0,2080,908097.45,,436.59,EQ
08-07-2010,447.4,455.0,435.5,445.1,454.0,700.0,377.0,9980,4414783.4,,442.36,EQ
09-07-2010,452.4,465.0,441.25,456.4,465.0,700.0,377.0,11746,5322706.55,,453.15,EQ
12-07-2010,464.0,489.8,456.35,477.85,485.0,700.0,377.0,15306,7231879.85,,472.49,EQ
13-07-2010,569.9,569.9,488.55,493.75,496.95,700.0,377.0,44828,22543953.35,,502.9,EQ
14-07-2010,502.0,502.0,485.0,487.4,486.95,700.0,377.0,3180,1568163.7,,493.13,EQ
15-07-2010,485.0,510.0,475.0,503.4,505.0,700.0,377.0,13729,6851006.75,,499.02,EQ
16-07-2010,510.0,514.0,493.15,502.45,500.2,700.0,377.0,6693,3357665.85,,501.67,EQ
19-07-2010,499.0,509.0,477.0,494.6,490.0,700.0,377.0,4852,2405481.25,,495.77,EQ
20-07-2010,499.1,505.55,487.05,500.1,505.0,700.0,377.0,6535,3260924.25,,498.99,EQ
21-07-2010,499.5,504.0,494.0,499.6,494.0,700.0,377.0,2121,1061705.8,,500.57,EQ
22-07-2010,495.65,504.0,491.0,498.65,500.0,700.0,377.0,7005,3487410.1,,497.85,EQ
23-07-2010,494.05,500.0,490.0,491.55,490.0,700.0,377.0,2385,1174296.2,,492.37,EQ
26-07-2010,489.9,497.0,485.0,494.7,495.0,700.0,377.0,5771,2835028.4,,491.25,EQ
27-07-2010,499.0,499.7,492.0,498.95,498.8,700.0,377.0,9464,4699102.15,,496.52,EQ
28-07-2010,490.0,499.85,490.0,492.6,493.8,700.0,377.0,8247,4084904.2,,495.32,EQ
29-07-2010,493.5,497.1,487.3,493.05,490.0,700.0,377.0,12502,6169392.0,,493.47,EQ
30-07-2010,495.0,495.0,487.65,489.1,489.0,700.0,377.0,17685,8670178.85,,490.26,EQ
02-08-2010,490.0,492.25,485.0,487.9,485.25,700.0,377.0,11612,5689982.7,,490.01,EQ
03-08-2010,485.0,505.7,484.2,503.75,501.0,700.0,377.0,22939,11405433.85,,497.21,EQ
04-08-2010,505.0,510.0,498.0,499.85,500.0,700.0,377.0,9284,4651553.5,,501.03,EQ
05-08-2010,480.0,509.95,480.0,487.85,485.05,700.0,377.0,26909,13242823.15,,492.13,EQ
06-08-2010,486.25,489.95,479.55,480.8,480.0,700.0,377.0,12771,6200460.55,,485.51,EQ
09-08-2010,480.0,481.0,470.0,471.45,470.05,700.0,377.0,16009,7628742.95,,476.53,EQ
10-08-2010,479.85,479.85,456.1,459.7,458.0,700.0,377.0,15854,7390986.45,,466.19,EQ
11-08-2010,467.9,468.0,438.5,441.9,438.5,700.0,377.0,22419,10107314.9,,450.84,EQ
12-08-2010,432.0,462.0,432.0,453.4,459.7,700.0,377.0,20808,9258140.55,,444.93,EQ
13-08-2010,459.7,470.0,448.6,462.0,470.0,700.0,377.0,26675,12180920.5,,456.64,EQ
16-08-2010,456.0,466.0,453.5,455.65,454.15,700.0,377.0,12722,5796323.85,,455.61,EQ
17-08-2010,454.15,457.0,445.55,446.05,445.55,700.0,377.0,16534,7451343.35,,450.67,EQ
18-08-2010,446.2,460.0,440.1,450.85,448.0,700.0,377.0,17097,7703106.75,,450.55,EQ
19-08-2010,452.1,456.9,441.05,444.85,444.0,700.0,377.0,22026,9878636.45,,448.5,EQ
20-08-2010,440.0,454.9,432.5,451.4,451.1,700.0,377.0,51182,22739441.95,,444.29,EQ
23-08-2010,457.0,480.0,457.0,459.7,458.7,700.0,377.0,35018,16262954.5,,464.42,EQ
24-08-2010,470.0,479.0,450.0,456.5,456.0,700.0,377.0,13117,6012421.9,,458.37,EQ
25-08-2010,455.0,455.0,421.05,427.5,426.0,700.0,377.0,30096,13130641.35,,436.29,EQ
26-08-2010,424.3,452.0,420.0,422.1,422.0,700.0,377.0,81254,35298632.5,,434.42,EQ
27-08-2010,434.0,437.0,411.0,415.7,415.0,700.0,377.0,15878,6777395.0,,426.84,EQ
30-08-2010,420.0,430.0,397.2,399.75,398.5,700.0,377.0,19715,8079733.9,,409.83,EQ
31-08-2010,399.05,405.0,388.0,390.35,391.5,700.0,377.0,8326,3310435.6,,397.6,EQ
01-09-2010,397.0,402.0,389.2,395.85,398.9,700.0,377.0,5747,2274795.65,,395.82,EQ
02-09-2010,396.2,405.0,393.6,395.35,395.0,700.0,377.0,5595,2217729.2,,396.38,EQ
03-09-2010,404.9,404.9,392.0,392.85,394.2,700.0,377.0,10732,4254329.9,,396.42,EQ
06-09-2010,392.5,399.2,388.0,390.25,390.0,700.0,377.0,14083,5546722.0,,393.86,EQ
07-09-2010,390.0,394.0,375.0,380.45,379.0,700.0,375.0,16077,6194040.6,,385.27,EQ
08-09-2010,389.8,389.8,335.0,352.95,353.0,700.0,335.0,68255,24246320.3,,355.23,EQ
09-09-2010,354.0,365.0,342.0,344.05,342.0,700.0,335.0,36331,12656022.25,,348.35,EQ
13-09-2010,347.0,355.25,329.3,331.65,332.0,700.0,329.3,45942,15506834.45,,337.53,EQ
14-09-2010,331.05,338.0,319.4,321.3,320.8,700.0,319.4,41211,13388933.6,,324.89,EQ
15-09-2010,322.1,326.9,316.0,320.65,322.0,700.0,316.0,35321,11316601.95,,320.39,EQ
16-09-2010,320.65,329.0,313.0,315.75,315.9,700.0,313.0,33450,10679837.3,,319.28,EQ
17-09-2010,315.9,328.0,307.1,309.85,310.15,700.0,307.1,62051,19434009.55,,313.19,EQ
20-09-2010,313.7,317.8,303.6,305.6,305.0,700.0,303.6,47228,14621021.9,,309.58,EQ
21-09-2010,309.7,315.9,304.0,306.6,305.0,700.0,303.6,52574,16196258.45,,308.07,EQ
22-09-2010,303.95,306.9,289.1,294.8,294.0,700.0,289.1,43861,12950107.85,,295.25,EQ
23-09-2010,269.0,304.8,269.0,289.55,288.5,700.0,269.0,58957,17245872.2,,292.52,EQ
24-09-2010,290.05,294.95,285.3,293.0,293.0,700.0,269.0,16050,4671253.75,,291.04,EQ
27-09-2010,295.2,317.0,295.2,314.1,314.25,700.0,269.0,129949,40540251.6,,311.97,EQ
28-09-2010,318.7,318.75,308.2,310.75,310.9,700.0,269.0,18911,5947182.25,,314.48,EQ
29-09-2010,305.0,316.0,305.0,314.9,315.0,700.0,269.0,18786,5903094.5,,314.23,EQ
30-09-2010,312.5,319.9,312.0,317.7,316.7,700.0,269.0,18108,5733978.0,,316.65,EQ
01-10-2010,317.0,326.75,317.0,324.8,323.5,700.0,269.0,24362,7903334.6,,324.41,EQ
04-10-2010,327.0,329.0,318.0,319.65,322.0,700.0,269.0,7826,2532095.95,,323.55,EQ
05-10-2010,320.4,325.0,307.15,311.05,309.0,700.0,269.0,9681,3052218.05,,315.28,EQ
06-10-2010,310.05,314.0,310.0,312.95,312.0,700.0,269.0,8111,2534734.55,,312.51,EQ
07-10-2010,313.9,320.05,310.3,316.25,314.0,700.0,269.0,18560,5874075.6,,316.49,EQ
08-10-2010,321.8,321.8,310.0,313.35,315.0,700.0,269.0,37879,11969779.75,,316.0,EQ
11-10-2010,315.45,320.0,314.0,318.15,319.0,700.0,269.0,7113,2253704.95,,316.84,EQ
12-10-2010,326.1,330.0,317.0,318.75,318.0,700.0,269.0,13778,4454937.65,,323.34,EQ
13-10-2010,320.05,322.95,316.0,319.15,320.0,700.0,269.0,4537,1449391.85,,319.46,EQ
14-10-2010,316.0,320.0,310.3,313.05,315.0,700.0,269.0,3056,961946.75,,314.77,EQ
15-10-2010,315.0,318.0,306.3,309.4,312.7,700.0,269.0,2745,855415.55,,311.63,EQ
18-10-2010,300.0,309.0,300.0,307.05,305.25,700.0,269.0,4123,1265069.0,,306.83,EQ
19-10-2010,307.2,310.9,306.5,308.55,308.0,700.0,269.0,2875,884871.05,,307.78,EQ
20-10-2010,305.0,309.95,303.1,304.1,304.1,700.0,269.0,3122,951869.25,,304.89,EQ
21-10-2010,302.3,308.85,300.0,304.15,302.75,700.0,269.0,3809,1157845.45,,303.98,EQ
22-10-2010,317.75,317.75,302.0,304.3,305.0,700.0,269.0,2826,862031.8,,305.04,EQ
25-10-2010,306.25,313.7,300.0,308.45,308.5,700.0,269.0,3583,1103167.25,,307.89,EQ
26-10-2010,310.0,313.0,307.05,308.1,308.5,700.0,269.0,2600,803875.7,,309.18,EQ
27-10-2010,303.05,310.1,303.05,307.9,309.25,700.0,269.0,4891,1511082.65,,308.95,EQ
28-10-2010,303.5,311.0,303.5,308.65,307.0,700.0,269.0,2425,748284.1,,308.57,EQ
29-10-2010,305.0,308.5,300.1,301.15,300.1,700.0,269.0,3066,930380.0,,303.45,EQ
01-11-2010,304.0,306.5,302.6,303.7,302.95,700.0,269.0,1930,587029.45,,304.16,EQ
02-11-2010,309.4,309.4,300.0,300.85,300.4,700.0,269.0,1079,326408.95,,302.51,EQ
03-11-2010,307.9,308.5,302.55,306.6,308.35,700.0,269.0,5032,1537943.95,,305.63,EQ
04-11-2010,304.0,315.35,304.0,313.3,315.0,700.0,269.0,5687,1772086.7,,311.6,EQ
05-11-2010,315.15,319.0,310.05,315.15,315.0,700.0,269.0,2030,639918.45,,315.23,EQ
08-11-2010,310.1,321.9,310.0,314.95,312.5,700.0,269.0,5323,1680622.05,,315.73,EQ
