DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-01-1996,323.0,324.0,320.0,320.6,,,,450,144240.0,,320.53,EQ
02-01-1996,320.6,325.0,321.05,322.5,,,,1350,435892.5,,322.88,EQ
03-01-1996,322.5,321.0,320.0,320.0,,,,450,144300.0,,320.67,EQ
04-01-1996,320.0,320.0,319.0,320.0,,,,400,127900.0,,319.75,EQ
05-01-1996,320.0,321.0,317.0,317.0,,,,900,286202.5,,318.0,EQ
08-01-1996,317.0,318.0,310.05,310.05,,,,850,268187.5,,315.51,EQ
09-01-1996,310.05,315.0,305.05,307.45,,,,1150,359730.0,,312.81,EQ
10-01-1996,307.45,316.0,315.0,315.5,,,,1700,537100.0,,315.94,EQ
11-01-1996,315.5,319.0,315.0,317.95,,,,1150,363142.5,,315.78,EQ
12-01-1996,317.95,320.0,318.05,319.0,,,,250,79752.5,,319.01,EQ
15-01-1996,319.0,323.95,314.0,323.0,,,,900,289290.0,,321.43,EQ
16-01-1996,323.0,325.0,315.0,324.0,,,,600,192955.0,,321.59,EQ
17-01-1996,324.0,320.0,312.0,313.4,,,,650,204725.0,,314.96,EQ
18-01-1996,313.4,325.0,311.0,324.0,,,,8100,2584302.5,,319.05,EQ
19-01-1996,324.0,327.75,322.05,327.35,,,,4400,1430477.5,,325.11,EQ
22-01-1996,327.35,325.5,322.55,324.5,,,,1500,486637.5,,324.43,EQ
23-01-1996,324.5,339.75,327.0,336.0,,,,3700,1232780.0,,333.18,EQ
24-01-1996,336.0,326.0,324.0,326.0,,,,1350,439050.0,,325.22,EQ
25-01-1996,326.0,330.0,325.05,325.9,,,,7850,2566412.5,,326.93,EQ
29-01-1996,325.9,327.0,324.5,326.85,,,,1350,440032.5,,325.95,EQ
30-01-1996,326.85,330.0,327.0,327.5,,,,3050,1000905.0,,328.17,EQ
31-01-1996,327.5,326.5,324.0,324.9,,,,850,276425.0,,325.21,EQ
01-02-1996,324.9,334.0,330.0,330.9,,,,1800,595197.5,,330.67,EQ
02-02-1996,331.0,334.5,331.0,333.35,,,,1700,567522.5,,333.84,EQ
05-02-1996,333.35,342.0,330.05,331.35,,,,1500,505855.0,,337.24,EQ
06-02-1996,331.35,349.0,335.0,346.0,,,,4150,1411122.5,,340.03,EQ
07-02-1996,346.0,340.0,337.0,340.0,,,,1050,356302.5,,339.34,EQ
08-02-1996,340.0,350.05,340.05,350.05,,,,1800,625782.5,,347.66,EQ
09-02-1996,350.05,365.0,352.0,361.75,,,,2850,1027512.5,,360.53,EQ
12-02-1996,361.75,374.9,362.0,365.0,,,,950,349727.5,,368.13,EQ
13-02-1996,365.0,360.0,355.0,359.0,,,,450,160752.5,,357.23,EQ
14-02-1996,359.0,395.0,370.0,388.45,,,,3650,1397000.0,,382.74,EQ
15-02-1996,388.45,388.0,374.0,380.0,,,,950,362425.0,,381.5,EQ
16-02-1996,380.0,385.0,365.0,366.95,,,,25700,9858600.0,,383.6,EQ
19-02-1996,366.95,370.0,350.05,350.1,,,,1350,482055.0,,357.08,EQ
20-02-1996,350.1,354.5,342.0,347.9,,,,1700,590512.5,,347.36,EQ
22-02-1996,315.0,355.0,311.55,349.95,,,,130050,43562082.5,,334.96,EQ
23-02-1996,354.0,370.0,345.05,363.8,,,,51600,18345907.5,,355.54,EQ
26-02-1996,363.8,377.0,368.5,371.0,,,,51800,19303720.0,,372.66,EQ
27-02-1996,371.0,397.95,370.1,390.05,,,,113850,44005905.0,,386.53,EQ
28-02-1996,372.5,382.5,368.0,370.85,,,,22850,8534332.5,,373.49,EQ
29-02-1996,364.0,366.75,352.0,360.1,,,,18250,6600030.0,,361.65,EQ
01-03-1996,360.1,365.0,358.75,363.0,,,,5050,1827070.0,,361.8,EQ
04-03-1996,363.0,364.0,340.0,349.45,,,,13500,4849905.0,,359.25,EQ
06-03-1996,349.45,355.95,353.0,354.35,,,,1900,671292.5,,353.31,EQ
07-03-1996,354.35,356.95,350.15,352.3,,,,1700,599505.0,,352.65,EQ
08-03-1996,352.3,354.75,349.95,349.95,,,,2600,914887.5,,351.88,EQ
11-03-1996,349.95,345.0,336.0,343.95,,,,3050,1036090.0,,339.7,EQ
12-03-1996,343.95,348.0,322.0,327.15,,,,5900,1980090.0,,335.61,EQ
13-03-1996,327.15,338.9,334.0,337.05,,,,1700,571602.5,,336.24,EQ
14-03-1996,337.05,346.0,340.0,345.5,,,,3350,1149062.5,,343.0,EQ
15-03-1996,345.5,344.0,337.5,337.5,,,,750,255620.0,,340.83,EQ
18-03-1996,337.5,338.0,335.0,335.15,,,,800,269030.0,,336.29,EQ
19-03-1996,335.15,336.5,333.0,334.0,,,,1800,602222.5,,334.57,EQ
21-03-1996,334.0,341.0,334.95,335.6,,,,900,302607.5,,336.23,EQ
22-03-1996,335.6,335.45,330.0,330.0,,,,550,181947.5,,330.81,EQ
25-03-1996,330.0,340.0,330.0,338.9,,,,2000,671710.0,,335.86,EQ
26-03-1996,338.9,350.0,332.0,337.5,,,,2500,845452.5,,338.18,EQ
27-03-1996,337.5,341.0,335.1,340.6,,,,1650,560365.0,,339.62,EQ
28-03-1996,340.6,346.0,341.0,346.0,,,,650,223520.0,,343.88,EQ
29-03-1996,346.0,345.0,342.05,343.0,,,,2850,978287.5,,343.26,EQ
01-04-1996,343.0,347.5,341.0,345.05,,,,1200,411835.0,,343.2,EQ
02-04-1996,345.05,350.0,341.3,348.45,,,,2550,883415.0,,346.44,EQ
03-04-1996,348.45,357.0,348.05,352.15,,,,1500,529270.0,,352.85,EQ
04-04-1996,352.15,358.6,347.0,356.75,,,,4600,1618545.0,,351.86,EQ
08-04-1996,356.75,357.0,354.0,355.05,,,,1700,604697.5,,355.7,EQ
09-04-1996,355.05,356.0,347.15,349.6,,,,1500,530777.5,,353.85,EQ
10-04-1996,349.6,355.0,351.25,355.0,,,,2050,726725.0,,354.5,EQ
11-04-1996,355.0,354.9,348.35,354.1,,,,2100,740477.5,,352.61,EQ
12-04-1996,354.1,353.55,351.5,353.45,,,,800,282217.5,,352.77,EQ
15-04-1996,353.45,360.0,354.05,357.3,,,,2450,874077.5,,356.77,EQ
16-04-1996,357.3,385.0,360.05,379.3,,,,17200,6482022.5,,376.86,EQ
17-04-1996,379.3,402.0,385.05,399.5,,,,8950,3554582.5,,397.16,EQ
18-04-1996,399.5,411.5,400.0,405.05,,,,30450,12357417.5,,405.83,EQ
19-04-1996,405.05,418.5,405.0,405.55,,,,5250,2148725.0,,409.28,EQ
22-04-1996,405.55,401.5,391.05,398.8,,,,4200,1670542.5,,397.75,EQ
23-04-1996,398.8,414.75,393.6,410.4,,,,9450,3784447.5,,400.47,EQ
24-04-1996,410.4,443.0,410.0,441.7,,,,25250,10767695.0,,426.44,EQ
25-04-1996,441.7,460.0,440.0,451.05,,,,44600,20283255.0,,454.78,EQ
26-04-1996,451.05,460.0,438.0,453.95,,,,23300,10488505.0,,450.15,EQ
29-04-1996,453.95,460.0,450.35,456.5,,,,19750,9061255.0,,458.8,EQ
30-04-1996,456.5,475.0,450.1,469.0,,,,18500,8564575.0,,462.95,EQ
01-05-1996,469.0,471.0,461.0,461.5,,,,4250,1980957.5,,466.11,EQ
02-05-1996,461.5,465.95,461.05,463.7,,,,4950,2298147.5,,464.27,EQ
03-05-1996,463.7,460.0,446.95,447.8,,,,3900,1766835.0,,453.03,EQ
06-05-1996,447.8,440.0,405.0,432.75,,,,4200,1783302.5,,424.6,EQ
07-05-1996,432.75,443.5,415.25,423.5,,,,6850,2943217.5,,429.67,EQ
08-05-1996,423.5,445.0,415.25,438.7,,,,3900,1681407.5,,431.13,EQ
09-05-1996,438.7,432.0,426.05,428.85,,,,2750,1180895.0,,429.42,EQ
10-05-1996,428.85,425.0,415.05,424.05,,,,4750,1998010.0,,420.63,EQ
13-05-1996,424.05,424.7,420.0,421.5,,,,1350,568432.5,,421.06,EQ
14-05-1996,421.5,425.0,419.0,421.6,,,,2900,1224410.0,,422.21,EQ
15-05-1996,421.6,430.0,423.55,428.7,,,,1300,553970.0,,426.13,EQ
16-05-1996,428.7,435.0,430.0,430.35,,,,2050,884972.5,,431.69,EQ
17-05-1996,430.35,430.25,424.0,428.2,,,,1500,643115.0,,428.74,EQ
20-05-1996,428.2,420.0,417.0,419.5,,,,1200,503507.5,,419.59,EQ
21-05-1996,419.5,415.5,400.0,400.0,,,,2400,977895.0,,407.46,EQ
22-05-1996,400.0,410.0,404.0,407.05,,,,500,203432.5,,406.87,EQ
23-05-1996,407.05,406.0,400.0,404.0,,,,1400,564380.0,,403.13,EQ
24-05-1996,404.0,412.0,404.0,407.5,,,,1600,652935.0,,408.08,EQ
27-05-1996,407.5,401.0,395.0,398.45,,,,24750,9896390.0,,399.85,EQ
28-05-1996,398.45,400.0,381.0,394.45,,,,11350,4473575.0,,394.15,EQ
29-05-1996,394.45,409.0,405.0,407.0,,,,400,162605.0,,406.51,EQ
30-05-1996,407.0,415.0,407.0,407.9,,,,900,367537.5,,408.38,EQ
31-05-1996,407.9,410.0,407.65,409.2,,,,1900,776560.0,,408.72,EQ
03-06-1996,409.2,414.85,405.0,406.0,,,,3550,1456382.5,,410.25,EQ
04-06-1996,406.0,419.0,410.05,416.3,,,,2450,1013810.0,,413.8,EQ
05-06-1996,410.0,415.0,410.0,413.0,,,,1700,700825.0,,412.25,EQ
06-06-1996,422.75,422.75,414.05,420.35,,,,3050,1276497.5,,418.52,EQ
07-06-1996,417.0,422.0,416.05,421.0,,,,1450,608802.5,,419.86,EQ
10-06-1996,419.0,422.0,419.0,420.55,,,,2750,1157220.0,,420.81,EQ
11-06-1996,421.95,423.6,420.0,421.35,,,,6800,2864100.0,,421.19,EQ
12-06-1996,425.0,432.0,425.0,430.8,,,,4200,1801117.5,,428.84,EQ
13-06-1996,433.75,433.75,429.0,431.0,,,,4000,1722967.5,,430.74,EQ
14-06-1996,430.0,445.0,426.25,441.35,,,,9650,4206715.0,,435.93,EQ
17-06-1996,454.0,460.0,400.0,429.3,,,,16100,7191942.5,,446.7,EQ
18-06-1996,430.0,434.0,416.5,429.4,,,,16150,6899285.0,,427.2,EQ
19-06-1996,467.5,472.0,453.0,456.7,,,,50250,23283725.0,,463.36,EQ
20-06-1996,455.0,458.0,440.05,444.95,,,,40300,18147247.5,,450.3,EQ
21-06-1996,437.25,446.75,437.25,443.05,,,,147550,65380387.5,,443.11,EQ
24-06-1996,435.0,440.0,435.0,439.2,,,,6450,2827405.0,,438.36,EQ
25-06-1996,441.0,441.5,437.0,440.0,,,,8850,3890692.5,,439.63,EQ
26-06-1996,436.05,441.0,436.05,437.55,,,,10200,4473760.0,,438.6,EQ
27-06-1996,440.0,440.0,432.0,438.0,,,,7850,3420995.0,,435.8,EQ
28-06-1996,438.95,440.0,437.0,437.0,,,,2450,1075125.0,,438.83,EQ
01-07-1996,439.9,439.9,434.0,434.5,,,,2750,1198275.0,,435.74,EQ
02-07-1996,439.75,439.75,432.1,433.1,,,,3100,1345535.0,,434.04,EQ
03-07-1996,422.0,433.0,422.0,428.55,,,,9150,3925240.0,,428.99,EQ
04-07-1996,418.05,429.75,410.0,422.95,,,,23500,9887215.0,,420.73,EQ
05-07-1996,424.45,428.95,418.55,420.15,,,,15400,6521397.5,,423.47,EQ
08-07-1996,420.0,421.5,415.0,416.05,,706.0,252.5,9850,4122732.5,,418.55,EQ
09-07-1996,414.9,414.9,403.25,406.9,,706.0,252.5,11300,4609662.5,,407.93,EQ
10-07-1996,399.15,410.9,398.0,405.5,,706.0,252.5,48650,19560095.0,,402.06,EQ
11-07-1996,409.75,410.0,405.0,405.3,,706.0,252.5,12250,4999235.0,,408.1,EQ
12-07-1996,405.0,405.5,402.0,403.05,,706.0,252.5,4250,1717257.5,,404.06,EQ
15-07-1996,405.0,405.0,401.05,402.85,,706.0,252.5,10100,4067067.5,,402.68,EQ
16-07-1996,405.0,405.0,398.1,400.65,,706.0,252.5,11000,4407147.5,,400.65,EQ
17-07-1996,396.0,401.0,395.0,396.8,,706.0,252.5,19950,7945660.0,,398.28,EQ
18-07-1996,395.5,399.95,380.0,382.2,,706.0,252.5,17650,6919567.5,,392.04,EQ
19-07-1996,380.0,380.0,366.05,374.5,,706.0,252.5,26950,10026330.0,,372.03,EQ
22-07-1996,373.3,376.0,371.0,373.8,,706.0,252.5,2700,1006837.5,,372.9,EQ
23-07-1996,369.5,369.5,350.05,355.5,,706.0,252.5,36750,13296085.0,,361.8,EQ
24-07-1996,350.0,365.0,350.0,361.7,,706.0,252.5,7800,2794335.0,,358.25,EQ
25-07-1996,366.85,366.9,360.0,363.0,,706.0,252.5,4200,1530190.0,,364.33,EQ
26-07-1996,364.0,364.0,360.0,361.7,,706.0,252.5,1950,703800.0,,360.92,EQ
29-07-1996,366.0,366.0,360.1,362.25,,706.0,252.5,2350,855170.0,,363.9,EQ
30-07-1996,356.5,359.75,350.0,356.3,,706.0,252.5,12050,4270140.0,,354.37,EQ
31-07-1996,357.75,374.0,356.25,371.3,,706.0,252.5,3050,1112415.0,,364.73,EQ
01-08-1996,378.0,378.0,359.0,360.35,,706.0,252.5,5300,1955542.5,,368.97,EQ
02-08-1996,358.0,363.95,358.0,361.25,,706.0,252.5,1550,559460.0,,360.94,EQ
05-08-1996,360.0,366.45,360.0,364.6,,706.0,252.5,1950,707050.0,,362.59,EQ
06-08-1996,362.0,367.5,360.0,360.2,,706.0,252.5,15900,5752935.0,,361.82,EQ
07-08-1996,367.5,369.5,364.05,365.2,,706.0,252.5,3150,1157715.0,,367.53,EQ
08-08-1996,369.0,370.7,369.0,370.0,,706.0,252.5,900,332765.0,,369.74,EQ
09-08-1996,370.25,370.25,365.15,367.0,,706.0,252.5,1600,587175.0,,366.98,EQ
