DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
23-08-2007,99.9,107.65,82.25,94.2,91.0,107.65,82.25,14091554,1325092522.85,,94.03,EQ
24-08-2007,93.7,110.4,91.5,105.7,105.8,110.4,82.25,8835658,906820033.2,,102.63,EQ
27-08-2007,108.25,116.3,107.0,110.4,110.8,116.3,82.25,3449702,388900790.5,,112.73,EQ
28-08-2007,108.0,111.2,101.25,102.9,103.3,116.3,82.25,1211325,128188335.9,,105.82,EQ
29-08-2007,97.15,112.4,97.15,108.25,108.5,116.3,82.25,2825704,305147663.95,,107.99,EQ
30-08-2007,109.05,111.5,104.2,105.15,105.5,116.3,82.25,645442,68934680.6,,106.8,EQ
31-08-2007,106.0,108.6,103.0,104.95,104.0,116.3,82.25,447036,47441300.85,,106.12,EQ
03-09-2007,105.5,107.9,104.1,105.5,105.2,116.3,82.25,314564,33287017.9,,105.82,EQ
04-09-2007,106.0,108.9,103.6,104.25,104.75,116.3,82.25,805190,86008762.75,,106.82,EQ
05-09-2007,105.4,116.3,104.6,108.9,108.25,116.3,82.25,2041826,227645464.1,,111.49,EQ
06-09-2007,107.8,118.35,107.8,115.5,116.8,118.35,82.25,1679833,193382715.25,,115.12,EQ
07-09-2007,117.6,119.35,110.05,111.35,111.7,119.35,82.25,680324,78195235.55,,114.94,EQ
10-09-2007,109.5,112.0,107.0,110.25,110.5,119.35,82.25,325916,35904553.2,,110.17,EQ
11-09-2007,111.5,111.9,104.1,107.4,108.0,119.35,82.25,209124,22654726.65,,108.33,EQ
12-09-2007,108.9,111.0,106.2,107.55,108.4,119.35,82.25,284256,30863684.55,,108.58,EQ
13-09-2007,108.7,109.8,106.2,106.9,107.0,119.35,82.25,137236,14758686.8,,107.54,EQ
14-09-2007,107.55,108.0,103.0,103.7,103.85,119.35,82.25,100162,10534441.6,,105.17,EQ
17-09-2007,105.0,106.4,101.1,104.0,104.65,119.35,82.25,100651,10496724.75,,104.29,EQ
18-09-2007,104.85,111.5,103.65,106.85,106.5,119.35,82.25,338355,36845336.6,,108.9,EQ
19-09-2007,109.5,109.95,103.25,105.1,105.0,119.35,82.25,146685,15553733.2,,106.03,EQ
20-09-2007,106.0,107.2,101.1,103.2,103.5,119.35,82.25,154236,16063715.0,,104.15,EQ
21-09-2007,104.25,110.0,103.0,108.15,108.8,119.35,82.25,397103,42881949.25,,107.99,EQ
24-09-2007,107.1,110.8,104.3,105.35,105.5,119.35,82.25,43846,4640844.05,,105.84,EQ
25-09-2007,105.0,105.6,102.5,102.8,103.0,119.35,82.25,57665,6003070.25,,104.1,EQ
26-09-2007,104.7,109.8,103.0,106.6,106.5,119.35,82.25,440223,47188348.15,,107.19,EQ
27-09-2007,106.65,113.45,105.1,107.85,108.0,119.35,82.25,628381,69439307.5,,110.51,EQ
28-09-2007,110.0,110.0,105.0,105.8,106.0,119.35,82.25,69855,7419515.95,,106.21,EQ
01-10-2007,107.95,107.95,103.5,104.35,104.3,119.35,82.25,52796,5547295.6,,105.07,EQ
03-10-2007,106.8,108.25,102.0,104.8,105.0,119.35,82.25,126815,13317344.8,,105.01,EQ
04-10-2007,104.5,105.5,102.1,103.5,103.5,119.35,82.25,50118,5215055.55,,104.06,EQ
05-10-2007,104.7,104.9,103.0,104.05,104.0,119.35,82.25,36607,3807609.25,,104.01,EQ
08-10-2007,104.05,104.05,99.65,100.4,100.25,119.35,82.25,50038,5081628.85,,101.56,EQ
09-10-2007,103.3,111.0,99.8,107.2,106.0,119.35,82.25,180815,19364344.95,,107.09,EQ
10-10-2007,106.15,106.85,103.0,104.0,103.9,119.35,82.25,43697,4577682.15,,104.76,EQ
11-10-2007,104.0,104.8,102.75,103.55,103.1,119.35,82.25,10048,1039230.1,,103.43,EQ
12-10-2007,102.9,104.5,100.55,101.6,102.0,119.35,82.25,36177,3723881.75,,102.94,EQ
15-10-2007,103.5,104.5,101.15,101.65,102.0,119.35,82.25,20560,2109753.4,,102.61,EQ
16-10-2007,101.5,103.5,99.5,100.2,100.5,119.35,82.25,28071,2837566.05,,101.09,EQ
