DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
15-11-2023,303.3,316.7,303.3,310.1,309.9,316.7,303.3,21693577,6708480922.0,217895,309.24,EQ
16-11-2023,317.0,319.7,311.0,313.85,313.1,319.7,303.3,4725578,1493149957.0,56540,315.97,EQ
17-11-2023,312.0,318.8,306.2,310.15,310.05,319.7,303.3,2579193,806418569.05,35660,312.66,EQ
20-11-2023,310.15,311.45,292.35,300.1,300.0,319.7,292.35,2760212,825274641.85,46469,298.99,EQ
21-11-2023,302.05,307.5,297.7,298.55,298.15,319.7,292.35,1936376,585581604.15,24393,302.41,EQ
22-11-2023,298.7,301.8,290.0,290.9,290.0,319.7,290.0,894399,263016354.5,18738,294.07,EQ
23-11-2023,293.05,302.1,291.3,293.1,293.8,319.7,290.0,1042513,309520482.45,18228,296.9,EQ
24-11-2023,294.65,296.4,293.1,294.5,296.0,319.7,290.0,353653,104160206.2,5819,294.53,EQ
28-11-2023,297.25,302.15,295.05,296.2,297.0,319.7,290.0,728239,216471776.75,14210,297.25,EQ
29-11-2023,298.9,299.65,293.0,293.45,293.35,319.7,290.0,668376,196836511.3,9768,294.5,EQ
30-11-2023,294.6,296.45,290.2,294.8,294.75,319.7,290.0,563831,165264812.15,10545,293.11,EQ
01-12-2023,297.8,298.0,293.45,295.9,296.0,319.7,290.0,421481,124720114.3,7668,295.91,EQ
04-12-2023,292.3,294.45,286.0,289.5,289.9,319.7,286.0,1145440,332113794.5,27391,289.94,EQ
05-12-2023,291.0,292.45,284.55,285.75,285.9,319.7,284.55,574264,164392082.1,17404,286.27,EQ
06-12-2023,287.0,291.45,285.25,286.5,286.15,319.7,284.55,658851,189969956.0,12190,288.34,EQ
07-12-2023,288.9,289.3,285.2,286.4,286.0,319.7,284.55,259131,74232096.1,4892,286.47,EQ
08-12-2023,286.5,287.45,275.5,277.2,277.75,319.7,275.5,618624,173066483.8,16876,279.76,EQ
11-12-2023,279.0,283.9,277.6,279.75,279.95,319.7,275.5,341149,95726513.65,7671,280.6,EQ
12-12-2023,279.75,288.5,277.15,286.4,286.0,319.7,275.5,998633,283509453.5,15669,283.9,EQ
13-12-2023,286.4,294.0,281.55,291.2,294.0,319.7,275.5,605804,174782989.5,17680,288.51,EQ
14-12-2023,295.05,297.85,287.6,289.7,289.4,319.7,275.5,706497,206574406.6,14880,292.39,EQ
15-12-2023,292.4,292.45,285.55,287.15,286.5,319.7,275.5,296354,85484276.3,7778,288.45,EQ
18-12-2023,287.15,289.0,280.0,281.85,281.5,319.7,275.5,303237,86374836.55,7312,284.84,EQ
19-12-2023,284.5,289.05,282.0,286.85,286.3,319.7,275.5,310206,88584615.4,7649,285.57,EQ
20-12-2023,289.25,289.25,275.0,276.35,275.8,319.7,275.0,433476,121665228.9,11131,280.67,EQ
21-12-2023,275.0,282.9,271.4,280.35,280.2,319.7,271.4,668496,184414840.5,14069,275.87,EQ
22-12-2023,281.9,282.2,277.5,279.85,279.2,319.7,271.4,185900,51953508.8,6434,279.47,EQ
26-12-2023,279.95,280.85,276.1,280.0,280.05,319.7,271.4,155437,43250070.65,3895,278.25,EQ
27-12-2023,280.1,286.0,278.0,285.05,285.0,319.7,271.4,485531,138117072.95,7453,284.47,EQ
28-12-2023,288.45,292.4,286.55,288.1,288.0,319.7,271.4,415721,120042180.2,9722,288.76,EQ
29-12-2023,291.3,292.8,286.05,290.5,289.1,319.7,271.4,486018,140708378.3,9703,289.51,EQ
01-01-2024,290.35,290.5,285.15,285.75,285.85,319.7,271.4,133432,38322292.1,3932,287.2,EQ
02-01-2024,289.45,289.5,281.05,284.2,283.9,319.7,271.4,315195,89791127.45,11683,284.87,EQ
03-01-2024,283.6,291.5,282.05,288.7,289.0,319.7,271.4,255648,73144707.7,7070,286.11,EQ
04-01-2024,289.5,291.5,284.2,287.9,288.0,319.7,271.4,215782,62429116.75,5663,289.32,EQ
05-01-2024,285.55,294.9,285.05,288.35,288.7,319.7,271.4,416101,120728705.7,8616,290.14,EQ
08-01-2024,289.9,289.9,284.05,285.1,286.5,319.7,271.4,111353,31862587.5,3614,286.14,EQ
09-01-2024,287.1,288.5,284.0,286.95,287.0,319.7,271.4,161558,46183204.75,3358,285.86,EQ
10-01-2024,285.0,291.3,283.0,289.6,289.0,319.7,271.4,272348,78319860.05,5312,287.57,EQ
11-01-2024,287.25,290.55,284.05,285.45,285.7,319.7,271.4,213788,61516767.5,4144,287.75,EQ
12-01-2024,287.95,288.6,284.5,287.35,286.15,319.7,271.4,142201,40724661.65,4247,286.39,EQ
15-01-2024,288.9,290.5,283.55,285.15,286.0,319.7,271.4,263568,75459951.65,6241,286.3,EQ
16-01-2024,285.2,290.4,284.05,286.35,285.85,319.7,271.4,252550,72553387.7,6912,287.28,EQ
17-01-2024,285.0,288.05,282.6,283.8,283.45,319.7,271.4,176791,50564072.7,7430,286.01,EQ
18-01-2024,284.55,295.95,276.75,292.45,294.0,319.7,271.4,925404,268891078.25,15279,290.57,EQ
19-01-2024,295.0,306.3,293.05,302.65,302.45,319.7,271.4,1233773,370998290.25,22395,300.7,EQ
20-01-2024,303.6,308.8,298.0,300.45,299.75,319.7,271.4,503530,152311351.95,10089,302.49,EQ
23-01-2024,303.0,303.0,286.1,290.15,289.65,319.7,271.4,333652,97779581.55,7709,293.06,EQ
24-01-2024,292.0,292.0,284.0,286.9,285.4,319.7,271.4,307128,87975601.9,10358,286.45,EQ
25-01-2024,286.25,292.7,285.2,289.85,289.5,319.7,271.4,221207,63848855.15,6790,288.64,EQ
29-01-2024,292.35,297.95,287.55,294.25,295.0,319.7,271.4,593878,174292311.45,12598,293.48,EQ
30-01-2024,297.65,297.65,290.6,294.45,292.7,319.7,271.4,350021,103289889.7,10005,295.1,EQ
31-01-2024,300.0,312.0,298.0,301.05,302.0,319.7,271.4,801549,244776309.3,20559,305.38,EQ
01-02-2024,303.65,325.55,301.15,321.15,321.9,325.55,271.4,2449328,775655739.05,45372,316.68,EQ
02-02-2024,329.0,331.0,312.35,315.35,313.0,331.0,271.4,1114022,355865860.5,23181,319.44,EQ
05-02-2024,315.35,323.45,303.0,306.65,304.7,331.0,271.4,617512,194395726.25,13337,314.8,EQ
06-02-2024,322.0,331.0,311.2,317.5,317.75,331.0,271.4,1880448,609035802.15,37237,323.88,EQ
07-02-2024,321.5,329.0,318.8,326.2,326.0,331.0,271.4,1026349,333009431.4,23062,324.46,EQ
08-02-2024,328.0,334.55,314.5,316.85,318.0,334.55,271.4,1077683,348291593.35,22053,323.19,EQ
09-02-2024,319.65,319.7,305.35,314.7,315.9,334.55,271.4,477797,149285585.1,12314,312.45,EQ
12-02-2024,316.85,316.85,297.05,299.75,298.0,334.55,271.4,530527,160733368.3,15907,302.97,EQ
13-02-2024,299.1,301.0,288.45,291.55,292.0,334.55,271.4,391206,115007102.55,8714,293.98,EQ
14-02-2024,288.05,308.7,286.2,305.0,305.55,334.55,271.4,711733,214376620.65,19280,301.2,EQ
15-02-2024,310.0,310.65,301.0,303.05,302.9,334.55,271.4,263945,80623531.2,6758,305.46,EQ
16-02-2024,303.05,306.0,301.0,301.75,302.3,334.55,271.4,161193,48902566.5,5916,303.38,EQ
19-02-2024,301.75,308.0,301.2,305.05,305.0,334.55,271.4,241703,73704960.9,5885,304.94,EQ
20-02-2024,305.05,306.0,301.0,302.55,302.2,334.55,271.4,134361,40680384.05,3305,302.77,EQ
21-02-2024,303.8,303.8,294.3,296.95,296.9,334.55,271.4,211903,63185371.2,4905,298.18,EQ
22-02-2024,297.8,299.0,292.2,297.15,298.5,334.55,271.4,122481,36275873.9,7142,296.18,EQ
23-02-2024,297.15,312.0,295.1,309.75,308.45,334.55,271.4,483910,147858684.0,11419,305.55,EQ
26-02-2024,311.0,313.0,305.35,307.85,306.65,334.55,271.4,401671,124045137.65,12616,308.82,EQ
27-02-2024,309.0,309.0,298.5,301.5,301.9,334.55,271.4,321719,97325117.15,11665,302.52,EQ
28-02-2024,301.0,304.4,293.2,296.1,294.4,334.55,271.4,292144,86823439.35,10756,297.19,EQ
29-02-2024,294.2,296.05,290.1,292.55,293.45,334.55,271.4,187270,54776387.35,5912,292.5,EQ
01-03-2024,294.65,297.3,293.0,294.95,294.7,334.55,271.4,238277,70224610.9,6225,294.72,EQ
02-03-2024,294.8,298.6,292.0,295.75,295.0,334.55,271.4,38763,11482492.05,1024,296.22,EQ
04-03-2024,295.65,299.7,287.25,288.25,288.6,334.55,271.4,243096,70715741.85,6804,290.9,EQ
05-03-2024,288.0,293.5,285.5,286.45,286.75,334.55,271.4,213041,61231194.55,5723,287.42,EQ
06-03-2024,288.0,288.0,275.0,278.0,278.0,334.55,271.4,340359,94829096.9,16875,278.61,EQ
07-03-2024,280.0,283.35,277.0,280.2,280.5,334.55,271.4,125858,35319093.95,3094,280.63,EQ
11-03-2024,280.7,281.0,270.25,272.1,270.85,334.55,270.25,236474,65081233.25,9378,275.22,EQ
12-03-2024,270.95,274.75,259.4,262.65,261.2,334.55,259.4,361034,95309047.35,12102,263.99,EQ
13-03-2024,262.9,267.0,240.1,243.55,241.1,334.55,240.1,396299,99606186.1,12555,251.34,EQ
14-03-2024,243.55,251.9,241.5,246.25,248.5,334.55,240.1,402500,99440636.7,18376,247.06,EQ
15-03-2024,248.5,258.0,244.1,254.35,253.4,334.55,240.1,926542,230649947.0,33592,248.94,EQ
18-03-2024,254.35,254.8,249.0,251.95,251.65,334.55,240.1,284557,71514726.95,14029,251.32,EQ
19-03-2024,252.9,258.8,250.15,253.85,253.0,334.55,240.1,266693,67540577.35,15144,253.25,EQ
20-03-2024,254.85,255.5,251.0,253.9,255.05,334.55,240.1,255157,64690215.05,17455,253.53,EQ
21-03-2024,257.5,262.5,256.05,259.9,260.5,334.55,240.1,192278,49947906.95,3620,259.77,EQ
22-03-2024,259.45,277.5,259.45,274.25,272.05,334.55,240.1,494954,134664958.8,9997,272.08,EQ
26-03-2024,274.85,275.2,266.9,270.1,269.0,334.55,240.1,230699,62555339.85,5788,271.16,EQ
27-03-2024,271.95,279.55,270.0,274.75,276.0,334.55,240.1,306723,84417650.45,7785,275.22,EQ
28-03-2024,278.5,287.6,274.75,284.6,284.1,334.55,240.1,318204,89273012.55,8137,280.55,EQ
01-04-2024,284.65,288.45,276.0,283.05,284.0,334.55,240.1,256785,72647950.6,3439,282.91,EQ
