DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
10-08-2023,47.95,47.95,45.55,45.55,45.55,47.95,45.55,209145,9600824.95,755,45.91,BE
11-08-2023,43.3,43.3,43.3,43.3,43.3,47.95,43.3,81137,3513232.1,384,43.3,BE
14-08-2023,41.15,41.15,41.15,41.15,41.15,47.95,41.15,31863,1311162.45,286,41.15,BE
16-08-2023,39.1,39.1,39.1,39.1,39.1,47.95,39.1,27590,1078769.0,247,39.1,BE
17-08-2023,37.15,39.1,37.15,37.85,37.8,47.95,37.15,3125213,116872244.3,6293,37.4,BE
18-08-2023,35.95,38.0,35.95,36.6,36.15,47.95,35.95,1125456,41088760.15,5460,36.51,BE
21-08-2023,37.7,38.0,36.55,36.85,37.7,47.95,35.95,509059,19006435.2,2432,37.34,BE
22-08-2023,35.3,36.0,35.0,35.0,35.0,47.95,35.0,529244,18585454.45,1418,35.12,BE
23-08-2023,33.6,35.25,33.25,34.75,34.75,47.95,33.25,399218,13702891.0,1822,34.32,BE
24-08-2023,34.95,36.45,34.75,36.3,36.3,47.95,33.25,568813,20499458.4,1906,36.04,BE
25-08-2023,36.55,41.6,36.55,37.2,36.85,41.6,36.55,1922876,74207847.75,10844,38.59,EQ
28-08-2023,37.75,38.3,34.5,35.65,35.95,41.6,34.5,1190438,43597052.3,6965,36.62,EQ
29-08-2023,36.1,37.7,36.1,36.75,37.0,41.6,34.5,483888,17866458.15,5284,36.92,EQ
30-08-2023,36.75,37.25,35.05,35.75,35.8,41.6,34.5,367703,13176975.7,4036,35.84,EQ
31-08-2023,35.2,36.4,33.1,33.8,33.7,41.6,33.1,828051,28321419.9,6662,34.2,EQ
01-09-2023,33.95,34.5,32.85,33.35,33.6,41.6,32.85,707495,23841941.65,6628,33.7,EQ
04-09-2023,33.95,34.45,32.1,32.75,32.8,41.6,32.1,1019564,33638394.15,7641,32.99,EQ
05-09-2023,32.8,33.55,31.3,31.5,31.6,41.6,31.3,1228571,39346514.7,9315,32.03,EQ
06-09-2023,31.7,35.8,31.65,35.5,35.7,41.6,31.3,2515626,86578287.3,10403,34.42,EQ
07-09-2023,35.9,36.0,34.85,35.25,35.5,41.6,31.3,1689100,59822799.05,6467,35.42,EQ
08-09-2023,35.1,36.3,32.65,33.8,33.75,41.6,31.3,1878093,65231413.75,9117,34.73,EQ
11-09-2023,34.3,35.3,33.65,34.05,34.0,41.6,31.3,1318216,45237945.75,4974,34.32,EQ
12-09-2023,34.9,34.9,32.75,33.2,33.0,41.6,31.3,1039630,34715026.2,5226,33.39,EQ
13-09-2023,33.2,33.8,32.5,33.15,33.2,41.6,31.3,715646,23659621.2,3241,33.06,EQ
14-09-2023,33.65,33.7,32.75,33.15,33.3,41.6,31.3,701232,23229167.4,4303,33.13,EQ
15-09-2023,33.0,34.1,32.9,33.1,33.0,41.6,31.3,924420,30908773.75,3140,33.44,EQ
18-09-2023,33.2,35.55,32.7,34.75,34.75,41.6,31.3,2718743,93391744.9,9999,34.35,EQ
20-09-2023,34.55,35.45,34.0,35.05,35.1,41.6,31.3,1658734,57740172.5,7866,34.81,EQ
21-09-2023,35.1,37.45,34.8,36.6,36.55,41.6,31.3,5339885,193966816.8,9223,36.32,EQ
22-09-2023,37.2,37.8,35.7,36.1,36.05,41.6,31.3,3864281,143320134.35,7217,37.09,EQ
25-09-2023,36.1,37.2,35.5,36.4,36.4,41.6,31.3,1618168,58942200.7,3059,36.43,EQ
26-09-2023,36.4,36.95,34.75,35.1,35.2,41.6,31.3,1606635,57288707.75,4105,35.66,EQ
27-09-2023,35.2,35.65,33.85,34.0,34.2,41.6,31.3,984689,33742148.55,3419,34.27,EQ
28-09-2023,34.3,34.75,33.8,34.0,34.2,41.6,31.3,965236,33079927.8,2487,34.27,EQ
29-09-2023,34.25,35.5,33.9,34.15,34.2,41.6,31.3,2694566,93182103.9,5030,34.58,EQ
03-10-2023,34.7,35.4,34.25,34.5,34.65,41.6,31.3,1807039,62843860.45,3667,34.78,EQ
04-10-2023,35.0,35.0,33.55,34.1,34.15,41.6,31.3,957921,32769065.05,2262,34.21,EQ
05-10-2023,34.45,36.8,34.3,36.15,36.5,41.6,31.3,4489025,160093048.9,6631,35.66,EQ
06-10-2023,36.95,39.2,36.5,38.85,38.8,41.6,31.3,6982871,265765321.9,14126,38.06,EQ
09-10-2023,38.25,39.5,36.75,36.9,36.9,41.6,31.3,2461660,93573261.35,7016,38.01,EQ
10-10-2023,37.55,38.95,37.5,38.55,38.95,41.6,31.3,2109164,80560293.15,5461,38.2,EQ
11-10-2023,39.3,42.0,38.75,40.8,40.75,42.0,31.3,4680859,190211251.75,12214,40.64,EQ
12-10-2023,41.25,43.35,40.5,42.8,42.85,43.35,31.3,3626058,152194557.7,27679,41.97,EQ
13-10-2023,43.25,43.25,41.45,41.75,41.7,43.35,31.3,1904876,80183918.1,10155,42.09,EQ
16-10-2023,41.3,42.9,40.55,41.7,41.65,43.35,31.3,1772598,73572274.6,5355,41.51,EQ
17-10-2023,42.05,44.4,41.6,43.2,43.05,44.4,31.3,2405718,103782640.3,6344,43.14,EQ
18-10-2023,43.5,46.6,42.85,43.55,43.95,46.6,31.3,3824582,170792636.8,11680,44.66,EQ
