DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
25-09-2006,175.55,208.65,175.55,192.3,190.2,208.65,175.55,12867315,2532234010.05,,196.8,EQ
26-09-2006,193.8,197.0,184.4,188.95,189.5,208.65,175.55,2835408,540560921.75,,190.65,EQ
27-09-2006,189.9,196.9,188.1,189.7,190.45,208.65,175.55,1447422,278738956.3,,192.58,EQ
28-09-2006,191.0,193.55,186.2,188.3,187.05,208.65,175.55,1488847,281824671.9,,189.29,EQ
29-09-2006,188.5,192.7,184.15,186.5,184.65,208.65,175.55,1079357,204387423.05,,189.36,EQ
03-10-2006,187.0,194.8,185.05,192.15,191.75,208.65,175.55,1416977,269881890.05,,190.46,EQ
04-10-2006,193.3,216.6,190.0,206.85,208.0,216.6,175.55,6472047,1338200222.2,,206.77,EQ
05-10-2006,209.1,225.5,208.2,219.35,219.3,225.5,175.55,4608550,1009204081.55,,218.99,EQ
06-10-2006,223.75,226.9,215.5,219.65,219.0,226.9,175.55,2670627,592843759.75,,221.99,EQ
09-10-2006,220.0,263.6,215.2,261.85,261.75,263.6,175.55,6381126,1617045297.5,,253.41,EQ
10-10-2006,263.0,273.7,258.65,267.15,268.0,273.7,175.55,6866477,1832977261.55,,266.95,EQ
11-10-2006,269.7,292.2,269.5,283.85,284.0,292.2,175.55,6179660,1761324967.25,,285.02,EQ
12-10-2006,285.0,312.25,280.15,312.15,312.25,312.25,175.55,7534233,2274613241.4,,301.9,EQ
13-10-2006,314.0,336.9,313.65,323.05,321.0,336.9,175.55,7930397,2571421767.45,,324.25,EQ
16-10-2006,324.0,329.4,316.9,324.5,327.1,336.9,175.55,3846899,1249055780.7,,324.69,EQ
17-10-2006,326.8,356.95,317.0,328.1,318.0,356.95,175.55,6846184,2331102798.6,,340.5,EQ
18-10-2006,320.0,332.8,312.1,325.65,325.65,356.95,175.55,3154743,1027919562.05,,325.83,EQ
19-10-2006,328.0,341.0,328.0,332.3,330.75,356.95,175.55,1857060,621921414.9,,334.9,EQ
20-10-2006,335.0,348.95,335.0,345.5,344.45,356.95,175.55,1922430,663450849.85,,345.11,EQ
21-10-2006,350.0,356.5,348.0,352.45,351.15,356.95,175.55,721487,255085751.15,,353.56,EQ
23-10-2006,353.0,361.9,349.55,351.55,349.55,361.9,175.55,1128143,399404404.5,,354.04,EQ
26-10-2006,354.65,362.0,351.25,353.95,354.65,362.0,175.55,1034342,368631836.5,,356.39,EQ
27-10-2006,357.85,371.65,355.3,371.05,371.65,371.65,175.55,1352545,494342652.3,,365.49,EQ
30-10-2006,373.0,389.6,373.0,389.4,389.0,389.6,175.55,1604912,617071116.5,,384.49,EQ
31-10-2006,394.9,404.85,372.0,383.65,383.95,404.85,175.55,1577951,616370322.8,,390.61,EQ
01-11-2006,389.75,400.0,366.3,369.7,368.9,404.85,175.55,1247675,471061207.45,,377.55,EQ
02-11-2006,368.7,388.2,358.65,387.35,388.2,404.85,175.55,915336,349131432.6,,381.42,EQ
03-11-2006,390.0,398.0,382.65,388.2,385.6,404.85,175.55,1011795,396328409.6,,391.71,EQ
06-11-2006,390.0,407.65,385.0,407.5,407.65,407.65,175.55,1291546,513981246.55,,397.96,EQ
07-11-2006,417.0,425.0,405.05,407.9,409.05,425.0,175.55,1192247,492331699.05,,412.94,EQ
08-11-2006,409.9,417.8,404.0,411.85,414.4,425.0,175.55,602515,248084596.1,,411.75,EQ
09-11-2006,413.0,432.45,409.25,432.45,432.45,432.45,175.55,600075,255674347.5,,426.07,EQ
10-11-2006,444.0,454.1,440.1,454.1,454.1,454.1,175.55,50597,22949395.3,,453.57,EQ
13-11-2006,474.8,476.85,474.8,476.85,476.85,476.85,175.55,17630,8404647.15,,476.72,EQ
14-11-2006,497.7,500.7,487.0,500.7,500.7,500.7,175.55,213546,106617119.7,,499.27,EQ
15-11-2006,525.75,525.75,519.8,525.75,525.75,525.75,175.55,69514,36458463.15,,524.48,EQ
16-11-2006,536.1,552.05,536.1,552.05,552.05,552.05,175.55,254057,139813762.8,,550.32,EQ
17-11-2006,574.45,579.65,540.0,579.65,579.65,579.65,175.55,1329920,759867335.2,,571.36,EQ
20-11-2006,593.0,608.65,586.1,608.65,608.65,608.65,175.55,978478,586548802.8,,599.45,EQ
21-11-2006,628.0,639.1,628.0,639.1,639.1,639.1,175.55,91329,58241131.0,,637.71,EQ
22-11-2006,671.1,671.1,671.1,671.1,671.1,671.1,175.55,12291,8248490.1,,671.1,EQ
23-11-2006,704.7,704.7,704.7,704.7,704.7,704.7,175.55,10031,7068845.7,,704.7,EQ
24-11-2006,739.95,739.95,685.5,739.95,739.95,739.95,175.55,808323,592008714.1,,732.39,EQ
27-11-2006,776.0,776.95,741.3,776.95,776.95,776.95,175.55,646370,494158322.8,,764.51,EQ
