DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
06-11-2024,440.0,449.95,430.0,443.25,441.75,449.95,430.0,46731,20611509.0,3800,441.07,EQ
07-11-2024,441.0,451.0,435.0,439.75,436.15,451.0,430.0,35185,15613633.85,2853,443.76,EQ
08-11-2024,433.0,442.85,414.9,424.5,428.0,451.0,414.9,72913,30997699.65,6083,425.13,EQ
11-11-2024,416.15,443.7,412.65,416.3,427.0,451.0,412.65,46768,19792646.9,4818,423.21,EQ
12-11-2024,422.55,470.0,415.05,430.25,437.0,470.0,412.65,162255,71326188.1,11823,439.59,EQ
13-11-2024,422.1,469.5,422.1,461.3,462.9,470.0,412.65,371900,170081383.8,23851,457.33,EQ
14-11-2024,462.0,464.0,447.75,457.45,455.0,470.0,412.65,203724,92326814.55,6976,453.2,EQ
18-11-2024,450.1,458.9,431.55,452.8,452.85,470.0,412.65,79123,35230267.55,6037,445.26,EQ
19-11-2024,459.95,488.0,459.95,472.9,471.0,488.0,412.65,189376,89915267.4,13958,474.8,EQ
21-11-2024,472.0,487.2,451.05,468.25,468.0,488.0,412.65,103979,48368822.5,19685,465.18,EQ
22-11-2024,463.5,485.0,461.3,482.35,484.95,488.0,412.65,69547,33100235.5,5793,475.94,EQ
25-11-2024,490.0,504.0,486.1,495.95,498.9,504.0,412.65,273745,135745194.35,21033,495.88,EQ
26-11-2024,495.95,498.6,474.35,476.6,477.0,504.0,412.65,69698,33698158.25,5745,483.49,EQ
27-11-2024,479.95,480.05,460.0,461.65,464.0,504.0,412.65,62925,29311433.25,6203,465.82,EQ
28-11-2024,473.0,496.0,470.3,484.6,486.0,504.0,412.65,231863,111922921.3,11976,482.71,EQ
29-11-2024,494.6,494.6,472.35,475.45,475.95,504.0,412.65,48510,23192422.85,5292,478.1,EQ
02-12-2024,479.2,480.45,455.5,461.7,464.0,504.0,412.65,364007,168159328.55,12082,461.97,EQ
03-12-2024,468.0,479.8,462.1,475.55,474.0,504.0,412.65,96402,45437165.05,5255,471.33,EQ
04-12-2024,474.05,489.45,461.1,479.65,480.0,504.0,412.65,74055,35540926.95,5344,479.93,EQ
05-12-2024,485.0,485.1,474.0,480.45,479.5,504.0,412.65,53836,25797193.0,3596,479.18,EQ
06-12-2024,485.25,495.0,473.1,479.75,480.0,504.0,412.65,69216,33316430.75,3162,481.34,EQ
09-12-2024,480.0,494.95,470.05,474.3,476.9,504.0,412.65,273357,130960689.8,17902,479.08,EQ
10-12-2024,475.1,505.0,465.95,498.85,500.0,505.0,412.65,293066,144143684.7,9208,491.85,EQ
11-12-2024,503.6,524.45,483.05,493.4,491.2,524.45,412.65,195270,96412704.75,7902,493.74,EQ
12-12-2024,490.5,493.5,481.15,489.0,487.75,524.45,412.65,69208,33721078.4,3595,487.24,EQ
13-12-2024,492.0,495.0,478.0,488.55,486.0,524.45,412.65,77593,37518106.35,3003,483.52,EQ
16-12-2024,488.55,495.0,480.15,486.1,486.0,524.45,412.65,85779,41651779.8,3161,485.57,EQ
17-12-2024,489.9,511.5,482.5,505.9,510.0,524.45,412.65,295348,147242013.5,6819,498.54,EQ
18-12-2024,510.0,523.5,504.05,519.95,512.0,524.45,412.65,306380,157018599.2,7021,512.5,EQ
19-12-2024,501.05,520.95,499.95,510.35,511.25,524.45,412.65,266405,135935207.6,6346,510.26,EQ
20-12-2024,516.0,536.45,511.0,528.15,530.65,536.45,412.65,372230,195796070.15,13594,526.01,EQ
23-12-2024,530.1,537.15,502.65,506.9,506.05,537.15,412.65,124176,63726624.55,7842,513.2,EQ
24-12-2024,506.95,519.45,500.2,514.8,504.0,537.15,412.65,67864,34540659.6,4951,508.97,EQ
26-12-2024,517.65,530.3,501.35,527.95,522.9,537.15,412.65,125702,65295353.55,5732,519.45,EQ
27-12-2024,530.0,546.6,511.1,516.95,519.0,546.6,412.65,226635,119166466.55,7188,525.81,EQ
