DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
04-01-2023,80.5,84.4,72.3,73.45,72.7,84.4,72.3,55355,4262435.6,1187,77.0,EQ
05-01-2023,77.4,77.4,70.85,74.7,74.7,84.4,70.85,22526,1680337.1,631,74.6,EQ
06-01-2023,76.5,76.5,72.0,72.55,72.35,84.4,70.85,10600,785871.4,310,74.14,EQ
09-01-2023,73.3,74.2,71.15,72.25,71.35,84.4,70.85,8716,632934.0,323,72.62,EQ
10-01-2023,71.05,73.05,70.25,70.7,70.3,84.4,70.25,18023,1282029.55,376,71.13,EQ
11-01-2023,70.3,72.75,70.3,71.75,72.6,84.4,70.25,9160,657144.6,212,71.74,EQ
12-01-2023,73.65,73.65,69.95,70.45,70.0,84.4,69.95,6311,448264.8,339,71.03,EQ
13-01-2023,70.5,70.95,67.0,68.0,68.0,84.4,67.0,15480,1069160.55,321,69.07,EQ
16-01-2023,69.4,77.9,68.9,73.25,72.95,84.4,67.0,39468,2926782.75,1183,74.16,EQ
17-01-2023,75.9,75.9,72.6,73.6,73.35,84.4,67.0,18873,1403235.8,828,74.35,EQ
18-01-2023,73.5,76.9,71.25,72.05,73.25,84.4,67.0,24963,1843811.9,1125,73.86,EQ
19-01-2023,72.85,74.1,71.05,73.1,72.3,84.4,67.0,12618,920200.9,608,72.93,EQ
20-01-2023,73.25,75.7,73.15,73.75,73.55,84.4,67.0,17872,1329449.95,595,74.39,EQ
23-01-2023,73.85,74.85,72.4,72.9,72.95,84.4,67.0,6666,490616.75,386,73.6,EQ
24-01-2023,72.05,73.8,69.5,70.9,71.25,84.4,67.0,14167,1009807.1,404,71.28,EQ
25-01-2023,70.95,71.75,68.85,69.2,69.25,84.4,67.0,16134,1127138.15,325,69.86,EQ
27-01-2023,71.15,71.3,67.05,70.75,70.75,84.4,67.0,12349,843812.4,519,68.33,EQ
30-01-2023,73.25,73.25,67.0,68.1,68.2,84.4,67.0,17348,1193913.6,573,68.82,EQ
31-01-2023,68.25,70.85,66.35,70.1,70.85,84.4,66.35,15825,1079160.05,507,68.19,EQ
01-02-2023,71.25,71.55,68.0,69.65,70.0,84.4,66.35,21179,1460645.3,651,68.97,EQ
02-02-2023,69.6,69.6,67.3,67.75,67.3,84.4,66.35,18485,1254496.2,232,67.87,EQ
03-02-2023,69.3,69.9,67.15,67.5,68.0,84.4,66.35,14183,970682.4,295,68.44,EQ
06-02-2023,71.6,71.6,67.3,68.05,69.25,84.4,66.35,12454,849714.65,400,68.23,EQ
07-02-2023,69.25,69.25,67.0,67.8,68.1,84.4,66.35,7988,543560.4,225,68.05,EQ
08-02-2023,68.2,69.9,68.0,68.85,69.0,84.4,66.35,11150,768248.1,459,68.9,EQ
09-02-2023,68.35,68.35,67.3,67.8,67.45,84.4,66.35,8763,594588.25,189,67.85,EQ
10-02-2023,68.05,80.8,67.7,71.1,71.85,84.4,66.35,161307,12263956.7,2550,76.03,EQ
13-02-2023,72.0,72.0,68.65,69.0,69.9,84.4,66.35,13475,947421.3,463,70.31,EQ
14-02-2023,68.2,73.75,65.85,68.8,67.95,84.4,65.85,15075,1052233.15,338,69.8,EQ
15-02-2023,70.0,70.0,65.9,66.85,67.4,84.4,65.85,10716,719093.05,365,67.1,EQ
16-02-2023,68.95,69.75,67.1,67.8,68.65,84.4,65.85,6353,431271.9,184,67.88,EQ
17-02-2023,68.65,68.65,65.5,65.75,65.5,84.4,65.5,15584,1040778.95,218,66.79,EQ
20-02-2023,65.1,67.3,64.15,64.5,64.25,84.4,64.15,35219,2302961.4,286,65.39,EQ
21-02-2023,65.75,65.75,62.95,63.95,62.95,84.4,62.95,26833,1730136.15,236,64.48,EQ
22-02-2023,62.95,66.15,62.95,64.0,64.95,84.4,62.95,35421,2282440.5,863,64.44,EQ
23-02-2023,65.0,65.9,61.45,63.3,63.75,84.4,61.45,40898,2609694.8,1147,63.81,EQ
24-02-2023,63.3,64.8,61.55,62.5,61.55,84.4,61.45,11601,734597.45,342,63.32,EQ
27-02-2023,62.75,64.5,61.2,62.65,63.95,84.4,61.2,10898,687208.95,333,63.06,EQ
28-02-2023,64.25,65.05,63.5,64.05,64.0,84.4,61.2,17800,1144481.25,474,64.3,EQ
01-03-2023,64.8,65.25,62.1,64.1,64.65,84.4,61.2,11454,732790.7,557,63.98,EQ
02-03-2023,64.9,66.5,63.1,63.35,63.25,84.4,61.2,46676,3027193.95,1005,64.86,EQ
03-03-2023,63.5,64.9,63.0,64.6,64.9,84.4,61.2,22522,1447452.3,562,64.27,EQ
06-03-2023,65.75,65.75,64.1,64.65,64.3,84.4,61.2,44352,2883251.15,542,65.01,EQ
08-03-2023,64.65,66.25,62.85,64.75,65.1,84.4,61.2,39371,2568922.95,621,65.25,EQ
09-03-2023,66.4,66.9,63.7,64.65,64.7,84.4,61.2,72072,4722078.85,730,65.52,EQ
10-03-2023,64.4,65.4,63.65,64.3,64.85,84.4,61.2,16869,1086460.2,373,64.41,EQ
13-03-2023,65.95,65.95,61.9,64.15,64.0,84.4,61.2,26846,1690487.3,609,62.97,EQ
14-03-2023,64.45,64.8,62.45,63.35,63.25,84.4,61.2,22476,1422634.8,357,63.3,EQ
