DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-01-2021,436.1,489.9,395.55,407.35,409.0,489.9,395.55,23063817,10210511131.45,679588,442.71,EQ
04-01-2021,403.4,403.4,362.0,378.35,376.0,489.9,362.0,5717110,2156206493.05,168998,377.15,EQ
05-01-2021,370.0,376.0,360.0,365.1,364.1,489.9,360.0,1994481,733139270.95,46122,367.58,EQ
06-01-2021,361.0,373.5,358.05,361.2,359.6,489.9,358.05,1143788,418817436.05,28396,366.17,EQ
07-01-2021,361.7,369.4,361.7,365.45,368.35,489.9,358.05,563812,206133792.85,16556,365.61,EQ
08-01-2021,367.9,378.7,365.05,374.9,375.25,489.9,358.05,1002929,373638820.95,24618,372.55,EQ
11-01-2021,377.0,377.3,365.9,369.7,370.25,489.9,358.05,454047,167571355.35,15207,369.06,EQ
12-01-2021,366.55,375.95,365.7,374.2,372.5,489.9,358.05,574388,213092122.15,17475,370.99,EQ
13-01-2021,373.05,377.9,366.45,374.55,377.9,489.9,358.05,498965,185232270.6,28294,371.23,EQ
14-01-2021,375.4,376.95,365.65,368.35,365.7,489.9,358.05,154429,57237492.1,5661,370.64,EQ
15-01-2021,364.5,368.6,361.0,361.9,361.9,489.9,358.05,187589,68391299.0,7394,364.58,EQ
18-01-2021,362.0,364.9,345.1,347.85,346.0,489.9,345.1,225062,79319050.55,10517,352.43,EQ
19-01-2021,348.2,353.1,342.0,344.7,342.0,489.9,342.0,143027,49726217.45,6300,347.67,EQ
20-01-2021,340.1,343.5,325.5,329.3,326.4,489.9,325.5,417739,140019954.95,15193,335.19,EQ
21-01-2021,330.0,332.15,312.0,313.6,314.05,489.9,312.0,395378,126856739.55,15616,320.85,EQ
22-01-2021,313.6,313.6,250.9,302.8,301.9,489.9,250.9,458913,138895097.65,14602,302.66,EQ
25-01-2021,306.0,312.7,292.1,294.05,292.65,489.9,250.9,238698,71709069.45,10155,300.42,EQ
27-01-2021,294.0,294.95,283.35,285.25,284.95,489.9,250.9,170244,48929142.0,7027,287.41,EQ
28-01-2021,280.0,283.6,276.25,277.8,277.95,489.9,250.9,160550,44849764.6,6715,279.35,EQ
29-01-2021,279.5,288.5,279.5,282.65,282.0,489.9,250.9,194966,55293060.1,7716,283.6,EQ
01-02-2021,283.95,311.7,278.3,302.75,303.1,489.9,250.9,695250,209473422.6,28711,301.29,EQ
02-02-2021,304.0,309.45,297.6,303.6,301.9,489.9,250.9,246349,74837754.95,8372,303.79,EQ
03-02-2021,304.0,309.45,300.7,303.15,303.15,489.9,250.9,197180,60146816.1,7663,305.04,EQ
04-02-2021,301.1,315.6,301.1,310.85,311.5,489.9,250.9,277337,86420646.3,8764,311.61,EQ
05-02-2021,317.0,325.9,310.85,322.25,325.05,489.9,250.9,389581,124108907.65,12189,318.57,EQ
08-02-2021,324.5,331.55,322.0,322.5,322.1,489.9,250.9,179148,58395059.65,6547,325.96,EQ
09-02-2021,325.4,325.4,317.0,318.8,318.0,489.9,250.9,106252,34116679.35,4082,321.09,EQ
10-02-2021,321.0,336.4,315.85,329.5,331.0,489.9,250.9,178527,58034765.85,6666,325.08,EQ
11-02-2021,331.0,335.0,319.25,320.7,320.65,489.9,250.9,139846,45492335.5,4842,325.3,EQ
12-02-2021,322.75,322.75,315.0,315.6,315.05,489.9,250.9,85371,27101582.65,4402,317.46,EQ
15-02-2021,315.95,318.15,305.5,308.3,306.0,489.9,250.9,141500,44124841.4,6096,311.84,EQ
16-02-2021,308.3,312.05,302.65,304.2,304.3,489.9,250.9,81315,24913413.45,3506,306.38,EQ
17-02-2021,304.0,311.9,300.05,308.2,306.5,489.9,250.9,143209,43663710.85,6091,304.9,EQ
18-02-2021,310.4,310.4,305.0,307.15,307.9,489.9,250.9,98469,30300875.7,4487,307.72,EQ
19-02-2021,307.0,311.2,300.4,301.85,303.5,489.9,250.9,146290,44759268.2,7548,305.96,EQ
22-02-2021,303.0,304.9,295.0,296.65,295.0,489.9,250.9,86255,25788358.9,4402,298.98,EQ
23-02-2021,292.5,316.0,292.5,313.95,315.45,489.9,250.9,441412,133783093.7,21063,303.08,EQ
24-02-2021,315.5,317.8,303.5,304.75,304.5,489.9,250.9,57662,17888044.85,3521,310.22,EQ
25-02-2021,309.0,309.4,302.05,303.8,303.25,489.9,250.9,114656,35064091.1,6648,305.82,EQ
26-02-2021,303.0,306.6,296.05,298.2,298.4,489.9,250.9,110941,33315208.95,5000,300.3,EQ
01-03-2021,300.1,302.4,298.05,299.9,299.5,489.9,250.9,96865,29054277.15,3849,299.95,EQ
02-03-2021,303.0,304.5,299.0,300.35,300.2,489.9,250.9,130795,39282364.3,4215,300.34,EQ
03-03-2021,304.5,306.85,298.1,300.2,301.25,489.9,250.9,141336,42687912.6,5131,302.03,EQ
04-03-2021,302.5,302.5,299.05,300.2,300.15,489.9,250.9,65941,19847338.2,3014,300.99,EQ
05-03-2021,299.85,302.45,295.0,297.25,297.1,489.9,250.9,65056,19459451.5,3078,299.12,EQ
08-03-2021,301.4,301.4,295.0,296.0,295.75,489.9,250.9,67966,20238991.5,4283,297.78,EQ
09-03-2021,296.0,301.9,295.0,296.1,295.9,489.9,250.9,101920,30342132.5,4000,297.71,EQ
10-03-2021,298.0,300.4,296.0,297.1,296.5,489.9,250.9,48501,14463991.55,2075,298.22,EQ
12-03-2021,297.15,298.95,292.0,293.15,292.5,489.9,250.9,54044,15970958.75,2548,295.52,EQ
15-03-2021,290.5,292.45,283.15,285.7,286.0,489.9,250.9,81778,23514119.7,4339,287.54,EQ
16-03-2021,287.0,293.85,281.2,282.4,282.9,489.9,250.9,62227,17813740.25,2810,286.27,EQ
17-03-2021,284.9,284.9,278.0,279.45,279.0,489.9,250.9,100211,28194939.15,4475,281.36,EQ
18-03-2021,281.5,285.0,269.7,270.95,270.2,489.9,250.9,97995,27033471.65,5677,275.87,EQ
19-03-2021,269.0,270.95,258.65,263.5,263.4,489.9,250.9,116570,30693209.4,6244,263.3,EQ
22-03-2021,263.5,268.8,263.0,264.05,263.0,489.9,250.9,71030,18863529.45,3230,265.57,EQ
23-03-2021,263.0,271.5,263.0,267.35,268.0,489.9,250.9,60864,16339808.2,2462,268.46,EQ
24-03-2021,267.35,268.15,264.0,264.35,264.1,489.9,250.9,48923,12984486.0,2427,265.41,EQ
