DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
26-05-2008,898.0,898.0,551.35,604.75,600.25,898.0,551.35,3972485,2481244757.9,,624.61,EQ
27-05-2008,624.7,639.0,580.3,593.15,595.5,898.0,551.35,1751063,1061900687.0,,606.43,EQ
28-05-2008,561.65,621.9,561.65,608.15,605.1,898.0,551.35,1652355,1005877489.3,,608.75,EQ
29-05-2008,619.4,619.4,576.0,599.45,600.0,898.0,551.35,669269,402216512.65,,600.98,EQ
30-05-2008,605.4,607.0,538.0,571.7,576.25,898.0,538.0,1262117,713793720.6,,565.55,EQ
02-06-2008,605.5,615.0,570.7,580.8,573.0,898.0,538.0,206640,123632603.3,,598.3,EQ
03-06-2008,596.0,602.0,555.15,579.7,577.0,898.0,538.0,157283,90568024.4,,575.83,EQ
04-06-2008,597.85,597.85,547.5,552.1,550.0,898.0,538.0,326450,183999348.15,,563.64,EQ
05-06-2008,553.0,588.8,532.4,562.4,548.0,898.0,532.4,238915,133960349.35,,560.7,EQ
06-06-2008,567.0,574.7,544.4,568.8,572.0,898.0,532.4,73920,41719027.65,,564.38,EQ
09-06-2008,575.0,575.0,524.0,548.8,552.0,898.0,524.0,321199,175317567.75,,545.82,EQ
10-06-2008,575.5,575.5,547.0,550.4,550.0,898.0,524.0,58118,32056742.9,,551.58,EQ
11-06-2008,560.0,560.0,528.0,530.5,528.2,898.0,524.0,87793,47064665.0,,536.09,EQ
12-06-2008,511.0,527.0,510.7,519.45,520.0,898.0,510.7,50729,26320608.05,,518.85,EQ
13-06-2008,514.25,525.0,501.2,505.9,508.0,898.0,501.2,123934,63029183.05,,508.57,EQ
16-06-2008,510.0,518.0,489.45,494.65,491.8,898.0,489.45,61592,31008244.75,,503.45,EQ
17-06-2008,490.45,510.0,482.6,506.7,505.0,898.0,482.6,71476,35767943.7,,500.42,EQ
18-06-2008,510.1,531.0,500.0,516.45,514.95,898.0,482.6,105505,54272967.75,,514.41,EQ
19-06-2008,500.2,527.0,500.2,512.55,507.65,898.0,482.6,140483,72621525.5,,516.94,EQ
20-06-2008,507.0,519.0,493.6,512.1,515.0,898.0,482.6,76656,38825325.4,,506.49,EQ
23-06-2008,500.0,514.9,499.0,502.3,499.0,898.0,482.6,89888,45290266.8,,503.85,EQ
24-06-2008,495.0,506.0,471.15,479.0,485.0,898.0,471.15,174131,86421556.1,,496.3,EQ
25-06-2008,450.0,502.0,450.0,497.3,493.15,898.0,450.0,72533,35524112.0,,489.76,EQ
26-06-2008,519.9,519.9,469.05,488.95,491.3,898.0,450.0,185234,88929020.4,,480.09,EQ
27-06-2008,465.9,476.85,435.0,453.95,440.1,898.0,435.0,260609,118047787.3,,452.97,EQ
30-06-2008,454.0,459.95,445.35,450.35,451.0,898.0,435.0,115006,52057817.35,,452.65,EQ
01-07-2008,450.0,457.0,433.0,447.1,449.0,898.0,433.0,170197,75935793.05,,446.16,EQ
02-07-2008,430.15,457.95,430.15,453.5,448.0,898.0,430.15,245296,110215323.7,,449.32,EQ
03-07-2008,445.0,448.0,390.15,408.6,410.0,898.0,390.15,308168,131924956.7,,428.09,EQ
04-07-2008,403.5,433.0,401.0,421.0,420.0,898.0,390.15,62087,26111539.1,,420.56,EQ
07-07-2008,425.0,441.0,425.0,435.5,437.0,898.0,390.15,130708,56787646.55,,434.46,EQ
08-07-2008,418.1,439.9,414.0,434.5,439.8,898.0,390.15,262122,111290971.75,,424.58,EQ
09-07-2008,446.0,456.9,440.0,451.75,452.0,898.0,390.15,104747,47303691.9,,451.6,EQ
10-07-2008,450.0,532.0,441.05,498.45,530.0,898.0,390.15,247021,115647639.6,,468.17,EQ
11-07-2008,508.0,508.1,482.0,499.95,500.0,898.0,390.15,135338,67602101.3,,499.51,EQ
14-07-2008,515.0,515.0,481.0,501.65,502.0,898.0,390.15,110414,54762371.7,,495.97,EQ
15-07-2008,480.35,497.8,477.0,479.85,484.95,898.0,390.15,44758,21728114.25,,485.46,EQ
16-07-2008,500.0,500.0,444.15,455.0,452.3,898.0,390.15,412815,186060809.45,,450.71,EQ
17-07-2008,475.0,484.95,461.0,467.6,465.0,898.0,390.15,124802,58075017.75,,465.34,EQ
18-07-2008,461.0,473.0,455.0,464.1,464.0,898.0,390.15,71613,33300286.7,,465.0,EQ
21-07-2008,474.0,505.0,470.0,498.9,505.0,898.0,390.15,323713,158950449.1,,491.02,EQ
22-07-2008,490.15,504.0,485.05,495.05,495.0,898.0,390.15,25042,12405304.95,,495.38,EQ
23-07-2008,514.15,529.0,498.0,519.0,528.95,898.0,390.15,116969,59884167.65,,511.97,EQ
24-07-2008,506.2,534.0,506.2,520.65,521.5,898.0,390.15,26647,13889606.35,,521.24,EQ
25-07-2008,503.25,525.0,503.25,509.95,511.25,898.0,390.15,54204,28012114.15,,516.79,EQ
28-07-2008,500.25,524.7,500.25,515.55,520.0,898.0,390.15,30877,15895385.35,,514.8,EQ
29-07-2008,506.0,515.0,501.35,509.4,510.0,898.0,390.15,9914,5041068.6,,508.48,EQ
30-07-2008,483.95,524.95,483.95,519.75,520.0,898.0,390.15,8670,4469953.8,,515.57,EQ
31-07-2008,501.15,539.0,494.6,533.7,539.0,898.0,390.15,44391,23423303.4,,527.66,EQ
01-08-2008,516.0,532.9,507.0,517.65,507.0,898.0,390.15,238858,124155635.8,,519.79,EQ
04-08-2008,510.05,524.0,510.0,519.0,520.0,898.0,390.15,14815,7651046.45,,516.44,EQ
05-08-2008,505.7,530.0,501.0,526.6,521.55,898.0,390.15,585044,302546810.05,,517.14,EQ
06-08-2008,525.1,571.4,525.1,562.25,557.1,898.0,390.15,107023,59284298.8,,553.94,EQ
07-08-2008,566.0,574.4,545.0,560.05,558.25,898.0,390.15,55986,31212545.2,,557.51,EQ
08-08-2008,551.2,569.0,548.0,551.9,548.0,898.0,390.15,15983,8902232.0,,556.98,EQ
11-08-2008,554.0,577.0,552.0,569.35,562.0,898.0,390.15,24326,13876279.35,,570.43,EQ
12-08-2008,569.85,574.9,548.5,553.35,555.0,898.0,390.15,16393,9223761.5,,562.66,EQ
13-08-2008,543.0,575.0,542.25,570.9,568.1,898.0,390.15,27582,15518886.0,,562.65,EQ
14-08-2008,562.05,571.0,555.15,565.85,566.0,898.0,390.15,132460,74536114.2,,562.71,EQ
18-08-2008,554.85,560.0,532.95,551.4,545.0,898.0,390.15,104270,56552229.65,,542.36,EQ
19-08-2008,554.8,554.85,532.25,547.45,548.0,898.0,390.15,20292,11110176.75,,547.52,EQ
20-08-2008,537.15,573.0,537.15,544.25,540.5,898.0,390.15,25318,13916656.15,,549.67,EQ
21-08-2008,535.0,555.0,512.0,520.15,515.0,898.0,390.15,18332,9864666.6,,538.11,EQ
22-08-2008,506.1,543.0,506.1,531.85,534.95,898.0,390.15,167796,89319307.8,,532.31,EQ
25-08-2008,570.0,570.0,527.15,541.9,540.0,898.0,390.15,38359,20916393.95,,545.28,EQ
26-08-2008,541.0,550.0,530.1,549.05,550.0,898.0,390.15,410862,220887522.6,,537.62,EQ
27-08-2008,554.9,585.0,548.8,578.8,575.0,898.0,390.15,473832,269397313.45,,568.55,EQ
28-08-2008,576.0,590.0,564.0,583.7,585.0,898.0,390.15,371006,216171517.15,,582.66,EQ
29-08-2008,578.0,590.25,568.7,588.2,588.0,898.0,390.15,133642,78611281.7,,588.22,EQ
01-09-2008,584.3,590.0,572.65,585.8,589.0,898.0,390.15,166626,97363945.75,,584.33,EQ
02-09-2008,594.3,608.0,587.0,603.05,607.0,898.0,390.15,331224,198352629.4,,598.85,EQ
04-09-2008,593.6,618.0,590.0,610.3,614.25,898.0,390.15,238887,143889294.95,,602.33,EQ
05-09-2008,609.55,614.95,591.15,606.95,612.0,898.0,390.15,126692,76712795.35,,605.51,EQ
08-09-2008,612.0,618.9,596.05,598.9,597.1,898.0,390.15,24334,14786368.35,,607.64,EQ
09-09-2008,587.15,605.0,585.2,592.15,595.0,898.0,390.15,39601,23578250.25,,595.4,EQ
10-09-2008,590.0,624.9,587.3,619.6,620.0,898.0,390.15,217186,133738670.1,,615.78,EQ
11-09-2008,616.0,622.0,610.0,617.2,615.5,898.0,390.15,285350,175562381.9,,615.25,EQ
12-09-2008,619.95,641.9,607.6,632.4,630.0,898.0,390.15,237619,150809098.0,,634.67,EQ
15-09-2008,606.7,624.45,606.7,615.25,615.0,898.0,390.15,79035,48618647.35,,615.15,EQ
16-09-2008,605.25,622.5,602.0,620.5,620.05,898.0,390.15,71804,44196456.3,,615.52,EQ
17-09-2008,609.1,625.0,587.1,608.55,591.7,898.0,390.15,96066,59351124.65,,617.82,EQ
18-09-2008,572.0,629.5,559.0,617.15,619.95,898.0,390.15,151516,90909465.65,,600.0,EQ
19-09-2008,625.0,625.0,602.3,607.8,608.9,898.0,390.15,269723,165156442.05,,612.32,EQ
22-09-2008,606.0,618.95,603.0,607.5,604.0,898.0,390.15,60266,36645151.95,,608.06,EQ
23-09-2008,611.8,611.8,587.25,605.8,600.0,898.0,390.15,164644,98287784.95,,596.97,EQ
24-09-2008,593.5,611.0,561.1,581.4,564.95,898.0,390.15,228942,138011782.2,,602.82,EQ
25-09-2008,569.95,609.9,561.5,598.75,600.0,898.0,390.15,91059,53329550.6,,585.66,EQ
26-09-2008,586.5,599.8,586.5,591.6,587.05,898.0,390.15,114852,68115607.05,,593.07,EQ
29-09-2008,590.0,597.85,559.0,571.0,572.0,898.0,390.15,101895,58671987.9,,575.81,EQ
30-09-2008,548.0,609.9,535.25,594.9,609.9,898.0,390.15,260167,153953033.25,,591.75,EQ
01-10-2008,601.0,617.0,571.3,600.05,599.95,898.0,390.15,54337,32641373.3,,600.72,EQ
03-10-2008,581.35,598.7,570.25,576.95,571.0,898.0,390.15,54130,32110207.2,,593.21,EQ
06-10-2008,556.0,600.0,556.0,574.3,575.0,898.0,390.15,153780,90112775.7,,585.99,EQ
07-10-2008,579.05,601.0,560.2,582.65,584.0,898.0,390.15,46113,26719401.75,,579.43,EQ
08-10-2008,555.0,571.95,496.0,544.15,535.55,898.0,390.15,86133,46323149.35,,537.81,EQ
10-10-2008,501.1,524.9,425.0,462.65,425.0,898.0,390.15,208322,104202311.35,,500.2,EQ
