DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
18-08-2010,760.0,816.95,747.65,758.75,754.0,816.95,747.65,5863899,4505042670.6,,768.27,EQ
19-08-2010,764.9,774.0,751.0,754.1,752.0,816.95,747.65,643797,490674955.3,,762.16,EQ
20-08-2010,754.5,754.5,724.1,726.5,725.5,816.95,724.1,342611,250628213.4,,731.52,EQ
23-08-2010,732.7,761.65,710.2,725.85,722.6,816.95,710.2,734658,545884790.95,,743.05,EQ
24-08-2010,722.05,736.7,712.75,716.05,713.0,816.95,710.2,147869,107318219.25,,725.77,EQ
25-08-2010,715.8,736.4,710.6,720.05,720.85,816.95,710.2,206464,149128561.75,,722.3,EQ
26-08-2010,721.75,736.0,718.0,730.25,733.0,816.95,710.2,160842,117240771.75,,728.92,EQ
27-08-2010,730.0,736.0,722.0,730.45,730.9,816.95,710.2,103753,75760411.4,,730.2,EQ
30-08-2010,740.0,740.0,721.0,729.15,729.0,816.95,710.2,92373,67324710.45,,728.84,EQ
31-08-2010,721.55,751.0,720.15,727.1,721.6,816.95,710.2,174249,128060071.8,,734.93,EQ
01-09-2010,730.0,736.8,722.0,724.2,723.55,816.95,710.2,54285,39431764.35,,726.38,EQ
02-09-2010,725.1,735.0,718.0,722.1,722.5,816.95,710.2,39672,28740303.2,,724.45,EQ
03-09-2010,727.95,742.0,721.4,726.65,728.0,816.95,710.2,56701,41516305.3,,732.2,EQ
06-09-2010,729.0,741.35,725.0,730.0,731.0,816.95,710.2,55970,40997475.5,,732.49,EQ
07-09-2010,731.9,737.0,729.0,730.15,730.0,816.95,710.2,23896,17482941.45,,731.63,EQ
08-09-2010,721.0,737.0,721.0,730.05,730.0,816.95,710.2,63298,46155421.2,,729.18,EQ
09-09-2010,730.0,734.9,730.0,730.05,730.0,816.95,710.2,17580,12862199.15,,731.64,EQ
13-09-2010,730.0,735.0,730.0,731.15,730.0,816.95,710.2,19736,14423563.55,,730.83,EQ
14-09-2010,730.55,735.0,728.0,730.0,730.0,816.95,710.2,68110,49729477.75,,730.13,EQ
15-09-2010,730.25,733.4,729.0,730.05,730.0,816.95,710.2,47848,34951179.95,,730.46,EQ
16-09-2010,730.0,731.9,716.1,726.95,730.0,816.95,710.2,34492,25107000.7,,727.91,EQ
17-09-2010,727.0,730.0,720.65,724.65,724.0,816.95,710.2,55787,40473491.8,,725.5,EQ
20-09-2010,720.1,758.95,720.0,742.8,740.0,816.95,710.2,74593,55417381.35,,742.93,EQ
21-09-2010,735.1,747.1,730.0,730.4,730.1,816.95,710.2,25901,19066938.5,,736.15,EQ
22-09-2010,730.0,736.8,727.0,729.85,730.0,816.95,710.2,28367,20725985.3,,730.64,EQ
23-09-2010,730.0,734.7,721.0,724.3,724.0,816.95,710.2,58984,43020255.45,,729.35,EQ
24-09-2010,705.0,731.0,705.0,725.15,730.0,816.95,705.0,22104,15966749.0,,722.35,EQ
27-09-2010,725.25,730.0,716.6,720.15,716.6,816.95,705.0,13073,9464583.5,,723.98,EQ
28-09-2010,715.6,724.95,709.1,711.8,710.25,816.95,705.0,25016,17908923.3,,715.9,EQ
29-09-2010,714.75,720.0,707.0,710.8,711.0,816.95,705.0,59968,42622815.0,,710.76,EQ
30-09-2010,714.0,715.0,695.15,697.75,695.15,816.95,695.15,9733,6853389.35,,704.14,EQ
01-10-2010,700.0,714.9,687.15,701.75,698.0,816.95,687.15,37746,26262014.9,,695.76,EQ
04-10-2010,714.0,714.0,701.0,705.1,705.05,816.95,687.15,16857,11883192.9,,704.94,EQ
05-10-2010,703.0,719.0,700.0,716.65,719.0,816.95,687.15,143208,101775128.2,,710.68,EQ
06-10-2010,725.0,730.0,716.0,722.75,723.0,816.95,687.15,99051,71339061.45,,720.23,EQ
07-10-2010,720.1,729.0,719.5,726.85,725.0,816.95,687.15,44373,32054988.1,,722.4,EQ
08-10-2010,715.1,730.0,715.1,723.4,720.25,816.95,687.15,91969,66489568.3,,722.96,EQ
11-10-2010,720.0,729.9,720.0,725.15,725.0,816.95,687.15,23229,16845869.0,,725.21,EQ
12-10-2010,716.2,726.0,710.0,723.1,719.0,816.95,687.15,9589,6889404.45,,718.47,EQ
13-10-2010,715.5,725.0,712.0,712.65,714.4,816.95,687.15,52224,37588501.65,,719.76,EQ
14-10-2010,714.0,718.95,707.5,710.05,710.0,816.95,687.15,4316,3067800.0,,710.8,EQ
15-10-2010,710.0,717.0,697.1,702.25,698.0,816.95,687.15,33784,23968316.35,,709.46,EQ
18-10-2010,708.95,708.95,690.05,694.6,696.2,816.95,687.15,4913,3427486.75,,697.64,EQ
19-10-2010,693.0,706.0,688.3,704.3,704.0,816.95,687.15,6825,4766942.7,,698.45,EQ
20-10-2010,705.75,705.95,695.25,704.25,704.25,816.95,687.15,4643,3257794.75,,701.66,EQ
21-10-2010,705.0,715.0,703.5,709.9,708.0,816.95,687.15,14466,10267906.55,,709.8,EQ
22-10-2010,703.0,703.0,670.0,680.15,680.0,816.95,670.0,62185,42241945.7,,679.29,EQ
25-10-2010,685.05,693.0,650.1,669.3,666.1,816.95,650.1,56398,37837311.35,,670.9,EQ
26-10-2010,669.3,676.0,655.0,657.85,656.05,816.95,650.1,31241,20776270.2,,665.03,EQ
27-10-2010,658.0,669.0,651.0,656.35,669.0,816.95,650.1,17087,11197145.5,,655.3,EQ
28-10-2010,660.0,666.0,636.15,650.3,650.0,816.95,636.15,5019,3270346.4,,651.59,EQ
29-10-2010,645.0,650.05,635.0,647.5,635.0,816.95,635.0,55530,35636367.8,,641.75,EQ
01-11-2010,644.9,654.1,625.0,630.0,625.0,816.95,625.0,7677,4885075.3,,636.33,EQ
02-11-2010,624.0,632.7,623.0,626.1,625.0,816.95,623.0,8282,5206604.15,,628.67,EQ
03-11-2010,627.0,652.95,620.05,622.25,624.95,816.95,620.05,15675,9924293.85,,633.13,EQ
04-11-2010,629.9,639.9,621.15,623.1,624.0,816.95,620.05,3955,2478215.75,,626.6,EQ
05-11-2010,635.0,635.0,623.0,629.45,632.0,816.95,620.05,1070,673365.45,,629.31,EQ
08-11-2010,639.9,639.9,612.0,615.75,613.5,816.95,612.0,7387,4579401.25,,619.93,EQ
09-11-2010,620.0,620.0,600.0,602.8,604.0,816.95,600.0,9775,5941023.9,,607.78,EQ
10-11-2010,608.0,614.85,575.15,583.75,580.0,816.95,575.15,18126,10777870.65,,594.61,EQ
11-11-2010,592.0,607.0,589.9,591.25,590.0,816.95,575.15,25941,15522368.55,,598.37,EQ
12-11-2010,599.9,600.0,571.25,591.05,578.0,816.95,571.25,141837,83977351.3,,592.07,EQ
15-11-2010,585.0,595.0,583.1,589.9,591.0,816.95,571.25,3221,1900838.45,,590.14,EQ
16-11-2010,597.0,597.0,569.0,573.2,570.0,816.95,569.0,6009,3474313.4,,578.18,EQ
18-11-2010,579.9,584.9,551.1,574.65,576.9,816.95,551.1,7390,4166799.9,,563.84,EQ
19-11-2010,559.05,583.9,551.6,575.75,583.9,816.95,551.1,8912,5100317.8,,572.3,EQ
22-11-2010,588.0,597.65,563.5,590.05,590.1,816.95,551.1,5137,2977156.65,,579.55,EQ
23-11-2010,584.95,592.5,570.0,588.3,586.0,816.95,551.1,15295,8968798.4,,586.39,EQ
24-11-2010,582.0,589.9,570.0,578.1,583.6,816.95,551.1,12932,7491132.2,,579.27,EQ
25-11-2010,570.4,580.0,558.05,566.7,580.0,816.95,551.1,2519,1427180.45,,566.57,EQ
26-11-2010,570.0,570.0,548.0,549.95,548.0,816.95,548.0,3625,1999028.55,,551.46,EQ
29-11-2010,559.9,562.0,532.2,537.8,534.0,816.95,532.2,6160,3311502.25,,537.58,EQ
30-11-2010,535.05,557.0,530.0,553.5,541.0,816.95,530.0,7717,4217625.05,,546.54,EQ
01-12-2010,546.0,569.9,540.2,561.2,560.0,816.95,530.0,4679,2614279.25,,558.73,EQ
02-12-2010,565.0,565.0,552.0,555.4,557.9,816.95,530.0,5357,2997632.5,,559.57,EQ
03-12-2010,560.0,560.0,543.0,551.0,543.05,816.95,530.0,3908,2156641.7,,551.85,EQ
06-12-2010,551.0,554.9,535.0,538.35,538.0,816.95,530.0,2606,1417777.85,,544.04,EQ
07-12-2010,540.0,541.95,530.05,536.3,537.0,816.95,530.0,36555,19627835.15,,536.94,EQ
08-12-2010,545.0,559.3,530.0,534.35,535.0,816.95,530.0,3776,2022130.75,,535.52,EQ
09-12-2010,548.0,548.0,502.5,511.75,516.0,816.95,502.5,6790,3519453.1,,518.33,EQ
10-12-2010,519.0,530.0,503.55,526.4,517.0,816.95,502.5,28079,14392314.85,,512.57,EQ
13-12-2010,537.0,538.9,515.6,533.7,533.0,816.95,502.5,3467,1848793.9,,533.25,EQ
14-12-2010,544.9,550.9,525.05,548.15,550.9,816.95,502.5,3637,1962708.4,,539.65,EQ
15-12-2010,545.1,548.95,535.0,537.4,538.6,816.95,502.5,4018,2163408.85,,538.43,EQ
16-12-2010,532.0,537.4,521.1,533.15,530.0,816.95,502.5,2165,1147343.25,,529.95,EQ
20-12-2010,538.0,538.0,520.1,522.45,520.1,816.95,502.5,1407,739438.5,,525.54,EQ
21-12-2010,536.95,536.95,521.0,525.05,526.95,816.95,502.5,450,237191.15,,527.09,EQ
22-12-2010,520.1,534.9,520.05,525.3,525.05,816.95,502.5,973,511107.65,,525.29,EQ
23-12-2010,532.05,532.1,525.0,530.35,531.65,816.95,502.5,548,290082.25,,529.35,EQ
24-12-2010,521.0,534.95,516.6,520.5,522.8,816.95,502.5,853,445892.8,,522.73,EQ
27-12-2010,522.1,534.7,518.4,521.25,518.4,816.95,502.5,2028,1063554.5,,524.44,EQ
28-12-2010,523.0,528.65,521.0,526.45,526.95,816.95,502.5,1814,953056.6,,525.39,EQ
29-12-2010,525.0,531.0,519.2,521.65,522.0,816.95,502.5,1489,777728.0,,522.32,EQ
