DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-01-1996,168.0,168.0,165.15,167.05,,,,150,25057.5,,167.05,EQ
02-01-1996,161.0,165.0,161.0,164.0,,,,600,97900.0,,163.17,EQ
03-01-1996,165.0,165.0,165.0,165.0,,,,100,16500.0,,165.0,EQ
04-01-1996,161.0,161.0,160.0,161.0,,,,950,152750.0,,160.79,EQ
05-01-1996,161.0,160.0,158.0,158.0,,,,4250,676150.0,,159.09,EQ
08-01-1996,158.5,158.5,155.0,155.0,,,,1100,170850.0,,155.32,EQ
09-01-1996,155.0,155.05,150.0,150.0,,,,1500,229205.0,,152.8,EQ
11-01-1996,150.0,155.0,150.0,155.0,,,,350,53350.0,,152.43,EQ
12-01-1996,151.5,151.5,150.0,150.0,,,,600,90255.0,,150.43,EQ
15-01-1996,151.0,151.0,148.0,148.0,,,,200,30050.0,,150.25,EQ
16-01-1996,148.0,150.0,146.0,150.0,,,,450,66950.0,,148.78,EQ
17-01-1996,148.0,148.0,148.0,148.0,,,,100,14800.0,,148.0,EQ
18-01-1996,145.0,145.0,145.0,145.0,,,,100,14500.0,,145.0,EQ
19-01-1996,149.95,158.0,149.95,158.0,,,,1250,189797.5,,151.84,EQ
22-01-1996,148.0,148.0,145.05,145.05,,,,300,44055.0,,146.85,EQ
24-01-1996,143.0,143.0,141.0,142.5,,,,350,49900.0,,142.57,EQ
25-01-1996,143.0,144.0,143.0,144.0,,,,350,50150.0,,143.29,EQ
29-01-1996,144.0,141.0,140.25,140.3,,,,350,49240.0,,140.69,EQ
30-01-1996,142.0,145.0,136.0,145.0,,,,650,91010.0,,140.02,EQ
31-01-1996,155.0,155.0,145.0,145.0,,,,200,30000.0,,150.0,EQ
01-02-1996,149.5,149.5,149.5,149.5,,,,100,14950.0,,149.5,EQ
02-02-1996,149.95,150.0,149.95,150.0,,,,550,82497.5,,150.0,EQ
05-02-1996,156.0,157.0,150.0,150.0,,,,350,53500.0,,152.86,EQ
06-02-1996,148.0,154.0,148.0,154.0,,,,450,67900.0,,150.89,EQ
07-02-1996,146.05,149.0,146.05,149.0,,,,500,73320.0,,146.64,EQ
08-02-1996,152.0,152.0,149.0,149.0,,,,150,22650.0,,151.0,EQ
09-02-1996,163.9,163.9,163.9,163.9,,,,100,16390.0,,163.9,EQ
12-02-1996,180.0,181.15,180.0,181.15,,,,10300,1863115.0,,180.88,EQ
13-02-1996,185.0,200.2,180.0,200.2,,,,2950,570930.0,,193.54,EQ
14-02-1996,200.2,221.25,220.25,221.25,,,,200,44150.0,,220.75,EQ
15-02-1996,222.0,240.0,222.0,234.4,,,,17100,4007635.0,,234.36,EQ
16-02-1996,234.4,246.0,211.25,246.0,,,,16900,3802062.5,,224.97,EQ
19-02-1996,246.0,270.6,252.0,256.0,,,,9650,2582792.5,,267.65,EQ
20-02-1996,256.0,265.0,250.05,255.95,,,,5000,1289097.5,,257.82,EQ
22-02-1996,255.95,269.95,257.95,260.0,,,,7750,2015390.0,,260.05,EQ
23-02-1996,260.0,257.0,241.0,257.0,,,,3800,960700.0,,252.82,EQ
26-02-1996,257.0,257.0,250.0,252.35,,,,3850,977390.0,,253.87,EQ
27-02-1996,252.35,257.0,242.0,245.0,,,,1600,402072.5,,251.3,EQ
28-02-1996,245.0,258.95,249.0,257.15,,,,9000,2280150.0,,253.35,EQ
29-02-1996,257.15,265.0,245.0,245.0,,,,8750,2242027.5,,256.23,EQ
01-03-1996,245.0,270.0,245.0,259.75,,,,31000,8108452.5,,261.56,EQ
04-03-1996,259.75,270.0,237.0,241.65,,,,16250,4142565.0,,254.93,EQ
06-03-1996,241.65,252.0,237.5,239.55,,,,6000,1463092.5,,243.85,EQ
07-03-1996,239.55,243.0,237.0,238.25,,,,2850,680945.0,,238.93,EQ
08-03-1996,238.25,240.0,230.0,237.05,,,,4550,1067972.5,,234.72,EQ
11-03-1996,237.05,234.65,230.0,230.1,,,,2300,533825.0,,232.1,EQ
12-03-1996,230.1,230.0,217.15,218.85,,,,32850,7522502.5,,229.0,EQ
13-03-1996,218.85,227.0,217.05,225.5,,,,1050,235882.5,,224.65,EQ
14-03-1996,225.5,229.75,223.0,227.2,,,,700,157825.0,,225.46,EQ
15-03-1996,227.2,226.05,223.5,223.5,,,,800,179652.5,,224.57,EQ
18-03-1996,225.0,225.0,217.0,217.75,,,,1050,230432.5,,219.46,EQ
19-03-1996,217.75,216.95,208.25,212.15,,,,1450,308947.5,,213.07,EQ
21-03-1996,219.9,219.9,201.05,210.0,,,,2300,484475.0,,210.64,EQ
22-03-1996,211.0,211.0,200.0,202.0,,,,2800,569537.5,,203.41,EQ
25-03-1996,202.0,202.0,190.0,199.9,,,,2000,394435.0,,197.22,EQ
26-03-1996,199.9,195.0,188.5,194.4,,,,10300,1975445.0,,191.79,EQ
27-03-1996,196.95,197.5,194.0,194.9,,,,8750,1707392.5,,195.13,EQ
28-03-1996,192.0,194.75,192.0,194.15,,,,700,135657.5,,193.8,EQ
29-03-1996,194.15,194.5,193.7,194.45,,,,4400,854845.0,,194.28,EQ
01-04-1996,194.45,195.5,194.0,194.5,,,,4000,779365.0,,194.84,EQ
02-04-1996,194.0,196.85,194.0,195.1,,,,12400,2418647.5,,195.05,EQ
03-04-1996,195.1,205.0,200.0,200.2,,,,6050,1227630.0,,202.91,EQ
04-04-1996,200.2,200.0,195.0,199.0,,,,2350,463622.5,,197.29,EQ
08-04-1996,199.0,207.0,201.0,204.35,,,,3050,623825.0,,204.53,EQ
09-04-1996,204.35,220.0,207.0,214.25,,,,4850,1037207.5,,213.86,EQ
10-04-1996,214.25,221.0,216.0,216.05,,,,29500,6385867.5,,216.47,EQ
11-04-1996,216.05,218.0,215.0,215.6,,,,26950,5822200.0,,216.04,EQ
12-04-1996,215.6,216.0,212.55,213.75,,,,8200,1759897.5,,214.62,EQ
15-04-1996,213.75,218.7,215.0,216.95,,,,2550,552285.0,,216.58,EQ
16-04-1996,216.95,220.0,215.0,216.0,,,,6800,1472185.0,,216.5,EQ
17-04-1996,216.0,221.25,218.0,220.95,,,,5100,1119302.5,,219.47,EQ
18-04-1996,220.95,230.0,221.0,223.15,,,,3200,726552.5,,227.05,EQ
19-04-1996,223.15,227.0,224.0,226.2,,,,1600,361500.0,,225.94,EQ
22-04-1996,226.2,229.0,218.0,218.5,,,,3900,861260.0,,220.84,EQ
23-04-1996,218.5,216.0,210.0,212.15,,,,2550,543030.0,,212.95,EQ
24-04-1996,212.15,221.0,215.1,217.0,,,,2350,511965.0,,217.86,EQ
25-04-1996,217.0,224.0,217.5,224.0,,,,2350,519572.5,,221.09,EQ
26-04-1996,224.0,243.75,218.0,220.5,,,,3500,776262.5,,221.79,EQ
29-04-1996,220.5,240.0,219.0,220.9,,,,3100,685467.5,,221.12,EQ
30-04-1996,220.9,235.0,215.0,231.65,,,,8200,1881257.5,,229.42,EQ
01-05-1996,231.65,240.0,230.0,235.5,,,,4300,1019227.5,,237.03,EQ
02-05-1996,235.5,235.0,232.0,234.0,,,,3800,887942.5,,233.67,EQ
03-05-1996,234.0,239.0,228.0,228.25,,,,4800,1107322.5,,230.69,EQ
06-05-1996,228.25,228.9,221.0,225.7,,,,6350,1427632.5,,224.82,EQ
07-05-1996,225.7,235.0,226.0,232.1,,,,5350,1227852.5,,229.51,EQ
08-05-1996,93.0,103.5,95.0,102.85,,,,9950,999060.0,,100.41,EQ
09-05-1996,102.85,108.0,101.0,102.2,,,,8100,845207.5,,104.35,EQ
10-05-1996,102.2,102.0,97.0,100.0,,,,5950,597750.0,,100.46,EQ
13-05-1996,100.0,102.0,100.0,100.7,,,,14000,1422675.0,,101.62,EQ
14-05-1996,100.7,101.9,100.55,101.9,,,,3100,313352.5,,101.08,EQ
15-05-1996,101.9,102.0,100.3,101.2,,,,6900,699690.0,,101.4,EQ
16-05-1996,101.2,103.3,101.0,101.1,,,,10500,1067455.0,,101.66,EQ
17-05-1996,101.1,101.5,99.05,99.05,,,,6000,605165.0,,100.86,EQ
20-05-1996,99.05,100.0,98.1,98.1,,,,1900,189420.0,,99.69,EQ
21-05-1996,98.1,98.85,97.2,98.85,,,,1300,127910.0,,98.39,EQ
22-05-1996,98.85,99.05,97.25,98.3,,,,1400,136835.0,,97.74,EQ
23-05-1996,98.3,98.7,96.9,98.5,,,,2100,204875.0,,97.56,EQ
24-05-1996,98.5,98.5,97.0,97.05,,,,2250,220045.0,,97.8,EQ
27-05-1996,97.05,98.0,94.0,94.55,,,,2100,200707.5,,95.58,EQ
28-05-1996,94.55,94.0,87.1,88.8,,,,6750,611507.5,,90.59,EQ
29-05-1996,88.8,94.25,92.65,93.0,,,,3650,340205.0,,93.21,EQ
30-05-1996,93.0,94.0,91.0,91.1,,,,1900,175575.0,,92.41,EQ
31-05-1996,91.1,92.55,88.3,89.75,,,,2700,243732.5,,90.27,EQ
03-06-1996,89.75,93.5,91.1,91.75,,,,27150,2516765.0,,92.7,EQ
04-06-1996,91.75,93.95,90.0,90.2,,,,4500,410610.0,,91.25,EQ
05-06-1996,91.9,92.0,90.3,91.6,,,,3050,277542.5,,91.0,EQ
06-06-1996,93.0,100.0,93.0,95.95,,,,4800,460230.0,,95.88,EQ
07-06-1996,95.5,97.6,95.0,96.1,,,,3900,374572.5,,96.04,EQ
10-06-1996,95.95,97.8,95.95,96.3,,,,2800,270442.5,,96.59,EQ
11-06-1996,96.2,99.0,95.0,96.65,,,,4850,467940.0,,96.48,EQ
