DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
28-05-2003,122.0,127.5,122.0,126.35,127.5,180.5,87.3,1173,146091.05,,124.54,EQ
29-05-2003,128.45,132.0,126.0,126.0,126.0,180.5,87.3,1160,150105.0,,129.4,EQ
30-05-2003,125.0,125.0,122.5,125.0,125.0,180.5,87.3,850,106025.0,,124.74,EQ
02-06-2003,125.0,130.0,125.0,126.35,126.15,180.5,87.3,91815,11479699.75,,125.03,EQ
03-06-2003,129.95,130.0,127.0,129.0,129.0,180.5,87.3,776,100756.75,,129.84,EQ
04-06-2003,129.5,135.0,123.15,127.25,127.9,180.5,87.3,12879,1676685.85,,130.19,EQ
05-06-2003,128.05,130.0,123.1,123.1,123.1,180.5,87.3,2910,374663.1,,128.75,EQ
06-06-2003,129.6,129.6,121.35,122.95,122.25,180.5,87.3,4248,530429.05,,124.87,EQ
09-06-2003,126.0,126.0,120.25,123.15,124.5,180.5,87.3,1217,149684.4,,122.99,EQ
10-06-2003,120.3,124.0,120.0,121.05,121.05,180.5,87.3,813,98227.5,,120.82,EQ
11-06-2003,121.0,124.2,121.0,124.15,124.2,180.5,87.3,66,8144.4,,123.4,EQ
12-06-2003,122.5,124.7,121.55,124.55,124.6,180.5,87.3,359,44521.3,,124.01,EQ
13-06-2003,121.15,122.15,120.0,121.4,121.15,180.5,87.3,509,61797.65,,121.41,EQ
16-06-2003,123.9,124.4,120.75,121.0,120.75,180.5,87.3,1200,148656.25,,123.88,EQ
17-06-2003,124.0,125.0,122.0,122.5,122.5,180.5,87.3,4420,545398.8,,123.39,EQ
18-06-2003,124.0,125.0,120.25,122.05,123.0,180.5,87.3,1369,168261.4,,122.91,EQ
19-06-2003,120.0,122.35,119.25,119.95,119.25,180.5,87.3,724,86878.85,,120.0,EQ
20-06-2003,115.6,122.7,115.6,122.7,122.7,180.5,87.3,228,26918.55,,118.06,EQ
23-06-2003,122.5,122.75,120.35,122.75,122.75,180.5,87.3,2709,331664.3,,122.43,EQ
24-06-2003,119.9,122.95,119.9,121.0,121.0,180.5,87.3,974,117339.0,,120.47,EQ
25-06-2003,124.65,133.1,120.5,130.4,128.65,180.5,87.3,11495,1479470.2,,128.71,EQ
26-06-2003,130.0,136.0,130.0,132.8,133.0,180.5,87.3,10247,1357329.5,,132.46,EQ
27-06-2003,131.1,133.0,126.5,127.6,128.0,180.5,87.3,2341,303958.25,,129.84,EQ
30-06-2003,125.1,129.8,125.1,126.2,126.2,180.5,87.3,592,75970.5,,128.33,EQ
01-07-2003,124.5,126.0,124.5,126.0,126.0,180.5,87.3,110,13845.0,,125.86,EQ
02-07-2003,126.1,132.9,126.1,129.0,129.0,180.5,87.3,4186,538728.7,,128.7,EQ
03-07-2003,130.0,130.95,129.0,130.75,130.75,180.5,87.3,2359,306583.95,,129.96,EQ
04-07-2003,131.9,135.8,129.0,133.9,135.25,180.5,87.3,2832,378996.4,,133.83,EQ
07-07-2003,136.5,147.3,135.25,147.3,147.3,180.5,87.3,22152,3194343.95,,144.2,EQ
08-07-2003,152.0,158.0,151.0,152.15,154.0,180.0,87.3,9318,1432506.6,,153.74,EQ
09-07-2003,151.0,151.0,144.6,146.75,146.5,180.0,87.3,2052,304044.2,,148.17,EQ
