DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
07-04-2021,489.85,587.8,481.85,587.8,587.8,587.8,481.85,5427365,2949269530.35,140345,543.41,EQ
08-04-2021,661.0,705.35,645.0,705.35,705.35,705.35,481.85,1934876,1344861236.9,33318,695.06,EQ
09-04-2021,748.75,833.7,666.0,722.6,715.0,833.7,481.85,4120915,2988187025.65,182215,725.13,EQ
12-04-2021,670.0,721.8,645.0,688.35,684.0,833.7,481.85,1205691,820701072.2,47970,680.69,EQ
13-04-2021,691.0,706.25,674.0,687.65,685.0,833.7,481.85,290357,200328389.8,11485,689.94,EQ
15-04-2021,668.8,703.0,656.85,693.3,686.35,833.7,481.85,309883,210005548.75,15011,677.69,EQ
16-04-2021,686.0,695.75,661.15,669.65,662.4,833.7,481.85,136359,92701722.3,9517,679.84,EQ
19-04-2021,638.0,654.85,626.75,648.7,650.0,833.7,481.85,146563,93725365.5,12761,639.49,EQ
20-04-2021,650.0,658.7,628.8,642.0,640.0,833.7,481.85,98595,63178503.6,6282,640.79,EQ
22-04-2021,633.0,648.65,626.0,634.55,631.0,833.7,481.85,96633,61431118.0,5482,635.72,EQ
23-04-2021,634.4,657.65,628.4,640.9,639.0,833.7,481.85,147515,94776819.35,12793,642.49,EQ
26-04-2021,640.9,649.95,631.1,635.9,635.0,833.7,481.85,50993,32579068.9,4666,638.89,EQ
27-04-2021,630.1,652.8,628.55,642.9,628.55,833.7,481.85,209234,134177592.15,9081,641.28,EQ
28-04-2021,641.4,644.0,629.05,635.25,631.5,833.7,481.85,178821,113519222.75,8355,634.82,EQ
29-04-2021,634.0,641.15,629.05,630.9,629.8,833.7,481.85,62237,39468250.55,5779,634.16,EQ
30-04-2021,626.05,638.8,620.0,622.9,620.5,833.7,481.85,99837,62910904.15,6281,630.14,EQ
03-05-2021,618.0,631.0,609.7,611.6,610.2,833.7,481.85,120156,74618481.75,6984,621.01,EQ
04-05-2021,614.0,624.0,603.45,608.3,609.85,833.7,481.85,137022,83782940.8,9527,611.46,EQ
05-05-2021,608.0,614.85,593.65,607.75,605.0,833.7,481.85,195015,117913152.8,12514,604.64,EQ
06-05-2021,619.0,619.0,590.65,593.85,591.95,833.7,481.85,152506,91028500.7,14628,596.88,EQ
07-05-2021,590.0,594.9,570.2,579.6,576.7,833.7,481.85,162064,93737649.75,12253,578.4,EQ
10-05-2021,579.6,585.0,565.0,576.55,575.0,833.7,481.85,213179,122486230.8,13357,574.57,EQ
11-05-2021,571.5,589.0,562.5,565.5,564.85,833.7,481.85,87206,49616818.75,7758,568.96,EQ
12-05-2021,560.05,570.6,560.05,564.0,564.6,833.7,481.85,84568,47823984.1,7186,565.51,EQ
14-05-2021,565.0,573.95,553.0,565.05,562.3,833.7,481.85,117014,66154865.6,14478,565.36,EQ
17-05-2021,573.9,573.9,552.35,560.9,555.0,833.7,481.85,124027,69698133.2,7197,561.96,EQ
18-05-2021,563.5,625.25,555.95,608.95,605.0,833.7,481.85,368949,216066624.9,18453,585.63,EQ
19-05-2021,614.0,614.0,587.0,595.45,597.0,833.7,481.85,212506,126681636.85,13797,596.13,EQ
20-05-2021,599.0,618.0,585.8,595.2,595.95,833.7,481.85,282810,170224030.55,26219,601.9,EQ
21-05-2021,603.0,628.0,596.45,623.4,621.9,833.7,481.85,257572,158305868.65,15862,614.61,EQ
24-05-2021,631.0,651.95,620.75,637.8,639.8,833.7,481.85,249597,158626195.05,12610,635.53,EQ
25-05-2021,657.0,765.35,650.0,750.2,733.0,833.7,481.85,2044826,1491239049.9,89708,729.27,EQ
26-05-2021,737.5,900.2,707.3,892.15,885.2,900.2,481.85,2908650,2386589373.3,125156,820.51,EQ
27-05-2021,870.0,953.35,845.0,877.55,874.0,953.35,481.85,1802294,1627715164.6,99609,903.14,EQ
28-05-2021,885.0,895.0,815.0,849.5,842.85,953.35,481.85,574861,491163077.35,28382,854.4,EQ
31-05-2021,870.0,886.45,845.0,850.35,847.35,953.35,481.85,208176,179148343.65,15065,860.56,EQ
01-06-2021,854.9,857.05,822.0,826.65,827.1,953.35,481.85,120549,100230964.85,12638,831.45,EQ
02-06-2021,829.0,829.0,773.0,804.7,809.0,953.35,481.85,258125,207520378.25,16703,803.95,EQ
03-06-2021,802.7,846.0,802.2,822.1,821.0,953.35,481.85,108364,89429782.5,5906,825.27,EQ
04-06-2021,834.9,878.0,820.0,850.35,850.15,953.35,481.85,248984,212849621.85,11342,854.87,EQ
07-06-2021,867.85,874.4,850.1,856.9,855.0,953.35,481.85,110995,95494581.75,6075,860.35,EQ
08-06-2021,859.5,861.85,835.25,849.5,848.75,953.35,481.85,64139,54637108.2,4559,851.85,EQ
09-06-2021,854.4,873.75,830.75,837.65,835.1,953.35,481.85,254668,215567581.95,10923,846.47,EQ
10-06-2021,843.25,853.95,835.0,837.7,836.4,953.35,481.85,50264,42226237.05,2798,840.09,EQ
11-06-2021,843.0,847.7,822.35,825.5,825.0,953.35,481.85,90006,74729109.9,5382,830.27,EQ
14-06-2021,834.0,839.75,808.5,818.45,815.8,953.35,481.85,143946,117767364.0,8248,818.14,EQ
15-06-2021,831.7,865.0,814.0,825.6,828.55,953.35,481.85,104536,87930508.35,5421,841.15,EQ
16-06-2021,828.0,833.65,816.0,827.45,827.95,953.35,481.85,56661,46656878.2,3580,823.44,EQ
17-06-2021,825.0,909.7,812.0,874.3,881.0,953.35,481.85,461847,404416244.15,23813,875.65,EQ
18-06-2021,884.0,943.75,822.8,920.6,925.0,953.35,481.85,620902,564929007.65,36962,909.85,EQ
21-06-2021,919.7,980.0,905.0,946.6,948.8,980.0,481.85,339706,325750247.45,21364,958.92,EQ
22-06-2021,972.0,972.0,905.0,914.5,909.0,980.0,481.85,130049,121458561.9,9269,933.94,EQ
23-06-2021,919.1,924.0,879.9,882.7,881.0,980.0,481.85,122861,109970841.55,8223,895.08,EQ
24-06-2021,886.0,928.0,860.0,891.6,892.05,980.0,481.85,190525,171122201.2,12636,898.16,EQ
25-06-2021,908.0,915.0,888.05,892.2,889.0,980.0,481.85,112040,101036400.5,8084,901.79,EQ
28-06-2021,900.0,916.95,875.7,885.1,883.0,980.0,481.85,112389,100829423.0,7812,897.15,EQ
29-06-2021,890.0,905.0,875.05,879.25,882.95,980.0,481.85,44287,39209051.75,3459,885.34,EQ
30-06-2021,880.0,917.0,880.0,888.95,884.0,980.0,481.85,90932,81754411.75,5734,899.07,EQ
