DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
22-07-2003,114.0,116.45,113.0,114.55,113.5,161.0,86.0,16756,1915737.05,,114.33,EQ
23-07-2003,114.55,117.65,114.55,116.05,116.95,161.0,86.0,8934,1039042.4,,116.3,EQ
24-07-2003,116.35,118.0,116.3,117.55,116.5,161.0,86.0,7109,832719.35,,117.14,EQ
25-07-2003,118.5,120.9,117.1,117.8,117.3,161.0,86.0,15163,1799481.35,,118.68,EQ
28-07-2003,117.5,119.9,115.55,116.35,116.65,161.0,86.0,37666,4422707.55,,117.42,EQ
29-07-2003,118.5,120.0,116.6,118.8,119.0,151.75,86.0,22581,2674229.7,,118.43,EQ
30-07-2003,125.0,128.5,123.5,124.45,125.0,151.75,86.0,141453,17738416.3,,125.4,EQ
31-07-2003,125.7,132.4,125.5,130.55,131.9,151.75,86.0,337722,43920551.15,,130.05,EQ
01-08-2003,133.45,135.95,130.05,131.5,131.35,151.75,86.0,226091,30120053.5,,133.22,EQ
04-08-2003,131.6,135.7,131.6,133.25,133.9,151.75,86.0,182822,24498083.4,,134.0,EQ
05-08-2003,134.1,139.0,130.25,131.2,132.5,151.75,86.0,190108,25669600.45,,135.03,EQ
06-08-2003,132.0,138.0,130.65,135.2,137.85,151.75,86.0,100310,13383966.25,,133.43,EQ
07-08-2003,136.0,140.0,136.0,138.2,138.25,151.75,86.0,131410,18154057.9,,138.15,EQ
08-08-2003,139.7,144.5,138.0,140.55,140.3,151.75,86.0,161817,22914849.15,,141.61,EQ
11-08-2003,141.05,141.05,133.3,134.95,135.75,151.75,86.0,99050,13587366.0,,137.18,EQ
12-08-2003,136.5,138.65,131.0,132.35,132.0,151.75,86.0,88037,11850039.25,,134.6,EQ
13-08-2003,133.75,135.9,130.0,134.85,134.3,151.75,86.0,92984,12375584.5,,133.09,EQ
14-08-2003,135.2,135.2,130.0,130.7,131.0,151.75,86.0,60461,7999977.0,,132.32,EQ
18-08-2003,132.0,134.8,130.5,132.95,133.5,151.75,86.0,98886,13130883.1,,132.79,EQ
19-08-2003,135.0,136.1,131.15,131.85,132.0,151.75,86.0,98554,13083846.6,,132.76,EQ
20-08-2003,133.0,133.7,131.0,132.05,131.4,151.75,86.0,27110,3583290.5,,132.18,EQ
21-08-2003,131.6,133.8,131.6,132.55,133.25,151.75,86.0,31516,4185566.65,,132.81,EQ
22-08-2003,132.15,133.8,132.0,133.05,133.0,151.75,86.0,26262,3486921.8,,132.77,EQ
25-08-2003,135.2,137.5,127.0,130.0,130.0,151.75,86.0,151652,20006869.55,,131.93,EQ
26-08-2003,132.35,135.5,131.0,135.05,135.5,151.75,86.0,43609,5829527.0,,133.68,EQ
27-08-2003,136.2,137.25,133.0,134.15,134.5,151.75,86.0,31270,4205285.9,,134.48,EQ
