DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
19-07-2000,68.8,69.4,67.5,68.0,68.15,152.85,32.0,35414,2426906.25,,68.53,EQ
20-07-2000,66.75,67.8,66.0,67.15,67.1,152.85,32.0,26280,1761749.7,,67.04,EQ
21-07-2000,67.4,67.45,64.9,65.15,64.95,152.85,32.0,43051,2842497.1,,66.03,EQ
24-07-2000,61.9,64.0,61.9,62.7,63.05,152.85,32.0,61734,3894716.5,,63.09,EQ
25-07-2000,60.7,63.9,60.7,63.0,62.95,152.85,38.65,84696,5279529.8,,62.34,EQ
26-07-2000,63.7,65.9,63.55,64.25,63.95,152.85,38.65,54585,3527358.6,,64.62,EQ
27-07-2000,63.1,64.8,63.0,64.05,64.5,152.85,38.65,43259,2764240.45,,63.9,EQ
28-07-2000,64.9,74.3,63.75,68.1,68.3,152.85,38.65,245737,17186371.0,,69.94,EQ
31-07-2000,68.7,68.7,66.45,66.75,66.75,152.85,38.65,49397,3320400.85,,67.22,EQ
01-08-2000,66.6,67.0,60.1,61.4,61.5,152.85,38.65,177660,11179604.2,,62.93,EQ
02-08-2000,62.9,63.3,60.5,61.2,61.25,152.85,38.65,87079,5364623.75,,61.61,EQ
03-08-2000,61.75,61.75,59.65,59.95,60.0,152.85,38.65,38448,2330446.2,,60.61,EQ
04-08-2000,60.0,60.75,57.2,57.7,57.85,152.85,38.65,50571,2964310.15,,58.62,EQ
07-08-2000,59.85,59.9,58.3,58.75,59.0,152.85,38.65,45703,2691631.15,,58.89,EQ
08-08-2000,59.0,61.0,58.75,59.9,60.65,152.85,43.2,95883,5743456.75,,59.9,EQ
09-08-2000,60.85,62.7,60.5,61.3,61.85,152.85,43.2,77406,4770746.75,,61.63,EQ
10-08-2000,62.6,63.9,61.1,61.6,61.25,152.85,43.2,64642,4039258.8,,62.49,EQ
11-08-2000,61.95,61.95,59.15,59.35,59.15,152.85,43.2,37324,2235465.75,,59.89,EQ
14-08-2000,59.0,61.1,57.8,60.55,60.35,152.85,43.2,70473,4186737.1,,59.41,EQ
16-08-2000,61.5,62.0,60.5,60.85,61.0,152.85,43.7,37124,2271307.5,,61.18,EQ
17-08-2000,61.0,62.2,60.05,60.5,60.4,152.85,43.7,42611,2606109.4,,61.16,EQ
18-08-2000,60.2,61.0,59.75,60.2,60.8,152.85,43.7,29758,1793654.55,,60.27,EQ
21-08-2000,61.7,62.2,60.65,61.7,61.8,152.85,43.7,44346,2726534.15,,61.48,EQ
22-08-2000,61.3,65.95,61.3,65.25,65.0,152.85,46.7,74394,4769249.9,,64.11,EQ
23-08-2000,65.0,67.5,64.35,64.95,64.75,152.85,46.7,134850,8844992.55,,65.59,EQ
24-08-2000,65.3,67.75,64.7,66.0,66.25,152.85,46.7,94015,6215060.05,,66.11,EQ
25-08-2000,66.5,66.75,65.0,65.4,65.4,152.85,46.7,71066,4672511.3,,65.75,EQ
28-08-2000,65.0,69.35,65.0,66.95,66.9,152.85,46.7,182834,12303471.3,,67.29,EQ
29-08-2000,67.9,71.9,67.5,70.5,70.75,152.85,46.7,262009,18319492.15,,69.92,EQ
30-08-2000,73.45,73.45,66.0,66.7,67.4,152.85,46.7,306569,21136668.1,,68.95,EQ
31-08-2000,65.5,67.4,65.15,66.0,66.5,152.85,46.7,112600,7447251.2,,66.14,EQ
04-09-2000,67.4,69.5,66.0,68.3,68.3,152.85,46.7,112886,7714377.6,,68.34,EQ
05-09-2000,68.2,69.0,67.5,68.6,68.5,152.85,46.7,44106,3009069.15,,68.22,EQ
06-09-2000,68.4,68.5,66.5,66.85,66.9,152.85,46.7,57875,3906203.95,,67.49,EQ
07-09-2000,66.9,67.45,65.4,65.7,66.0,152.85,46.7,42310,2804636.5,,66.29,EQ
08-09-2000,66.8,70.0,66.4,67.95,68.0,152.85,46.7,79026,5398625.6,,68.31,EQ
11-09-2000,67.5,68.9,66.1,67.0,67.0,152.85,46.7,65649,4421130.75,,67.34,EQ
12-09-2000,67.0,67.4,65.05,65.7,65.5,152.85,46.7,182737,12031364.7,,65.84,EQ
13-09-2000,67.5,67.5,63.5,64.2,64.0,152.85,46.7,58310,3781072.9,,64.84,EQ
14-09-2000,63.95,70.0,62.25,67.15,66.45,152.85,46.7,293314,19759792.9,,67.37,EQ
15-09-2000,66.0,66.0,62.1,62.35,62.3,152.85,46.7,137601,8754286.15,,63.62,EQ
18-09-2000,61.5,61.5,58.5,58.9,59.0,152.85,46.7,76992,4611989.5,,59.9,EQ
19-09-2000,58.05,58.8,54.2,55.05,55.15,152.85,46.7,139779,7899948.55,,56.52,EQ
20-09-2000,58.0,58.45,55.25,57.9,58.0,152.85,46.7,62022,3544276.15,,57.15,EQ
21-09-2000,58.3,59.0,56.7,57.0,57.0,152.85,46.7,52295,3012500.5,,57.61,EQ
22-09-2000,57.0,57.0,52.45,52.55,52.45,152.85,46.7,72498,3922538.15,,54.11,EQ
25-09-2000,55.0,55.0,53.0,54.05,54.0,152.85,46.7,51316,2768258.2,,53.95,EQ
26-09-2000,52.0,53.5,52.0,52.7,53.25,152.85,46.7,56775,2997744.15,,52.8,EQ
27-09-2000,51.5,54.9,51.0,52.65,53.4,152.85,46.7,59100,3124331.9,,52.87,EQ
28-09-2000,53.9,54.0,51.9,52.35,52.7,152.85,46.7,34110,1795241.0,,52.63,EQ
29-09-2000,53.4,53.4,51.5,52.05,52.5,152.85,46.7,37713,1969380.9,,52.22,EQ
03-10-2000,51.05,52.25,50.85,51.8,51.6,152.85,46.7,54071,2790766.8,,51.61,EQ
04-10-2000,52.1,52.9,51.8,52.25,52.5,152.85,46.7,34765,1823511.55,,52.45,EQ
05-10-2000,52.65,53.65,51.5,51.8,51.9,152.85,46.7,20131,1049284.45,,52.12,EQ
06-10-2000,51.4,51.85,49.55,49.95,49.75,152.85,46.7,36234,1823151.8,,50.32,EQ
09-10-2000,49.8,49.95,48.2,48.7,48.55,152.85,46.7,22429,1102694.05,,49.16,EQ
10-10-2000,49.0,49.0,46.2,46.65,46.25,152.85,48.2,48958,2307519.25,,47.13,EQ
11-10-2000,45.2,46.95,45.05,45.6,45.5,152.85,46.2,46790,2149696.4,,45.94,EQ
12-10-2000,44.55,46.75,44.55,46.1,46.1,152.85,45.05,30054,1376502.15,,45.8,EQ
13-10-2000,44.25,45.0,43.4,43.55,46.1,152.85,44.55,45587,2005985.25,,44.0,EQ
16-10-2000,45.25,47.0,44.5,45.05,44.9,152.85,43.4,29029,1334740.5,,45.98,EQ
17-10-2000,44.5,45.5,44.25,44.5,44.85,152.85,43.4,37934,1692329.65,,44.61,EQ
18-10-2000,44.1,45.0,43.3,44.55,44.5,152.85,43.4,11550,514860.0,,44.58,EQ
19-10-2000,44.3,46.9,44.2,46.1,46.45,152.85,43.3,22379,1019111.35,,45.54,EQ
20-10-2000,47.45,47.75,45.75,46.0,45.75,152.85,43.3,13407,625525.0,,46.66,EQ
23-10-2000,45.7,46.0,44.55,44.95,45.0,152.85,43.3,14955,671789.85,,44.92,EQ
24-10-2000,44.25,44.9,42.0,42.7,42.5,152.85,43.3,25254,1094550.8,,43.34,EQ
25-10-2000,43.45,47.35,43.45,46.5,47.25,152.85,42.0,36045,1643321.55,,45.59,EQ
26-10-2000,48.75,48.75,45.5,48.2,48.25,152.85,42.0,17413,835070.4,,47.96,EQ
27-10-2000,47.5,48.0,46.75,47.35,47.55,152.85,42.0,21210,1001029.0,,47.2,EQ
