DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
03-01-2008,840.0,922.7,840.0,901.45,902.0,922.7,840.0,8229039,7395979807.35,,898.77,EQ
04-01-2008,905.0,989.0,880.05,903.55,900.5,989.0,840.0,3841192,3603814572.5,,938.2,EQ
07-01-2008,914.0,914.0,871.15,886.65,882.0,989.0,840.0,1428489,1272996981.6,,891.15,EQ
08-01-2008,945.55,945.55,820.0,838.5,838.2,989.0,820.0,534033,457204833.6,,856.14,EQ
09-01-2008,750.0,869.0,750.0,819.85,819.0,989.0,750.0,801716,668244385.15,,833.52,EQ
10-01-2008,840.0,840.0,770.0,779.9,788.0,989.0,750.0,309836,251077135.3,,810.35,EQ
11-01-2008,793.0,803.0,745.2,785.05,772.0,989.0,745.2,397472,304087606.5,,765.05,EQ
14-01-2008,774.8,787.0,757.0,775.8,784.7,989.0,745.2,208940,161592341.3,,773.39,EQ
15-01-2008,780.0,842.7,769.0,779.55,772.8,989.0,745.2,484298,391989355.25,,809.4,EQ
16-01-2008,768.6,770.0,720.0,737.95,743.0,989.0,720.0,334431,249283326.65,,745.4,EQ
17-01-2008,753.0,764.0,738.0,752.0,754.15,989.0,720.0,182511,136945518.25,,750.34,EQ
18-01-2008,779.0,779.0,712.25,728.0,730.0,989.0,712.25,173963,127934012.95,,735.41,EQ
21-01-2008,723.0,723.0,635.3,661.45,658.0,989.0,635.3,161002,106565141.9,,661.89,EQ
22-01-2008,550.0,630.0,529.2,546.95,534.9,989.0,529.2,76820,41447813.1,,539.54,EQ
23-01-2008,570.0,620.0,520.0,601.35,600.0,989.0,520.0,170526,99707389.2,,584.7,EQ
24-01-2008,616.0,625.0,570.6,599.35,602.0,989.0,520.0,121369,73048681.65,,601.87,EQ
25-01-2008,616.25,655.0,600.0,648.9,649.0,989.0,520.0,96319,60373768.85,,626.81,EQ
28-01-2008,650.0,650.0,581.0,619.6,622.0,989.0,520.0,86656,53696176.9,,619.65,EQ
29-01-2008,622.0,642.9,615.0,617.2,619.0,989.0,520.0,31557,19657773.15,,622.93,EQ
30-01-2008,619.5,620.0,603.0,610.5,611.0,989.0,520.0,44051,26833054.15,,609.14,EQ
31-01-2008,611.0,634.9,586.1,625.7,630.0,989.0,520.0,52158,32174380.8,,616.86,EQ
01-02-2008,616.5,623.0,595.0,612.45,623.0,989.0,520.0,59884,36220735.75,,604.85,EQ
04-02-2008,650.0,711.0,617.0,699.95,696.0,989.0,520.0,255981,174617371.0,,682.15,EQ
05-02-2008,680.0,703.85,654.0,680.6,680.0,989.0,520.0,114256,78268952.45,,685.03,EQ
06-02-2008,650.0,699.0,601.0,683.0,679.0,989.0,520.0,112594,76164815.1,,676.46,EQ
07-02-2008,688.0,717.45,671.0,682.55,671.0,989.0,520.0,169776,118946913.7,,700.61,EQ
08-02-2008,679.9,689.95,620.0,628.35,623.25,989.0,520.0,76442,49446517.7,,646.85,EQ
11-02-2008,640.0,677.9,560.0,614.1,590.0,989.0,520.0,87733,52487088.3,,598.26,EQ
12-02-2008,628.0,628.0,565.0,571.55,572.0,989.0,520.0,52194,30105366.5,,576.8,EQ
13-02-2008,577.05,592.0,560.0,563.25,562.2,989.0,520.0,45786,26127879.7,,570.65,EQ
14-02-2008,618.0,618.0,569.0,573.75,572.8,989.0,520.0,47004,27167697.55,,577.99,EQ
15-02-2008,602.3,602.3,560.0,580.75,582.0,989.0,520.0,38489,22399065.8,,581.96,EQ
18-02-2008,550.0,595.0,550.0,587.25,587.0,989.0,520.0,29636,17404469.65,,587.27,EQ
19-02-2008,597.0,603.0,580.0,583.3,580.0,989.0,520.0,27771,16369533.5,,589.45,EQ
20-02-2008,566.1,588.0,560.15,579.1,578.0,989.0,520.0,25634,14633415.4,,570.86,EQ
21-02-2008,580.1,602.8,575.0,586.6,579.0,989.0,520.0,81449,48168215.5,,591.39,EQ
22-02-2008,580.0,582.95,565.0,569.35,568.0,989.0,520.0,15365,8788983.35,,572.01,EQ
25-02-2008,571.0,599.0,556.5,585.2,585.0,989.0,520.0,54793,31315157.1,,571.52,EQ
26-02-2008,590.7,596.95,568.0,572.2,568.0,989.0,520.0,31687,18478705.95,,583.16,EQ
27-02-2008,589.8,601.95,558.0,564.2,561.0,989.0,520.0,168131,98798888.45,,587.63,EQ
28-02-2008,567.0,585.0,556.0,560.0,558.9,989.0,520.0,53518,30458968.1,,569.14,EQ
29-02-2008,560.0,568.8,525.0,532.3,526.0,989.0,520.0,59353,32378109.3,,545.52,EQ
03-03-2008,520.0,535.0,490.0,498.35,492.1,989.0,490.0,44321,22684159.7,,511.82,EQ
