DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
07-04-2004,425.0,506.7,425.0,484.05,483.0,0.0,0.0,4805956,2346744536.0,,488.3,EQ
08-04-2004,489.0,580.9,487.0,580.9,580.9,506.7,425.0,7122560,3885683400.4,,545.55,EQ
12-04-2004,620.0,697.1,600.0,695.55,694.0,580.9,425.0,3949983,2689600059.0,,680.91,EQ
13-04-2004,710.0,780.0,605.65,622.1,630.0,697.1,425.0,9795443,6394548003.15,,652.81,EQ
15-04-2004,644.0,675.0,626.5,647.4,648.0,780.0,425.0,4784053,3125992448.3,,653.42,EQ
16-04-2004,659.0,670.4,641.7,645.95,644.0,780.0,425.0,2202547,1442875045.05,,655.09,EQ
17-04-2004,650.0,651.9,626.05,630.3,632.25,780.0,425.0,1112119,708342148.3,,636.93,EQ
19-04-2004,635.0,663.7,608.0,612.5,610.0,780.0,425.0,3933018,2470240225.65,,628.08,EQ
20-04-2004,620.0,623.0,595.3,601.0,596.35,780.0,425.0,3821754,2329533321.05,,609.55,EQ
21-04-2004,602.1,623.5,590.35,606.85,603.9,780.0,425.0,5068929,3073718901.2,,606.38,EQ
22-04-2004,609.9,653.0,608.0,641.7,646.7,780.0,425.0,3892900,2443749027.75,,627.75,EQ
23-04-2004,650.0,667.0,635.0,640.6,641.15,780.0,425.0,3737376,2436177958.2,,651.84,EQ
27-04-2004,618.0,630.0,596.0,600.65,598.15,780.0,425.0,2119856,1291186362.3,,609.09,EQ
28-04-2004,601.0,628.0,597.75,614.9,610.6,780.0,425.0,3150327,1935162166.2,,614.27,EQ
29-04-2004,614.45,619.95,606.65,609.05,609.0,780.0,425.0,1259065,771918362.4,,613.09,EQ
30-04-2004,610.0,616.45,593.35,599.5,595.5,780.0,425.0,904319,549731891.75,,607.9,EQ
03-05-2004,598.0,602.75,576.0,586.4,583.1,780.0,425.0,1445950,850861816.55,,588.44,EQ
04-05-2004,588.0,609.7,588.0,591.9,591.25,780.0,425.0,1466411,879792440.25,,599.96,EQ
05-05-2004,595.9,603.0,591.1,595.45,596.05,780.0,425.0,901726,538270616.5,,596.93,EQ
06-05-2004,604.0,614.8,597.25,600.5,599.8,780.0,425.0,1052535,638162990.45,,606.31,EQ
07-05-2004,602.0,603.9,585.0,586.65,587.0,780.0,425.0,620562,367062777.25,,591.5,EQ
10-05-2004,580.0,584.9,560.0,563.1,560.5,780.0,425.0,799993,454156232.75,,567.7,EQ
11-05-2004,557.8,557.8,516.25,525.05,520.0,780.0,425.0,864737,461123598.7,,533.25,EQ
12-05-2004,529.7,534.7,500.0,511.2,509.95,780.0,425.0,1877936,964455046.8,,513.57,EQ
13-05-2004,495.0,553.9,470.05,543.4,551.0,780.0,425.0,2980696,1568786183.0,,526.32,EQ
14-05-2004,573.0,587.7,511.15,521.9,514.0,780.0,425.0,2630004,1434336754.15,,545.37,EQ
17-05-2004,522.7,525.0,418.0,498.4,499.9,780.0,425.0,1286851,632057963.7,,491.17,EQ
18-05-2004,501.1,589.0,496.0,536.0,536.0,780.0,418.0,1321552,691521987.8,,523.27,EQ
19-05-2004,549.0,570.0,543.0,552.0,552.0,780.0,418.0,829847,459705739.45,,553.96,EQ
20-05-2004,556.7,574.0,515.1,519.65,518.0,780.0,418.0,1322423,706367203.4,,534.15,EQ
21-05-2004,520.0,524.95,505.05,520.15,518.5,780.0,418.0,1045779,541770197.05,,518.05,EQ
24-05-2004,526.55,546.7,522.0,540.0,541.3,780.0,418.0,890561,479332783.7,,538.24,EQ
25-05-2004,545.0,545.0,525.0,527.85,527.75,780.0,418.0,651395,345262415.45,,530.04,EQ
26-05-2004,530.0,541.95,530.0,532.2,533.5,780.0,418.0,446027,239240586.1,,536.38,EQ
27-05-2004,528.9,533.0,522.05,527.0,530.0,780.0,418.0,306113,161656488.45,,528.09,EQ
28-05-2004,525.0,531.0,508.3,510.6,508.3,780.0,418.0,544394,282509028.6,,518.94,EQ
31-05-2004,507.0,507.0,478.6,485.45,486.0,780.0,418.0,561556,274109632.75,,488.13,EQ
01-06-2004,490.7,503.0,483.15,485.4,484.9,780.0,418.0,437972,215787260.7,,492.7,EQ
02-06-2004,486.0,498.0,486.0,493.45,495.2,780.0,418.0,298433,146658847.3,,491.43,EQ
03-06-2004,498.8,510.85,485.3,488.2,488.0,780.0,418.0,747630,374011498.15,,500.26,EQ
04-06-2004,485.0,492.0,470.0,482.55,485.1,780.0,418.0,673118,323490783.2,,480.59,EQ
07-06-2004,487.3,492.85,478.0,481.3,482.15,780.0,418.0,571205,276926566.95,,484.81,EQ
08-06-2004,487.0,503.5,484.0,492.65,494.0,780.0,418.0,1149671,570058587.05,,495.84,EQ
09-06-2004,498.0,528.6,498.0,524.95,524.4,780.0,418.0,3112104,1602564827.75,,514.95,EQ
10-06-2004,526.7,540.0,519.9,531.85,530.5,780.0,418.0,1805332,964142948.95,,534.05,EQ
11-06-2004,533.8,534.6,516.35,519.75,519.0,780.0,418.0,853219,448958843.2,,526.19,EQ
14-06-2004,520.0,520.0,495.3,497.3,496.35,780.0,418.0,821158,414164123.0,,504.37,EQ
15-06-2004,495.9,513.8,495.9,510.25,510.05,780.0,418.0,1053112,533441829.55,,506.54,EQ
16-06-2004,513.0,520.9,507.5,509.55,509.0,780.0,418.0,1011940,520384503.7,,514.24,EQ
17-06-2004,509.7,512.0,492.15,495.95,497.85,780.0,418.0,1046269,521613135.7,,498.55,EQ
18-06-2004,499.7,499.7,485.0,488.75,487.1,780.0,418.0,712856,350106768.15,,491.13,EQ
