DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
22-11-2024,280.9,285.9,255.35,260.05,260.0,285.9,255.35,6737252,1825959016.45,93901,271.02,EQ
25-11-2024,260.0,270.85,253.0,263.75,262.0,285.9,253.0,1220081,319770988.5,34567,262.09,EQ
26-11-2024,260.25,261.3,248.35,253.15,252.0,285.9,248.35,610591,155659753.45,21819,254.93,EQ
27-11-2024,250.6,268.35,250.6,265.15,263.25,285.9,248.35,926033,242922733.45,30567,262.33,EQ
28-11-2024,265.95,274.0,263.1,270.4,269.8,285.9,248.35,662453,178369138.55,19963,269.26,EQ
29-11-2024,269.95,277.0,265.85,271.1,270.65,285.9,248.35,878299,238445539.6,22004,271.49,EQ
02-12-2024,267.25,325.3,262.9,325.3,325.3,325.3,248.35,5755861,1743517145.0,105681,302.91,EQ
03-12-2024,329.0,341.45,295.05,319.3,318.0,341.45,248.35,4802212,1519981300.3,107244,316.52,EQ
04-12-2024,316.85,382.85,316.1,361.9,351.0,382.85,248.35,6062982,2135562705.0,118306,352.23,EQ
05-12-2024,351.0,368.0,341.2,347.7,346.9,382.85,248.35,1306989,462594058.35,20356,353.94,EQ
06-12-2024,347.7,356.55,334.7,340.75,339.0,382.85,248.35,493260,170474084.85,9652,345.61,EQ
09-12-2024,341.95,362.0,337.8,344.6,344.0,382.85,248.35,552110,192377867.1,12435,348.44,EQ
10-12-2024,347.8,381.75,345.05,356.35,356.9,382.85,248.35,1042518,377300751.95,23312,361.91,EQ
11-12-2024,357.0,371.9,355.0,357.85,357.85,382.85,248.35,489340,177425768.0,11673,362.58,EQ
12-12-2024,360.0,429.4,358.5,424.1,429.4,429.4,248.35,4771978,1934132035.8,98723,405.31,EQ
13-12-2024,441.2,460.5,408.6,423.2,420.0,460.5,248.35,3682964,1610423803.05,79390,437.26,EQ
16-12-2024,410.0,425.65,399.2,403.15,402.95,460.5,248.35,647777,264854136.45,14779,408.87,EQ
17-12-2024,407.45,443.45,400.3,422.45,423.1,460.5,248.35,1333265,569021320.05,23228,426.79,EQ
18-12-2024,429.0,462.3,427.45,453.0,450.05,462.3,248.35,1307812,590626505.95,29503,451.61,EQ
19-12-2024,444.0,498.3,433.3,498.05,498.3,498.3,248.35,1105717,532254385.6,30384,481.37,EQ
20-12-2024,496.95,514.7,460.6,501.65,490.0,514.7,248.35,2253098,1103785980.45,98359,489.9,EQ
23-12-2024,509.4,550.7,502.3,510.85,510.55,550.7,248.35,1743530,916505527.15,38028,525.66,EQ
24-12-2024,513.0,528.95,487.15,517.9,515.15,550.7,248.35,904704,461238778.25,22720,509.82,EQ
26-12-2024,520.35,543.75,520.0,522.35,521.0,550.7,248.35,582871,312043443.1,11126,535.36,EQ
27-12-2024,526.0,547.8,526.0,533.95,538.0,550.7,248.35,478833,257273998.5,19559,537.29,EQ
