DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
19-04-2023,287.0,299.9,272.65,272.65,272.65,299.9,272.65,480708,135995321.85,3700,282.91,BE
20-04-2023,259.05,259.05,259.05,259.05,259.05,299.9,259.05,26514,6868451.7,481,259.05,BE
21-04-2023,246.1,246.1,246.1,246.1,246.1,299.9,246.1,59981,14761324.1,363,246.1,BE
24-04-2023,233.8,233.8,233.8,233.8,233.8,299.9,233.8,37852,8849797.6,448,233.8,BE
25-04-2023,222.15,222.15,222.15,222.15,222.15,299.9,222.15,7532,1673233.8,309,222.15,BE
26-04-2023,211.05,211.05,211.05,211.05,211.05,299.9,211.05,24280,5124294.0,367,211.05,BE
27-04-2023,212.2,221.0,200.5,200.5,200.5,299.9,200.5,857220,175700755.1,3293,204.97,BE
28-04-2023,190.5,207.75,190.5,206.45,207.75,299.9,190.5,701515,139389748.6,5240,198.7,BE
02-05-2023,210.5,210.5,203.25,207.45,207.0,299.9,190.5,191058,39616613.65,2946,207.35,BE
03-05-2023,206.0,210.4,199.0,204.55,208.8,299.9,190.5,535859,108849526.7,5841,203.13,BE
04-05-2023,209.0,212.0,192.1,194.7,194.4,212.0,192.1,1061830,214240384.85,33611,201.77,EQ
05-05-2023,193.75,195.5,182.65,184.9,183.8,212.0,182.65,360572,67707104.55,8847,187.78,EQ
08-05-2023,186.0,186.9,178.0,179.1,178.55,212.0,178.0,276334,50045882.7,9003,181.11,EQ
09-05-2023,179.1,186.7,177.05,179.1,179.3,212.0,177.05,275575,49977429.8,9118,181.36,EQ
10-05-2023,179.3,182.35,174.0,175.95,175.8,212.0,174.0,216223,38274508.45,6495,177.01,EQ
11-05-2023,175.05,177.45,171.0,171.8,171.5,212.0,171.0,197558,34286633.15,6276,173.55,EQ
12-05-2023,171.05,173.65,166.1,166.65,167.45,212.0,166.1,207710,35011138.6,7899,168.56,EQ
15-05-2023,168.0,188.8,163.15,174.3,174.5,212.0,163.15,774323,138620098.15,26982,179.02,EQ
16-05-2023,175.7,176.5,170.85,172.05,171.65,212.0,163.15,150422,26142831.8,5481,173.8,EQ
17-05-2023,174.0,175.55,170.95,171.45,171.4,212.0,163.15,91173,15716124.0,3515,172.38,EQ
18-05-2023,171.4,177.4,171.4,171.9,172.0,212.0,163.15,207702,36041170.35,5535,173.52,EQ
19-05-2023,174.0,174.05,167.35,170.7,170.8,212.0,163.15,95043,16154414.3,3837,169.97,EQ
22-05-2023,170.7,175.0,168.6,169.25,168.8,212.0,163.15,88702,15170658.65,5110,171.03,EQ
23-05-2023,170.95,171.8,166.4,168.2,168.0,212.0,163.15,133147,22408380.1,7944,168.3,EQ
24-05-2023,166.05,168.95,161.5,162.6,162.85,212.0,161.5,135964,22404526.7,5264,164.78,EQ
25-05-2023,163.0,163.05,157.65,158.6,158.0,212.0,157.65,139627,22289017.3,4861,159.63,EQ
26-05-2023,158.8,164.0,158.6,159.65,158.75,212.0,157.65,195418,31401828.2,4450,160.69,EQ
29-05-2023,160.15,162.65,157.05,159.0,158.0,212.0,157.05,244242,39005276.2,13843,159.7,EQ
30-05-2023,159.05,161.65,157.35,159.25,158.5,212.0,157.05,137818,22005831.05,8521,159.67,EQ
31-05-2023,159.4,161.15,152.5,154.15,153.4,212.0,152.5,212004,33170197.2,9743,156.46,EQ
01-06-2023,153.4,160.0,153.4,158.7,158.0,212.0,152.5,139107,21951496.5,5388,157.8,EQ
02-06-2023,158.1,159.0,155.0,155.65,155.35,212.0,152.5,196341,30747134.7,7988,156.6,EQ
05-06-2023,156.9,159.0,155.55,156.75,156.0,212.0,152.5,89727,14079025.95,3816,156.91,EQ
06-06-2023,156.85,157.95,153.15,154.3,154.8,212.0,152.5,121828,18869561.5,7989,154.89,EQ
07-06-2023,156.0,156.0,152.55,152.85,152.95,212.0,152.5,126592,19427309.5,4245,153.46,EQ
