DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
06-02-2024,305.0,366.0,303.1,366.0,366.0,366.0,303.1,49965562,16873384840.2,359358,337.7,EQ
07-02-2024,397.95,423.7,357.05,363.95,358.25,423.7,303.1,15744091,6181540782.7,211667,392.63,EQ
08-02-2024,350.0,359.0,322.45,339.4,339.5,423.7,303.1,6307054,2154035419.45,130520,341.53,EQ
09-02-2024,342.5,355.45,335.25,344.35,346.0,423.7,303.1,1948328,670802350.9,61124,344.3,EQ
12-02-2024,350.95,351.0,325.15,336.0,331.0,423.7,303.1,3931970,1335879586.95,91912,339.75,EQ
13-02-2024,330.95,330.95,302.0,309.3,308.9,423.7,302.0,2004515,633624458.05,63764,316.1,EQ
14-02-2024,302.05,342.7,300.0,326.0,325.5,423.7,300.0,2674558,871919573.25,60826,326.01,EQ
15-02-2024,327.8,333.9,316.8,319.85,320.0,423.7,300.0,1818042,589804301.85,33163,324.42,EQ
16-02-2024,322.8,379.45,318.05,364.25,364.0,423.7,300.0,9069121,3289052485.55,174739,362.66,EQ
19-02-2024,359.05,399.6,356.4,389.95,391.85,423.7,300.0,4905999,1899377764.15,150331,387.15,EQ
20-02-2024,389.95,418.35,386.55,399.45,398.25,423.7,300.0,5680784,2296785334.65,139175,404.31,EQ
21-02-2024,400.95,407.0,378.0,387.3,387.5,423.7,300.0,2467308,968118237.35,74258,392.38,EQ
22-02-2024,391.9,397.0,374.2,390.85,388.5,423.7,300.0,1129674,434994262.3,34414,385.06,EQ
23-02-2024,392.1,403.65,385.0,388.65,386.75,423.7,300.0,933565,367810282.85,22095,393.98,EQ
26-02-2024,388.5,406.9,377.55,388.7,390.0,423.7,300.0,2363686,930205126.2,55636,393.54,EQ
27-02-2024,390.0,404.45,386.0,387.4,386.5,423.7,300.0,2274839,894469603.35,37600,393.2,EQ
28-02-2024,390.35,399.55,356.1,372.1,372.6,423.7,300.0,2731822,1053113277.8,57827,385.5,EQ
29-02-2024,373.2,380.95,366.05,369.55,368.85,423.7,300.0,442802,165045012.05,18539,372.73,EQ
01-03-2024,374.8,388.6,373.25,379.95,382.0,423.7,300.0,2105364,800524585.9,51202,380.23,EQ
02-03-2024,382.95,387.4,378.65,380.15,379.4,423.7,300.0,125188,47830757.95,3860,382.07,EQ
