DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
16-02-2000,221.4,221.4,206.0,221.0,221.0,0.0,0.0,600,131260.0,,218.77,EQ
16-03-2000,225.0,225.0,225.0,225.0,225.0,221.4,206.0,200,45000.0,,225.0,EQ
25-05-2000,240.0,240.0,229.95,229.95,229.95,225.0,206.0,200,46995.0,,234.98,EQ
26-05-2000,211.6,211.6,211.6,211.6,211.6,240.0,206.0,100,21160.0,,211.6,EQ
30-05-2000,197.0,227.0,197.0,227.0,227.0,240.0,206.0,10000,2120000.0,,212.0,EQ
31-05-2000,210.0,210.0,210.0,210.0,210.0,240.0,197.0,100,21000.0,,210.0,EQ
01-06-2000,195.0,195.0,195.0,195.0,195.0,240.0,197.0,100,19500.0,,195.0,EQ
02-06-2000,185.0,208.0,185.0,208.0,208.0,240.0,195.0,5000,982500.0,,196.5,EQ
07-07-2000,192.0,192.0,192.0,192.0,192.0,240.0,185.0,100,19200.0,,192.0,EQ
11-07-2000,191.0,191.0,191.0,191.0,191.0,240.0,185.0,100,19100.0,,191.0,EQ
12-07-2000,176.0,176.0,176.0,176.0,176.0,240.0,185.0,100,17600.0,,176.0,EQ
13-07-2000,162.0,162.0,162.0,162.0,162.0,240.0,176.0,100,16200.0,,162.0,EQ
17-07-2000,152.0,152.0,152.0,152.0,152.0,240.0,162.0,100,15200.0,,152.0,EQ
18-07-2000,140.0,140.0,140.0,140.0,140.0,240.0,152.0,100,14000.0,,140.0,EQ
19-07-2000,140.0,151.2,140.0,151.2,151.2,240.0,140.0,300,43120.0,,143.73,EQ
20-07-2000,160.0,160.0,160.0,160.0,160.0,240.0,140.0,100,16000.0,,160.0,EQ
07-08-2000,172.8,172.8,151.0,151.0,151.0,240.0,140.0,200,32380.0,,161.9,EQ
08-08-2000,139.0,163.0,139.0,163.0,163.0,240.0,140.0,300,46500.0,,155.0,EQ
09-08-2000,163.0,176.0,163.0,163.1,163.1,240.0,139.0,300,50210.0,,167.37,EQ
10-08-2000,150.85,176.1,150.85,176.1,176.1,240.0,139.0,200,32695.0,,163.48,EQ
16-08-2000,165.0,189.0,165.0,179.0,175.0,240.0,139.0,600,105315.0,,175.53,EQ
17-08-2000,179.0,179.0,179.0,179.0,179.0,240.0,139.0,100,17900.0,,179.0,EQ
18-08-2000,181.6,182.0,181.6,182.0,182.0,240.0,139.0,200,36360.0,,181.8,EQ
21-08-2000,182.0,182.0,182.0,182.0,182.0,240.0,139.0,100,18200.0,,182.0,EQ
22-08-2000,174.2,174.2,174.2,174.2,174.2,240.0,139.0,100,17420.0,,174.2,EQ
23-08-2000,183.0,183.0,183.0,183.0,183.0,240.0,139.0,200,36600.0,,183.0,EQ
25-08-2000,179.0,197.65,179.0,197.65,197.65,240.0,139.0,1100,213900.0,,194.45,EQ
28-08-2000,213.5,213.5,200.0,213.5,213.5,240.0,139.0,11200,2368440.0,,211.47,EQ
29-08-2000,196.5,209.5,196.45,198.0,198.0,240.0,139.0,12300,2454945.0,,199.59,EQ
30-08-2000,199.0,213.85,195.0,196.6,195.0,240.0,139.0,16200,3401810.0,,209.99,EQ
31-08-2000,205.0,212.35,203.45,204.5,204.5,240.0,139.0,15400,3165830.0,,205.57,EQ
04-09-2000,215.5,218.95,215.2,218.95,218.95,240.0,139.0,16300,3524305.0,,216.22,EQ
05-09-2000,224.95,225.5,210.0,221.95,221.95,240.0,139.0,17500,3912660.0,,223.58,EQ
06-09-2000,225.1,227.25,205.0,218.95,218.95,240.0,139.0,19000,4189570.0,,220.5,EQ
07-09-2000,220.5,236.5,203.0,233.55,236.5,240.0,139.0,21300,4776040.0,,224.23,EQ
08-09-2000,250.0,252.25,228.5,252.2,252.25,240.0,139.0,23200,5507775.0,,237.4,EQ
11-09-2000,265.0,265.0,232.05,234.05,234.05,252.25,139.0,23100,5739430.0,,248.46,EQ
12-09-2000,235.0,250.05,231.0,240.35,244.9,265.0,139.0,25300,6128400.0,,242.23,EQ
13-09-2000,226.0,230.0,224.95,226.7,226.7,265.0,139.0,19700,4483310.0,,227.58,EQ
14-09-2000,227.0,235.1,220.0,220.0,220.0,265.0,139.0,18500,4214600.0,,227.82,EQ
15-09-2000,217.95,218.5,215.0,218.3,218.3,265.0,139.0,19100,4166840.0,,218.16,EQ
18-09-2000,225.05,230.0,215.0,224.75,230.0,265.0,139.0,19600,4334600.0,,221.15,EQ
19-09-2000,224.95,225.0,215.0,224.35,224.35,265.0,139.0,19800,4442780.0,,224.38,EQ
20-09-2000,224.0,224.9,215.0,224.0,224.0,265.0,139.0,19500,4371975.0,,224.2,EQ
21-09-2000,215.0,225.0,210.0,215.0,215.0,265.0,139.0,23800,5244925.0,,220.38,EQ
22-09-2000,222.1,223.5,205.0,209.45,213.95,265.0,139.0,18800,4159700.0,,221.26,EQ
25-09-2000,220.0,222.0,210.0,219.95,219.95,265.0,139.0,21200,4678100.0,,220.67,EQ
26-09-2000,215.0,217.25,215.0,216.3,216.3,265.0,139.0,22300,4826380.0,,216.43,EQ
27-09-2000,220.25,221.5,219.95,220.25,220.25,265.0,139.0,27000,5951175.0,,220.41,EQ
28-09-2000,220.05,220.1,213.0,213.0,213.0,265.0,139.0,18200,3918030.0,,215.28,EQ
29-09-2000,213.8,213.8,205.75,205.8,205.8,265.0,139.0,26000,5409880.0,,208.07,EQ
03-10-2000,208.0,208.0,197.1,201.0,201.0,265.0,139.0,18700,3788450.0,,202.59,EQ
04-10-2000,210.0,210.0,195.0,198.75,198.75,265.0,139.0,24000,4947745.0,,206.16,EQ
05-10-2000,210.5,210.5,198.0,198.3,198.3,265.0,139.0,13600,2759845.0,,202.93,EQ
06-10-2000,197.0,200.5,194.0,200.5,200.5,265.0,139.0,10500,2079175.0,,198.02,EQ
09-10-2000,190.0,191.5,190.0,191.15,191.15,265.0,139.0,8900,1696400.0,,190.61,EQ
10-10-2000,191.6,193.2,186.5,187.95,187.95,265.0,139.0,16000,3047205.0,,190.45,EQ
11-10-2000,191.0,194.0,180.0,192.85,192.85,265.0,139.0,20400,3891400.0,,190.75,EQ
12-10-2000,193.0,204.0,191.0,194.0,194.0,265.0,139.0,15300,2959115.0,,193.41,EQ
13-10-2000,193.0,197.35,180.1,188.95,194.0,265.0,139.0,16000,3091365.0,,193.21,EQ
16-10-2000,190.1,190.5,186.9,186.9,186.9,265.0,139.0,16100,3042520.0,,188.98,EQ
17-10-2000,190.1,190.1,180.1,189.9,189.9,265.0,139.0,16700,3160040.0,,189.22,EQ
18-10-2000,191.1,192.25,185.1,190.05,190.05,265.0,139.0,19900,3788890.0,,190.4,EQ
19-10-2000,191.0,195.1,185.25,190.95,190.95,265.0,139.0,20200,3850065.0,,190.6,EQ
20-10-2000,191.25,191.25,175.7,186.95,186.95,265.0,139.0,20300,3789005.0,,186.65,EQ
23-10-2000,200.0,200.0,172.1,185.75,185.75,265.0,139.0,21000,3976660.0,,189.36,EQ
24-10-2000,190.5,191.25,172.55,186.95,186.95,265.0,139.0,21500,4057405.0,,188.72,EQ
25-10-2000,185.0,188.95,178.1,188.95,188.95,265.0,139.0,20800,3879990.0,,186.54,EQ
26-10-2000,204.0,204.0,192.25,193.25,195.0,265.0,139.0,3700,719525.0,,194.47,EQ
27-10-2000,193.05,195.5,186.0,194.85,194.85,265.0,139.0,21400,4146855.0,,193.78,EQ
01-11-2000,180.0,186.95,180.0,186.95,186.95,265.0,139.0,300,54695.0,,182.32,EQ
02-11-2000,192.5,192.5,179.95,179.95,179.95,265.0,139.0,200,37245.0,,186.23,EQ
03-11-2000,180.25,184.5,170.5,181.75,181.75,265.0,139.0,39800,7120810.0,,178.91,EQ
06-11-2000,177.95,179.05,167.35,167.35,167.35,265.0,139.0,14000,2404670.0,,171.76,EQ
07-11-2000,168.0,169.25,154.0,165.5,166.35,265.0,139.0,35600,5934285.0,,166.69,EQ
08-11-2000,169.25,171.0,167.0,169.85,169.85,265.0,139.0,25100,4256900.0,,169.6,EQ
09-11-2000,170.0,170.0,165.0,167.65,167.65,265.0,139.0,25300,4250720.0,,168.01,EQ
10-11-2000,170.0,170.0,155.0,167.3,168.0,265.0,139.0,25200,4245285.0,,168.46,EQ
13-11-2000,167.5,167.5,154.0,165.1,165.1,265.0,139.0,25800,4278315.0,,165.83,EQ
14-11-2000,169.75,170.0,157.95,159.05,158.95,265.0,139.0,25200,4178775.0,,165.82,EQ
15-11-2000,148.1,169.0,147.95,154.0,154.0,265.0,139.0,26200,3905295.0,,149.06,EQ
16-11-2000,162.0,162.0,156.75,158.5,158.5,265.0,139.0,25500,4031210.0,,158.09,EQ
17-11-2000,161.1,161.5,153.45,153.85,153.85,265.0,139.0,25200,3925895.0,,155.79,EQ
20-11-2000,159.9,159.9,141.6,147.75,153.9,265.0,139.0,25300,3939440.0,,155.71,EQ
21-11-2000,155.25,155.25,140.05,152.45,152.45,265.0,139.0,25400,3856040.0,,151.81,EQ
22-11-2000,156.95,156.95,140.25,145.7,145.5,265.0,139.0,25100,3820525.0,,152.21,EQ
23-11-2000,142.5,144.45,140.05,144.35,143.5,265.0,139.0,25100,3548805.0,,141.39,EQ
24-11-2000,142.0,142.0,132.8,134.2,135.75,265.0,139.0,22000,3007250.0,,136.69,EQ
27-11-2000,134.0,136.5,125.75,129.65,134.75,265.0,132.8,26000,3438790.0,,132.26,EQ
28-11-2000,133.9,140.05,131.1,140.0,140.05,265.0,125.75,25500,3526600.0,,138.3,EQ
29-11-2000,140.25,150.9,139.95,148.0,145.05,265.0,125.75,44100,6464220.0,,146.58,EQ
30-11-2000,150.05,157.95,150.05,156.45,157.95,265.0,125.75,26700,4061545.0,,152.12,EQ
01-12-2000,156.5,167.95,156.5,161.75,161.75,265.0,125.75,25300,4077450.0,,161.16,EQ
04-12-2000,163.25,168.15,163.25,167.05,167.05,265.0,125.75,25600,4240645.0,,165.65,EQ
05-12-2000,167.25,171.0,159.05,170.0,170.25,265.0,125.75,36900,6172530.0,,167.28,EQ
06-12-2000,172.5,176.1,170.05,171.75,175.25,265.0,125.75,25700,4465200.0,,173.74,EQ
07-12-2000,172.1,174.5,168.0,171.4,174.5,265.0,125.75,27200,4696055.0,,172.65,EQ
08-12-2000,173.25,176.15,170.05,175.4,176.0,265.0,125.75,25100,4367845.0,,174.02,EQ
11-12-2000,177.1,180.0,175.5,179.45,179.75,265.0,125.75,26100,4651055.0,,178.2,EQ
12-12-2000,182.1,182.1,173.85,174.4,174.6,265.0,125.75,26800,4689945.0,,175.0,EQ
13-12-2000,174.95,176.5,173.0,175.6,175.4,265.0,125.75,28300,4964595.0,,175.43,EQ
14-12-2000,175.65,176.95,174.0,174.3,174.3,265.0,125.75,28400,4966205.0,,174.87,EQ
15-12-2000,174.9,174.9,172.7,173.5,173.5,265.0,125.75,28300,4914550.0,,173.66,EQ
18-12-2000,173.9,173.9,170.05,172.85,172.85,265.0,125.75,28200,4846290.0,,171.85,EQ
19-12-2000,172.9,174.5,170.5,173.0,173.0,265.0,125.75,28400,4913515.0,,173.01,EQ
20-12-2000,173.25,174.0,172.0,173.6,173.75,265.0,125.75,28000,4841900.0,,172.93,EQ
21-12-2000,172.45,174.0,172.3,173.4,173.2,265.0,125.75,26100,4514100.0,,172.95,EQ
22-12-2000,174.0,183.25,172.5,173.7,173.7,265.0,125.75,29100,5053610.0,,173.66,EQ
26-12-2000,174.0,175.5,172.85,174.1,174.25,265.0,125.75,26000,4513660.0,,173.6,EQ
27-12-2000,174.25,176.5,165.0,172.7,172.7,265.0,125.75,28600,4955380.0,,173.27,EQ
28-12-2000,174.35,174.35,171.4,171.8,171.95,265.0,125.75,25700,4443090.0,,172.88,EQ
29-12-2000,172.25,177.0,171.5,176.35,177.0,265.0,125.75,25200,4346015.0,,172.46,EQ
01-01-2001,177.0,179.9,176.0,177.45,177.0,265.0,125.75,25100,4485450.0,,178.7,EQ
02-01-2001,178.1,179.75,177.0,177.85,177.55,265.0,125.75,28200,5020910.0,,178.05,EQ
03-01-2001,178.1,179.5,177.5,178.9,178.9,265.0,125.75,27700,4950795.0,,178.73,EQ
04-01-2001,179.5,179.95,178.0,179.15,179.15,265.0,125.75,20200,3625640.0,,179.49,EQ
05-01-2001,179.0,179.8,179.0,179.2,179.0,265.0,125.75,20100,3606835.0,,179.44,EQ
08-01-2001,179.0,179.25,167.25,176.8,176.9,265.0,125.75,20300,3590110.0,,176.85,EQ
09-01-2001,178.0,178.0,174.4,174.55,174.7,265.0,125.75,20200,3531190.0,,174.81,EQ
10-01-2001,175.25,175.55,174.2,174.35,174.3,265.0,125.75,20600,3593610.0,,174.45,EQ
11-01-2001,174.5,176.0,174.45,175.3,175.3,265.0,125.75,19600,3436400.0,,175.33,EQ
12-01-2001,175.1,176.25,174.45,174.55,174.55,265.0,125.75,19300,3375785.0,,174.91,EQ
15-01-2001,174.45,174.9,174.0,174.65,174.9,265.0,125.75,19900,3475445.0,,174.65,EQ
16-01-2001,175.25,175.25,172.5,173.45,173.45,265.0,125.75,14600,2538205.0,,173.85,EQ
17-01-2001,174.75,174.9,174.6,174.8,174.85,265.0,125.75,13800,2411690.0,,174.76,EQ
18-01-2001,176.65,176.75,174.85,175.8,175.8,265.0,125.75,14800,2600355.0,,175.7,EQ
19-01-2001,175.95,176.25,175.5,175.9,175.9,265.0,125.75,14300,2515145.0,,175.88,EQ
22-01-2001,175.5,175.75,174.55,174.65,174.9,265.0,125.75,13000,2277760.0,,175.21,EQ
23-01-2001,174.75,174.9,174.0,174.4,174.4,265.0,125.75,15200,2653330.0,,174.56,EQ
24-01-2001,175.5,176.95,162.3,175.8,175.8,265.0,125.75,15400,2701870.0,,175.45,EQ
25-01-2001,174.5,177.5,174.5,175.9,175.9,265.0,125.75,15600,2746775.0,,176.08,EQ
29-01-2001,174.5,176.05,174.5,174.9,174.9,265.0,125.75,15200,2662695.0,,175.18,EQ
30-01-2001,175.0,177.0,174.5,174.95,174.95,265.0,125.75,13100,2290880.0,,174.88,EQ
31-01-2001,174.5,177.0,174.5,175.7,175.7,265.0,125.75,15000,2632055.0,,175.47,EQ
01-02-2001,174.0,174.95,174.0,174.4,174.4,265.0,125.75,14100,2461440.0,,174.57,EQ
02-02-2001,174.95,176.05,174.45,175.25,175.25,265.0,125.75,14000,2448065.0,,174.86,EQ
05-02-2001,174.85,177.0,174.7,174.95,174.95,265.0,125.75,14100,2468835.0,,175.09,EQ
06-02-2001,177.4,177.4,173.85,173.85,173.85,265.0,125.75,14500,2542565.0,,175.35,EQ
07-02-2001,174.25,175.0,173.0,173.9,173.9,265.0,125.75,14700,2557940.0,,174.01,EQ
08-02-2001,175.5,175.75,173.0,174.25,174.25,265.0,125.75,14000,2440870.0,,174.35,EQ
09-02-2001,174.0,174.8,162.4,162.4,162.4,265.0,125.75,12600,2193265.0,,174.07,EQ
12-02-2001,173.95,173.95,153.05,171.1,171.1,265.0,125.75,13100,2245465.0,,171.41,EQ
13-02-2001,171.25,173.0,161.0,161.5,161.5,265.0,125.75,12400,2116675.0,,170.7,EQ
14-02-2001,163.1,166.85,161.0,165.05,165.1,265.0,125.75,14500,2384470.0,,164.45,EQ
15-02-2001,166.25,170.0,165.0,167.95,167.95,265.0,125.75,13800,2301665.0,,166.79,EQ
16-02-2001,168.0,172.5,165.25,167.0,167.0,265.0,125.75,13500,2281935.0,,169.03,EQ
19-02-2001,167.5,171.0,165.0,167.5,167.5,265.0,125.75,13500,2274835.0,,168.51,EQ
20-02-2001,167.0,169.0,164.95,166.95,167.0,265.0,125.75,14400,2422330.0,,168.22,EQ
21-02-2001,165.95,171.5,156.0,156.85,156.85,265.0,125.75,12100,1955575.0,,161.62,EQ
22-02-2001,158.0,158.0,145.3,153.95,153.95,265.0,125.75,12200,1903960.0,,156.06,EQ
23-02-2001,154.0,156.0,153.0,154.45,154.45,265.0,125.75,13500,2086530.0,,154.56,EQ
26-02-2001,154.5,154.65,151.0,151.65,151.65,265.0,125.75,13100,2002340.0,,152.85,EQ
27-02-2001,151.7,153.5,149.25,149.5,149.5,265.0,125.75,12500,1872555.0,,149.8,EQ
28-02-2001,150.35,154.0,149.0,151.5,151.5,265.0,125.75,12500,1897810.0,,151.82,EQ
01-03-2001,151.9,155.0,149.95,149.95,149.95,265.0,125.75,12000,1818830.0,,151.57,EQ
02-03-2001,150.0,152.4,139.4,150.5,150.6,265.0,125.75,12700,1905160.0,,150.01,EQ
05-03-2001,150.05,150.05,139.7,139.8,139.8,265.0,125.75,10500,1485005.0,,141.43,EQ
07-03-2001,130.4,141.4,130.4,140.2,140.2,265.0,125.75,11600,1624740.0,,140.06,EQ
08-03-2001,139.5,143.35,137.0,137.0,137.0,265.0,125.75,12000,1677380.0,,139.78,EQ
09-03-2001,136.25,139.05,135.25,136.0,136.0,265.0,125.75,12100,1653425.0,,136.65,EQ
12-03-2001,136.05,136.05,133.95,134.55,134.55,265.0,125.75,12100,1630695.0,,134.77,EQ
13-03-2001,128.95,129.25,124.0,124.0,124.0,265.0,125.75,11000,1403505.0,,127.59,EQ
14-03-2001,128.0,128.0,119.5,119.7,119.9,265.0,124.0,12100,1470635.0,,121.54,EQ
15-03-2001,119.05,121.95,119.05,121.5,121.5,265.0,119.5,10500,1266705.0,,120.64,EQ
16-03-2001,120.05,125.05,119.35,119.75,119.85,265.0,119.05,13700,1645185.0,,120.09,EQ
19-03-2001,120.05,123.05,110.25,115.9,116.5,265.0,119.05,10700,1268195.0,,118.52,EQ
20-03-2001,115.75,117.35,110.75,110.85,110.95,265.0,110.25,11300,1281560.0,,113.41,EQ
21-03-2001,110.3,115.55,102.0,102.0,102.0,265.0,110.25,11300,1238415.0,,109.59,EQ
22-03-2001,101.65,108.2,94.1,108.2,108.2,265.0,102.0,11400,1138055.0,,99.83,EQ
23-03-2001,108.25,109.5,100.0,109.05,109.05,265.0,94.1,13040,1414077.5,,108.44,EQ
26-03-2001,109.0,109.65,100.6,109.5,109.5,265.0,94.1,6025,653942.4,,108.54,EQ
27-03-2001,109.1,109.1,100.95,106.1,108.9,265.0,94.1,8372,907022.25,,108.34,EQ
28-03-2001,110.95,114.2,106.2,107.95,108.55,265.0,94.1,7211,782954.75,,108.58,EQ
