DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
12-12-2002,88.0,88.0,73.1,75.2,75.05,103.0,58.1,2975,224526.85,,75.47,EQ
13-12-2002,75.0,75.5,74.75,75.05,75.2,103.0,58.1,3525,264516.3,,75.04,EQ
16-12-2002,75.5,77.0,74.5,75.0,75.4,103.0,58.1,6082,461195.15,,75.83,EQ
17-12-2002,76.0,76.0,74.25,74.45,74.35,103.0,58.1,11880,890823.65,,74.99,EQ
18-12-2002,75.0,75.55,73.5,73.95,74.0,103.0,58.1,5120,381070.25,,74.43,EQ
19-12-2002,73.5,74.4,72.8,73.4,73.9,103.0,58.1,4906,360741.05,,73.53,EQ
20-12-2002,73.0,75.95,70.65,71.15,71.0,103.0,58.1,32883,2353517.3,,71.57,EQ
23-12-2002,70.75,72.0,70.35,70.65,70.7,103.0,58.1,9196,653163.8,,71.03,EQ
24-12-2002,71.0,71.9,69.65,70.1,69.65,103.0,58.1,10618,747820.65,,70.43,EQ
26-12-2002,71.5,72.0,70.4,71.55,71.75,103.0,58.1,6523,464295.6,,71.18,EQ
27-12-2002,71.8,72.45,71.25,71.65,71.8,103.0,58.1,4847,348365.35,,71.87,EQ
30-12-2002,72.3,72.3,69.25,69.6,69.95,103.0,58.1,7616,535258.5,,70.28,EQ
31-12-2002,69.7,70.95,69.7,70.05,70.2,103.0,58.1,9192,645107.75,,70.18,EQ
01-01-2003,74.9,74.9,71.0,72.7,72.6,103.0,58.1,11176,811890.0,,72.65,EQ
02-01-2003,73.35,73.35,71.3,71.5,71.5,103.0,58.1,3811,273880.95,,71.87,EQ
03-01-2003,74.0,74.0,71.55,71.8,71.6,103.0,58.1,2882,207179.05,,71.89,EQ
06-01-2003,71.4,71.5,70.5,70.65,70.5,103.0,58.1,1515,107590.25,,71.02,EQ
07-01-2003,70.25,72.45,70.25,70.9,70.65,103.0,58.1,3460,247405.1,,71.5,EQ
08-01-2003,71.05,71.65,69.8,70.15,69.8,103.0,58.1,13339,939819.45,,70.46,EQ
09-01-2003,71.15,71.2,69.3,69.6,69.55,103.0,58.1,8855,622384.2,,70.29,EQ
10-01-2003,70.85,71.0,68.6,69.05,68.6,103.0,58.1,10892,759146.3,,69.7,EQ
13-01-2003,68.0,69.9,62.0,68.9,68.5,103.0,58.1,2158,145641.95,,67.49,EQ
14-01-2003,68.5,69.2,67.55,68.8,68.8,103.0,58.1,1802,123691.3,,68.64,EQ
15-01-2003,69.55,69.6,68.65,68.95,69.0,103.0,58.1,2918,201726.1,,69.13,EQ
16-01-2003,67.0,69.5,66.05,68.7,68.85,103.0,58.1,4540,311975.65,,68.72,EQ
17-01-2003,69.05,71.7,68.1,69.8,70.2,103.0,58.1,7280,507514.7,,69.71,EQ
20-01-2003,71.0,72.9,70.5,72.3,72.25,103.0,58.1,9960,716268.4,,71.91,EQ
21-01-2003,72.45,72.8,69.0,69.45,69.3,103.0,58.1,8431,595033.35,,70.58,EQ
