DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-11-2023,380.0,417.95,378.0,413.4,413.25,417.95,378.0,22439980,8845097839.55,268602,394.17,EQ
02-11-2023,423.0,433.4,403.4,406.95,406.95,433.4,378.0,4315489,1798734573.15,59344,416.81,EQ
03-11-2023,409.8,413.2,386.05,389.85,389.2,433.4,378.0,1466942,584791102.5,27350,398.65,EQ
06-11-2023,372.0,393.75,357.35,382.5,382.55,433.4,357.35,2137882,815951562.9,28664,381.66,EQ
07-11-2023,382.0,387.25,376.25,381.7,381.0,433.4,357.35,657524,250185792.6,13225,380.5,EQ
08-11-2023,385.0,408.8,385.0,405.3,404.25,433.4,357.35,1164406,465878047.25,22989,400.1,EQ
09-11-2023,406.5,419.9,401.05,404.05,403.25,433.4,357.35,945054,389221304.6,17209,411.85,EQ
10-11-2023,399.0,402.7,376.65,387.75,388.9,433.4,357.35,666783,260865399.0,12373,391.23,EQ
12-11-2023,390.0,404.95,390.0,402.15,402.45,433.4,357.35,248739,99426558.0,3754,399.72,EQ
13-11-2023,403.0,415.0,398.05,400.25,400.05,433.4,357.35,502996,204350549.1,8827,406.27,EQ
15-11-2023,403.75,406.9,391.35,392.55,392.1,433.4,357.35,444278,176924920.95,12113,398.23,EQ
16-11-2023,395.0,396.0,384.0,389.15,390.5,433.4,357.35,817395,319480351.6,19179,390.85,EQ
17-11-2023,391.0,394.0,379.0,381.45,381.5,433.4,357.35,374541,143810952.95,11746,383.97,EQ
20-11-2023,381.0,398.0,381.0,393.2,392.5,433.4,357.35,518920,201786771.1,15652,388.86,EQ
21-11-2023,393.95,401.2,384.0,389.65,389.9,433.4,357.35,446158,176180008.85,17506,394.88,EQ
22-11-2023,390.0,392.0,382.3,385.35,385.0,433.4,357.35,208898,80639123.45,6446,386.02,EQ
23-11-2023,385.75,386.0,379.3,383.7,385.0,433.4,357.35,236856,90629988.6,7075,382.64,EQ
24-11-2023,382.0,384.3,370.05,374.3,372.0,433.4,357.35,375797,142004335.7,9089,377.88,EQ
28-11-2023,376.0,377.7,358.6,364.75,365.15,433.4,357.35,450131,163778338.4,13256,363.85,EQ
29-11-2023,366.9,372.0,362.25,364.45,363.7,433.4,357.35,478518,175499453.9,9138,366.76,EQ
30-11-2023,366.0,366.8,355.5,360.1,360.0,433.4,355.5,369766,132952804.7,14733,359.56,EQ
01-12-2023,362.2,364.0,344.75,346.95,348.5,433.4,344.75,736101,256805975.9,19310,348.87,EQ
04-12-2023,350.55,358.0,332.9,355.4,356.0,433.4,332.9,977080,338915166.85,22298,346.87,EQ
05-12-2023,355.4,369.95,355.4,360.25,360.5,433.4,332.9,503045,182734785.5,7580,363.26,EQ
06-12-2023,360.55,362.9,346.05,348.5,348.3,433.4,332.9,349922,122936980.15,7783,351.33,EQ
07-12-2023,348.65,352.45,341.25,350.05,350.15,433.4,332.9,251113,87337606.5,8151,347.8,EQ
08-12-2023,351.9,353.45,336.0,339.45,340.5,433.4,332.9,907573,310366985.0,12794,341.97,EQ
11-12-2023,341.3,341.45,330.95,332.75,333.35,433.4,330.95,248256,83327019.65,10051,335.65,EQ
12-12-2023,333.0,339.0,319.5,322.1,325.05,433.4,319.5,515490,168151453.45,13491,326.2,EQ
13-12-2023,320.0,348.7,320.0,343.2,343.4,433.4,319.5,2174828,729004455.25,24107,335.2,EQ
14-12-2023,346.0,353.0,331.9,333.8,333.25,433.4,319.5,1234411,420250587.05,20090,340.45,EQ
15-12-2023,335.0,350.95,332.6,347.2,348.0,433.4,319.5,867123,298659881.05,10110,344.43,EQ
18-12-2023,348.5,358.8,345.05,352.5,352.85,433.4,319.5,510338,180599618.7,7831,353.88,EQ
19-12-2023,355.0,373.45,352.15,362.0,361.25,433.4,319.5,1235687,447458114.35,13394,362.11,EQ
20-12-2023,363.9,371.95,348.25,354.55,354.95,433.4,319.5,622099,224462507.8,9592,360.81,EQ
21-12-2023,356.0,360.6,347.05,358.65,358.0,433.4,319.5,334004,119124906.1,4738,356.66,EQ
22-12-2023,361.0,368.0,354.55,361.3,361.5,433.4,319.5,469041,169317365.65,9793,360.99,EQ
26-12-2023,358.2,376.0,358.2,369.65,370.4,433.4,319.5,464401,171870821.2,10124,370.09,EQ
27-12-2023,372.45,376.95,360.3,371.05,371.0,433.4,319.5,343578,126939576.45,8437,369.46,EQ
28-12-2023,371.45,373.0,361.0,368.95,368.0,433.4,319.5,321445,118124502.7,5826,367.48,EQ
29-12-2023,369.0,373.0,365.3,368.1,368.05,433.4,319.5,315761,116283402.0,3114,368.26,EQ
01-01-2024,370.0,374.8,364.55,368.2,369.0,433.4,319.5,235647,87012629.95,4869,369.25,EQ
02-01-2024,369.0,386.05,365.05,379.0,379.05,433.4,319.5,698090,262952093.7,11685,376.67,EQ
03-01-2024,381.0,383.8,373.0,373.7,374.4,433.4,319.5,169192,63690298.45,3769,376.44,EQ
04-01-2024,380.0,392.0,375.65,384.4,384.0,433.4,319.5,585023,225589603.1,9593,385.61,EQ
05-01-2024,384.95,388.0,372.75,377.15,377.1,433.4,319.5,381206,144079775.6,6535,377.96,EQ
08-01-2024,386.8,411.9,386.7,403.25,402.0,433.4,319.5,1538113,615049685.25,18914,399.87,EQ
09-01-2024,403.85,405.95,392.0,397.15,397.3,433.4,319.5,559441,221612208.5,10580,396.13,EQ
10-01-2024,395.8,396.65,382.0,390.55,390.55,433.4,319.5,426551,166036157.2,7664,389.25,EQ
11-01-2024,394.95,400.0,385.05,386.15,386.9,433.4,319.5,190808,74600475.95,4431,390.97,EQ
12-01-2024,388.0,393.0,375.65,378.0,379.0,433.4,319.5,261050,99921633.0,5154,382.77,EQ
15-01-2024,378.45,380.4,362.0,363.55,364.8,433.4,319.5,450788,165802177.1,7751,367.81,EQ
16-01-2024,364.95,378.45,360.15,370.4,371.9,433.4,319.5,477879,175525717.85,6449,367.3,EQ
17-01-2024,367.4,369.6,362.0,363.55,364.0,433.4,319.5,156948,57188151.55,4379,364.38,EQ
18-01-2024,368.6,375.1,351.0,369.6,371.55,433.4,319.5,270844,98942562.1,5801,365.31,EQ
19-01-2024,370.0,379.8,370.0,374.25,373.9,433.4,319.5,191425,71662332.7,3703,374.36,EQ
20-01-2024,372.0,379.4,372.0,372.6,372.4,433.4,319.5,61415,23064860.35,1754,375.56,EQ
23-01-2024,374.0,374.0,351.0,353.25,355.25,433.4,319.5,183085,65833713.5,4639,359.58,EQ
24-01-2024,353.25,358.7,350.25,357.95,357.05,433.4,319.5,170039,60677175.4,3433,356.84,EQ
25-01-2024,357.95,362.05,353.65,359.75,360.0,433.4,319.5,123056,43919093.9,6156,356.9,EQ
29-01-2024,360.85,385.0,357.05,380.95,376.0,433.4,319.5,398690,148936226.75,9715,373.56,EQ
30-01-2024,377.65,384.0,365.55,367.4,368.0,433.4,319.5,200838,74936797.85,5679,373.12,EQ
31-01-2024,368.0,368.0,351.95,354.15,353.9,433.4,319.5,402971,143381152.95,17775,355.81,EQ
01-02-2024,354.15,358.15,346.1,347.45,346.55,433.4,319.5,506507,177272079.3,12743,349.99,EQ
02-02-2024,350.5,352.4,333.25,334.9,334.75,433.4,319.5,401226,135615679.45,14648,338.0,EQ
05-02-2024,337.65,337.65,326.1,330.35,331.1,433.4,319.5,440050,145487632.9,12696,330.62,EQ
06-02-2024,335.35,349.15,324.0,345.75,345.9,433.4,319.5,1240365,419191828.85,21292,337.96,EQ
07-02-2024,347.95,357.0,341.35,354.05,353.0,433.4,319.5,422369,148915732.95,7194,352.57,EQ
08-02-2024,355.0,359.7,347.35,354.0,354.9,433.4,319.5,224291,79374885.6,5645,353.89,EQ
09-02-2024,354.0,363.0,340.85,355.55,351.0,433.4,319.5,278057,98298455.9,5446,353.52,EQ
12-02-2024,355.55,361.85,339.45,344.05,345.0,433.4,319.5,118731,41194126.6,3207,346.95,EQ
13-02-2024,344.95,345.0,330.2,335.6,335.15,433.4,319.5,122404,40954361.5,2985,334.58,EQ
14-02-2024,343.8,343.8,332.05,340.1,339.0,433.4,319.5,51365,17499381.5,1550,340.69,EQ
15-02-2024,341.0,342.45,333.0,337.4,337.8,433.4,319.5,128255,43287313.75,3993,337.51,EQ
16-02-2024,342.35,342.9,334.0,341.3,341.0,433.4,319.5,169827,57610783.7,3246,339.23,EQ
19-02-2024,344.0,355.6,340.05,346.85,346.5,433.4,319.5,193324,67230730.05,4125,347.76,EQ
20-02-2024,344.05,356.7,344.05,353.65,354.0,433.4,319.5,174272,61467237.3,3183,352.71,EQ
