DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
15-06-2000,71.7,71.7,71.7,71.7,71.7,0.0,0.0,15,1075.5,,71.7,BE
16-06-2000,66.0,66.0,66.0,66.0,66.0,71.7,71.7,500,33000.0,,66.0,BE
19-06-2000,62.0,62.0,60.75,60.75,60.75,71.7,66.0,208,12702.25,,61.07,BE
20-06-2000,60.75,60.75,55.9,55.9,55.9,71.7,60.75,1225,68977.5,,56.31,BE
21-06-2000,55.9,55.9,51.5,51.5,51.5,71.7,55.9,1840,96230.0,,52.3,BE
22-06-2000,47.4,49.95,47.4,48.45,48.5,71.7,51.5,5500,268121.0,,48.75,BE
23-06-2000,45.5,47.0,44.75,47.0,47.0,71.7,47.4,2025,94443.75,,46.64,BE
26-06-2000,45.5,45.5,43.5,43.5,43.5,71.7,44.75,4850,216975.0,,44.74,BE
27-06-2000,45.9,45.9,42.1,44.85,44.85,71.7,43.5,8080,352459.05,,43.62,BE
28-06-2000,43.0,45.0,42.0,42.1,42.1,71.7,42.1,2985,130877.5,,43.85,BE
29-06-2000,45.0,45.0,42.0,42.6,42.0,71.7,42.0,8086,347975.0,,43.03,BE
30-06-2000,44.9,44.9,41.5,41.5,41.5,71.7,42.0,4045,173792.75,,42.96,BE
03-07-2000,44.65,44.8,44.65,44.8,44.8,71.7,41.5,788,35264.9,,44.75,BE
04-07-2000,44.5,44.5,42.0,43.45,43.45,71.7,41.5,3125,134389.75,,43.0,BE
05-07-2000,44.9,45.0,43.4,44.35,44.9,71.7,41.5,955,42427.25,,44.43,BE
06-07-2000,42.0,42.25,41.6,42.0,41.65,71.7,41.5,829,34819.7,,42.0,BE
07-07-2000,41.5,42.9,40.5,42.9,42.9,71.7,41.5,1751,72922.9,,41.65,BE
10-07-2000,41.5,42.8,40.1,40.8,41.0,71.7,40.5,1323,54453.15,,41.16,BE
11-07-2000,40.55,41.75,38.1,38.1,38.1,71.7,40.1,4005,162059.55,,40.46,BE
12-07-2000,39.0,40.0,39.0,40.0,40.0,71.7,38.1,600,23700.0,,39.5,BE
13-07-2000,42.0,42.8,42.0,42.8,42.8,71.7,38.1,490,20844.0,,42.54,BE
14-07-2000,41.1,41.1,39.9,40.3,40.05,71.7,38.1,1314,52855.0,,40.22,BE
17-07-2000,40.5,42.0,38.55,41.3,42.0,71.7,38.1,2000,80007.6,,40.0,BE
18-07-2000,40.05,42.0,38.05,39.55,38.05,71.7,38.1,4682,187552.25,,40.06,BE
19-07-2000,39.6,41.0,39.0,39.0,39.0,71.7,38.05,2165,85907.0,,39.68,BE
20-07-2000,38.05,38.75,36.05,36.55,36.05,71.7,38.05,6185,236162.25,,38.18,BE
21-07-2000,39.0,39.0,37.1,38.0,38.0,71.7,36.05,1657,62777.2,,37.89,BE
24-07-2000,40.0,40.0,36.25,36.45,36.4,71.7,36.05,1222,46413.75,,37.98,BE
25-07-2000,35.0,38.9,35.0,36.15,36.15,71.7,36.05,1285,48029.75,,37.38,BE
26-07-2000,37.0,39.0,36.5,38.05,38.0,71.7,35.0,1287,49216.0,,38.24,BE
27-07-2000,36.65,39.0,36.65,37.7,37.7,71.7,35.0,1100,42055.0,,38.23,BE
28-07-2000,39.45,39.45,36.65,38.75,38.75,71.7,35.0,515,19676.25,,38.21,BE
