DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
20-01-2015,83.45,87.8,81.0,86.3,86.55,87.8,81.0,209065,17762615.55,2342,84.96,EQ
21-01-2015,87.2,99.9,87.2,96.5,96.0,99.9,81.0,635079,60687943.2,6582,95.56,EQ
22-01-2015,97.5,97.8,91.0,94.75,94.5,99.9,81.0,199938,18838150.25,1837,94.22,EQ
23-01-2015,95.0,95.0,90.4,91.15,90.55,99.9,81.0,57503,5341151.45,716,92.88,EQ
27-01-2015,94.95,94.95,89.5,90.7,91.45,99.9,81.0,59752,5390939.5,428,90.22,EQ
28-01-2015,92.5,95.0,89.2,90.05,90.4,99.9,81.0,109831,10009647.4,980,91.14,EQ
29-01-2015,90.7,93.9,90.0,90.5,90.95,99.9,81.0,38106,3484835.95,466,91.45,EQ
30-01-2015,90.6,92.0,90.0,90.15,90.55,99.9,81.0,22531,2045331.5,241,90.78,EQ
02-02-2015,90.0,95.0,89.65,93.6,93.7,99.9,81.0,48790,4481782.05,530,91.86,EQ
03-02-2015,91.0,95.25,91.0,93.6,93.9,99.9,81.0,19723,1840900.85,440,93.34,EQ
04-02-2015,94.95,104.8,92.8,101.15,101.8,104.8,81.0,233064,23531868.35,3158,100.97,EQ
05-02-2015,102.7,103.0,95.35,96.95,96.05,104.8,81.0,89709,8928720.95,1653,99.53,EQ
06-02-2015,96.15,103.05,90.4,98.8,100.4,104.8,81.0,183092,18089346.9,1975,98.8,EQ
09-02-2015,97.0,97.0,91.25,92.6,92.85,104.8,81.0,62770,5892045.65,1229,93.87,EQ
10-02-2015,93.3,96.0,92.0,93.4,93.9,104.8,81.0,33675,3165462.65,969,94.0,EQ
11-02-2015,95.35,96.0,91.05,93.1,93.35,104.8,81.0,35677,3362075.05,582,94.24,EQ
12-02-2015,94.0,94.0,92.2,92.6,93.9,104.8,81.0,23750,2207162.2,314,92.93,EQ
13-02-2015,93.55,95.45,92.1,94.15,94.1,104.8,81.0,15613,1464170.9,298,93.78,EQ
16-02-2015,94.1,98.0,92.45,93.4,93.15,104.8,81.0,20207,1898246.0,441,93.94,EQ
18-02-2015,95.5,95.5,92.5,93.5,92.5,104.8,81.0,20032,1877563.8,298,93.73,EQ
19-02-2015,93.5,93.5,88.5,90.4,89.85,104.8,81.0,48832,4447374.2,678,91.07,EQ
20-02-2015,91.1,93.4,85.1,90.35,90.05,104.8,81.0,89756,8091188.45,457,90.15,EQ
23-02-2015,89.6,91.8,89.5,90.2,90.2,104.8,81.0,18896,1714394.55,340,90.73,EQ
24-02-2015,90.0,91.9,89.2,90.05,90.1,104.8,81.0,19675,1778534.2,427,90.4,EQ
25-02-2015,90.2,92.0,89.65,90.2,90.95,104.8,81.0,24404,2211067.55,375,90.6,EQ
26-02-2015,91.2,91.95,89.6,90.0,90.0,104.8,81.0,40409,3642079.95,301,90.13,EQ
