DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
14-03-2014,300.0,310.25,287.0,299.4,300.0,310.25,287.0,27208,8062837.75,334,296.34,BE
18-03-2014,301.0,302.95,291.55,295.75,293.5,310.25,287.0,52683,15512996.5,1168,294.46,BE
19-03-2014,295.9,295.9,288.1,290.9,291.9,310.25,287.0,43210,12574766.85,539,291.02,BE
20-03-2014,290.0,291.0,287.1,289.4,288.75,310.25,287.0,47574,13774986.15,555,289.55,BE
21-03-2014,288.0,291.0,285.8,287.15,287.15,310.25,285.8,77541,22322370.85,2455,287.88,BE
22-03-2014,289.0,290.0,286.5,289.15,290.0,310.25,285.8,4206,1211144.65,77,287.96,BE
24-03-2014,292.35,292.35,287.6,288.95,288.0,310.25,285.8,120240,34717725.95,534,288.74,BE
25-03-2014,288.5,292.95,285.0,287.25,288.0,310.25,285.0,47272,13584092.45,936,287.36,BE
26-03-2014,290.0,292.95,288.05,291.65,292.0,310.25,285.0,40337,11727309.85,856,290.73,BE
27-03-2014,292.0,298.25,290.3,297.7,297.95,310.25,285.0,54703,16148987.75,1244,295.21,BE
28-03-2014,302.5,314.0,302.5,312.2,311.0,314.0,285.0,208665,64533670.75,7916,309.27,EQ
31-03-2014,313.3,317.0,309.35,310.95,310.5,317.0,285.0,91514,28644274.35,3444,313.0,EQ
01-04-2014,312.2,312.2,305.0,306.05,306.5,317.0,285.0,198453,60790879.9,6605,306.32,EQ
02-04-2014,306.0,312.5,305.0,308.05,308.25,317.0,285.0,169167,52192082.2,6202,308.52,EQ
03-04-2014,307.05,311.0,303.1,304.9,305.5,317.0,285.0,254728,78054002.0,3574,306.42,EQ
04-04-2014,305.2,309.95,304.7,308.4,309.0,317.0,285.0,53319,16396933.4,1513,307.53,EQ
07-04-2014,306.15,309.8,303.5,304.05,303.5,317.0,285.0,99437,30301387.2,1875,304.73,EQ
09-04-2014,304.05,309.0,303.0,304.05,304.25,317.0,285.0,244701,74585288.4,5162,304.8,EQ
10-04-2014,305.0,306.4,303.9,304.2,304.5,317.0,285.0,100456,30614338.35,2670,304.75,EQ
11-04-2014,305.0,309.9,304.0,304.9,305.0,317.0,285.0,109339,33493571.45,2942,306.33,EQ
15-04-2014,307.35,307.35,302.15,302.65,302.85,317.0,285.0,63611,19304385.1,1184,303.48,EQ
16-04-2014,303.5,304.5,300.0,300.35,300.8,317.0,285.0,69455,20984910.1,1555,302.14,EQ
17-04-2014,300.0,304.0,300.0,301.4,301.35,317.0,285.0,26470,8001120.55,3021,302.27,EQ
21-04-2014,302.0,305.0,300.0,300.2,300.85,317.0,285.0,108739,32741209.5,2093,301.1,EQ
22-04-2014,300.85,303.0,300.15,302.3,302.55,317.0,285.0,48618,14690160.95,949,302.15,EQ
23-04-2014,304.5,304.5,301.25,302.25,302.75,317.0,285.0,54131,16362154.15,1374,302.27,EQ
25-04-2014,301.0,302.0,297.0,297.45,297.0,317.0,285.0,67660,20259533.35,1236,299.43,EQ
28-04-2014,297.15,298.9,296.0,297.45,297.7,317.0,285.0,51164,15226142.35,1146,297.59,EQ
29-04-2014,306.75,306.75,293.05,294.2,294.95,317.0,285.0,99784,29555364.15,2574,296.19,EQ
30-04-2014,294.95,304.5,293.0,296.1,296.6,317.0,285.0,103453,30884675.2,8934,298.54,EQ
02-05-2014,298.0,299.0,293.6,296.3,296.3,317.0,285.0,50070,14832764.35,1006,296.24,EQ
05-05-2014,296.3,297.0,291.5,293.0,293.0,317.0,285.0,56645,16656991.55,1712,294.06,EQ
06-05-2014,294.0,294.5,291.0,291.95,291.7,317.0,285.0,50415,14742020.4,2122,292.41,EQ
07-05-2014,291.25,292.9,289.4,290.3,290.5,317.0,285.0,151320,44070636.65,5262,291.24,EQ
08-05-2014,290.35,292.35,286.05,286.9,286.8,317.0,285.0,115858,33417066.8,2924,288.43,EQ
09-05-2014,286.3,291.0,286.0,286.75,287.45,317.0,285.0,125316,35964982.3,3801,286.99,EQ
12-05-2014,289.0,291.5,288.0,290.0,290.5,317.0,285.0,72632,21063407.6,2653,290.0,EQ
