DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
07-06-2004,66.5,66.5,63.3,65.5,65.75,0.0,0.0,5177,333153.55,,64.35,EQ
08-06-2004,67.25,69.75,65.0,67.6,69.7,66.5,63.3,7777,516845.8,,66.46,EQ
09-06-2004,69.9,73.0,67.3,70.4,72.5,69.75,63.3,3051,216849.3,,71.07,EQ
10-06-2004,73.0,73.5,67.1,68.5,70.25,73.0,63.3,3884,270313.75,,69.6,EQ
11-06-2004,73.5,73.5,66.0,66.9,67.8,73.5,63.3,2967,205608.45,,69.3,EQ
14-06-2004,65.7,65.9,63.1,64.45,64.45,73.5,63.3,3110,200083.0,,64.34,EQ
15-06-2004,63.15,66.45,62.25,65.9,65.9,73.5,63.1,3949,251235.65,,63.62,EQ
16-06-2004,63.15,66.0,63.15,63.9,63.55,73.5,62.25,4048,257907.85,,63.71,EQ
17-06-2004,64.0,65.0,63.0,63.15,63.0,73.5,62.25,3400,217082.5,,63.85,EQ
18-06-2004,64.0,64.0,62.7,63.05,63.9,73.5,62.25,4220,269410.0,,63.84,EQ
21-06-2004,61.6,65.8,60.6,60.6,60.6,73.5,62.25,5922,371088.95,,62.66,EQ
22-06-2004,62.0,63.45,58.5,62.0,62.0,73.5,60.6,3335,202628.3,,60.76,EQ
23-06-2004,62.0,62.15,60.0,61.35,61.4,73.5,58.5,3825,235471.5,,61.56,EQ
24-06-2004,64.8,64.9,60.5,61.35,62.85,73.5,58.5,4905,300247.05,,61.21,EQ
25-06-2004,64.3,65.2,62.8,63.5,64.6,73.5,58.5,6968,442815.75,,63.55,EQ
28-06-2004,66.9,66.9,63.0,64.55,65.5,73.5,58.5,4524,289969.45,,64.1,EQ
29-06-2004,68.0,68.0,63.0,65.7,66.0,73.5,58.5,4022,262968.85,,65.38,EQ
30-06-2004,69.0,69.0,61.0,61.7,61.5,73.5,58.5,3945,252741.45,,64.07,EQ
01-07-2004,66.0,66.0,61.0,61.5,61.0,73.5,58.5,4987,308817.95,,61.92,EQ
02-07-2004,63.0,63.0,61.0,61.15,61.9,73.5,58.5,1097,67650.65,,61.67,EQ
05-07-2004,64.9,64.9,61.25,61.6,61.6,73.5,58.5,3867,239125.75,,61.84,EQ
06-07-2004,63.25,63.25,61.2,61.85,61.2,73.5,58.5,3052,190007.15,,62.26,EQ
07-07-2004,66.5,66.5,61.2,62.4,62.55,73.5,58.5,267,16383.3,,61.36,EQ
08-07-2004,63.0,63.0,58.1,60.5,61.0,73.5,58.5,6268,384476.05,,61.34,EQ
09-07-2004,62.5,63.75,60.0,62.9,62.9,73.5,58.1,3062,188776.0,,61.65,EQ
12-07-2004,65.9,65.9,60.4,61.2,61.0,73.5,58.1,366,22383.85,,61.16,EQ
13-07-2004,65.0,65.0,60.0,61.0,61.0,73.5,58.1,3752,225469.75,,60.09,EQ
14-07-2004,62.0,64.5,60.0,60.55,60.4,73.5,58.1,1281,77159.2,,60.23,EQ
15-07-2004,64.0,64.0,60.5,61.4,61.4,73.5,58.1,2015,123327.5,,61.2,EQ
16-07-2004,66.0,66.0,60.3,61.75,61.0,73.5,58.1,4129,251741.8,,60.97,EQ
19-07-2004,61.1,62.9,60.0,61.95,61.75,73.5,58.1,2603,160921.3,,61.82,EQ
20-07-2004,66.95,68.0,60.0,67.2,67.0,73.5,58.1,15056,976964.7,,64.89,EQ
21-07-2004,68.0,71.45,65.1,70.8,67.65,73.5,58.1,9368,644488.7,,68.8,EQ
22-07-2004,75.0,77.0,64.0,75.0,77.0,73.5,58.1,21085,1547217.5,,73.38,EQ
23-07-2004,79.5,79.5,73.0,75.7,76.0,77.0,58.1,12234,927828.7,,75.84,EQ
26-07-2004,78.0,78.5,75.5,76.65,76.5,79.5,58.1,6133,470475.5,,76.71,EQ
27-07-2004,82.0,82.0,73.1,73.25,75.0,79.5,58.1,6208,461090.5,,74.27,EQ
28-07-2004,74.0,74.0,73.1,74.0,74.0,82.0,58.1,4925,362875.0,,73.68,EQ
29-07-2004,79.7,79.9,74.15,75.05,75.0,82.0,58.1,8216,619454.2,,75.4,EQ
30-07-2004,76.0,81.0,75.5,78.4,80.25,82.0,58.1,7304,567477.75,,77.69,EQ
02-08-2004,75.0,76.5,74.5,75.95,74.5,82.0,58.1,9620,730862.0,,75.97,EQ
03-08-2004,78.55,78.55,72.65,73.35,74.0,82.0,58.1,7176,535650.6,,74.64,EQ
04-08-2004,73.4,76.0,73.35,75.2,75.5,82.0,58.1,937,69887.5,,74.59,EQ
05-08-2004,77.0,78.9,75.05,76.45,76.75,82.0,58.1,7775,593150.5,,76.29,EQ
06-08-2004,75.0,75.5,74.05,74.1,75.0,82.0,58.1,6237,468476.1,,75.11,EQ
09-08-2004,75.45,75.45,72.0,73.2,74.8,82.0,58.1,4026,299050.25,,74.28,EQ
10-08-2004,75.0,75.0,74.0,74.0,75.0,82.0,58.1,6136,455136.0,,74.17,EQ
11-08-2004,73.0,75.85,71.05,74.1,74.1,82.0,58.1,3282,242706.1,,73.95,EQ
12-08-2004,75.0,75.0,72.0,73.35,74.4,82.0,58.1,2735,198928.3,,72.73,EQ
13-08-2004,74.0,75.0,72.25,72.55,74.65,82.0,58.1,4804,356659.55,,74.24,EQ
16-08-2004,72.0,76.0,71.1,74.6,76.0,82.0,58.1,6993,513614.85,,73.45,EQ
17-08-2004,75.95,75.95,75.95,75.95,75.95,82.0,58.1,100,7595.0,,75.95,EQ
18-08-2004,76.5,76.5,73.6,74.05,74.0,82.0,58.1,4850,363180.0,,74.88,EQ
19-08-2004,74.5,81.0,73.0,79.95,81.0,82.0,58.1,19068,1482937.75,,77.77,EQ
20-08-2004,82.1,87.0,79.5,85.65,86.3,82.0,58.1,18003,1509103.6,,83.83,EQ
23-08-2004,81.05,85.5,77.55,80.05,82.45,87.0,58.1,8918,727415.0,,81.57,EQ
24-08-2004,75.5,83.0,75.5,81.1,81.2,87.0,58.1,638,52320.95,,82.01,EQ
25-08-2004,85.8,85.8,77.6,79.65,80.05,87.0,58.1,1101,88392.95,,80.28,EQ
26-08-2004,83.8,87.0,82.5,85.0,84.0,87.0,58.1,3067,256820.0,,83.74,EQ
27-08-2004,85.0,86.0,81.0,82.15,84.5,87.0,58.1,263,21884.75,,83.21,EQ
