DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-01-1996,110.5,110.9,108.55,109.0,,,,9700,1060322.5,,109.31,EQ
02-01-1996,109.0,109.5,107.5,108.25,,,,6500,707185.0,,108.8,EQ
03-01-1996,107.0,109.85,107.0,107.85,,,,1100,119332.5,,108.48,EQ
04-01-1996,107.0,107.0,105.0,106.8,,,,3500,370645.0,,105.9,EQ
05-01-1996,106.8,106.0,105.3,106.0,,,,900,95092.5,,105.66,EQ
08-01-1996,106.0,105.75,104.2,104.2,,,,2300,241115.0,,104.83,EQ
09-01-1996,103.0,103.95,102.0,102.5,,,,2850,292535.0,,102.64,EQ
10-01-1996,102.5,106.5,102.5,103.75,,,,1500,157780.0,,105.19,EQ
11-01-1996,103.75,105.0,103.75,104.25,,,,1900,198370.0,,104.41,EQ
12-01-1996,106.0,107.0,105.95,106.1,,,,2250,239350.0,,106.38,EQ
15-01-1996,106.0,106.0,104.1,105.0,,,,1200,125900.0,,104.92,EQ
16-01-1996,105.0,105.0,103.0,104.6,,,,3900,405585.0,,104.0,EQ
17-01-1996,103.0,103.5,102.0,102.25,,,,2250,231005.0,,102.67,EQ
18-01-1996,97.0,100.75,97.0,99.75,,,,2000,199290.0,,99.65,EQ
19-01-1996,98.25,99.0,96.0,96.0,,,,2250,220075.0,,97.81,EQ
22-01-1996,96.0,98.0,95.1,98.0,,,,1200,116142.5,,96.79,EQ
23-01-1996,100.0,103.05,94.0,95.05,,,,7350,747195.0,,101.66,EQ
24-01-1996,95.05,94.0,90.0,92.0,,,,1950,177990.0,,91.28,EQ
25-01-1996,89.0,92.25,88.0,92.25,,,,2350,213357.5,,90.79,EQ
29-01-1996,92.0,98.0,92.0,97.75,,,,1400,133315.0,,95.23,EQ
30-01-1996,98.0,102.0,96.0,98.75,,,,3450,341592.5,,99.01,EQ
31-01-1996,98.75,101.0,99.0,100.0,,,,3200,320497.5,,100.16,EQ
01-02-1996,103.5,106.0,100.0,105.0,,,,9400,976967.5,,103.93,EQ
02-02-1996,104.0,113.0,104.0,109.35,,,,6700,737652.5,,110.1,EQ
05-02-1996,109.35,120.5,111.0,111.9,,,,14200,1641932.5,,115.63,EQ
06-02-1996,111.9,113.0,105.5,108.1,,,,6150,677152.5,,110.11,EQ
07-02-1996,108.1,108.5,104.0,105.85,,,,4350,460212.5,,105.8,EQ
08-02-1996,105.85,116.0,108.0,115.0,,,,12950,1454000.0,,112.28,EQ
09-02-1996,115.0,120.0,115.5,118.95,,,,9700,1145590.0,,118.1,EQ
12-02-1996,119.0,122.0,116.1,118.0,,,,10750,1275625.0,,118.66,EQ
13-02-1996,118.0,119.0,114.05,118.45,,,,7900,930127.5,,117.74,EQ
14-02-1996,118.45,130.0,122.1,126.0,,,,16900,2145535.0,,126.95,EQ
15-02-1996,126.0,139.25,125.0,136.2,,,,36300,4864565.0,,134.01,EQ
16-02-1996,136.2,140.0,129.0,131.95,,,,25400,3400187.5,,133.87,EQ
19-02-1996,131.95,137.0,132.0,133.6,,,,11700,1578535.0,,134.92,EQ
20-02-1996,133.6,134.85,129.0,130.35,,,,19650,2603287.5,,132.48,EQ
22-02-1996,130.35,137.6,130.0,134.5,,,,7550,1020047.5,,135.11,EQ
23-02-1996,134.5,134.0,130.0,132.25,,,,5100,672060.0,,131.78,EQ
26-02-1996,132.25,136.0,133.0,134.4,,,,11500,1552367.5,,134.99,EQ
27-02-1996,134.4,135.0,132.75,133.7,,,,7350,983795.0,,133.85,EQ
28-02-1996,134.0,135.0,132.05,132.05,,,,2100,280745.0,,133.69,EQ
29-02-1996,128.0,128.0,118.5,119.8,,,,6450,794287.5,,123.15,EQ
01-03-1996,120.0,125.55,119.0,123.0,,,,6500,793500.0,,122.08,EQ
04-03-1996,123.0,125.0,120.0,122.85,,,,4650,567550.0,,122.05,EQ
06-03-1996,122.85,124.0,123.0,124.0,,,,1450,179155.0,,123.56,EQ
07-03-1996,125.0,125.0,121.85,121.85,,,,1500,186310.0,,124.21,EQ
08-03-1996,121.85,120.25,118.0,119.65,,,,2950,353660.0,,119.88,EQ
11-03-1996,117.05,120.0,117.05,119.5,,,,1500,177517.5,,118.35,EQ
12-03-1996,119.5,119.0,108.0,114.25,,,,4650,528612.5,,113.68,EQ
13-03-1996,114.25,121.0,113.75,120.95,,,,3600,427810.0,,118.84,EQ
14-03-1996,120.95,122.0,120.1,120.5,,,,2500,302725.0,,121.09,EQ
15-03-1996,120.5,120.5,117.5,118.0,,,,5400,644527.5,,119.36,EQ
18-03-1996,118.0,118.0,113.0,113.0,,,,2000,231355.0,,115.68,EQ
19-03-1996,113.0,116.25,113.0,113.35,,,,7650,878862.5,,114.88,EQ
21-03-1996,113.35,118.0,115.75,116.25,,,,4250,494912.5,,116.45,EQ
22-03-1996,116.25,115.0,113.0,114.05,,,,1300,148137.5,,113.95,EQ
25-03-1996,114.05,116.75,111.5,115.75,,,,6900,797200.0,,115.54,EQ
26-03-1996,114.0,117.0,114.0,114.3,,,,4000,462182.5,,115.55,EQ
27-03-1996,114.3,118.0,114.1,115.35,,,,11050,1287790.0,,116.54,EQ
28-03-1996,115.35,118.0,114.0,116.95,,,,4250,493187.5,,116.04,EQ
29-03-1996,116.95,117.4,110.75,111.5,,,,11400,1298077.5,,113.87,EQ
01-04-1996,111.5,112.0,109.5,112.0,,,,3800,420835.0,,110.75,EQ
02-04-1996,109.5,111.5,102.5,103.7,,,,13450,1451645.0,,107.93,EQ
03-04-1996,103.7,111.0,107.0,107.15,,,,6600,715792.5,,108.45,EQ
04-04-1996,107.15,108.8,105.0,106.75,,,,4550,483287.5,,106.22,EQ
08-04-1996,106.75,111.9,109.5,111.0,,,,5450,601920.0,,110.44,EQ
09-04-1996,111.0,116.0,108.1,111.75,,,,8400,942997.5,,112.26,EQ
10-04-1996,111.75,116.0,112.0,114.0,,,,6450,736437.5,,114.18,EQ
11-04-1996,114.0,112.5,107.5,107.8,,,,13700,1503555.0,,109.75,EQ
12-04-1996,107.8,110.0,104.0,105.0,,,,50750,5359025.0,,105.6,EQ
15-04-1996,105.0,108.0,105.0,105.2,,,,9150,967877.5,,105.78,EQ
16-04-1996,105.2,106.0,102.0,102.45,,,,14550,1512930.0,,103.98,EQ
17-04-1996,102.45,110.0,103.95,104.1,,,,34200,3592175.0,,105.03,EQ
18-04-1996,104.1,107.75,103.0,103.05,,,,177300,18379922.5,,103.67,EQ
19-04-1996,103.05,107.0,103.75,104.4,,,,88750,9327745.0,,105.1,EQ
22-04-1996,104.4,108.8,105.1,107.3,,,,72050,7717170.0,,107.11,EQ
23-04-1996,107.3,118.6,106.0,117.1,,,,123350,14227060.0,,115.34,EQ
24-04-1996,117.1,129.25,120.6,126.25,,,,173400,21568952.5,,124.39,EQ
25-04-1996,126.25,129.0,115.05,117.7,,,,89750,11210512.5,,124.91,EQ
26-04-1996,117.7,125.0,114.0,119.65,,,,68150,8089627.5,,118.7,EQ
29-04-1996,119.65,120.0,116.5,119.1,,,,21450,2551755.0,,118.96,EQ
30-04-1996,119.1,119.0,115.0,116.35,,,,67200,7882470.0,,117.3,EQ
01-05-1996,116.35,126.9,119.95,121.85,,,,129550,15787892.5,,121.87,EQ
02-05-1996,121.95,121.95,117.05,119.9,,,,70550,8404720.0,,119.13,EQ
03-05-1996,121.0,122.0,118.5,118.85,,,,67250,8084592.5,,120.22,EQ
06-05-1996,118.85,117.0,111.5,112.25,,,,58300,6613865.0,,113.45,EQ
07-05-1996,112.25,114.4,109.55,110.7,,,,55400,6208037.5,,112.06,EQ
08-05-1996,110.7,118.0,110.5,115.55,,,,29400,3330792.5,,113.29,EQ
09-05-1996,115.55,115.6,112.0,112.9,,,,17500,1992620.0,,113.86,EQ
10-05-1996,112.9,112.75,110.0,111.85,,,,14000,1561575.0,,111.54,EQ
13-05-1996,111.85,113.0,111.0,111.75,,,,10850,1216277.5,,112.1,EQ
14-05-1996,111.75,112.75,109.5,112.2,,,,28700,3204410.0,,111.65,EQ
15-05-1996,112.2,114.0,108.05,112.55,,,,28750,3210195.0,,111.66,EQ
16-05-1996,112.55,115.95,113.5,114.2,,,,43900,5038322.5,,114.77,EQ
17-05-1996,114.2,112.75,111.0,112.35,,,,13500,1508287.5,,111.73,EQ
20-05-1996,110.05,110.05,105.0,106.05,,,,13850,1487052.5,,107.37,EQ
21-05-1996,106.05,106.45,103.1,103.95,,,,30700,3219142.5,,104.86,EQ
22-05-1996,103.95,107.4,103.5,104.3,,,,20600,2173850.0,,105.53,EQ
23-05-1996,104.3,105.25,101.0,101.25,,,,16900,1723660.0,,101.99,EQ
24-05-1996,101.25,102.2,99.0,101.05,,,,18700,1883950.0,,100.75,EQ
27-05-1996,101.05,99.65,96.0,96.45,,,,28000,2734295.0,,97.65,EQ
28-05-1996,96.45,95.75,93.0,94.3,,,,19950,1876582.5,,94.06,EQ
29-05-1996,94.3,103.0,98.15,102.8,,,,45400,4584740.0,,100.99,EQ
30-05-1996,102.8,102.0,96.5,97.2,,,,41650,4119725.0,,98.91,EQ
31-05-1996,97.2,98.0,96.0,97.95,,,,7450,727497.5,,97.65,EQ
03-06-1996,97.95,101.5,99.0,100.95,,,,18650,1872042.5,,100.38,EQ
04-06-1996,100.95,102.5,99.0,99.15,,,,38300,3850045.0,,100.52,EQ
05-06-1996,100.0,100.85,99.0,99.3,,,,16050,1597517.5,,99.53,EQ
06-06-1996,100.6,102.0,100.25,101.0,,,,12000,1212720.0,,101.06,EQ
07-06-1996,99.2,101.0,99.05,99.6,,,,7500,747530.0,,99.67,EQ
10-06-1996,98.75,101.0,98.75,99.7,,,,11600,1158752.5,,99.89,EQ
11-06-1996,99.95,100.25,98.5,98.8,,,,14000,1388107.5,,99.15,EQ
12-06-1996,101.75,109.2,101.0,104.65,,,,104650,11143150.0,,106.48,EQ
13-06-1996,106.95,110.0,104.0,104.5,,,,73400,7767100.0,,105.82,EQ
14-06-1996,106.5,115.5,106.0,115.5,,,,223200,25223460.0,,113.01,EQ
17-06-1996,120.5,123.5,118.1,119.2,,,,206200,25091307.5,,121.68,EQ
18-06-1996,117.0,121.25,115.6,120.15,,,,137700,16310235.0,,118.45,EQ
19-06-1996,122.0,123.0,115.5,116.4,,,,147450,17532337.5,,118.9,EQ
20-06-1996,116.0,118.0,112.5,117.65,,,,96150,11139762.5,,115.86,EQ
21-06-1996,117.0,118.75,114.25,114.8,,,,47100,5480237.5,,116.35,EQ
24-06-1996,121.25,121.25,113.2,114.25,,,,39700,4520982.5,,113.88,EQ
25-06-1996,115.3,115.3,108.25,110.3,,,,67400,7554550.0,,112.09,EQ
26-06-1996,112.9,114.0,110.0,111.05,,,,57000,6390952.5,,112.12,EQ
27-06-1996,111.3,112.85,109.35,112.35,,,,51750,5761387.5,,111.33,EQ
28-06-1996,113.0,115.9,112.65,113.1,,,,58900,6707260.0,,113.88,EQ
01-07-1996,111.0,112.7,108.55,110.05,,,,24300,2676865.0,,110.16,EQ
02-07-1996,111.0,111.0,105.2,106.4,,,,60650,6554120.0,,108.06,EQ
03-07-1996,101.1,107.0,101.1,104.65,,,,41100,4331275.0,,105.38,EQ
04-07-1996,103.0,104.0,100.1,103.0,,,,130000,13381375.0,,102.93,EQ
05-07-1996,104.25,104.5,101.5,102.2,,,,29350,3017627.5,,102.82,EQ
08-07-1996,104.75,105.0,100.5,101.9,,315.0,76.5,20400,2084970.0,,102.2,EQ
09-07-1996,103.0,103.0,92.55,93.15,,315.0,76.5,70150,6669162.5,,95.07,EQ
10-07-1996,92.75,96.25,91.0,93.95,,315.0,76.5,121600,11485947.5,,94.46,EQ
11-07-1996,96.5,98.75,95.0,96.3,,315.0,76.5,48150,4669702.5,,96.98,EQ
12-07-1996,96.9,96.95,95.05,95.8,,315.0,76.5,23700,2278815.0,,96.15,EQ
15-07-1996,95.0,97.0,94.8,96.5,,315.0,76.5,25700,2468940.0,,96.07,EQ
16-07-1996,96.75,99.0,93.05,94.6,,315.0,76.5,48850,4685980.0,,95.93,EQ
17-07-1996,96.5,104.55,96.5,102.1,,315.0,76.5,95600,9815807.5,,102.68,EQ
18-07-1996,104.5,106.9,101.65,102.55,,315.0,76.5,48350,5060642.5,,104.67,EQ
19-07-1996,106.7,106.7,101.0,102.75,,315.0,76.5,37000,3773882.5,,102.0,EQ
22-07-1996,109.0,109.0,102.55,103.15,,315.0,76.5,37500,3916862.5,,104.45,EQ
23-07-1996,105.0,105.0,95.05,96.5,,315.0,76.5,79750,7930937.5,,99.45,EQ
24-07-1996,96.1,100.2,94.0,95.8,,315.0,76.5,79550,7703812.5,,96.84,EQ
25-07-1996,96.95,97.9,94.25,94.65,,315.0,76.5,33550,3225532.5,,96.14,EQ
26-07-1996,96.45,96.45,94.0,94.45,,315.0,76.5,19500,1841510.0,,94.44,EQ
29-07-1996,95.0,95.0,91.05,91.9,,315.0,76.5,19850,1842492.5,,92.82,EQ
30-07-1996,90.0,90.15,83.0,86.3,,315.0,76.5,58600,5050270.0,,86.18,EQ
31-07-1996,89.0,92.7,85.3,90.5,,315.0,76.5,80200,7196377.5,,89.73,EQ
01-08-1996,91.0,93.0,86.0,87.3,,315.0,76.5,58550,5247392.5,,89.62,EQ
02-08-1996,88.5,88.5,86.7,87.0,,315.0,76.5,14000,1220120.0,,87.15,EQ
05-08-1996,85.55,87.9,85.05,85.7,,315.0,76.5,39000,3380380.0,,86.68,EQ
06-08-1996,84.0,85.45,82.3,83.2,,315.0,76.5,61450,5131342.5,,83.5,EQ
07-08-1996,89.0,89.75,85.9,88.5,,315.0,76.5,604200,53049260.0,,87.8,EQ
08-08-1996,89.65,89.75,86.5,86.65,,315.0,76.5,157000,13754840.0,,87.61,EQ
09-08-1996,86.5,88.0,86.05,87.0,,315.0,76.5,84950,7417510.0,,87.32,EQ
12-08-1996,89.9,94.0,87.25,90.65,,315.0,76.5,685850,62539155.0,,91.18,EQ
13-08-1996,91.95,92.9,89.4,90.45,,315.0,76.5,185050,16702122.5,,90.26,EQ
14-08-1996,90.0,91.0,89.5,89.7,,315.0,76.5,103000,9297032.5,,90.26,EQ
16-08-1996,89.55,90.0,88.05,88.6,,315.0,76.5,101000,8961270.0,,88.73,EQ
19-08-1996,88.0,88.5,85.05,85.4,,315.0,76.5,198400,17157222.5,,86.48,EQ
