DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
15-05-1996,68.55,71.95,67.0,71.0,,,,52650,3534635.0,,67.13,EQ
16-05-1996,71.0,74.75,72.0,74.15,,,,52000,3836982.5,,73.79,EQ
17-05-1996,74.15,81.55,73.05,79.25,,,,16050,1246335.0,,77.65,EQ
20-05-1996,79.0,79.0,74.05,79.0,,,,3800,289560.0,,76.2,EQ
21-05-1996,79.0,79.0,76.0,78.8,,,,7900,615120.0,,77.86,EQ
22-05-1996,78.8,78.0,77.0,77.3,,,,5000,386825.0,,77.37,EQ
23-05-1996,77.3,77.0,75.05,75.05,,,,6750,513185.0,,76.03,EQ
24-05-1996,75.05,80.0,73.0,79.65,,,,8500,651792.5,,76.68,EQ
27-05-1996,79.65,77.75,74.25,77.45,,,,4550,345437.5,,75.92,EQ
28-05-1996,77.45,81.5,76.0,80.0,,,,6150,483322.5,,78.59,EQ
29-05-1996,80.0,79.95,76.55,79.55,,,,1900,149230.0,,78.54,EQ
30-05-1996,79.55,80.5,76.0,80.1,,,,12900,1016115.0,,78.77,EQ
31-05-1996,80.1,80.0,79.0,80.0,,,,3400,271052.5,,79.72,EQ
03-06-1996,80.0,80.0,78.5,79.45,,,,2200,174347.5,,79.25,EQ
04-06-1996,79.45,78.95,75.1,78.0,,,,2100,162217.5,,77.25,EQ
05-06-1996,72.55,76.9,72.55,75.25,,,,500,37630.0,,75.26,EQ
06-06-1996,74.0,75.75,74.0,75.4,,,,1800,134332.5,,74.63,EQ
07-06-1996,74.1,75.0,72.8,74.0,,,,1900,140962.5,,74.19,EQ
10-06-1996,74.0,75.0,73.1,73.5,,,,850,62952.5,,74.06,EQ
11-06-1996,73.5,73.5,71.0,71.7,,,,8500,613180.0,,72.14,EQ
12-06-1996,71.0,74.5,70.15,74.0,,,,3850,281482.5,,73.11,EQ
13-06-1996,71.05,72.95,71.0,71.85,,,,3900,278532.5,,71.42,EQ
14-06-1996,71.45,74.0,71.45,74.0,,,,15850,1143832.5,,72.17,EQ
17-06-1996,72.9,72.9,71.1,71.5,,,,2400,171610.0,,71.5,EQ
18-06-1996,71.0,71.0,68.25,70.0,,,,800,55735.0,,69.67,EQ
19-06-1996,67.4,68.7,67.0,68.7,,,,18350,1229822.5,,67.02,EQ
20-06-1996,66.25,70.95,66.0,68.05,,,,2650,182572.5,,68.9,EQ
21-06-1996,67.2,70.0,67.2,67.5,,,,550,37147.5,,67.54,EQ
24-06-1996,66.15,67.0,66.0,66.75,,,,2500,165447.5,,66.18,EQ
25-06-1996,66.0,66.0,63.0,64.0,,,,750,48550.0,,64.73,EQ
26-06-1996,64.0,64.0,64.0,64.0,,,,500,32000.0,,64.0,EQ
27-06-1996,63.9,63.9,63.9,63.9,,,,100,6390.0,,63.9,EQ
28-06-1996,62.5,62.5,61.5,62.5,,,,400,24805.0,,62.01,EQ
01-07-1996,60.0,60.0,58.0,58.0,,,,800,47067.5,,58.83,EQ
02-07-1996,56.0,56.5,55.0,55.0,,,,900,50255.0,,55.84,EQ
03-07-1996,55.25,56.0,55.25,55.5,,,,650,36050.0,,55.46,EQ
04-07-1996,55.0,56.0,54.0,55.05,,,,750,41137.5,,54.85,EQ
05-07-1996,56.0,60.5,56.0,60.1,,,,2350,137322.5,,58.44,EQ
08-07-1996,60.5,61.5,60.5,61.5,,81.55,41.0,200,12175.0,,60.88,EQ
09-07-1996,58.5,64.4,58.5,59.55,,81.55,41.0,3850,228017.5,,59.23,EQ
10-07-1996,56.0,60.0,55.5,59.95,,81.55,41.0,1450,85692.5,,59.1,EQ
12-07-1996,60.0,60.0,56.15,58.0,,81.55,41.0,800,46207.5,,57.76,EQ
15-07-1996,57.0,57.0,53.9,53.9,,81.55,41.0,1000,55335.0,,55.34,EQ
16-07-1996,57.0,57.0,54.0,54.5,,81.55,41.0,1400,77390.0,,55.28,EQ
17-07-1996,55.55,56.5,54.05,54.05,,81.55,41.0,1850,102442.5,,55.37,EQ
18-07-1996,53.5,58.0,53.5,58.0,,81.55,41.0,2300,129197.5,,56.17,EQ
19-07-1996,55.05,61.5,55.05,60.0,,81.55,41.0,1800,104215.0,,57.9,EQ
22-07-1996,60.0,63.45,60.0,61.55,,81.55,41.0,500,30770.0,,61.54,EQ
23-07-1996,63.5,63.5,58.1,58.5,,81.55,41.0,900,54367.5,,60.41,EQ
24-07-1996,58.5,60.0,56.2,60.0,,81.55,41.0,550,31885.0,,57.97,EQ
25-07-1996,60.0,63.1,60.0,61.0,,81.55,41.0,3350,206085.0,,61.52,EQ
26-07-1996,62.5,63.5,61.75,62.25,,81.55,41.0,1950,121252.5,,62.18,EQ
29-07-1996,61.05,62.0,60.5,61.85,,81.55,41.0,1250,76555.0,,61.24,EQ
30-07-1996,59.95,62.0,58.0,60.0,,81.55,41.0,5600,340792.5,,60.86,EQ
31-07-1996,57.95,57.95,57.45,57.45,,81.55,41.0,200,11540.0,,57.7,EQ
01-08-1996,57.25,57.25,57.25,57.25,,81.55,41.0,100,5725.0,,57.25,EQ
02-08-1996,56.0,59.0,56.0,58.25,,81.55,41.0,1350,78087.5,,57.84,EQ
05-08-1996,57.0,59.0,56.5,58.2,,81.55,41.0,1500,86092.5,,57.4,EQ
06-08-1996,56.5,59.5,54.5,59.5,,81.55,41.0,1650,93610.0,,56.73,EQ
07-08-1996,57.0,57.0,56.8,57.0,,81.55,41.0,300,17090.0,,56.97,EQ
08-08-1996,56.0,60.0,56.0,58.5,,81.55,41.0,3050,178302.5,,58.46,EQ
09-08-1996,58.0,58.0,57.0,57.0,,81.55,41.0,750,43320.0,,57.76,EQ
12-08-1996,57.0,60.0,57.0,58.4,,81.55,41.0,800,46725.0,,58.41,EQ
13-08-1996,58.7,59.0,55.1,57.5,,81.55,41.0,4000,230847.5,,57.71,EQ
14-08-1996,56.0,59.5,56.0,58.5,,81.55,41.0,4800,276222.5,,57.55,EQ
