DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
25-09-2017,575.0,597.4,550.0,589.55,587.0,597.4,550.0,92432,52676957.4,381,569.9,BE
26-09-2017,584.05,590.0,568.0,573.35,575.0,597.4,550.0,121135,69595265.7,3024,574.53,BE
27-09-2017,578.0,578.0,544.7,546.0,545.25,597.4,544.7,37316,20664727.3,519,553.78,BE
28-09-2017,559.95,559.95,540.1,552.15,553.65,597.4,540.1,9881,5442224.4,298,550.78,BE
29-09-2017,551.05,570.0,530.0,563.85,555.25,597.4,530.0,32609,18193636.45,724,557.93,BE
03-10-2017,547.0,575.0,547.0,574.15,575.0,597.4,530.0,24508,13977832.4,612,570.34,BE
04-10-2017,575.05,575.05,551.1,573.25,575.0,597.4,530.0,4636,2643144.05,139,570.13,BE
05-10-2017,557.0,573.0,546.0,565.15,570.0,597.4,530.0,15511,8777837.95,154,565.91,BE
06-10-2017,573.0,575.0,559.0,566.25,573.9,597.4,530.0,12806,7257839.8,486,566.75,BE
09-10-2017,573.9,575.0,560.0,564.6,565.0,597.4,530.0,7622,4316714.05,124,566.35,BE
10-10-2017,595.0,649.95,565.0,569.35,569.95,649.95,530.0,16103,9262259.8,703,575.19,EQ
11-10-2017,575.0,632.0,565.0,581.3,587.0,649.95,530.0,103828,60092057.6,1811,578.77,EQ
12-10-2017,576.0,619.7,576.0,600.8,595.15,649.95,530.0,77247,46692295.45,2549,604.45,EQ
13-10-2017,594.2,613.45,580.7,586.3,590.0,649.95,530.0,50753,30536477.05,1941,601.67,EQ
16-10-2017,586.0,602.0,574.25,584.65,585.0,649.95,530.0,35069,20651349.8,1121,588.88,EQ
17-10-2017,575.0,603.0,575.0,600.0,599.0,649.95,530.0,236107,141404788.55,3433,598.9,EQ
18-10-2017,604.95,604.95,587.0,599.85,600.0,649.95,530.0,89987,53899746.95,1111,598.97,EQ
19-10-2017,604.0,609.5,600.0,602.25,602.0,649.95,530.0,3227,1946037.3,105,603.05,EQ
23-10-2017,617.85,617.85,590.5,598.2,599.95,649.95,530.0,24100,14409035.9,1132,597.89,EQ
24-10-2017,590.0,601.0,590.0,593.05,591.0,649.95,530.0,56003,33518990.0,1256,598.52,EQ
25-10-2017,595.05,598.3,581.1,589.8,590.0,649.95,530.0,598054,355739692.0,1611,594.83,EQ
26-10-2017,587.0,597.0,569.4,577.35,579.95,649.95,530.0,15786,9182513.65,822,581.69,EQ
27-10-2017,580.0,584.0,571.1,578.25,581.75,649.95,530.0,6643,3851784.05,307,579.83,EQ
30-10-2017,580.0,589.95,578.05,586.3,585.1,649.95,530.0,17855,10451935.6,1673,585.38,EQ
31-10-2017,578.0,591.95,577.0,588.2,588.0,649.95,530.0,370461,217449469.3,558,586.97,EQ
01-11-2017,585.05,609.95,585.05,603.05,600.0,649.95,530.0,49907,30205539.55,854,605.24,EQ
02-11-2017,593.05,608.95,583.75,591.25,596.0,649.95,530.0,22507,13406115.9,832,595.64,EQ
03-11-2017,600.0,601.8,588.2,598.2,594.0,649.95,530.0,82337,49044978.25,1236,595.66,EQ
06-11-2017,600.0,602.15,581.6,601.8,601.0,649.95,530.0,29144,17465375.2,1374,599.28,EQ
07-11-2017,599.0,605.0,591.1,601.8,591.15,649.95,530.0,92869,55826238.8,1650,601.13,EQ
08-11-2017,607.95,607.95,591.0,595.05,597.5,649.95,530.0,183633,110646404.2,544,602.54,EQ
09-11-2017,600.0,601.0,585.0,590.1,589.95,649.95,530.0,7508,4443103.9,320,591.78,EQ
10-11-2017,570.65,590.15,570.65,572.65,576.4,649.95,530.0,79179,45900213.15,1226,579.7,EQ
13-11-2017,575.0,580.0,561.55,563.3,565.85,649.95,530.0,12246,6981672.05,520,570.12,EQ
14-11-2017,559.9,567.95,550.55,551.95,551.15,649.95,530.0,130383,73408334.6,418,563.02,EQ
15-11-2017,560.2,564.8,547.0,550.15,550.0,649.95,530.0,14690,8139638.65,373,554.09,EQ
16-11-2017,563.0,566.0,548.0,561.35,560.0,649.95,530.0,36752,20421471.15,1210,555.66,EQ
17-11-2017,556.0,569.45,556.0,561.65,561.0,649.95,530.0,44936,25289490.45,972,562.79,EQ
20-11-2017,561.65,579.0,558.55,568.75,572.0,649.95,530.0,278050,158477045.6,844,569.96,EQ
21-11-2017,576.0,585.5,575.1,577.4,584.9,649.95,530.0,41028,23695591.05,701,577.55,EQ
22-11-2017,579.1,589.0,577.0,584.6,580.2,649.95,530.0,12177,7114621.05,929,584.27,EQ
23-11-2017,584.6,594.55,572.3,581.9,572.7,649.95,530.0,48836,28655290.1,1052,586.77,EQ
24-11-2017,586.5,592.0,570.05,576.0,574.15,649.95,530.0,13274,7711430.3,634,580.94,EQ
27-11-2017,580.0,585.0,573.1,576.45,576.1,649.95,530.0,332256,192097023.75,1134,578.16,EQ
28-11-2017,577.0,580.0,560.2,564.1,561.0,649.95,530.0,319341,183126224.95,607,573.45,EQ
29-11-2017,566.0,577.8,549.25,554.75,557.05,649.95,530.0,35369,19809810.5,817,560.09,EQ
30-11-2017,554.75,579.55,545.85,565.15,570.05,649.95,530.0,650862,371675849.2,2791,571.05,EQ
01-12-2017,577.0,590.45,567.05,585.65,580.0,649.95,530.0,37930,22126716.85,782,583.36,EQ
04-12-2017,590.0,603.9,582.15,589.3,593.95,649.95,530.0,44657,26687501.0,1044,597.61,EQ
05-12-2017,594.0,602.95,584.05,599.7,600.0,649.95,530.0,147826,88599819.0,6159,599.35,EQ
06-12-2017,595.0,604.9,586.8,596.7,599.95,649.95,530.0,86998,51993252.6,3305,597.64,EQ
07-12-2017,592.1,601.9,592.1,598.8,598.9,649.95,530.0,164810,98869290.0,2986,599.9,EQ
08-12-2017,600.85,600.9,595.0,598.5,598.3,649.95,530.0,44289,26557923.85,1075,599.65,EQ
11-12-2017,599.0,603.0,596.0,602.0,600.0,649.95,530.0,532792,320723323.3,482,601.97,EQ
12-12-2017,609.9,609.9,584.05,600.35,598.25,649.95,530.0,49991,29790786.9,3315,595.92,EQ
