DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
08-10-2021,315.0,319.0,294.95,296.25,296.85,319.0,294.95,45143,13820018.65,2416,306.14,EQ
11-10-2021,298.5,298.5,285.1,293.65,296.0,319.0,285.1,18670,5473814.15,979,293.19,EQ
12-10-2021,294.5,296.0,288.5,289.15,289.05,319.0,285.1,16144,4719834.4,548,292.36,EQ
13-10-2021,289.9,294.0,280.3,290.1,288.5,319.0,280.3,23315,6695321.75,994,287.17,EQ
14-10-2021,289.0,294.0,284.0,285.5,285.0,319.0,280.3,15182,4356221.55,804,286.93,EQ
18-10-2021,284.0,289.4,274.4,278.25,280.0,319.0,274.4,19292,5442833.4,1052,282.13,EQ
19-10-2021,280.25,280.25,272.3,277.2,276.25,319.0,272.3,16425,4549799.75,941,277.0,EQ
20-10-2021,277.3,282.8,270.0,271.8,272.75,319.0,270.0,10989,2998029.6,713,272.82,EQ
21-10-2021,275.45,279.9,269.2,275.65,278.0,319.0,269.2,6329,1740316.75,448,274.97,EQ
22-10-2021,279.0,280.75,271.45,273.95,272.85,319.0,269.2,4737,1304340.45,292,275.35,EQ
25-10-2021,279.0,279.0,247.0,264.15,270.0,319.0,247.0,9053,2421685.85,435,267.5,EQ
26-10-2021,269.45,275.0,266.05,270.2,275.0,319.0,247.0,7623,2052273.3,295,269.22,EQ
27-10-2021,275.45,277.9,266.0,268.7,268.0,319.0,247.0,5847,1585081.05,202,271.09,EQ
28-10-2021,268.9,273.9,265.1,268.2,268.0,319.0,247.0,3456,924054.9,172,267.38,EQ
29-10-2021,268.3,268.35,254.15,259.9,263.0,319.0,247.0,8502,2228549.75,473,262.12,EQ
01-11-2021,264.45,290.0,264.45,286.95,284.0,319.0,247.0,20609,5746356.3,539,278.83,EQ
02-11-2021,291.0,295.0,275.55,282.15,282.0,319.0,247.0,10399,2933966.3,462,282.14,EQ
03-11-2021,288.65,288.75,280.0,280.25,280.3,319.0,247.0,6826,1919702.35,223,281.23,EQ
04-11-2021,289.85,289.85,282.85,286.15,286.5,319.0,247.0,2331,665628.35,122,285.55,EQ
08-11-2021,286.5,289.95,273.8,279.1,279.0,319.0,247.0,15995,4489901.4,616,280.71,EQ
09-11-2021,283.0,283.0,273.25,279.3,277.0,319.0,247.0,5970,1657719.75,143,277.68,EQ
10-11-2021,284.45,285.95,277.0,277.7,277.2,319.0,247.0,11535,3250593.2,284,281.8,EQ
11-11-2021,263.55,285.95,263.55,281.1,282.0,319.0,247.0,14439,4052722.1,326,280.68,EQ
12-11-2021,281.15,283.1,272.3,276.4,278.65,319.0,247.0,9344,2605986.8,425,278.89,EQ
15-11-2021,279.4,279.45,260.0,265.8,265.35,319.0,247.0,12107,3242218.35,532,267.8,EQ
16-11-2021,260.0,275.95,260.0,269.5,267.1,319.0,247.0,16676,4496474.25,1049,269.64,EQ
17-11-2021,271.95,285.55,267.0,273.55,271.0,319.0,247.0,19109,5280608.55,727,276.34,EQ
18-11-2021,276.9,288.0,265.0,283.05,282.0,319.0,247.0,27702,7655809.55,890,276.36,EQ
22-11-2021,282.0,286.0,265.4,267.45,267.0,319.0,247.0,13403,3640290.95,763,271.6,EQ
23-11-2021,262.2,272.0,261.0,268.45,266.0,319.0,247.0,11286,3010319.0,540,266.73,EQ
24-11-2021,274.9,278.95,266.6,273.35,272.8,319.0,247.0,7881,2170847.3,267,275.45,EQ
25-11-2021,270.4,278.0,270.0,271.6,270.05,319.0,247.0,8547,2332472.6,285,272.9,EQ
26-11-2021,270.5,270.6,258.1,260.75,260.9,319.0,247.0,18108,4772873.7,694,263.58,EQ
29-11-2021,266.0,266.1,237.75,254.8,254.0,319.0,237.75,27036,6753237.85,1166,249.79,EQ
30-11-2021,251.45,259.8,251.4,254.45,255.0,319.0,237.75,17048,4346317.15,628,254.95,EQ
01-12-2021,267.8,267.8,251.9,253.85,252.25,319.0,237.75,4848,1240316.0,200,255.84,EQ
02-12-2021,258.65,301.2,252.65,288.15,286.5,319.0,237.75,184464,52548000.55,4826,284.87,EQ
03-12-2021,288.0,306.0,281.35,285.35,285.0,319.0,237.75,122351,36457230.65,3885,297.97,EQ
06-12-2021,289.0,289.0,274.0,279.25,282.0,319.0,237.75,37778,10530054.05,613,278.74,EQ
07-12-2021,284.45,286.3,276.95,277.95,280.0,319.0,237.75,6874,1919219.75,390,279.2,EQ
08-12-2021,280.0,281.5,275.1,275.7,275.15,319.0,237.75,6377,1772918.8,330,278.02,EQ
09-12-2021,273.05,281.2,271.1,272.5,274.0,319.0,237.75,25932,7120043.55,744,274.57,EQ
10-12-2021,277.45,282.1,272.0,278.5,279.5,319.0,237.75,8597,2397174.8,334,278.84,EQ
13-12-2021,278.55,284.0,277.5,278.35,278.0,319.0,237.75,7695,2160551.85,507,280.77,EQ
14-12-2021,282.25,283.0,278.4,282.0,282.95,319.0,237.75,4331,1218026.8,123,281.23,EQ
15-12-2021,282.5,284.45,278.55,280.0,278.55,319.0,237.75,4595,1286788.2,124,280.04,EQ
16-12-2021,281.95,304.75,277.25,290.05,289.25,319.0,237.75,47116,13822949.05,1070,293.38,EQ
17-12-2021,291.5,295.5,282.0,282.45,285.6,319.0,237.75,20021,5791371.75,749,289.26,EQ
20-12-2021,282.45,282.45,270.5,275.65,276.0,319.0,237.75,20669,5691070.7,979,275.34,EQ
21-12-2021,275.0,285.1,273.95,280.55,278.0,319.0,237.75,8419,2338826.5,759,277.8,EQ
22-12-2021,281.8,284.5,276.15,279.8,281.1,319.0,237.75,11225,3153670.95,457,280.95,EQ
23-12-2021,286.0,287.0,281.5,282.3,282.5,319.0,237.75,9931,2811456.85,748,283.1,EQ
24-12-2021,283.0,288.15,275.0,278.9,275.5,319.0,237.75,6607,1864633.4,258,282.22,EQ
27-12-2021,273.0,288.3,273.0,282.55,286.0,319.0,237.75,15208,4291082.85,654,282.16,EQ
28-12-2021,276.0,299.0,276.0,291.7,291.0,319.0,237.75,30566,8870472.8,1488,290.21,EQ
29-12-2021,297.2,299.65,286.2,290.7,295.0,319.0,237.75,25034,7368625.1,993,294.34,EQ
30-12-2021,296.1,311.0,292.0,308.75,309.9,319.0,237.75,127309,39021351.3,2784,306.51,EQ
31-12-2021,312.9,333.85,305.0,319.15,319.9,333.85,237.75,254070,82367838.1,5889,324.19,EQ
03-01-2022,317.2,343.35,315.7,328.7,331.0,343.35,237.75,135544,45228352.9,3641,333.68,EQ
04-01-2022,331.25,331.25,316.4,325.65,325.8,343.35,237.75,79792,25810459.55,3348,323.47,EQ
05-01-2022,328.7,328.7,315.0,317.45,315.5,343.35,237.75,30877,9913752.9,2133,321.07,EQ
06-01-2022,317.45,325.45,310.0,320.1,316.15,343.35,237.75,21591,6886498.05,847,318.95,EQ
07-01-2022,322.7,323.0,299.25,304.8,305.8,343.35,237.75,65656,20455017.2,2657,311.55,EQ
10-01-2022,310.0,329.3,306.45,324.9,323.7,343.35,237.75,56487,18040859.7,2511,319.38,EQ
11-01-2022,326.0,327.2,311.05,317.25,318.9,343.35,237.75,53176,16989480.5,3460,319.5,EQ
12-01-2022,320.8,334.3,317.05,324.0,329.0,343.35,237.75,138853,45202313.95,2541,325.54,EQ
13-01-2022,324.95,388.8,323.0,388.8,388.8,388.8,237.75,578760,208445819.2,9038,360.16,EQ
14-01-2022,445.0,466.55,432.0,466.55,466.55,466.55,237.75,559038,254859844.4,4978,455.89,EQ
17-01-2022,475.0,513.2,466.55,513.2,513.2,513.2,237.75,768174,378807652.8,17264,493.13,EQ
18-01-2022,537.0,564.5,471.0,478.1,482.0,564.5,237.75,513600,262049817.9,16641,510.22,EQ
19-01-2022,465.0,488.0,445.2,473.45,470.1,564.5,237.75,246169,115179907.8,6644,467.89,EQ
20-01-2022,471.6,498.4,471.6,492.55,492.0,564.5,237.75,137729,67691927.6,4647,491.49,EQ
21-01-2022,478.1,494.0,461.0,469.2,472.7,564.5,237.75,73800,35169374.8,2584,476.55,EQ
24-01-2022,471.0,489.0,448.0,479.15,478.0,564.5,237.75,108632,50264397.15,2913,462.7,EQ
25-01-2022,484.95,495.0,462.65,474.2,470.15,564.5,237.75,75579,36297646.25,2298,480.26,EQ
