DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
11-08-2017,440.15,528.15,435.0,528.15,528.15,528.15,435.0,27617037,14036594811.45,348906,508.26,EQ
14-08-2017,572.0,575.0,529.65,542.3,543.4,575.0,435.0,9601359,5248694439.75,173670,546.66,EQ
16-08-2017,537.55,548.0,529.0,536.2,533.5,575.0,435.0,3241033,1739278327.0,59019,536.64,EQ
17-08-2017,534.8,546.95,532.2,537.55,538.9,575.0,435.0,2165189,1167629884.45,42139,539.27,EQ
18-08-2017,535.0,537.4,518.0,534.45,532.05,575.0,435.0,2393064,1264008749.9,47991,528.2,EQ
21-08-2017,536.65,539.7,520.85,524.25,523.95,575.0,435.0,1110529,587939694.0,25316,529.42,EQ
22-08-2017,528.0,530.0,500.0,512.5,512.55,575.0,435.0,1519839,777083427.5,36680,511.29,EQ
23-08-2017,513.55,517.9,505.05,508.6,508.1,575.0,435.0,966549,492766868.7,23892,509.82,EQ
24-08-2017,510.0,527.5,507.5,513.2,513.0,575.0,435.0,1651118,857547037.65,37655,519.37,EQ
28-08-2017,515.0,521.0,508.9,510.1,509.5,575.0,435.0,536389,275918007.95,17181,514.4,EQ
29-08-2017,508.0,517.0,503.0,504.25,503.5,575.0,435.0,814510,414781494.75,17799,509.24,EQ
30-08-2017,506.5,516.9,506.5,514.85,515.0,575.0,435.0,851036,436661051.35,20943,513.09,EQ
31-08-2017,516.5,520.9,508.2,513.45,512.5,575.0,435.0,672046,346909862.45,23676,516.2,EQ
01-09-2017,515.0,538.85,512.0,531.6,533.0,575.0,435.0,2014321,1063900348.4,35564,528.17,EQ
04-09-2017,529.0,545.5,525.0,536.6,535.0,575.0,435.0,1526587,817764993.55,35885,535.68,EQ
05-09-2017,539.0,543.8,533.5,539.2,539.5,575.0,435.0,644963,347510275.4,13360,538.81,EQ
06-09-2017,536.9,545.0,531.0,532.8,531.3,575.0,435.0,738552,397455556.95,14412,538.16,EQ
07-09-2017,534.0,537.45,530.0,532.9,532.45,575.0,435.0,399361,212959629.6,8824,533.25,EQ
08-09-2017,534.6,561.1,531.05,548.9,546.0,575.0,435.0,2603570,1427301119.7,48531,548.21,EQ
11-09-2017,551.75,572.95,544.0,562.2,561.85,575.0,435.0,2517536,1412480150.2,44412,561.06,EQ
12-09-2017,578.75,579.8,556.05,558.6,558.3,579.8,435.0,1847950,1044062655.45,33623,564.98,EQ
13-09-2017,558.45,558.45,542.2,544.0,542.85,579.8,435.0,673944,370496114.6,13735,549.74,EQ
14-09-2017,545.45,549.85,540.55,542.25,541.7,579.8,435.0,473625,258338091.5,12098,545.45,EQ
15-09-2017,540.0,559.0,537.0,547.4,547.6,579.8,435.0,937862,515074523.55,18722,549.2,EQ
18-09-2017,551.9,560.95,549.0,554.1,554.5,579.8,435.0,815587,452407876.5,23452,554.7,EQ
19-09-2017,554.9,556.0,544.35,545.25,545.0,579.8,435.0,296005,162661935.3,6178,549.52,EQ
20-09-2017,546.0,554.85,545.0,545.55,545.2,579.8,435.0,348093,191107407.5,6903,549.01,EQ
21-09-2017,546.95,550.0,534.0,540.35,540.7,579.8,435.0,394432,213110061.25,8524,540.3,EQ
22-09-2017,539.1,539.1,528.55,532.85,533.5,579.8,435.0,491830,261682609.8,8757,532.06,EQ
25-09-2017,532.85,533.5,511.0,525.15,525.0,579.8,435.0,473975,247185940.6,9367,521.52,EQ
26-09-2017,525.0,534.5,520.5,527.55,527.95,579.8,435.0,206712,109035181.9,4510,527.47,EQ
27-09-2017,530.0,531.55,521.0,526.0,528.0,579.8,435.0,806257,424351443.2,6666,526.32,EQ
28-09-2017,528.0,528.0,517.4,520.6,520.0,579.8,435.0,294176,153189026.4,5367,520.74,EQ
29-09-2017,523.9,531.6,518.15,520.0,520.0,579.8,435.0,287835,151263871.85,5198,525.52,EQ
03-10-2017,526.0,528.0,519.25,520.1,520.0,579.8,435.0,246104,128529046.7,5211,522.26,EQ
04-10-2017,522.0,528.9,519.2,520.1,521.0,579.8,435.0,773387,403295272.8,10387,521.47,EQ
05-10-2017,521.7,526.0,517.85,518.55,518.5,579.8,435.0,298381,155636338.6,4407,521.6,EQ
06-10-2017,520.6,524.65,518.0,518.7,518.85,579.8,435.0,267352,139229891.4,5351,520.77,EQ
09-10-2017,520.0,524.85,515.0,516.1,515.85,579.8,435.0,299036,155487540.7,4856,519.96,EQ
