DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
08-02-1996,105.0,105.0,105.0,105.0,,,,100,10500.0,,105.0,EQ
09-02-1996,105.0,105.0,105.0,105.0,,,,200,21000.0,,105.0,EQ
12-02-1996,105.0,107.5,105.0,107.5,,,,350,37000.0,,105.71,EQ
13-02-1996,107.5,108.0,107.5,108.0,,,,100,10775.0,,107.75,EQ
14-02-1996,108.0,108.0,107.0,107.0,,,,350,37600.0,,107.43,EQ
15-02-1996,110.0,110.0,109.5,109.5,,,,400,43860.0,,109.65,EQ
16-02-1996,110.0,113.5,110.0,113.5,,,,300,33175.0,,110.58,EQ
19-02-1996,115.0,115.0,115.0,115.0,,,,50,5750.0,,115.0,EQ
20-02-1996,115.0,115.0,115.0,115.0,,,,400,46000.0,,115.0,EQ
23-02-1996,115.0,115.0,115.0,115.0,,,,50,5750.0,,115.0,EQ
26-02-1996,120.0,121.0,120.0,120.0,,,,600,72100.0,,120.17,EQ
27-02-1996,120.0,120.0,120.0,120.0,,,,200,24000.0,,120.0,EQ
28-02-1996,121.0,130.0,121.0,129.0,,,,350,44400.0,,126.86,EQ
29-02-1996,130.0,130.0,130.0,130.0,,,,100,13000.0,,130.0,EQ
01-03-1996,125.0,128.0,125.0,128.0,,,,400,50900.0,,127.25,EQ
04-03-1996,128.0,128.0,128.0,128.0,,,,250,32000.0,,128.0,EQ
08-03-1996,125.0,125.0,125.0,125.0,,,,50,6250.0,,125.0,EQ
11-03-1996,125.0,125.0,125.0,125.0,,,,200,25000.0,,125.0,EQ
12-03-1996,124.5,124.5,124.5,124.5,,,,50,6225.0,,124.5,EQ
14-03-1996,123.75,123.75,123.75,123.75,,,,50,6187.5,,123.75,EQ
15-03-1996,115.0,115.0,115.0,115.0,,,,50,5750.0,,115.0,EQ
18-03-1996,124.0,124.0,118.0,122.0,,,,200,24400.0,,122.0,EQ
19-03-1996,122.05,122.05,122.05,122.05,,,,50,6102.5,,122.05,EQ
22-03-1996,124.0,124.0,124.0,124.0,,,,150,18600.0,,124.0,EQ
25-03-1996,122.5,122.5,122.5,122.5,,,,50,6125.0,,122.5,EQ
02-04-1996,122.5,125.0,125.0,125.0,,,,200,25000.0,,125.0,EQ
03-04-1996,123.0,124.0,123.0,124.0,,,,250,30850.0,,123.4,EQ
04-04-1996,124.0,124.0,124.0,124.0,,,,200,24800.0,,124.0,EQ
