DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
08-02-2022,35.1,35.1,35.1,35.1,35.1,35.1,35.1,37133,1303368.3,11,35.1,EQ
09-02-2022,36.85,36.85,36.85,36.85,36.85,36.85,35.1,21650,797802.5,9,36.85,EQ
10-02-2022,38.65,38.65,35.05,35.05,35.05,38.65,35.05,175985,6550139.5,360,37.22,EQ
11-02-2022,33.3,33.3,33.3,33.3,33.3,38.65,33.3,13880,462204.0,50,33.3,EQ
14-02-2022,31.65,31.65,31.65,31.65,31.65,38.65,31.65,788,24940.2,14,31.65,EQ
15-02-2022,30.1,30.1,30.1,30.1,30.1,38.65,30.1,2372,71397.2,28,30.1,EQ
16-02-2022,28.6,28.6,28.6,28.6,28.6,38.65,28.6,1703,48705.8,34,28.6,EQ
17-02-2022,27.2,27.2,27.2,27.2,27.2,38.65,27.2,2826,76867.2,25,27.2,EQ
18-02-2022,25.85,28.55,25.85,28.55,28.55,38.65,25.85,53754,1512500.8,235,28.14,EQ
21-02-2022,29.4,29.6,27.15,27.25,27.15,38.65,25.85,23754,667245.8,165,28.09,EQ
22-02-2022,27.95,27.95,25.9,26.05,26.6,38.65,25.85,10562,276750.95,109,26.2,EQ
23-02-2022,25.1,27.35,24.75,24.75,24.75,38.65,24.75,19390,488880.15,161,25.21,EQ
24-02-2022,23.55,25.25,23.55,23.55,23.55,38.65,23.55,408856,9821817.5,68,24.02,EQ
25-02-2022,23.55,24.6,22.7,22.8,24.1,38.65,22.7,17154,401152.0,77,23.39,EQ
28-02-2022,21.7,22.95,21.7,22.9,22.95,38.65,21.7,13370,301631.35,59,22.56,EQ
02-03-2022,23.75,24.0,22.05,22.95,22.6,38.65,21.7,42177,992044.25,189,23.52,EQ
03-03-2022,22.4,24.05,22.4,24.05,24.05,38.65,21.7,1558357,35393908.6,94,22.71,EQ
04-03-2022,25.25,25.25,25.25,25.25,25.25,38.65,21.7,6124,154631.0,21,25.25,EQ
07-03-2022,26.5,26.5,24.2,26.5,26.5,38.65,21.7,37624,983132.4,350,26.13,EQ
08-03-2022,27.8,27.8,26.65,27.8,27.8,38.65,21.7,42520,1180538.05,186,27.76,EQ
09-03-2022,29.1,29.15,26.55,29.1,29.15,38.65,21.7,56509,1624313.4,265,28.74,EQ
10-03-2022,30.55,30.55,27.65,27.65,27.65,38.65,21.7,69520,1977384.5,472,28.44,EQ
11-03-2022,26.5,28.55,26.35,26.5,26.5,38.65,21.7,8891,238212.0,94,26.79,EQ
14-03-2022,27.8,27.8,25.7,27.8,27.8,38.65,21.7,21488,578447.0,132,26.92,EQ
15-03-2022,29.0,29.15,26.55,27.65,28.45,38.65,21.7,75969,2093425.1,432,27.56,EQ
16-03-2022,27.35,29.0,27.0,27.95,28.05,38.65,21.7,45321,1249365.4,180,27.57,EQ
17-03-2022,28.05,29.1,26.9,27.7,28.45,38.65,21.7,175736,4868087.5,214,27.7,EQ
21-03-2022,28.0,29.05,27.45,28.75,29.05,38.65,21.7,25989,733520.35,135,28.22,EQ
22-03-2022,28.8,30.15,28.8,30.1,30.1,38.65,21.7,33352,1002083.15,155,30.05,EQ
23-03-2022,31.25,31.6,30.5,31.55,31.6,38.65,21.7,60722,1901626.25,377,31.32,EQ
24-03-2022,33.1,33.1,31.5,32.9,33.1,38.65,21.7,38190,1242725.05,262,32.54,EQ
25-03-2022,34.2,34.2,31.3,31.3,31.3,38.65,21.7,50021,1612840.95,246,32.24,EQ
28-03-2022,32.05,32.2,30.1,30.5,31.2,38.65,21.7,23978,742818.65,187,30.98,EQ
29-03-2022,30.05,31.65,29.3,30.3,30.45,38.65,21.7,30763,930960.1,422,30.26,EQ
30-03-2022,29.0,31.8,29.0,31.75,31.8,38.65,21.7,23296,721235.3,329,30.96,EQ
31-03-2022,31.75,33.3,30.5,32.65,33.3,38.65,21.7,33178,1070575.45,437,32.27,EQ
01-04-2022,34.2,34.2,31.95,33.0,33.0,38.65,21.7,29625,974200.0,723,32.88,EQ
04-04-2022,33.65,33.65,31.9,33.0,33.5,38.65,21.7,13519,443335.9,281,32.79,EQ
05-04-2022,34.1,34.65,32.05,34.5,34.0,38.65,21.7,42038,1434761.4,535,34.13,EQ
06-04-2022,35.4,35.8,33.05,33.45,34.7,38.65,21.7,32184,1105832.0,498,34.36,EQ
07-04-2022,33.15,34.9,33.15,34.2,34.6,38.65,21.7,18384,623947.55,236,33.94,EQ
08-04-2022,35.8,35.8,33.15,34.65,34.25,38.65,21.7,8060,274714.85,117,34.08,EQ
11-04-2022,33.7,36.1,33.2,34.65,36.0,38.65,21.7,23118,793576.2,426,34.33,EQ
12-04-2022,35.9,35.95,33.65,35.05,35.9,38.65,21.7,18493,646597.1,301,34.96,EQ
13-04-2022,36.25,36.25,34.7,35.0,35.65,38.65,21.7,16298,574890.15,183,35.27,EQ
18-04-2022,36.0,36.4,33.6,35.6,35.75,38.65,21.7,110240,3858078.8,521,35.0,EQ
