DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
09-09-1998,28.0,28.0,24.25,25.8,25.8,0.0,0.0,53000,1402410.0,,26.46,EQ
10-09-1998,24.05,25.5,23.75,24.15,24.1,28.0,24.25,40100,978760.0,,24.41,EQ
11-09-1998,24.5,26.1,22.3,24.6,24.75,28.0,23.75,40400,999085.0,,24.73,EQ
14-09-1998,25.0,25.0,22.65,22.85,23.0,28.0,22.3,56400,1310950.0,,23.24,EQ
15-09-1998,23.2,23.2,22.5,22.9,23.0,28.0,22.3,14300,326435.0,,22.83,EQ
16-09-1998,23.35,23.75,22.9,23.05,23.0,28.0,22.3,41800,972025.0,,23.25,EQ
17-09-1998,23.3,24.4,23.25,23.6,23.65,28.0,22.3,21600,513890.0,,23.79,EQ
18-09-1998,23.1,23.75,23.1,23.6,23.75,28.0,22.3,9800,229720.0,,23.44,EQ
21-09-1998,23.45,23.55,22.9,23.2,23.1,28.0,22.3,6800,158605.0,,23.32,EQ
22-09-1998,23.5,23.5,22.9,23.1,23.1,28.0,22.3,16600,382710.0,,23.05,EQ
23-09-1998,22.8,23.1,22.7,22.85,22.8,28.0,22.3,15100,346045.0,,22.92,EQ
24-09-1998,21.85,23.4,21.85,22.4,22.4,28.0,22.3,15400,348480.0,,22.63,EQ
25-09-1998,22.25,22.5,21.5,21.6,21.5,28.0,21.85,22700,499705.0,,22.01,EQ
28-09-1998,22.0,22.0,20.15,20.45,20.4,28.0,21.5,19600,404340.0,,20.63,EQ
29-09-1998,20.3,20.7,19.1,19.55,20.0,28.0,20.15,39200,782390.0,,19.96,EQ
30-09-1998,15.05,21.0,15.05,20.15,20.15,28.0,19.1,7100,141805.0,,19.97,EQ
05-10-1998,19.1,19.5,18.55,18.6,18.55,28.0,15.05,10300,194295.0,,18.86,EQ
06-10-1998,17.5,19.0,17.5,18.55,18.5,28.0,15.05,12100,224640.0,,18.57,EQ
07-10-1998,19.5,20.45,19.3,20.25,20.25,28.0,15.05,7300,143820.0,,19.7,EQ
08-10-1998,20.4,20.8,19.0,19.0,19.0,28.0,15.05,6600,129890.0,,19.68,EQ
09-10-1998,19.0,19.1,18.25,18.65,18.65,28.0,15.05,7500,140720.0,,18.76,EQ
12-10-1998,18.5,19.0,18.5,18.85,18.85,28.0,15.05,5000,93985.0,,18.8,EQ
13-10-1998,18.75,18.8,15.0,16.3,17.4,28.0,15.05,12200,213390.0,,17.49,EQ
14-10-1998,16.25,18.9,16.25,18.4,18.0,28.0,15.0,7500,133060.0,,17.74,EQ
15-10-1998,18.0,18.6,18.0,18.35,18.4,28.0,15.0,2300,42250.0,,18.37,EQ
16-10-1998,17.2,19.0,17.2,18.6,18.25,28.0,15.0,13000,237960.0,,18.3,EQ
19-10-1998,18.2,18.2,17.8,18.1,17.85,28.0,15.0,1200,21575.0,,17.98,EQ
20-10-1998,17.5,17.5,16.5,16.6,16.55,28.0,15.0,11400,190525.0,,16.71,EQ
22-10-1998,17.95,17.95,17.2,17.9,17.95,28.0,15.0,3200,56320.0,,17.6,EQ
23-10-1998,18.0,19.0,18.0,18.5,18.3,28.0,15.0,9600,177415.0,,18.48,EQ
26-10-1998,19.2,19.85,18.65,18.75,18.75,28.0,15.0,14000,265125.0,,18.94,EQ
27-10-1998,18.5,19.0,18.2,18.8,19.0,28.0,15.0,8800,164050.0,,18.64,EQ
28-10-1998,15.5,18.9,15.5,18.5,18.5,28.0,15.0,4900,90985.0,,18.57,EQ
29-10-1998,18.25,18.85,18.25,18.85,18.85,28.0,15.0,1300,24150.0,,18.58,EQ
30-10-1998,18.9,18.95,18.5,18.6,18.5,28.0,15.0,5200,97185.0,,18.69,EQ
31-10-1998,19.0,19.0,18.65,18.7,18.7,28.0,15.0,800,14985.0,,18.73,EQ
02-11-1998,18.7,19.9,18.2,18.25,18.2,28.0,15.0,5400,99620.0,,18.45,EQ
03-11-1998,18.0,18.5,18.0,18.1,18.4,28.0,15.0,6300,114730.0,,18.21,EQ
05-11-1998,18.4,18.45,18.3,18.45,18.45,28.0,15.0,1400,25740.0,,18.39,EQ
06-11-1998,18.25,18.75,18.25,18.5,18.5,28.0,15.0,2900,53950.0,,18.6,EQ
09-11-1998,18.9,18.9,18.5,18.55,18.55,28.0,15.0,1900,35405.0,,18.63,EQ
10-11-1998,18.4,18.65,18.25,18.4,18.25,28.0,15.0,5700,105145.0,,18.45,EQ
11-11-1998,18.5,18.5,18.3,18.4,18.4,28.0,15.0,3100,57070.0,,18.41,EQ
12-11-1998,18.5,18.5,18.0,18.05,18.0,28.0,15.0,2600,47005.0,,18.08,EQ
13-11-1998,14.0,18.4,14.0,18.15,18.15,28.0,15.0,800,14140.0,,17.68,EQ
16-11-1998,18.1,18.25,17.75,18.25,18.25,28.0,14.0,1600,28860.0,,18.04,EQ
17-11-1998,18.0,18.2,17.0,17.25,17.25,28.0,14.0,7500,130180.0,,17.36,EQ
18-11-1998,17.9,19.0,17.5,17.5,17.5,28.0,14.0,18400,331990.0,,18.04,EQ
19-11-1998,17.6,17.75,17.1,17.25,17.25,28.0,14.0,12100,210430.0,,17.39,EQ
20-11-1998,17.5,17.5,17.2,17.2,17.2,28.0,14.0,5800,100675.0,,17.36,EQ
21-11-1998,17.25,17.5,17.25,17.35,17.35,28.0,14.0,2300,39940.0,,17.37,EQ
23-11-1998,17.2,17.2,16.5,16.5,16.5,28.0,14.0,8200,137870.0,,16.81,EQ
24-11-1998,16.4,16.6,16.0,16.35,16.35,28.0,14.0,10000,163380.0,,16.34,EQ
26-11-1998,16.7,16.85,16.0,16.0,16.0,28.0,14.0,4500,73865.0,,16.41,EQ
27-11-1998,15.9,16.45,15.9,16.45,16.45,28.0,14.0,3700,59225.0,,16.01,EQ
28-11-1998,16.4,16.5,16.3,16.3,16.3,28.0,14.0,1100,18050.0,,16.41,EQ
30-11-1998,16.5,16.5,16.05,16.4,16.4,28.0,14.0,1100,18015.0,,16.38,EQ
01-12-1998,16.25,16.8,16.15,16.8,16.8,28.0,14.0,900,14720.0,,16.36,EQ
02-12-1998,17.0,17.0,16.65,17.0,17.0,28.0,14.0,800,13530.0,,16.91,EQ
03-12-1998,17.15,17.15,16.75,16.75,16.75,28.0,14.0,800,13555.0,,16.94,EQ
04-12-1998,16.6,16.6,16.3,16.3,16.3,28.0,14.0,1100,18070.0,,16.43,EQ
07-12-1998,16.1,16.2,16.1,16.2,16.2,28.0,14.0,1900,30680.0,,16.15,EQ
08-12-1998,16.1,16.1,15.65,15.95,15.95,28.0,14.0,2200,34950.0,,15.89,EQ
