DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
30-09-1998,147.1,153.4,142.0,153.4,153.4,0.0,0.0,10300,1551285.0,,150.61,EQ
05-10-1998,152.0,165.7,152.0,165.7,165.7,153.4,142.0,9900,1624035.0,,164.04,EQ
06-10-1998,174.0,179.0,165.0,179.0,179.0,165.7,142.0,17600,3082550.0,,175.14,EQ
07-10-1998,190.0,193.35,190.0,193.35,193.35,179.0,142.0,35600,6881465.0,,193.3,EQ
08-10-1998,208.0,208.85,195.0,208.85,208.85,193.35,142.0,34000,7033895.0,,206.88,EQ
09-10-1998,219.95,224.9,212.5,218.25,219.9,208.85,142.0,47400,10464445.0,,220.77,EQ
12-10-1998,224.35,225.0,200.8,200.8,200.8,224.9,142.0,15200,3170205.0,,208.57,EQ
13-10-1998,185.2,185.2,184.75,184.75,184.75,225.0,142.0,5800,1071770.0,,184.79,EQ
14-10-1998,171.0,171.0,170.0,170.1,170.5,225.0,142.0,31700,5392245.0,,170.1,EQ
15-10-1998,170.1,170.1,156.5,156.5,156.5,225.0,142.0,19400,3142300.0,,161.97,EQ
16-10-1998,156.5,156.5,144.0,144.3,144.9,225.0,142.0,26200,3812870.0,,145.53,EQ
19-10-1998,146.85,146.85,133.1,134.25,135.5,225.0,142.0,17600,2421615.0,,137.59,EQ
20-10-1998,134.0,134.0,123.55,123.65,125.7,225.0,133.1,30100,3768390.0,,125.2,EQ
22-10-1998,128.75,133.55,120.0,130.7,132.25,225.0,123.55,56700,7394935.0,,130.42,EQ
23-10-1998,130.0,139.9,125.0,136.55,138.0,225.0,120.0,76400,10301280.0,,134.83,EQ
26-10-1998,142.0,147.5,142.0,147.5,147.5,225.0,120.0,30100,4390675.0,,145.87,EQ
27-10-1998,152.0,152.0,140.05,144.65,147.5,225.0,120.0,55300,8121970.0,,146.87,EQ
28-10-1998,153.0,156.25,151.0,155.75,154.4,225.0,120.0,33300,5177960.0,,155.49,EQ
29-10-1998,154.0,157.45,151.25,154.25,154.0,225.0,120.0,20400,3129485.0,,153.41,EQ
30-10-1998,155.0,156.25,144.1,147.55,148.0,225.0,120.0,29300,4426675.0,,151.08,EQ
31-10-1998,145.4,151.7,143.1,148.9,149.5,225.0,120.0,11400,1689690.0,,148.22,EQ
02-11-1998,151.9,155.0,147.1,151.15,151.0,225.0,120.0,36300,5503080.0,,151.6,EQ
03-11-1998,152.25,152.25,144.0,145.1,147.0,225.0,120.0,32500,4770840.0,,146.8,EQ
05-11-1998,149.0,151.0,146.0,147.4,147.05,225.0,120.0,22300,3306565.0,,148.28,EQ
06-11-1998,145.3,145.55,137.0,137.6,138.8,225.0,120.0,27500,3847035.0,,139.89,EQ
09-11-1998,140.0,142.9,131.05,138.25,138.75,225.0,120.0,22200,3062400.0,,137.95,EQ
10-11-1998,137.5,138.25,133.7,137.15,137.45,225.0,120.0,24500,3342390.0,,136.42,EQ
11-11-1998,142.5,143.25,139.0,140.45,140.0,225.0,120.0,23400,3298755.0,,140.97,EQ
12-11-1998,138.9,139.0,134.0,137.75,138.0,225.0,120.0,10400,1420325.0,,136.57,EQ
13-11-1998,136.0,136.5,131.5,132.25,132.2,225.0,120.0,13400,1789545.0,,133.55,EQ
16-11-1998,129.5,130.0,123.0,123.5,123.0,225.0,120.0,18600,2342855.0,,125.96,EQ
17-11-1998,122.0,125.5,120.1,123.95,124.85,225.0,120.0,22200,2729000.0,,122.93,EQ
18-11-1998,126.1,133.9,125.1,133.9,133.9,225.0,120.0,12600,1655980.0,,131.43,EQ
19-11-1998,142.2,144.0,136.0,136.5,136.5,225.0,120.0,27900,3909995.0,,140.14,EQ
20-11-1998,134.1,139.0,134.05,136.45,136.45,225.0,120.0,11900,1621800.0,,136.29,EQ
21-11-1998,135.25,137.85,134.25,137.85,137.85,225.0,120.0,3000,408570.0,,136.19,EQ
23-11-1998,135.1,135.5,127.0,127.75,127.75,225.0,120.0,15800,2070025.0,,131.01,EQ
24-11-1998,128.25,131.75,126.0,127.9,127.9,225.0,120.0,22100,2835170.0,,128.29,EQ
26-11-1998,124.0,128.0,124.0,125.0,125.0,225.0,120.0,9500,1194720.0,,125.76,EQ
27-11-1998,126.0,126.75,123.2,124.85,124.85,225.0,120.0,8000,997735.0,,124.72,EQ
28-11-1998,125.0,129.35,124.0,127.3,127.3,225.0,120.0,8600,1090360.0,,126.79,EQ
30-11-1998,124.2,129.4,123.1,129.4,129.4,225.0,120.0,13200,1667115.0,,126.3,EQ
01-12-1998,129.0,129.0,123.95,124.0,124.0,225.0,120.0,20400,2554030.0,,125.2,EQ
02-12-1998,127.9,129.75,124.6,125.2,125.2,225.0,120.0,31100,3939775.0,,126.68,EQ
03-12-1998,124.4,126.45,124.4,125.5,125.5,225.0,120.0,5100,640905.0,,125.67,EQ
04-12-1998,124.95,125.8,124.5,125.65,125.65,225.0,120.0,5000,627030.0,,125.41,EQ
07-12-1998,126.0,135.7,125.3,135.7,135.7,225.0,120.0,27800,3665960.0,,131.87,EQ
08-12-1998,137.05,146.6,137.0,146.6,146.6,225.0,120.0,64000,9193355.0,,143.65,EQ
09-12-1998,149.25,156.85,147.0,152.2,152.2,225.0,120.0,80700,12330105.0,,152.79,EQ
10-12-1998,151.75,153.6,143.5,144.35,144.35,225.0,120.0,38600,5710015.0,,147.93,EQ
11-12-1998,142.75,146.9,141.0,145.0,145.0,225.0,120.0,25000,3584015.0,,143.36,EQ
14-12-1998,144.25,149.6,144.1,145.95,145.95,225.0,120.0,26000,3821020.0,,146.96,EQ
