DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
19-10-2022,61.0,65.1,44.2,65.1,65.1,65.1,44.2,83987,5049678.75,840,60.12,EQ
20-10-2022,74.9,78.1,72.55,78.1,78.1,78.1,44.2,14341,1102167.8,109,76.85,EQ
21-10-2022,93.7,93.7,88.0,93.7,93.7,93.7,44.2,38779,3612368.75,473,93.15,EQ
24-10-2022,103.05,103.05,103.05,103.05,103.05,103.05,44.2,2748,283181.4,36,103.05,EQ
25-10-2022,113.35,113.35,113.35,113.35,113.35,113.35,44.2,3469,393211.15,56,113.35,EQ
27-10-2022,124.65,124.65,102.05,117.1,119.95,124.65,44.2,162188,18695553.45,3789,115.27,EQ
28-10-2022,121.9,121.9,105.4,105.4,105.4,124.65,44.2,50682,5542482.4,1528,109.36,EQ
31-10-2022,100.0,100.3,94.9,94.9,94.9,124.65,44.2,20356,1965589.55,728,96.56,EQ
01-11-2022,95.5,100.0,90.8,93.95,94.5,124.65,44.2,21072,1989672.65,662,94.42,EQ
02-11-2022,91.25,103.3,91.25,103.3,103.3,124.65,44.2,21700,2165851.85,421,99.81,EQ
03-11-2022,112.5,113.6,104.0,113.6,113.6,124.65,44.2,16167,1806317.15,192,111.73,EQ
04-11-2022,123.9,124.95,120.05,124.95,124.95,124.95,44.2,46211,5744755.5,684,124.32,EQ
07-11-2022,137.4,137.4,132.1,137.4,137.4,137.4,44.2,10131,1387681.85,155,136.97,EQ
09-11-2022,144.2,144.25,144.2,144.25,144.25,144.25,44.2,9956,1435978.1,150,144.23,EQ
10-11-2022,147.4,151.45,144.25,151.45,151.45,151.45,44.2,10622,1579341.35,167,148.69,EQ
11-11-2022,159.0,159.0,159.0,159.0,159.0,159.0,44.2,3686,586074.0,32,159.0,EQ
14-11-2022,166.95,166.95,166.95,166.95,166.95,166.95,44.2,3057,510366.15,33,166.95,EQ
15-11-2022,170.0,175.25,170.0,175.25,175.25,175.25,44.2,35658,6179023.35,379,173.29,EQ
16-11-2022,174.5,175.25,166.5,166.5,166.5,175.25,44.2,10791,1827906.9,306,169.39,EQ
17-11-2022,158.2,158.2,158.2,158.2,158.2,158.2,158.2,991,156776.2,64,158.2,BE
18-11-2022,150.3,150.3,150.3,150.3,150.3,158.2,150.3,692,104007.6,71,150.3,BE
21-11-2022,142.8,142.8,142.8,142.8,142.8,158.2,142.8,1009,144085.2,72,142.8,BE
22-11-2022,135.7,135.7,135.7,135.7,135.7,158.2,135.7,1660,225262.0,103,135.7,BE
23-11-2022,128.95,142.45,128.95,142.45,142.45,158.2,128.95,15005,2025826.55,211,135.01,BE
24-11-2022,149.0,149.55,136.0,149.55,149.55,158.2,128.95,8109,1198295.55,170,147.77,BE
25-11-2022,154.8,154.8,142.1,145.7,147.0,158.2,128.95,9992,1460146.95,312,146.13,BE
28-11-2022,151.0,152.95,138.45,145.35,145.0,158.2,128.95,8149,1192102.35,249,146.29,BE
29-11-2022,151.9,152.0,138.1,144.3,146.0,158.2,128.95,8529,1211687.3,213,142.07,BE
30-11-2022,146.0,146.0,137.1,142.65,145.0,158.2,128.95,4545,649923.75,106,143.0,BE
01-12-2022,142.65,142.65,135.55,136.7,135.55,158.2,128.95,4259,581274.0,182,136.48,BE
02-12-2022,135.55,139.0,134.85,137.2,138.8,158.2,128.95,1688,231947.5,80,137.41,BE
05-12-2022,139.0,142.95,131.0,131.65,131.0,158.2,128.95,10337,1368554.55,120,132.39,BE
06-12-2022,137.9,137.9,125.1,129.95,129.0,158.2,125.1,12089,1557222.85,158,128.81,BE
07-12-2022,134.6,134.6,124.0,126.55,128.85,158.2,124.0,2903,369639.05,114,127.33,BE
08-12-2022,131.4,131.4,124.1,127.1,126.0,158.2,124.0,4581,582659.6,68,127.19,BE
