DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
24-05-2022,495.2,568.9,467.5,536.35,536.25,568.9,467.5,14210358,7492385639.15,293322,527.25,EQ
25-05-2022,543.8,544.0,500.3,510.7,511.0,568.9,467.5,3810345,1968100612.9,95887,516.52,EQ
26-05-2022,508.0,518.8,495.0,499.8,505.1,568.9,467.5,913963,460730397.4,41483,504.1,EQ
27-05-2022,505.5,547.3,505.1,541.55,540.6,568.9,467.5,1894346,1012067134.25,43477,534.26,EQ
30-05-2022,535.5,541.55,511.75,521.25,520.5,568.9,467.5,898144,472043396.7,29267,525.58,EQ
31-05-2022,527.0,539.0,516.7,530.25,530.2,568.9,467.5,1268888,668804821.2,36214,527.08,EQ
01-06-2022,527.0,540.0,523.25,535.65,533.0,568.9,467.5,371604,197728756.1,11141,532.1,EQ
02-06-2022,537.65,617.35,536.05,570.45,567.4,617.35,467.5,5643844,3299978122.65,137730,584.7,EQ
03-06-2022,576.2,586.85,531.0,535.65,535.1,617.35,467.5,1888694,1050583601.7,47675,556.25,EQ
06-06-2022,538.95,541.0,506.05,510.2,513.1,617.35,467.5,2364548,1226229933.95,23939,518.59,EQ
07-06-2022,514.7,520.0,500.2,511.3,516.95,617.35,467.5,1122664,572158891.1,24286,509.64,EQ
08-06-2022,516.7,526.95,511.05,517.4,518.9,617.35,467.5,933745,486109723.15,25109,520.6,EQ
09-06-2022,509.0,533.95,509.0,522.0,519.55,617.35,467.5,692111,361840193.75,14519,522.81,EQ
10-06-2022,511.0,523.4,510.7,519.4,519.0,617.35,467.5,262592,136160981.2,8921,518.53,EQ
13-06-2022,500.0,510.4,490.0,502.4,501.8,617.35,467.5,372491,186506844.6,10663,500.7,EQ
14-06-2022,501.0,504.95,492.8,500.2,502.9,617.35,467.5,494431,246060530.7,13062,497.66,EQ
15-06-2022,504.2,504.85,490.55,498.55,502.0,617.35,467.5,1053969,528865011.85,7584,501.78,EQ
16-06-2022,505.0,506.65,488.75,492.55,493.3,617.35,467.5,255921,126287090.95,9761,493.46,EQ
17-06-2022,480.0,491.15,457.8,466.55,470.0,617.35,457.8,842273,403539310.9,28980,479.11,EQ
20-06-2022,465.0,479.65,456.35,469.25,463.0,617.35,456.35,1917909,891030518.95,71761,464.58,EQ
21-06-2022,464.0,530.0,457.0,513.65,514.0,617.35,456.35,569427,283073821.1,31247,497.12,EQ
22-06-2022,515.1,517.0,498.1,504.0,503.1,617.35,456.35,279721,140946221.5,11433,503.88,EQ
23-06-2022,505.0,514.0,487.2,500.7,500.0,617.35,456.35,628786,315138667.6,15620,501.19,EQ
24-06-2022,509.9,514.0,488.65,492.1,491.3,617.35,456.35,818374,405125575.65,12814,495.04,EQ
