DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
28-06-2011,40.0,84.4,38.0,69.9,69.0,84.4,38.0,72089,4539027.65,420,62.96,BE
29-06-2011,66.4,73.4,66.4,66.4,66.4,84.4,38.0,9016,611157.8,70,67.79,BE
30-06-2011,64.0,64.0,63.1,63.1,63.1,84.4,38.0,5749,362762.8,23,63.1,BE
01-07-2011,59.95,62.5,59.95,60.0,60.0,84.4,38.0,10173,609964.8,60,59.96,BE
04-07-2011,57.5,62.9,57.0,58.0,58.0,84.4,38.0,7099,410195.85,34,57.78,BE
05-07-2011,55.5,56.05,55.1,56.05,56.05,84.4,38.0,231,12777.75,8,55.31,BE
06-07-2011,54.0,58.85,54.0,58.85,58.85,84.4,38.0,1353,75512.0,16,55.81,BE
07-07-2011,59.0,61.8,59.0,61.8,61.8,84.4,38.0,754,46409.6,7,61.55,BE
08-07-2011,64.9,64.9,64.9,64.9,64.9,84.4,38.0,3106,201579.4,14,64.9,BE
11-07-2011,66.0,68.15,66.0,68.15,68.15,84.4,38.0,3375,229989.05,9,68.14,BE
12-07-2011,74.85,81.8,70.0,81.8,81.8,84.4,38.0,28656,2291919.5,257,79.98,EQ
13-07-2011,90.0,97.45,81.25,87.0,86.0,97.45,38.0,108480,9625433.35,2095,88.73,EQ
14-07-2011,85.5,92.7,81.05,87.9,88.45,97.45,38.0,30453,2658738.0,667,87.31,EQ
15-07-2011,87.0,87.0,83.0,84.45,85.8,97.45,38.0,9193,779789.75,135,84.82,EQ
18-07-2011,83.1,86.0,81.45,84.0,86.0,97.45,38.0,8725,726414.4,122,83.26,EQ
19-07-2011,83.0,85.9,82.0,84.4,85.9,97.45,38.0,3212,268304.8,51,83.53,EQ
20-07-2011,83.25,86.0,82.1,84.0,84.0,97.45,38.0,6631,556085.55,87,83.86,EQ
21-07-2011,83.0,85.95,82.9,84.2,84.0,97.45,38.0,2906,242688.1,34,83.51,EQ
22-07-2011,83.4,85.0,80.25,83.4,82.75,97.45,38.0,4554,376412.25,95,82.66,EQ
25-07-2011,82.15,82.95,75.0,78.35,79.25,97.45,38.0,2027,162640.1,54,80.24,EQ
26-07-2011,76.0,81.0,74.15,76.1,76.0,97.45,38.0,5436,415901.75,90,76.51,EQ
27-07-2011,79.9,79.9,76.0,76.15,76.0,97.45,38.0,592,45116.6,10,76.21,EQ
28-07-2011,76.0,82.65,76.0,78.6,80.0,97.45,38.0,6731,533949.4,47,79.33,EQ
29-07-2011,78.1,82.0,78.1,80.9,82.0,97.45,38.0,4093,329418.8,33,80.48,EQ
01-08-2011,90.0,90.0,79.0,82.05,82.05,97.45,38.0,6553,527095.95,24,80.44,EQ
02-08-2011,80.0,85.0,80.0,84.0,84.0,97.45,38.0,2365,198157.7,21,83.79,EQ
03-08-2011,80.0,90.0,80.0,88.25,89.95,97.45,38.0,7609,663152.4,56,87.15,EQ
04-08-2011,89.9,89.9,83.25,84.45,85.75,97.45,38.0,3413,288493.35,33,84.53,EQ
05-08-2011,76.1,86.7,75.0,81.15,81.55,97.45,38.0,2520,203118.3,39,80.6,EQ
08-08-2011,77.0,82.75,75.25,80.55,80.5,97.45,38.0,2452,196131.25,37,79.99,EQ
09-08-2011,80.0,82.0,80.0,80.8,80.1,97.45,38.0,1270,102627.5,30,80.81,EQ
10-08-2011,78.25,84.5,78.25,83.7,83.8,97.45,38.0,1638,137092.05,26,83.69,EQ
11-08-2011,86.9,86.9,83.15,84.2,83.85,97.45,38.0,727,61283.45,15,84.3,EQ
12-08-2011,81.2,82.8,81.2,81.55,82.8,97.45,38.0,314,25538.1,7,81.33,EQ
16-08-2011,80.5,84.35,80.0,82.0,84.0,97.45,38.0,3946,323473.0,39,81.97,EQ
17-08-2011,79.9,83.5,79.9,80.85,80.85,97.45,38.0,560,45341.35,12,80.97,EQ
18-08-2011,80.5,83.2,78.25,79.9,79.9,97.45,38.0,2658,213122.9,27,80.18,EQ
19-08-2011,77.5,79.9,72.25,79.8,79.9,97.45,38.0,1603,125361.65,15,78.2,EQ
22-08-2011,76.0,78.0,75.0,76.0,76.0,97.45,38.0,168,12656.35,16,75.34,EQ
23-08-2011,79.0,79.0,75.5,76.7,77.95,97.45,38.0,211,16191.0,4,76.73,EQ
24-08-2011,78.9,79.0,74.25,74.25,74.25,97.45,38.0,374,28582.0,5,76.42,EQ
25-08-2011,79.0,79.0,74.45,74.45,74.45,97.45,38.0,104,8197.8,2,78.82,EQ
26-08-2011,74.25,78.95,68.55,73.7,70.0,97.45,38.0,1010,75114.5,23,74.37,EQ
29-08-2011,83.75,83.75,79.7,79.85,80.0,97.45,38.0,100,8180.0,3,81.8,EQ
30-08-2011,79.0,81.5,74.25,79.45,81.05,97.45,38.0,1632,131411.5,20,80.52,EQ
02-09-2011,79.5,80.0,76.5,77.0,77.0,97.45,38.0,115,8972.5,7,78.02,EQ
05-09-2011,81.9,82.0,73.0,75.9,76.0,97.45,38.0,477,35797.35,17,75.05,EQ
06-09-2011,82.5,82.5,75.1,76.5,76.5,97.45,38.0,675,52571.0,12,77.88,EQ
07-09-2011,78.85,78.9,78.85,78.9,78.9,97.45,38.0,150,11832.5,2,78.88,EQ
08-09-2011,77.0,82.0,76.15,76.2,76.5,97.45,38.0,362,28437.8,12,78.56,EQ
09-09-2011,75.0,79.0,73.25,79.0,79.0,97.45,38.0,45106,3562795.0,9,78.99,EQ
12-09-2011,77.1,84.0,77.1,83.6,82.0,97.45,38.0,1992,165790.5,20,83.23,EQ
13-09-2011,84.0,84.9,84.0,84.0,84.0,97.45,38.0,190,15983.75,5,84.13,EQ
14-09-2011,82.0,90.0,80.05,81.0,81.0,97.45,38.0,569,45615.25,8,80.17,EQ
15-09-2011,79.0,79.2,79.0,79.2,79.2,97.45,38.0,60,4742.0,4,79.03,EQ
19-09-2011,79.15,79.15,75.1,76.55,76.55,97.45,38.0,269,20520.2,9,76.28,EQ
20-09-2011,78.8,83.0,75.6,81.6,83.0,97.45,38.0,178,14036.35,9,78.86,EQ
21-09-2011,78.0,82.0,78.0,78.35,82.0,97.45,38.0,1013,83008.65,9,81.94,EQ
22-09-2011,83.0,83.0,77.0,79.9,79.9,97.45,38.0,1359,105495.8,12,77.63,EQ
23-09-2011,79.9,81.1,77.0,81.0,81.0,97.45,38.0,3727,289427.2,29,77.66,EQ
26-09-2011,78.0,78.0,75.55,77.0,77.0,97.45,38.0,224,17159.35,12,76.6,EQ
27-09-2011,75.15,77.0,70.55,75.05,75.05,97.45,38.0,1819,134778.6,26,74.09,EQ
28-09-2011,74.1,74.1,74.1,74.1,74.1,97.45,38.0,100,7410.0,1,74.1,EQ
29-09-2011,70.05,72.55,70.05,72.5,72.5,97.45,38.0,116,8287.85,4,71.45,EQ
30-09-2011,76.45,77.85,70.55,70.55,70.55,97.45,38.0,310,22115.55,7,71.34,EQ
03-10-2011,67.3,76.0,67.3,71.05,70.1,97.45,38.0,464,33375.45,16,71.93,EQ
04-10-2011,69.0,77.0,66.3,77.0,77.0,97.45,38.0,16,1150.65,9,71.92,EQ
05-10-2011,73.0,74.0,70.55,71.0,70.55,97.45,38.0,1188,86822.5,25,73.08,EQ
07-10-2011,68.0,76.0,68.0,76.0,76.0,97.45,38.0,140,9677.2,7,69.12,EQ
10-10-2011,74.9,74.9,70.55,70.55,70.55,97.45,38.0,211,15108.9,10,71.61,EQ
11-10-2011,73.0,73.0,68.15,68.8,68.75,97.45,38.0,500,35112.5,5,70.23,EQ
12-10-2011,69.0,69.0,68.65,68.65,68.65,97.45,38.0,117,8055.15,4,68.85,EQ
13-10-2011,69.0,71.5,69.0,70.05,71.3,97.45,38.0,208,14509.5,10,69.76,EQ
14-10-2011,67.25,72.5,67.25,68.5,68.5,97.45,38.0,168,11544.25,5,68.72,EQ
17-10-2011,68.05,68.05,68.05,68.05,68.05,97.45,38.0,159,10819.95,2,68.05,EQ
18-10-2011,72.9,73.0,67.5,72.95,73.0,97.45,38.0,24,1685.8,5,70.24,EQ
19-10-2011,73.0,73.95,67.5,71.45,72.9,97.45,38.0,179,12790.95,15,71.46,EQ
20-10-2011,69.0,72.0,66.25,67.05,67.05,97.45,38.0,599,40196.85,17,67.11,EQ
21-10-2011,70.0,70.0,70.0,70.0,70.0,97.45,38.0,2000,140000.0,1,70.0,EQ
24-10-2011,67.5,67.5,67.5,67.5,67.5,97.45,38.0,200,13500.0,3,67.5,EQ
25-10-2011,65.25,65.25,62.55,63.85,62.55,97.45,38.0,126,8042.9,4,63.83,EQ
26-10-2011,75.0,75.0,64.05,69.55,72.0,97.45,38.0,27,1803.4,12,66.79,EQ
28-10-2011,67.0,72.95,65.25,67.1,69.95,97.45,38.0,433,29321.9,37,67.72,EQ
31-10-2011,69.5,69.5,69.5,69.5,69.5,97.45,38.0,50,3475.0,1,69.5,EQ
01-11-2011,69.0,69.0,67.5,67.5,67.5,97.45,38.0,166,11355.0,2,68.4,EQ
03-11-2011,64.85,70.0,64.5,64.5,64.5,97.45,38.0,539,34960.2,11,64.86,EQ
04-11-2011,65.1,69.5,65.1,65.1,65.1,97.45,38.0,81,5493.1,7,67.82,EQ
08-11-2011,66.0,66.0,63.05,64.0,64.0,97.45,38.0,142,9206.45,6,64.83,EQ
09-11-2011,64.0,70.2,64.0,68.0,68.0,97.45,38.0,228,15220.5,8,66.76,EQ
11-11-2011,66.1,66.1,62.55,64.1,64.0,97.45,38.0,2834,181097.65,40,63.9,EQ
14-11-2011,65.5,65.5,63.0,64.75,64.75,97.45,38.0,766,49558.0,6,64.7,EQ
15-11-2011,62.0,62.05,61.2,62.05,62.05,97.45,38.0,371,22969.65,4,61.91,EQ
17-11-2011,60.05,61.35,60.05,61.35,61.3,97.45,38.0,24,1456.7,3,60.7,EQ
18-11-2011,58.1,67.4,55.1,67.2,67.0,97.45,38.0,26,1668.2,7,64.16,EQ
21-11-2011,65.0,67.95,54.35,59.75,60.35,97.45,38.0,1087,66258.15,40,60.96,EQ
22-11-2011,61.95,61.95,58.05,58.05,58.05,97.45,38.0,50,2906.4,2,58.13,EQ
23-11-2011,57.05,57.05,52.55,56.25,56.25,97.45,38.0,302,16803.75,19,55.64,EQ
24-11-2011,67.0,67.0,57.0,57.75,57.0,97.45,38.0,111,6508.95,8,58.64,EQ
25-11-2011,56.15,60.9,56.15,60.05,60.9,97.45,38.0,10,580.9,5,58.09,EQ
28-11-2011,65.0,67.0,61.25,63.25,63.25,97.45,38.0,4873,326341.0,13,66.97,EQ
29-11-2011,62.0,64.9,55.55,63.0,63.0,97.45,38.0,153,9270.95,10,60.59,EQ
30-11-2011,63.0,63.0,63.0,63.0,63.0,97.45,38.0,122,7686.0,1,63.0,EQ
02-12-2011,69.5,69.5,69.5,69.5,69.5,97.45,38.0,8,556.0,1,69.5,EQ
05-12-2011,67.0,67.0,60.55,60.6,60.6,97.45,38.0,64,3948.05,16,61.69,EQ
07-12-2011,62.0,64.0,62.0,64.0,64.0,97.45,38.0,39,2430.0,2,62.31,EQ
08-12-2011,64.0,64.0,64.0,64.0,64.0,97.45,38.0,76,4864.0,2,64.0,EQ
09-12-2011,64.0,64.5,61.6,61.6,61.6,97.45,38.0,94,5997.0,3,63.8,EQ
12-12-2011,61.1,64.75,61.0,62.05,61.0,97.45,38.0,262,16170.9,7,61.72,EQ
13-12-2011,63.8,63.8,61.0,63.7,63.7,97.45,38.0,1131,69796.2,6,61.71,EQ
