DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
07-08-1997,71.9,74.45,71.9,72.0,,87.0,49.65,1000,72335.0,,72.34,EQ
08-08-1997,68.0,70.0,67.9,69.0,,87.0,49.65,1300,89670.0,,68.98,EQ
11-08-1997,66.5,66.5,66.5,66.5,,87.0,49.65,100,6650.0,,66.5,EQ
12-08-1997,66.0,67.0,66.0,66.0,,87.0,49.65,500,33300.0,,66.6,EQ
13-08-1997,63.05,63.05,62.0,63.0,,87.0,49.65,600,37620.0,,62.7,EQ
18-08-1997,61.0,61.0,61.0,61.0,,87.0,49.65,100,6100.0,,61.0,EQ
19-08-1997,60.0,61.75,59.75,61.15,,87.0,49.65,1300,79015.0,,60.78,EQ
20-08-1997,66.75,66.75,64.15,66.65,,87.0,49.65,1600,105780.0,,66.11,EQ
21-08-1997,68.0,68.0,67.1,67.1,,87.0,49.65,400,26935.0,,67.34,EQ
22-08-1997,64.0,65.5,64.0,65.5,,87.0,49.65,400,25950.0,,64.88,EQ
25-08-1997,62.35,62.35,62.35,62.35,,87.0,49.65,500,31175.0,,62.35,EQ
26-08-1997,62.25,62.25,62.0,62.1,,87.0,49.65,500,31060.0,,62.12,EQ
27-08-1997,63.8,64.0,63.8,64.0,,87.0,49.65,400,25560.0,,63.9,EQ
28-08-1997,63.25,63.25,62.25,62.45,,87.0,49.65,800,50235.0,,62.79,EQ
29-08-1997,62.75,62.75,62.7,62.7,,87.0,49.65,300,18820.0,,62.73,EQ
01-09-1997,61.25,61.25,61.0,61.0,,87.0,49.65,600,36635.0,,61.06,EQ
02-09-1997,60.0,60.0,59.0,59.0,,87.0,49.65,200,11900.0,,59.5,EQ
03-09-1997,59.0,60.95,59.0,60.95,,87.0,49.65,400,24090.0,,60.23,EQ
04-09-1997,60.0,60.0,60.0,60.0,,87.0,49.65,100,6000.0,,60.0,EQ
05-09-1997,64.95,64.95,64.95,64.95,,87.0,49.65,100,6495.0,,64.95,EQ
08-09-1997,61.0,61.0,60.5,61.0,,87.0,49.65,700,42615.0,,60.88,EQ
09-09-1997,61.1,62.0,61.1,62.0,,87.0,49.65,400,24690.0,,61.73,EQ
10-09-1997,60.5,62.0,60.1,62.0,,87.0,49.65,400,24310.0,,60.78,EQ
11-09-1997,60.0,60.0,59.0,59.0,,87.0,49.65,700,41520.0,,59.31,EQ
12-09-1997,57.5,57.5,57.15,57.15,,87.0,49.65,200,11465.0,,57.33,EQ
15-09-1997,56.05,56.05,56.0,56.0,,87.0,49.65,200,11205.0,,56.03,EQ
16-09-1997,56.25,58.0,55.0,57.6,,87.0,49.65,900,50750.0,,56.39,EQ
19-09-1997,55.0,55.0,55.0,55.0,,87.0,49.65,100,5500.0,,55.0,EQ
29-09-1997,53.0,55.0,53.0,55.0,,87.0,49.65,400,21500.0,,53.75,EQ
30-09-1997,54.95,54.95,53.6,53.6,,87.0,49.65,300,16305.0,,54.35,EQ
10-10-1997,52.0,52.0,52.0,52.0,,87.0,49.65,100,5200.0,,52.0,EQ
13-10-1997,51.55,51.55,51.5,51.5,,87.0,49.65,200,10305.0,,51.53,EQ
14-10-1997,51.0,51.0,51.0,51.0,,87.0,49.65,200,10200.0,,51.0,EQ
15-10-1997,48.5,48.5,48.5,48.5,,87.0,49.65,200,9700.0,,48.5,EQ
17-10-1997,46.1,48.0,46.1,46.1,,87.0,48.5,700,32840.0,,46.91,EQ
21-10-1997,46.0,46.0,46.0,46.0,,87.0,46.1,100,4600.0,,46.0,EQ
22-10-1997,46.0,48.0,46.0,48.0,,87.0,46.0,200,9400.0,,47.0,EQ
23-10-1997,45.8,45.8,45.8,45.8,,87.0,46.0,200,9160.0,,45.8,EQ
24-10-1997,44.0,46.95,43.6,46.95,,87.0,45.8,1700,76860.0,,45.21,EQ
27-10-1997,46.5,46.5,46.1,46.1,,87.0,43.6,300,13910.0,,46.37,EQ
29-10-1997,43.9,43.9,43.85,43.85,,87.0,43.6,300,13160.0,,43.87,EQ
03-11-1997,43.0,43.0,43.0,43.0,,87.0,43.6,200,8600.0,,43.0,EQ
05-11-1997,44.0,44.0,44.0,44.0,,87.0,43.0,100,4400.0,,44.0,EQ
06-11-1997,42.0,42.0,41.8,41.8,,87.0,43.0,900,37745.0,,41.94,EQ
11-11-1997,39.75,39.75,39.75,39.75,,87.0,41.8,200,7950.0,,39.75,EQ
12-11-1997,39.0,39.0,39.0,39.0,,87.0,39.75,100,3900.0,,39.0,EQ
13-11-1997,37.5,37.5,37.15,37.15,,87.0,39.0,400,14905.0,,37.26,EQ
17-11-1997,35.6,35.6,35.55,35.55,,87.0,37.15,200,7115.0,,35.58,EQ
18-11-1997,35.9,36.5,35.9,36.1,,87.0,35.55,400,14440.0,,36.1,EQ
19-11-1997,35.55,35.55,35.55,35.55,,87.0,35.55,100,3555.0,,35.55,EQ
24-11-1997,37.3,37.3,37.3,37.3,,87.0,35.55,100,3730.0,,37.3,EQ
25-11-1997,39.0,39.0,36.55,36.55,,87.0,35.55,200,7555.0,,37.78,EQ
26-11-1997,38.35,38.35,38.35,38.35,,87.0,35.55,100,3835.0,,38.35,EQ
27-11-1997,39.75,39.75,39.75,39.75,,87.0,35.55,100,3975.0,,39.75,EQ
28-11-1997,39.0,39.0,39.0,39.0,,87.0,35.55,100,3900.0,,39.0,EQ
01-12-1997,37.1,37.1,37.1,37.1,,87.0,35.55,200,7420.0,,37.1,EQ
02-12-1997,37.1,37.1,35.25,36.75,,87.0,35.55,1900,67405.0,,35.48,EQ
03-12-1997,36.0,36.0,35.0,35.75,,87.0,35.25,400,14250.0,,35.63,EQ
04-12-1997,34.05,34.05,34.0,34.0,,87.0,35.0,200,6805.0,,34.03,EQ
05-12-1997,34.0,34.0,34.0,34.0,,87.0,34.0,200,6800.0,,34.0,EQ
08-12-1997,33.0,33.0,33.0,33.0,,87.0,34.0,100,3300.0,,33.0,EQ
11-12-1997,31.75,32.5,31.75,31.8,,87.0,33.0,300,9605.0,,32.02,EQ
12-12-1997,30.3,30.3,30.3,30.3,,87.0,31.75,200,6060.0,,30.3,EQ
15-12-1997,31.0,31.8,28.85,31.8,,87.0,30.3,400,12345.0,,30.86,EQ
16-12-1997,31.0,32.5,31.0,32.5,,87.0,28.85,300,9450.0,,31.5,EQ
17-12-1997,32.5,32.5,32.5,32.5,,87.0,28.85,100,3250.0,,32.5,EQ
18-12-1997,33.5,34.0,33.5,33.5,,87.0,28.85,2400,80500.0,,33.54,EQ
19-12-1997,35.0,35.0,33.5,35.0,,87.0,28.85,400,13825.0,,34.56,EQ
23-12-1997,35.5,35.5,34.5,35.5,,87.0,28.85,500,17535.0,,35.07,EQ
24-12-1997,36.0,36.0,36.0,36.0,,87.0,28.85,100,3600.0,,36.0,EQ
26-12-1997,36.0,36.0,36.0,36.0,,87.0,28.85,100,3600.0,,36.0,EQ
29-12-1997,35.0,35.0,34.35,34.35,,87.0,28.85,200,6935.0,,34.68,EQ
30-12-1997,34.0,34.0,33.25,33.25,,87.0,28.85,300,10125.0,,33.75,EQ
01-01-1998,34.95,34.95,34.95,34.95,,87.0,28.85,100,3495.0,,34.95,EQ
02-01-1998,36.0,36.0,36.0,36.0,,87.0,28.85,100,3600.0,,36.0,EQ
05-01-1998,37.75,37.8,37.25,37.25,,87.0,28.85,2000,75145.0,,37.57,EQ
06-01-1998,35.5,36.0,35.5,35.5,,87.0,28.85,1300,46200.0,,35.54,EQ
07-01-1998,37.0,38.0,36.3,38.0,,87.0,28.85,500,18530.0,,37.06,EQ
08-01-1998,36.5,36.5,36.25,36.25,,87.0,28.85,500,18205.0,,36.41,EQ
09-01-1998,35.1,35.25,34.5,34.5,,87.0,28.85,1100,38420.0,,34.93,EQ
13-01-1998,35.0,35.0,35.0,35.0,,87.0,28.85,100,3500.0,,35.0,EQ
14-01-1998,33.55,33.55,33.55,33.55,,87.0,28.85,100,3355.0,,33.55,EQ
15-01-1998,33.05,33.05,33.05,33.05,,87.0,28.85,100,3305.0,,33.05,EQ
20-01-1998,33.0,34.95,31.8,31.8,,87.0,28.85,500,16380.0,,32.76,EQ
27-01-1998,32.1,32.1,32.0,32.0,,87.0,28.85,200,6410.0,,32.05,EQ
29-01-1998,30.0,30.5,30.0,30.5,,86.0,28.85,300,9100.0,,30.33,EQ
30-01-1998,28.5,28.5,28.5,28.5,,86.0,28.85,100,2850.0,,28.5,EQ
02-02-1998,30.9,31.0,28.5,28.6,,86.0,28.5,900,26640.0,,29.6,EQ
03-02-1998,30.1,31.0,30.0,30.0,,82.0,28.5,400,12120.0,,30.3,EQ
04-02-1998,29.25,29.25,29.0,29.0,,82.0,28.5,400,11660.0,,29.15,EQ
12-02-1998,28.0,28.0,27.5,27.5,,82.0,28.5,200,5550.0,,27.75,EQ
13-02-1998,27.0,27.0,26.0,26.0,,82.0,27.5,1700,44450.0,,26.15,EQ
18-02-1998,26.5,26.5,26.5,26.5,,82.0,26.0,100,2650.0,,26.5,EQ
19-02-1998,26.95,26.95,24.0,24.0,,82.0,26.0,1100,26935.0,,24.49,EQ
20-02-1998,25.5,26.0,25.5,26.0,,82.0,24.0,200,5150.0,,25.75,EQ
23-02-1998,26.4,26.4,26.4,26.4,,82.0,24.0,200,5280.0,,26.4,EQ
24-02-1998,26.95,27.5,26.95,27.5,,82.0,24.0,400,10895.0,,27.24,EQ
26-02-1998,30.15,30.15,26.55,26.55,,82.0,24.0,200,5670.0,,28.35,EQ
27-02-1998,26.0,26.0,25.0,26.0,,82.0,24.0,2000,50905.0,,25.45,EQ
02-03-1998,27.0,27.9,25.0,25.0,,82.0,24.0,5700,147715.0,,25.91,EQ
03-03-1998,25.0,25.0,24.0,24.0,,82.0,24.0,700,17005.0,,24.29,EQ
04-03-1998,25.0,25.1,24.75,25.0,,82.0,24.0,1400,34985.0,,24.99,EQ
05-03-1998,25.0,25.0,25.0,25.0,,82.0,24.0,200,5000.0,,25.0,EQ
06-03-1998,24.55,25.75,24.55,25.75,,82.0,24.0,400,10180.0,,25.45,EQ
09-03-1998,26.25,26.25,25.0,25.0,,82.0,24.0,1600,41235.0,,25.77,EQ
10-03-1998,25.1,26.4,24.8,26.3,,82.0,24.0,900,22900.0,,25.44,EQ
11-03-1998,27.0,28.0,24.95,25.0,,82.0,24.0,3600,92650.0,,25.74,EQ
12-03-1998,26.5,26.5,25.0,25.0,,82.0,24.0,800,20540.0,,25.68,EQ
16-03-1998,26.0,26.45,24.7,25.0,,82.0,24.0,3000,76020.0,,25.34,EQ
17-03-1998,25.0,25.0,24.0,24.0,,77.0,24.0,4600,111775.0,,24.3,EQ
18-03-1998,24.95,25.0,24.95,25.0,,77.0,24.0,3400,84945.0,,24.98,EQ
19-03-1998,25.15,25.15,24.0,24.95,,77.0,24.0,2300,56620.0,,24.62,EQ
20-03-1998,24.0,24.0,23.7,24.0,,77.0,24.0,1400,33570.0,,23.98,EQ
23-03-1998,24.5,24.5,24.0,24.5,24.5,77.0,23.7,4500,109475.0,,24.33,EQ
24-03-1998,24.5,26.0,24.0,25.1,25.1,75.0,23.7,35600,875275.0,,24.59,EQ
25-03-1998,26.45,27.55,25.5,25.8,27.0,75.0,23.7,55600,1444940.0,,25.99,EQ
26-03-1998,28.0,28.4,28.0,28.4,28.4,75.0,23.7,15300,434420.0,,28.39,EQ
27-03-1998,27.05,29.0,27.05,28.5,28.5,75.0,23.7,19500,556180.0,,28.52,EQ
30-03-1998,29.0,31.0,29.0,29.3,29.25,75.0,23.7,11600,348100.0,,30.01,EQ
31-03-1998,29.1,30.0,26.9,27.35,27.5,75.0,23.7,13800,390970.0,,28.33,EQ
01-04-1998,29.7,29.8,28.95,29.15,28.95,75.0,23.7,9500,278615.0,,29.33,EQ
02-04-1998,29.9,29.9,29.0,29.05,29.0,75.0,23.7,3200,93590.0,,29.25,EQ
03-04-1998,28.9,29.0,27.6,28.25,28.25,75.0,23.7,4400,124065.0,,28.2,EQ
06-04-1998,29.5,29.5,28.0,28.75,28.8,75.0,23.7,3500,99125.0,,28.32,EQ
07-04-1998,28.5,29.0,27.5,27.55,27.5,75.0,23.7,4500,127160.0,,28.26,EQ
09-04-1998,29.0,29.25,28.6,29.0,29.0,75.0,23.7,9000,262135.0,,29.13,EQ
10-04-1998,29.0,31.9,28.75,31.75,31.75,75.0,23.7,19800,605920.0,,30.6,EQ
13-04-1998,30.4,33.25,29.8,31.55,32.0,75.0,23.7,14800,462985.0,,31.28,EQ
