DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-04-2004,29.9,30.8,28.5,29.1,29.25,0.0,0.0,32799,968931.6,,29.54,EQ
02-04-2004,30.45,30.45,28.0,28.55,28.25,30.8,28.5,54200,1557325.45,,28.73,EQ
05-04-2004,29.45,30.75,29.0,29.4,29.75,30.8,28.0,44667,1333551.55,,29.86,EQ
06-04-2004,29.95,29.95,28.05,29.25,29.4,30.8,28.0,16600,480480.25,,28.94,EQ
07-04-2004,29.5,30.0,29.0,29.5,29.7,30.8,28.0,11151,330120.7,,29.6,EQ
08-04-2004,29.1,30.95,29.05,30.55,30.65,30.8,28.0,32365,981397.55,,30.32,EQ
12-04-2004,31.8,31.9,30.25,30.5,30.5,30.95,28.0,25579,784857.4,,30.68,EQ
13-04-2004,30.3,30.5,27.65,30.1,30.25,31.9,28.0,18360,550922.6,,30.01,EQ
15-04-2004,30.4,31.0,30.0,30.65,31.0,31.9,27.65,27078,832485.6,,30.74,EQ
16-04-2004,31.0,32.85,31.0,32.25,32.5,31.9,27.65,57362,1841013.15,,32.09,EQ
17-04-2004,32.95,33.7,32.1,33.1,33.3,32.85,27.65,30185,992127.75,,32.87,EQ
19-04-2004,33.05,34.4,31.55,31.75,31.6,33.7,27.65,47564,1554183.25,,32.68,EQ
20-04-2004,32.0,32.5,30.3,31.1,31.7,34.4,27.65,20945,652451.05,,31.15,EQ
21-04-2004,30.6,31.75,30.5,31.4,31.35,34.4,27.65,20267,633230.25,,31.24,EQ
22-04-2004,31.2,31.95,30.9,31.8,31.85,34.4,27.65,30307,955711.8,,31.53,EQ
23-04-2004,33.8,33.8,31.5,31.6,31.9,34.4,27.65,34634,1107492.35,,31.98,EQ
27-04-2004,31.05,31.9,29.2,29.6,30.0,34.4,27.65,35335,1061074.65,,30.03,EQ
28-04-2004,28.8,29.85,28.55,29.35,29.1,34.4,27.65,26216,766375.15,,29.23,EQ
29-04-2004,31.55,31.55,29.4,29.95,30.4,34.4,27.65,16324,486159.0,,29.78,EQ
30-04-2004,29.5,30.4,29.45,29.75,29.5,34.4,27.65,15445,462168.5,,29.92,EQ
03-05-2004,29.95,30.0,28.0,28.6,28.05,34.4,27.65,26301,758272.1,,28.83,EQ
04-05-2004,29.0,30.25,29.0,30.0,30.1,34.4,27.65,15523,465912.5,,30.01,EQ
05-05-2004,29.35,31.0,29.3,30.4,30.5,34.4,27.65,18081,554259.85,,30.65,EQ
06-05-2004,31.0,31.5,30.5,31.1,31.0,34.4,27.65,26672,825264.1,,30.94,EQ
07-05-2004,33.0,33.0,30.7,31.05,30.9,34.4,27.65,29431,916433.4,,31.14,EQ
10-05-2004,30.2,31.0,30.05,30.9,30.95,34.4,27.65,14522,444296.25,,30.59,EQ
11-05-2004,30.45,30.5,29.25,29.3,29.25,34.4,27.65,23187,688953.3,,29.71,EQ
12-05-2004,30.0,30.25,28.6,29.3,29.9,34.4,27.65,20153,589591.4,,29.26,EQ
13-05-2004,29.25,30.5,25.1,29.9,29.65,34.4,27.65,19582,576163.8,,29.42,EQ
14-05-2004,30.6,34.7,26.0,26.85,26.5,34.4,25.1,39501,1085156.65,,27.47,EQ
17-05-2004,26.1,26.1,23.55,24.7,24.3,34.7,25.1,11730,289228.5,,24.66,EQ
18-05-2004,25.5,27.9,25.5,26.95,27.9,34.7,23.55,13608,357556.7,,26.28,EQ
19-05-2004,28.5,28.5,25.1,27.25,27.1,34.7,23.55,15526,423566.7,,27.28,EQ
20-05-2004,27.5,27.85,26.55,26.8,26.85,34.7,23.55,18025,491659.9,,27.28,EQ
21-05-2004,26.5,26.7,25.5,26.15,26.15,34.7,23.55,15756,411190.4,,26.1,EQ
24-05-2004,26.7,27.5,26.7,26.8,26.75,34.7,23.55,16919,458553.4,,27.1,EQ
25-05-2004,26.1,27.25,26.1,26.75,26.7,34.7,23.55,16943,454063.15,,26.8,EQ
26-05-2004,26.0,27.3,26.0,26.5,26.45,34.7,23.55,10686,288478.35,,27.0,EQ
27-05-2004,25.6,26.65,25.6,26.35,26.5,34.7,23.55,8646,227722.95,,26.34,EQ
28-05-2004,26.45,26.45,25.3,25.45,25.3,34.7,23.55,9860,253957.0,,25.76,EQ
31-05-2004,26.0,26.0,23.0,23.8,24.0,34.7,23.55,28266,687718.2,,24.33,EQ
01-06-2004,24.1,25.45,24.1,24.75,24.8,34.7,23.0,13906,342778.7,,24.65,EQ
02-06-2004,25.6,25.6,24.55,24.8,24.9,34.7,23.0,8077,200732.6,,24.85,EQ
03-06-2004,25.25,25.55,23.65,23.95,24.3,34.7,23.0,11612,283200.65,,24.39,EQ
04-06-2004,24.3,24.75,23.5,23.75,23.6,34.7,23.0,28782,701848.05,,24.38,EQ
07-06-2004,23.3,24.9,23.3,24.65,24.7,34.7,23.0,10931,268788.3,,24.59,EQ
08-06-2004,24.15,25.2,24.15,25.0,25.0,34.7,23.0,9160,228473.25,,24.94,EQ
09-06-2004,25.0,25.4,25.0,25.2,25.4,34.7,23.0,8060,202873.55,,25.17,EQ
10-06-2004,25.25,25.5,25.05,25.35,25.45,34.7,23.0,10015,252666.5,,25.23,EQ
11-06-2004,25.5,25.5,24.45,24.55,24.75,34.7,23.0,13340,330983.0,,24.81,EQ
14-06-2004,23.8,25.0,23.8,24.75,24.5,34.7,23.0,24452,607523.0,,24.85,EQ
15-06-2004,23.1,25.05,23.1,24.35,24.25,34.7,23.0,12694,314406.2,,24.77,EQ
16-06-2004,25.0,25.0,24.6,24.8,24.9,34.7,23.0,8015,199612.95,,24.9,EQ
