DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
02-04-2008,250.0,250.0,95.3,98.6,96.4,250.0,95.3,27038800,3062488866.05,,113.26,EQ
03-04-2008,98.0,104.4,85.1,89.05,90.5,250.0,85.1,31911206,2993165173.45,,93.8,EQ
04-04-2008,92.0,95.6,88.1,89.35,89.5,250.0,85.1,13573883,1244061677.75,,91.65,EQ
07-04-2008,91.5,105.9,90.15,104.4,104.25,250.0,85.1,29218302,2902757346.05,,99.35,EQ
08-04-2008,103.9,105.2,97.05,98.05,98.3,250.0,85.1,11916992,1194295693.35,,100.22,EQ
09-04-2008,98.0,100.35,94.55,97.45,97.1,250.0,85.1,10215700,995207301.3,,97.42,EQ
10-04-2008,97.0,100.25,96.0,98.0,97.55,250.0,85.1,5241066,515459348.05,,98.35,EQ
11-04-2008,98.5,104.8,98.5,103.8,103.65,250.0,85.1,11937166,1225296571.8,,102.65,EQ
15-04-2008,102.5,103.95,100.1,103.15,103.1,250.0,85.1,5672024,580412832.65,,102.33,EQ
16-04-2008,104.4,107.7,101.5,102.1,101.8,250.0,85.1,4514288,473232222.4,,104.83,EQ
17-04-2008,104.7,104.7,102.0,103.55,103.5,250.0,85.1,3409770,352580176.0,,103.4,EQ
21-04-2008,104.9,106.25,101.5,102.25,102.4,250.0,85.1,3032190,315091452.0,,103.92,EQ
22-04-2008,102.4,102.9,99.45,102.0,102.0,250.0,85.1,6239512,632818382.05,,101.42,EQ
23-04-2008,102.55,116.95,102.55,111.7,111.5,250.0,85.1,24562464,2720828823.4,,110.77,EQ
24-04-2008,113.75,121.7,113.1,115.85,116.1,250.0,85.1,19795911,2330958343.1,,117.75,EQ
25-04-2008,116.0,118.9,112.75,116.3,116.25,250.0,85.1,7193558,831002572.2,,115.52,EQ
28-04-2008,119.0,125.5,118.5,123.85,124.0,250.0,85.1,15397648,1886820515.0,,122.54,EQ
29-04-2008,127.0,143.65,125.2,137.75,135.7,250.0,85.1,24774688,3297615211.15,,133.1,EQ
30-04-2008,138.0,141.65,128.15,129.3,129.75,250.0,85.1,19861637,2690544586.9,,135.46,EQ
02-05-2008,133.0,136.0,130.75,133.25,133.15,250.0,85.1,9403013,1256410805.85,,133.62,EQ
05-05-2008,134.6,134.6,123.85,125.0,125.6,250.0,85.1,7858683,1002437294.8,,127.56,EQ
06-05-2008,125.85,126.7,118.6,120.65,121.0,250.0,85.1,11874026,1439639423.45,,121.24,EQ
