DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
29-06-2011,92.6,96.95,87.0,89.05,88.15,96.95,87.0,121987,11159696.65,2434,91.48,EQ
30-06-2011,90.7,90.7,87.0,88.6,88.5,96.95,87.0,37830,3320594.25,290,87.78,EQ
01-07-2011,83.0,90.0,83.0,89.0,89.95,96.95,83.0,48253,4289695.2,163,88.9,EQ
04-07-2011,91.0,91.0,88.0,89.0,88.7,96.95,83.0,40203,3591231.15,148,89.33,EQ
05-07-2011,88.8,90.85,88.25,88.7,88.25,96.95,83.0,40502,3612301.0,165,89.19,EQ
06-07-2011,87.3,93.5,87.3,93.15,93.5,96.95,83.0,112367,10326147.05,295,91.9,EQ
07-07-2011,94.5,94.8,90.7,91.9,91.75,96.95,83.0,81526,7513934.8,404,92.17,EQ
08-07-2011,91.9,92.95,89.6,90.95,91.0,96.95,83.0,76381,6953551.4,159,91.04,EQ
11-07-2011,91.05,92.0,87.4,89.55,90.0,96.95,83.0,69265,6236677.65,169,90.04,EQ
12-07-2011,88.0,89.95,88.0,89.85,89.9,96.95,83.0,38382,3421015.0,153,89.13,EQ
13-07-2011,90.2,97.0,90.05,94.4,95.0,97.0,83.0,111046,10431505.2,575,93.94,EQ
14-07-2011,92.1,96.0,92.1,93.55,93.5,97.0,83.0,63123,5902519.4,251,93.51,EQ
15-07-2011,96.7,98.8,94.5,95.95,96.0,98.8,83.0,85341,8223109.45,394,96.36,EQ
18-07-2011,97.85,99.4,96.05,98.05,97.75,99.4,83.0,51901,5037776.95,274,97.07,EQ
19-07-2011,97.2,104.0,97.2,103.0,102.6,104.0,83.0,216147,21892209.95,1103,101.28,EQ
20-07-2011,103.8,108.5,103.6,106.85,106.15,108.5,83.0,199341,21233953.45,1869,106.52,EQ
21-07-2011,106.2,112.3,99.6,102.35,102.0,112.3,83.0,272083,29534190.15,3161,108.55,EQ
22-07-2011,103.45,109.7,103.45,108.65,107.05,112.3,83.0,101569,10855717.1,1257,106.88,EQ
25-07-2011,107.8,110.05,106.4,107.8,107.2,112.3,83.0,69163,7496126.55,625,108.38,EQ
26-07-2011,107.35,108.75,103.35,104.35,105.0,112.3,83.0,87772,9274726.55,781,105.67,EQ
27-07-2011,105.35,114.45,103.4,111.4,111.0,114.45,83.0,252707,27991228.15,2718,110.77,EQ
28-07-2011,110.85,112.5,107.1,109.6,110.0,114.45,83.0,125382,13807008.35,848,110.12,EQ
29-07-2011,108.0,111.6,105.1,105.85,106.5,114.45,83.0,80395,8715078.4,600,108.4,EQ
01-08-2011,105.0,111.9,105.0,110.0,110.0,114.45,83.0,102614,11298291.55,560,110.1,EQ
02-08-2011,112.0,112.05,107.15,110.15,110.0,114.45,83.0,71389,7845362.6,497,109.9,EQ
03-08-2011,103.0,113.4,103.0,110.2,110.05,114.45,83.0,97488,10785378.05,817,110.63,EQ
04-08-2011,108.55,113.8,108.55,109.9,110.0,114.45,83.0,72302,7972104.65,410,110.26,EQ
05-08-2011,104.05,109.9,103.0,105.3,106.25,114.45,83.0,151453,16063639.6,1329,106.06,EQ
08-08-2011,103.0,104.8,99.6,103.45,103.1,114.45,83.0,64426,6621355.85,781,102.77,EQ
09-08-2011,98.2,103.8,98.2,100.4,99.55,114.45,83.0,76689,7760077.75,489,101.19,EQ
10-08-2011,100.5,110.0,100.5,107.35,106.8,114.45,83.0,184612,19687872.5,1647,106.64,EQ
11-08-2011,106.25,108.95,104.0,104.75,105.0,114.45,83.0,72241,7692705.65,681,106.49,EQ
12-08-2011,101.1,109.55,101.1,103.3,102.5,114.45,83.0,66853,6997091.55,570,104.66,EQ
16-08-2011,104.75,105.0,100.2,100.65,101.0,114.45,83.0,65715,6749398.9,880,102.71,EQ
17-08-2011,100.8,102.9,100.0,100.35,100.1,114.45,83.0,40545,4097232.85,298,101.05,EQ
18-08-2011,99.65,101.0,98.0,98.55,100.0,114.45,83.0,56146,5590643.15,414,99.57,EQ
19-08-2011,92.2,97.55,92.2,96.0,95.0,114.45,83.0,48193,4632536.6,365,96.12,EQ
22-08-2011,97.95,101.0,95.0,98.65,100.0,114.45,83.0,65181,6340643.15,484,97.28,EQ
23-08-2011,99.7,101.0,98.15,100.25,100.0,114.45,83.0,41211,4126587.3,267,100.13,EQ
